,idx,reward_sum,n_steps,reason
0,0,-23.34063435345888,71,OOB
1,1,-5.283965778537095,136,OOB
2,2,-4.597617011982948,141,OOB
3,3,-4.185704052448273,129,OOB
4,4,-5.762763346545398,152,OOB
5,5,-3.944951232522726,81,OOB
6,6,-3.888182655442506,101,OOB
7,7,-3.534115982649382,111,OOB
8,8,-3.9711890870239586,113,OOB
9,9,-9.823016718955841,206,OOB
10,10,-3.472482416778803,71,OOB
11,11,-7.2653837888501585,164,OOB
12,12,-3.6227250488009304,119,OOB
13,13,-5.6459564585238695,167,OOB
14,14,-5.344779836479574,154,OOB
15,15,-3.961139900609851,104,OOB
16,16,-5.988398497924209,147,OOB
17,17,-4.801272915676236,138,OOB
18,18,-2.6337087713181973,126,OOB
19,19,-5.027165767736733,181,OOB
20,20,-2.3551876358687878,75,OOB
21,21,-5.321705071255565,145,OOB
22,22,-5.669127374887466,171,OOB
23,23,-5.617383787408471,183,OOB
24,24,111.27640452980995,68,HOME
25,25,-1.699701938778162,66,OOB
26,26,-2.107104478403926,83,OOB
27,27,-1.8238103985786438,87,OOB
28,28,-1.4673216249793768,94,OOB
29,29,-2.2414329815655947,104,OOB
30,30,-1.5440253168344498,59,OOB
31,31,-2.170422688825056,79,OOB
32,32,-2.0215727478425833,85,OOB
33,33,-1.6906820172443986,91,OOB
34,34,-2.0039754565805197,102,OOB
35,35,-1.580214075744152,57,OOB
36,36,-2.0879131401889026,74,OOB
37,37,-2.055095072835684,81,OOB
38,38,-1.68550429091556,88,OOB
39,39,-1.9101003166288137,100,OOB
40,40,-2.1365926023572683,73,OOB
41,41,-1.8191600572317839,90,OOB
42,42,-1.6238369438797235,100,OOB
43,43,-2.1241059862077236,107,OOB
44,44,-3.2300448063760996,116,OOB
45,45,-1.8383517265319824,65,OOB
46,46,-2.043389922939241,84,OOB
47,47,-1.7213932520826347,94,OOB
48,48,-1.9796964842826128,99,OOB
49,49,-3.396598571911454,110,OOB
50,50,-1.6759002599865198,59,OOB
51,51,-2.27716065896675,78,OOB
52,52,-1.902861241134815,88,OOB
53,53,-1.8678649992216378,94,OOB
54,54,-2.7544633205980062,105,OOB
55,55,-1.5338843669742346,53,OOB
56,56,-2.1550918482244015,71,OOB
57,57,-1.8448610324412584,83,OOB
58,58,-1.4661778397858143,91,OOB
59,59,-2.352171028032899,101,OOB
60,60,-1.4951767548918724,51,OOB
61,61,-2.105822943150997,69,OOB
62,62,-1.8809935040771961,82,OOB
63,63,-1.5769576281309128,91,OOB
64,64,-2.4735679496079683,101,OOB
65,65,-1.5449116323143244,52,OOB
66,66,-2.2252095751464367,71,OOB
67,67,-1.8399183358997107,82,OOB
68,68,-1.5097106993198395,90,OOB
69,69,-2.3176989536732435,100,OOB
70,70,-1.5405964255332947,51,OOB
71,71,-2.1519354078918695,69,OOB
72,72,-2.1028693733387627,80,OOB
73,73,-1.7181833342183381,89,OOB
74,74,-2.2843378596007824,101,OOB
75,75,-1.5195842757821083,47,OOB
76,76,-2.143825203180313,67,OOB
77,77,-2.5598796070553362,79,OOB
78,78,-2.0376017483649775,86,OOB
79,79,-2.341560024768114,101,OOB
80,80,-2.3617501091212034,71,OOB
81,81,-1.6186643370892853,94,OOB
82,82,-1.1894761202856898,111,OOB
83,83,-1.3581680804491043,122,OOB
84,84,-2.610845210030675,134,OOB
85,85,-2.0745907463133335,65,OOB
86,86,-1.6665091048926115,89,OOB
87,87,-1.0383722156402655,105,OOB
88,88,-1.195774368941784,117,OOB
