,idx,reward_sum,n_steps,reason
0,0,-23.166881568729877,69,OOB
1,1,-5.095714755356312,118,OOB
2,2,-4.1442317282781005,132,OOB
3,3,-4.915177281945944,134,OOB
4,4,-6.446869096253067,160,OOB
5,5,-5.1542948968708515,89,OOB
6,6,-7.8524675434455276,152,OOB
7,7,-5.592114744220453,167,OOB
8,8,-6.223371541360393,178,OOB
9,9,-6.015930254012346,201,OOB
10,10,-3.5423795599490404,91,OOB
11,11,-4.642721166834235,140,OOB
12,12,-4.387588474433869,162,OOB
13,13,111.80418867897242,68,HOME
14,14,109.09617009758949,68,HOME
15,15,-1.7789783775806427,72,OOB
16,16,-2.2632495015859604,87,OOB
17,17,-1.771511534228921,92,OOB
18,18,-1.42255599796772,97,OOB
19,19,-2.5425105579197407,101,OOB
20,20,-1.7680896800011396,69,OOB
21,21,-2.350494358688593,83,OOB
22,22,-1.8422925285995007,91,OOB
23,23,-1.421234479174018,96,OOB
24,24,-2.406618433073163,101,OOB
25,25,-1.7342402059584856,66,OOB
26,26,-2.3083361200988293,83,OOB
27,27,-1.8580364752560854,90,OOB
28,28,-1.4085892271250486,95,OOB
29,29,-2.6712642777711153,102,OOB
30,30,-1.698769859969616,63,OOB
31,31,-2.3213255661539733,80,OOB
32,32,-2.169220729469089,88,OOB
33,33,-1.5151773765683174,94,OOB
34,34,-2.2744737789034843,100,OOB
35,35,-1.650256922468543,57,OOB
36,36,-2.1926437094807625,75,OOB
37,37,-2.4155425184872,86,OOB
38,38,-1.7481835139915347,93,OOB
39,39,-2.1303716730326414,102,OOB
40,40,-2.5794235970824957,84,OOB
41,41,-1.9998404565267265,99,OOB
42,42,-2.045421856455505,104,OOB
43,43,-2.1887604035437107,107,OOB
44,44,-3.573722818866372,112,OOB
45,45,-2.457524275407195,78,OOB
46,46,-2.0965654300525784,93,OOB
47,47,-1.737750102809514,98,OOB
48,48,-1.947851039469242,100,OOB
49,49,-3.1573639940470457,106,OOB
50,50,-2.1614426132291555,70,OOB
51,51,-2.13391258334741,87,OOB
52,52,-2.012814825749956,93,OOB
53,53,-1.8815597395878285,96,OOB
54,54,-2.679401459172368,103,OOB
55,55,-2.0116892717778683,65,OOB
56,56,-2.718800116330385,83,OOB
57,57,-2.169617583975196,89,OOB
58,58,-1.7814468294382095,93,OOB
59,59,-2.463236341252923,100,OOB
60,60,-2.0100826658308506,64,OOB
61,61,-2.7064246255904436,82,OOB
62,62,-2.1380252800881863,87,OOB
63,63,-1.8046926613897085,93,OOB
64,64,-2.593069765716791,99,OOB
65,65,-2.081731900572777,65,OOB
66,66,-2.680971020832658,82,OOB
67,67,-2.1676813699305058,88,OOB
68,68,-1.8257976360619068,93,OOB
69,69,-2.6513159908354282,99,OOB
70,70,-2.0332191176712513,63,OOB
71,71,-2.8164658113382757,80,OOB
72,72,-2.1485282734502107,86,OOB
73,73,-2.131521051051095,92,OOB
74,74,-2.1649366095662117,99,OOB
75,75,-1.9642892740666866,58,OOB
76,76,-2.6643425077199936,77,OOB
77,77,-2.9102275503100827,84,OOB
78,78,-2.408284573815763,91,OOB
79,79,-2.2982848212122917,100,OOB
80,80,-2.6809992976486683,80,OOB
81,81,-1.9686297733569518,106,OOB
82,82,-1.6062707942910492,119,OOB
83,83,-1.4699583151377738,126,OOB
84,84,-2.6765170991420746,136,OOB
85,85,-2.5396504551172256,75,OOB
86,86,-1.9867876425851136,100,OOB
87,87,-1.5280136907240376,113,OOB
88,88,-1.3950447693932801,121,OOB
89,89,-2.4638416841626167,132,OOB
90,90,-2.285072460770607,68,OOB
91,91,-2.199408288113773,92,OOB
92,92,-1.622035667882301,106,OOB
93,93,-1.5617321468889713,116,OOB
94,94,-2.157049499452114,126,OOB
95,95,-2.0995459109544754,62,OOB
96,96,-2.4668571054935455,83,OOB
97,97,-2.03840359300375,99,OOB
98,98,-1.5578814260661602,111,OOB
99,99,-1.596111100167036,123,OOB
100,100,-2.147265002131462,63,OOB
101,101,-2.4705692678689957,83,OOB
102,102,-1.9712342657148838,97,OOB
103,103,-1.4543864913284779,109,OOB
104,104,-1.4752732329070568,122,OOB
105,105,-2.0907860435545444,61,OOB
106,106,-2.5117867439985275,84,OOB
107,107,-1.9809474907815456,97,OOB
108,108,-1.5122652910649776,110,OOB
109,109,-1.7915599457919598,123,OOB
110,110,-2.073770400136709,60,OOB
111,111,-2.7023515165783465,79,OOB
112,112,-2.14011197630316,95,OOB
113,113,-1.5804206309840083,106,OOB
114,114,-1.5456303767859936,122,OOB
115,115,-2.024646945297718,56,OOB
116,116,-2.6198982782661915,75,OOB
117,117,-2.558113755832892,87,OOB
118,118,-1.8126880519557744,101,OOB
119,119,-1.1798587995581329,120,OOB
120,120,-3.042575366795063,82,OOB
121,121,-1.9261442772403825,104,OOB
122,122,-1.3545728800818324,121,OOB
123,123,-2.2001972012221813,130,OOB
124,124,-3.495800420641899,138,OOB
125,125,-2.720850370824337,76,OOB
126,126,-1.8362904228270054,99,OOB
127,127,-1.417313095240388,115,OOB
128,128,-1.8523371741175652,125,OOB
129,129,-3.264802549034357,134,OOB
130,130,-2.4485955871641636,69,OOB
131,131,-2.0864572725258768,92,OOB
132,132,-1.7969240761594847,109,OOB
133,133,-1.3181398860178888,120,OOB
134,134,-2.6684754379093647,129,OOB
135,135,-2.246863756328821,63,OOB
136,136,-2.3963067159056664,84,OOB
137,137,-1.8835775777697563,102,OOB
138,138,-1.2456602230668068,115,OOB
139,139,-2.1595196314156055,126,OOB
140,140,-2.148168284446001,60,OOB
141,141,-2.550916187465191,82,OOB
142,142,-1.9597379118204117,100,OOB
143,143,-1.1751915253698826,114,OOB
144,144,-2.183787778019905,125,OOB
145,145,-2.264831844717264,63,OOB
146,146,-2.3949493691325188,82,OOB
147,147,-1.854189921170473,101,OOB
148,148,-1.1769304238259792,114,OOB
149,149,-2.4422330297529697,126,OOB
150,150,-2.3140616677701473,64,OOB
151,151,-2.8820027634501457,82,OOB
152,152,-2.022343744582031,98,OOB
153,153,-1.4162081158719957,112,OOB
154,154,-2.1501654535531998,126,OOB
155,155,-2.22163063287735,59,OOB
156,156,-2.8357580713927746,77,OOB
157,157,-2.322136904753279,91,OOB
158,158,-1.7625097837299109,109,OOB
159,159,-2.0136491768062115,125,OOB
160,160,-2.655454209074378,89,OOB
161,161,-1.6050579270231538,111,OOB
162,162,-0.9527389942668378,124,OOB
163,163,-0.8915870953351259,134,OOB
164,164,-1.8719074837863445,153,OOB
165,165,-2.7715678829699755,85,OOB
166,166,-1.5817638610024005,104,OOB
167,167,-0.901597123243846,119,OOB
168,168,-0.6558976050000638,128,OOB
169,169,-1.780541781336069,148,OOB
170,170,-2.7416819110512733,75,OOB
171,171,-2.1517093661241233,97,OOB
172,172,-1.470213824766688,110,OOB
173,173,-0.7703438984462991,122,OOB
174,174,-1.043890655040741,141,OOB
175,175,-2.375362977385521,65,OOB
176,176,-1.8995719887316227,89,OOB
177,177,-1.58075849711895,103,OOB
178,178,-0.7825118713080883,115,OOB
179,179,-0.5420962795615196,135,OOB
180,180,-2.446628514677286,67,OOB
181,181,-1.9403916336596012,88,OOB
182,182,-1.5484847277402878,100,OOB
183,183,-0.7934238351881504,111,OOB
184,184,-0.5411793515086174,133,OOB
185,185,-2.5192113369703293,69,OOB
186,186,-1.9285107478499413,90,OOB
187,187,-1.6898126415908337,104,OOB
188,188,-0.8152933456003666,114,OOB
189,189,-0.5335319712758064,135,OOB
190,190,-2.336914259940386,64,OOB
191,191,-2.1708112286869437,86,OOB
192,192,-2.1796611267491244,98,OOB
193,193,-1.382935405767057,110,OOB
194,194,-0.734882865101099,132,OOB
195,195,-2.4518048837780952,65,OOB
196,196,-2.7427241685800254,84,OOB
197,197,-1.9436846023018006,91,OOB
198,198,-1.5863482016138732,104,OOB
199,199,-0.6085570412687957,126,OOB
200,200,-2.876249562948942,86,OOB
201,201,-1.7583157640037825,106,OOB
202,202,-0.7974077926483005,124,OOB
203,203,-0.7750654360279441,135,OOB
204,204,-2.4968299120664597,155,OOB
205,205,-2.4784100838005543,79,OOB
206,206,-1.8972279068548232,101,OOB
207,207,-1.076014060410671,117,OOB
208,208,-0.9863843880593777,134,OOB
209,209,-2.2419850155711174,150,OOB
210,210,-2.6181685887277126,71,OOB
211,211,-2.396054809913039,94,OOB
212,212,-1.2415731669170782,110,OOB
213,213,-0.7608817977597937,126,OOB
214,214,-1.4267411939799786,143,OOB
215,215,-2.3628317192196846,64,OOB
216,216,-2.283119920641184,85,OOB
217,217,-1.724425632506609,102,OOB
218,218,-0.6644167192280293,116,OOB
219,219,-0.927493579685688,138,OOB
220,220,-2.2541163861751556,61,OOB
221,221,-2.2917155884206295,81,OOB
222,222,-1.6584895998239517,98,OOB
223,223,-0.7090694047510624,115,OOB
224,224,-1.143462210893631,137,OOB
225,225,-2.2574856281280518,61,OOB
226,226,-2.200295865535736,83,OOB
227,227,-1.7197491005063057,102,OOB
228,228,-0.6642495207488537,116,OOB
229,229,-1.0259248428046703,138,OOB
230,230,-2.3731340020895004,64,OOB
231,231,-2.3778566289693117,82,OOB
232,232,-1.9338878054404631,97,OOB
233,233,-0.985155844129622,112,OOB
234,234,-1.1570733953267336,135,OOB
235,235,-2.1936665512621403,57,OOB
236,236,-2.602857494726777,79,OOB
237,237,-2.5370757298369426,93,OOB
238,238,-1.6998073505237699,109,OOB
239,239,-0.6084409160539508,133,OOB
