,idx,reward_sum,n_steps,reason
0,0,-28.421270594000816,73,OOB
1,1,-7.812998906709254,106,OOB
2,2,-7.287321872543544,133,OOB
3,3,-7.953217808157206,140,OOB
4,4,-9.474872552324086,147,OOB
5,5,-9.043773993849754,84,OOB
6,6,-8.820745792705566,126,OOB
7,7,-7.338202780112624,127,OOB
8,8,-5.446999527513981,143,OOB
9,9,-7.050150463357568,151,OOB
10,10,-4.372660653665662,71,OOB
11,11,-6.824791911523789,91,OOB
12,12,-7.050485168816522,117,OOB
13,13,-7.788945343345404,135,OOB
14,14,110.72565200924873,73,HOME
15,15,-3.4604247864335775,55,OOB
16,16,-5.663719622418284,76,OOB
17,17,-5.493368145078421,86,OOB
18,18,-5.090076735243201,94,OOB
19,19,-5.165990497916937,108,OOB
20,20,-3.5123791061341763,56,OOB
21,21,-5.765681782737374,76,OOB
22,22,-5.6961293667554855,84,OOB
23,23,-5.195908162742853,92,OOB
24,24,-5.836887924000621,99,OOB
25,25,-3.5958809349685907,57,OOB
26,26,-5.882323581725359,74,OOB
27,27,-5.915933854877949,84,OOB
28,28,-5.2959465477615595,91,OOB
29,29,-5.906932584941387,99,OOB
30,30,-3.6597522292286158,53,OOB
31,31,-4.190404798369855,72,OOB
32,32,-6.177974640449975,82,OOB
33,33,-5.593636215431616,90,OOB
34,34,-6.341570535674691,100,OOB
35,35,-3.8788125831633806,48,OOB
36,36,-4.103100394830108,67,OOB
37,37,-6.254900930915028,79,OOB
38,38,-5.864195755799301,88,OOB
39,39,-5.90648578107357,98,OOB
40,40,-4.489975361153483,74,OOB
41,41,-5.815591076854616,93,OOB
42,42,-5.901338013354689,99,OOB
43,43,-6.475565157830715,105,OOB
44,44,-7.580856878310442,113,OOB
45,45,-4.290834929794073,69,OOB
46,46,-6.080988840665668,87,OOB
47,47,-5.630776002188213,94,OOB
48,48,-6.194668900221586,98,OOB
49,49,-7.377770632505417,106,OOB
50,50,-4.0786580964922905,61,OOB
51,51,-6.104633744806051,82,OOB
52,52,-5.938301089918241,89,OOB
53,53,-5.919442689046264,93,OOB
54,54,-6.980656024068594,103,OOB
55,55,-4.003248143941164,55,OOB
56,56,-6.410652969032526,75,OOB
57,57,-6.0425218641757965,84,OOB
58,58,-5.60749676823616,90,OOB
59,59,-6.5972538106143475,99,OOB
60,60,-4.065591208636761,56,OOB
61,61,-6.506999861449003,74,OOB
62,62,-6.209496896713972,82,OOB
63,63,-5.929906450212002,90,OOB
64,64,-6.5004599168896675,98,OOB
65,65,-4.070380415767431,56,OOB
66,66,-6.704796293750405,76,OOB
67,67,-6.124843318015337,83,OOB
68,68,-5.944155268371105,90,OOB
69,69,-7.060078989714384,100,OOB
70,70,-4.116150971502066,55,OOB
71,71,-4.529913952574134,72,OOB
72,72,-6.2750915621290915,81,OOB
73,73,-6.083083171164617,88,OOB
74,74,-6.5324889943003654,99,OOB
75,75,-4.24693651497364,50,OOB
