,idx,reward_sum,n_steps,reason
0,0,-28.656483739614487,79,OOB
1,1,-8.27159498562105,155,OOB
2,2,-6.259365035919473,132,OOB
3,3,-7.311130465939641,137,OOB
4,4,-8.011517440783791,141,OOB
5,5,-6.443387635517865,78,OOB
6,6,-6.7202327565755695,94,OOB
7,7,-5.7082851231098175,107,OOB
8,8,-6.899325584759936,106,OOB
9,9,-12.12612069095485,209,OOB
10,10,-5.533085493370891,83,OOB
11,11,-5.943167816847563,117,OOB
12,12,-8.278389380779117,151,OOB
13,13,-8.10289073549211,153,OOB
14,14,-8.675030341371894,178,OOB
15,15,-6.334023207426071,90,OOB
16,16,-6.522102039307356,106,OOB
17,17,-5.287642173469067,114,OOB
18,18,111.88993550650775,66,HOME
19,19,-5.426916228607297,102,OOB
20,20,-5.0579032730311155,71,OOB
21,21,-5.477374890819192,87,OOB
22,22,-4.798734378069639,90,OOB
23,23,-4.701496981084347,95,OOB
24,24,-5.40024584159255,100,OOB
25,25,-3.4610348101705313,69,OOB
26,26,-5.537612747400999,86,OOB
27,27,-5.016429651528597,90,OOB
28,28,-4.85977266728878,95,OOB
29,29,-5.630416644737124,100,OOB
30,30,-3.4555565286427736,65,OOB
31,31,-5.578931808006018,82,OOB
32,32,-5.320005737943575,88,OOB
33,33,-4.810353180626407,92,OOB
34,34,-5.503218898549676,100,OOB
35,35,-3.5847205631434917,60,OOB
36,36,-5.42665198026225,76,OOB
37,37,-5.68375420634402,85,OOB
38,38,-5.203833061037585,92,OOB
39,39,-5.33105031400919,100,OOB
40,40,-4.059114200994372,79,OOB
41,41,-5.249941325513646,96,OOB
42,42,-5.361592581029981,102,OOB
43,43,-5.792868161574006,106,OOB
44,44,-6.75659091770649,111,OOB
45,45,-3.9502269215881824,73,OOB
46,46,-5.486454724799842,91,OOB
47,47,-5.116262508687214,96,OOB
48,48,-5.783502161502838,101,OOB
49,49,-6.711264716461301,107,OOB
50,50,-3.775749459862709,66,OOB
51,51,-5.546228212304413,85,OOB
52,52,-5.5021096403943375,92,OOB
53,53,-5.535000738920644,95,OOB
54,54,-6.385864984244108,102,OOB
55,55,-3.716436732560396,61,OOB
56,56,-6.128287669271231,80,OOB
57,57,-5.689752496778965,88,OOB
58,58,-5.302608538419008,93,OOB
59,59,-6.190919414162636,100,OOB
60,60,-3.8206953834742308,62,OOB
61,61,-6.015290565788746,78,OOB
62,62,-5.565205618739128,86,OOB
63,63,-5.319856192916632,92,OOB
64,64,-6.074543001130223,98,OOB
65,65,-3.8802966959774494,63,OOB
66,66,-6.1580450758337975,79,OOB
67,67,-5.564178353175521,85,OOB
68,68,-5.378700179979205,92,OOB
69,69,-6.284074131399393,99,OOB
70,70,-3.772698685526848,58,OOB
71,71,-6.185518067097291,76,OOB
72,72,-5.658840199001133,84,OOB
73,73,-5.358153608394787,89,OOB
74,74,-5.979858269914985,100,OOB
75,75,-3.9601235203444958,56,OOB
76,76,-4.245535586029291,73,OOB
77,77,-6.333476398955099,82,OOB
78,78,-5.866796358954161,90,OOB
79,79,-5.958872199058533,99,OOB
80,80,-4.993803912308067,80,OOB
81,81,-3.7588256456074305,103,OOB
82,82,-5.157370047178119,118,OOB
83,83,-5.406761968508363,127,OOB
84,84,-6.969985242933035,137,OOB
85,85,-5.038887711241841,74,OOB
86,86,-3.7560393270105124,98,OOB
87,87,-5.2442495699215215,114,OOB
88,88,-5.215722162276506,122,OOB
89,89,-6.7249597907066345,132,OOB
90,90,-4.933210752904415,65,OOB
91,91,-3.9539516610093415,89,OOB
92,92,-3.192186330619734,105,OOB
93,93,-5.194166830508038,116,OOB
94,94,-5.827312517911196,127,OOB
95,95,-4.9254388473927975,57,OOB
96,96,-4.513685069978237,83,OOB
97,97,-3.433096755295992,98,OOB
98,98,-5.212585840374231,112,OOB
99,99,-6.17661190778017,124,OOB
100,100,-4.982263769954443,60,OOB
101,101,-4.551873479038477,79,OOB
102,102,-3.6147030405700207,98,OOB
103,103,-5.269524183124304,112,OOB
104,104,-6.083608850836754,124,OOB
105,105,-5.021605767309666,62,OOB
