,idx,reward_sum,n_steps,reason
0,0,-26.00407898426056,47,OOB
1,1,-7.5499222651124,34,OOB
2,2,-7.237425189465284,34,OOB
3,3,-7.42677715793252,37,OOB
4,4,-7.501470044255257,39,OOB
5,5,-7.509660031180829,58,OOB
6,6,-7.2271904337685555,59,OOB
7,7,-7.726559568662196,63,OOB
8,8,-8.272256353870034,67,OOB
9,9,-8.068005514331162,68,OOB
10,10,-7.335623731720261,61,OOB
11,11,-7.092478207545355,61,OOB
12,12,-7.227447971701622,66,OOB
13,13,-7.413903002627194,73,OOB
14,14,-7.405379542615265,68,OOB
15,15,-7.990459103137255,59,OOB
16,16,-9.102105561643839,76,OOB
17,17,-8.482893586158752,77,OOB
18,18,-7.9055439149960876,80,OOB
19,19,-8.731255883350968,97,OOB
20,20,-6.6861344538629055,46,OOB
21,21,-6.917002296075225,67,OOB
22,22,-6.903711847960949,67,OOB
23,23,-6.302917506545782,59,OOB
24,24,-6.142271331511438,54,OOB
25,25,-6.034667415544391,37,OOB
26,26,-6.327653594315052,47,OOB
27,27,-6.329407414421439,51,OOB
28,28,-6.305761970579624,51,OOB
29,29,-6.152517519891262,50,OOB
30,30,-5.438738185912371,33,OOB
31,31,-6.191645875107497,47,OOB
32,32,-5.758728411979973,48,OOB
33,33,-6.232260470278561,49,OOB
34,34,-5.861428062431514,52,OOB
35,35,-5.587457276880741,34,OOB
36,36,-5.846784762106836,38,OOB
37,37,-6.35860363021493,48,OOB
38,38,-6.255307832732797,51,OOB
39,39,-6.4623611136339605,51,OOB
40,40,-5.244598671793938,31,OOB
41,41,-5.504850756376982,34,OOB
42,42,-6.055232201702893,43,OOB
43,43,-6.381084134802222,49,OOB
44,44,-6.929691121447831,52,OOB
45,45,106.14078252448235,116,HOME
46,46,-4.361935657449067,45,OOB
47,47,-4.555654625408351,48,OOB
48,48,-4.65047703217715,50,OOB
49,49,-4.740133700892329,51,OOB
50,50,-3.951526014134288,35,OOB
51,51,-3.9091657395474613,37,OOB
52,52,-3.864226629026234,39,OOB
53,53,-4.121202384252683,42,OOB
54,54,-4.338981677778065,43,OOB
55,55,-4.065347431227565,33,OOB
56,56,-4.0622781831771135,35,OOB
57,57,-3.953221253119409,36,OOB
58,58,-3.9570250529795885,38,OOB
59,59,-4.127941971644759,40,OOB
60,60,-4.251632835716009,30,OOB
61,61,-4.138751853257418,31,OOB
62,62,-4.046381880529225,33,OOB
63,63,-4.023165051825345,35,OOB
64,64,-3.9787933975458145,36,OOB
65,65,-4.4794815964996815,29,OOB
66,66,-4.267980143427849,31,OOB
67,67,-4.179272389039397,33,OOB
68,68,-4.075758375227451,34,OOB
69,69,-4.031147608533502,36,OOB
70,70,-4.4819552935659885,29,OOB
71,71,-4.256985891610384,31,OOB
72,72,-4.173534706234932,33,OOB
73,73,-4.116092466749251,35,OOB
74,74,-4.074505725875497,37,OOB
75,75,-4.644704129546881,30,OOB
76,76,-4.6562822833657265,31,OOB
77,77,-4.42999792098999,33,OOB
78,78,-4.291857369011268,35,OOB
79,79,-4.168756949715316,36,OOB
