,idx,reward_sum,n_steps,reason
0,0,-28.99772571772337,79,OOB
1,1,-7.6106091641122475,143,OOB
2,2,-6.046995337819681,129,OOB
3,3,-7.117623612750322,129,OOB
4,4,-6.48114600777626,117,OOB
5,5,-6.755877453833818,114,OOB
6,6,-6.78662527538836,117,OOB
7,7,-8.228814138099551,133,OOB
8,8,-6.964829674332577,112,OOB
9,9,-8.39261531367083,133,OOB
10,10,-8.140101799741387,115,OOB
11,11,-6.98365405574441,106,OOB
12,12,-14.05336689343676,232,OOB
13,13,-6.717959397297818,142,OOB
14,14,-6.3342322033131495,135,OOB
15,15,-10.688629396259785,187,OOB
16,16,-4.196425387635827,83,OOB
17,17,-9.709135472774506,194,OOB
18,18,-6.993748337030411,168,OOB
19,19,-5.218691481277347,139,OOB
20,20,-4.182059399783611,102,OOB
21,21,-3.972289491444826,100,OOB
22,22,-3.2731281761080027,97,OOB
23,23,-8.260589435696602,183,OOB
24,24,111.72855242528021,65,HOME
25,25,-3.1651429794728756,77,OOB
26,26,-3.0251542888581753,79,OOB
27,27,-4.186170166358352,81,OOB
28,28,-3.964726584032178,82,OOB
29,29,-4.048689819872379,85,OOB
30,30,-3.236344538629055,73,OOB
31,31,-3.1567900483496487,75,OOB
32,32,-2.7738746480463305,77,OOB
33,33,-2.7612545986194164,79,OOB
34,34,-4.0496687206905335,82,OOB
35,35,-3.2569103706628084,70,OOB
36,36,-3.402528429403901,73,OOB
37,37,-3.253514311974868,74,OOB
38,38,-2.9929043475422077,75,OOB
39,39,-2.7995886453427374,78,OOB
40,40,-2.2168731270357966,65,OOB
41,41,-2.006213253363967,66,OOB
42,42,-2.040171639993787,67,OOB
43,43,-2.0414673583582044,67,OOB
44,44,-2.228843838442117,71,OOB
45,45,-2.256938919890672,63,OOB
46,46,-2.019090667599812,64,OOB
47,47,-1.6972800927469507,65,OOB
48,48,-1.9680144579615444,67,OOB
49,49,-1.9070774056017399,69,OOB
50,50,-2.5640094995032996,59,OOB
51,51,-2.2783496757037938,62,OOB
52,52,-2.0885004400042817,64,OOB
53,53,-1.8513106061145663,66,OOB
54,54,-1.820443770615384,67,OOB
55,55,-2.714432219043374,57,OOB
56,56,-2.67081150226295,59,OOB
57,57,-2.3370209746062756,62,OOB
58,58,-2.1323309000581503,64,OOB
