,update,total_updates,T,FPS,window,mean,median,min,max
0,0,217,18432,727,50,-60.22331724,-65.3314755,-111.726861,76.591528
1,1,217,36864,739,50,-56.803724200000005,-65.577213,-97.359859,85.198577
2,2,217,55296,756,50,-44.274174120000005,-66.026565,-96.702464,87.941604
3,3,217,73728,762,50,-51.59944146,-73.36066600000001,-92.587922,84.758607
4,4,217,92160,764,50,-34.17628418,-69.3041595,-96.688838,94.483842
5,5,217,110592,770,50,-32.6147208,-65.6426105,-101.641551,90.782499
6,6,217,129024,774,50,-0.8681710000000002,-50.825952,-97.656534,92.6991
7,7,217,147456,775,50,-25.22387044,-64.28129849999999,-95.942392,97.602048
8,8,217,165888,778,50,-12.93767062,-54.7267945,-95.246459,99.74583
9,9,217,184320,779,50,-26.45048808,-63.523742999999996,-92.456156,95.809366
10,10,217,202752,775,50,-6.68131656,-64.4949815,-87.219015,96.832605
11,11,217,221184,774,50,7.9140028000000004,11.348599,-96.857609,100.302125
12,12,217,239616,772,50,27.33401424,80.656609,-86.203743,98.626375
13,13,217,258048,771,50,2.5225429200000002,-60.2046485,-93.157522,104.116278
14,14,217,276480,770,50,21.98452872,79.45602099999999,-94.085307,100.83436
15,15,217,294912,767,50,20.538385719999997,78.73303949999999,-90.865483,101.708206
16,16,217,313344,764,50,44.51729188000001,85.750958,-90.346154,101.785434
17,17,217,331776,759,50,25.985052819999993,84.14396550000001,-88.109798,101.328882
18,18,217,350208,757,50,27.861483580000005,81.59204650000001,-92.421037,104.892801
19,19,217,368640,754,50,39.923812940000005,88.629973,-100.086651,102.652597
20,20,217,387072,751,50,48.41764064,87.56344899999999,-91.406484,104.576407
21,21,217,405504,747,50,32.15378936,85.490816,-88.686963,104.518008
22,22,217,423936,744,50,47.59397792,93.434496,-99.978935,106.090379
23,23,217,442368,740,50,48.06091808,93.3720455,-89.838683,107.45324
24,24,217,460800,734,50,43.74598660000001,90.92505600000001,-89.452322,104.335803
25,25,217,479232,732,50,34.56530208,90.020528,-92.559239,105.820208
26,26,217,497664,729,50,44.119857200000006,92.048901,-91.854578,104.647943
27,27,217,516096,726,50,36.79689438,90.5490185,-102.702992,104.823838
28,28,217,534528,724,50,48.80504668,95.9875365,-97.940899,107.539843
29,29,217,552960,720,50,72.09868338000001,95.919077,-85.359869,105.452042
30,30,217,571392,716,50,63.33608662,93.283454,-94.445684,107.721121
31,31,217,589824,712,50,68.03381701999999,95.84794199999999,-91.049176,107.00971
32,32,217,608256,709,50,57.429657219999996,94.21549300000001,-99.819475,106.934155
33,33,217,626688,706,50,50.992990119999995,93.9984485,-103.422699,106.481772
34,34,217,645120,698,50,74.97604677999999,96.262938,-92.360988,109.256379
35,35,217,663552,691,50,85.04924623999999,98.103855,-98.258055,107.939734
36,36,217,681984,687,50,68.05672654,97.07947999999999,-97.649744,108.147019
37,37,217,700416,683,50,54.39407432,93.356945,-92.503903,108.742823
38,38,217,718848,678,50,67.13204673999999,96.544741,-87.886519,108.58085
39,39,217,737280,667,50,76.37976687999999,97.15772,-89.788701,109.157118
40,40,217,755712,660,50,75.6500854,96.7544825,-92.797881,108.076413
41,41,217,774144,656,50,64.6509588,94.1026975,-96.228056,106.978961
42,42,217,792576,653,50,68.3626436,95.104759,-102.660265,111.209134
43,43,217,811008,651,50,84.53606608,95.311876,-87.957298,108.051639
44,44,217,829440,646,50,82.09834764000001,96.103746,-100.538114,107.97184
45,45,217,847872,642,50,87.6348261,95.38401999999999,-78.567727,107.043687
46,46,217,866304,636,50,71.45532811999999,93.8059135,-91.290093,108.708093
47,47,217,884736,633,50,70.105994,96.94665,-86.005189,107.905917
48,48,217,903168,631,50,65.13282148,97.3585235,-85.472867,109.095831
49,49,217,921600,629,50,87.31514773999999,97.5848095,-80.355177,107.601614
50,50,217,940032,628,50,78.05280848000001,95.476294,-75.455975,107.825774
51,51,217,958464,625,50,79.3969793,97.350679,-97.781152,106.418882
52,52,217,976896,624,50,77.98455754,97.8370925,-81.965611,111.244323
53,53,217,995328,623,50,78.77869322000001,96.2721115,-83.557448,110.009546
54,54,217,1013760,622,50,60.72632438000001,96.332852,-86.915685,110.068812
55,55,217,1032192,621,50,73.37781978,97.55489,-90.384942,108.577124
56,56,217,1050624,620,50,81.73039383999999,98.624491,-74.541781,107.46841
57,57,217,1069056,619,50,78.14246684,97.39756249999999,-80.572544,108.219697
58,58,217,1087488,616,50,75.19188838,98.051284,-80.73892,108.874756
59,59,217,1105920,616,50,63.972557640000005,97.696168,-87.376744,108.961275
60,60,217,1124352,615,50,81.76398376,99.9003645,-77.95535,109.387505
61,61,217,1142784,614,50,88.86217798000001,99.46433400000001,-80.362193,110.700973
62,62,217,1161216,614,50,76.1320128,97.038746,-95.310441,108.422081
63,63,217,1179648,614,50,76.40641296000001,97.07700249999999,-86.815969,106.842725
64,64,217,1198080,613,50,80.09425318,97.296122,-88.022019,109.716682
65,65,217,1216512,612,50,80.81257066,97.4572225,-92.089015,105.99305
66,66,217,1234944,611,50,73.67224816,98.24378,-95.581942,104.534747
67,67,217,1253376,610,50,95.51152821999999,99.160109,-99.032352,109.572855
68,68,217,1271808,610,50,90.58172882000001,99.796068,-104.762394,109.830608
69,69,217,1290240,609,50,77.99792352,96.9852765,-84.529033,109.521248
70,70,217,1308672,609,50,83.80330531999999,99.31125399999999,-97.828343,109.89853
71,71,217,1327104,609,50,77.47470444,97.8430245,-113.056739,110.557893
72,72,217,1345536,608,50,86.82483933999998,98.168891,-76.422823,108.762751
73,73,217,1363968,607,50,95.86375310000001,100.06241,-78.18335,109.113607
74,74,217,1382400,606,50,88.38544303999998,99.666938,-84.259056,106.729088
75,75,217,1400832,605,50,90.79754892000001,98.5697115,-103.562424,107.951049
76,76,217,1419264,604,50,96.87382144000001,100.786632,-58.690968,109.130576
77,77,217,1437696,603,50,77.38515046,96.9752065,-100.914544,109.49734
78,78,217,1456128,602,50,87.17421128,97.6336685,-85.284277,106.780356
79,79,217,1474560,601,50,78.86820418,98.5790905,-80.650206,109.54235
80,80,217,1492992,600,50,83.2140904,99.69016099999999,-82.387091,108.444393
81,81,217,1511424,599,50,89.50747820000001,99.1472205,-82.543686,108.334206
82,82,217,1529856,598,50,84.15740822,98.44081249999999,-100.272763,107.267251
83,83,217,1548288,597,50,92.74413098000001,100.55329649999999,-87.921301,111.623689
84,84,217,1566720,597,50,95.92656038,99.84000900000001,-60.126017,110.621556
85,85,217,1585152,596,50,99.96788839999999,100.277004,89.121908,110.066245
86,86,217,1603584,595,50,85.8772088,98.738085,-101.145566,109.598169
87,87,217,1622016,594,50,99.66397962,99.2880845,83.411447,110.92851
88,88,217,1640448,593,50,88.41801878000003,98.901431,-88.325967,107.431643
89,89,217,1658880,592,50,89.20232899999999,100.889296,-92.27199,110.039958
90,90,217,1677312,592,50,94.17358841999997,101.522537,-95.03326,109.635185
91,91,217,1695744,591,50,88.06963089999999,98.261126,-87.730013,111.648183
92,92,217,1714176,591,50,88.64019216000001,98.7727905,-84.346912,109.47513
93,93,217,1732608,590,50,89.33423262000001,100.51719600000001,-94.840357,110.201185
94,94,217,1751040,589,50,97.11295804,102.29591099999999,-74.920918,112.117521
95,95,217,1769472,588,50,89.60248703999997,100.1625905,-87.438689,108.177371
96,96,217,1787904,588,50,91.59474732000001,100.00760550000001,-85.71233,111.226804
97,97,217,1806336,587,50,97.3469507,100.536722,-73.562592,110.82058
98,98,217,1824768,587,50,95.72179186,99.8304795,-79.001009,108.318453
99,99,217,1843200,586,50,73.84225682,97.94553350000001,-90.872092,108.244825
100,100,217,1861632,586,50,88.86780019999998,99.120113,-89.501875,108.041148
101,101,217,1880064,585,50,88.34622586000002,99.1234815,-83.657196,110.723594
102,102,217,1898496,584,50,85.64967818000001,99.48711,-96.988319,110.297686
103,103,217,1916928,584,50,88.66669836000001,98.7764315,-79.184273,109.481069
104,104,217,1935360,583,50,88.60977014,99.3775295,-94.19485,111.121923
105,105,217,1953792,583,50,95.05937747999998,98.02058199999999,-79.209297,110.494339
106,106,217,1972224,582,50,93.03450673999998,100.4419535,-81.821452,108.294319
107,107,217,1990656,581,50,91.35001351999999,99.70898650000001,-105.684613,107.336271
108,108,217,2009088,580,50,96.2400972,100.640934,-82.89055,108.965865
109,109,217,2027520,579,50,89.98485774000001,101.04470599999999,-88.313592,111.293772
110,110,217,2045952,578,50,91.91780649999998,99.4836865,-81.401763,112.434803
111,111,217,2064384,578,50,95.97722694,99.40647150000001,-82.07807,112.370637
112,112,217,2082816,577,50,86.62679838,100.312408,-82.489889,112.92772
113,113,217,2101248,577,50,78.03486192,99.075895,-87.375988,109.453777
114,114,217,2119680,576,50,90.38389839999999,100.5820875,-79.946835,110.139524
115,115,217,2138112,576,50,91.4718102,99.703955,-76.832324,109.336313
116,116,217,2156544,575,50,81.18050803999999,99.162926,-87.344992,108.75295
117,117,217,2174976,575,50,85.38270156,99.7368975,-85.05492,107.478157
118,118,217,2193408,574,50,75.86662374,99.5188605,-102.156451,111.464451
119,119,217,2211840,573,50,96.42120854000001,99.42144099999999,-84.346814,109.307307
120,120,217,2230272,573,50,96.55109860000002,101.35728900000001,-80.009113,108.835063
121,121,217,2248704,572,50,92.61159478000002,101.436747,-81.62172,110.869168
122,122,217,2267136,572,50,83.32121224000001,98.50827100000001,-84.493663,109.94393
123,123,217,2285568,571,50,92.26317923999999,99.8381305,-84.18413,108.345852
124,124,217,2304000,570,50,91.8303412,98.9306855,-102.129249,108.967528
125,125,217,2322432,569,50,88.84676846,99.2689195,-81.767927,108.733349
126,126,217,2340864,567,50,95.44361478,99.982981,-79.072302,106.900881
127,127,217,2359296,566,50,93.60483951999998,101.7911685,-76.886664,109.2672
128,128,217,2377728,565,50,98.0249693,102.141798,-80.745529,110.550702
129,129,217,2396160,564,50,87.98002805999998,99.16859099999999,-83.32393,109.604893
