CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=21972, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250720/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 4000000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed21972cc', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=21972, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250720/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 4000000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed21972cc', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x17a5ff250>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 21972, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x17a5da970>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 21972, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptMemory20250720//plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed21972cc.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n1000000
Saved ./trained_models/ExptMemory20250720/plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed21972cc.pt
Update 0/488, T 2048, FPS 186, 8-training-episode: mean/median -64.7/-65.4, min/max -78.5/-46.1
Update 1/488, T 4096, FPS 188, 18-training-episode: mean/median -42.1/-66.3, min/max -91.1/91.4
Update 2/488, T 6144, FPS 184, 28-training-episode: mean/median -37.8/-67.0, min/max -91.1/91.4
Update 3/488, T 8192, FPS 182, 37-training-episode: mean/median -37.5/-67.4, min/max -91.1/91.4
Update 4/488, T 10240, FPS 185, 46-training-episode: mean/median -41.2/-68.4, min/max -92.7/91.4
Update 5/488, T 12288, FPS 188, 50-training-episode: mean/median -27.1/-67.7, min/max -93.1/91.4
Update 6/488, T 14336, FPS 188, 50-training-episode: mean/median -25.4/-65.5, min/max -93.1/89.2
Update 7/488, T 16384, FPS 188, 50-training-episode: mean/median -22.6/-56.3, min/max -93.1/93.9
Update 8/488, T 18432, FPS 189, 50-training-episode: mean/median -18.8/-46.1, min/max -93.1/94.1
Update 9/488, T 20480, FPS 189, 50-training-episode: mean/median -21.1/-47.8, min/max -95.7/98.5
Update 10/488, T 22528, FPS 187, 50-training-episode: mean/median -26.4/-55.1, min/max -95.7/98.5
Update 11/488, T 24576, FPS 185, 50-training-episode: mean/median -25.6/-59.5, min/max -95.7/98.5
Update 12/488, T 26624, FPS 185, 50-training-episode: mean/median -15.7/-59.9, min/max -95.7/98.5
Update 13/488, T 28672, FPS 185, 50-training-episode: mean/median -19.5/-60.2, min/max -90.9/98.5
Update 14/488, T 30720, FPS 185, 50-training-episode: mean/median -15.3/-50.8, min/max -90.9/100.9
Update 15/488, T 32768, FPS 184, 50-training-episode: mean/median -22.4/-51.9, min/max -87.2/100.9
Update 16/488, T 34816, FPS 182, 50-training-episode: mean/median -9.1/-48.4, min/max -74.1/100.9
Update 17/488, T 36864, FPS 182, 50-training-episode: mean/median -10.6/-48.6, min/max -79.4/98.3
Update 18/488, T 38912, FPS 182, 50-training-episode: mean/median -3.7/-56.3, min/max -79.4/98.3
Update 19/488, T 40960, FPS 182, 50-training-episode: mean/median -15.7/-53.8, min/max -79.4/98.3
Update 20/488, T 43008, FPS 182, 50-training-episode: mean/median -29.1/-56.8, min/max -72.7/95.9
Update 21/488, T 45056, FPS 182, 50-training-episode: mean/median -11.6/-53.0, min/max -65.7/97.9
Update 22/488, T 47104, FPS 182, 50-training-episode: mean/median -12.3/-54.1, min/max -66.4/99.0
Update 23/488, T 49152, FPS 182, 50-training-episode: mean/median -6.4/-53.6, min/max -67.2/99.0
Update 24/488, T 51200, FPS 182, 50-training-episode: mean/median -18.8/-55.8, min/max -70.8/99.0
Update 25/488, T 53248, FPS 182, 50-training-episode: mean/median -7.9/-55.4, min/max -72.1/98.4
Update 26/488, T 55296, FPS 182, 50-training-episode: mean/median -2.4/-55.9, min/max -73.2/100.9
Update 27/488, T 57344, FPS 182, 50-training-episode: mean/median 10.4/-51.6, min/max -73.2/101.3
Update 28/488, T 59392, FPS 182, 50-training-episode: mean/median 11.4/-49.6, min/max -73.2/101.9
Update 29/488, T 61440, FPS 182, 50-training-episode: mean/median 3.0/-51.7, min/max -68.8/101.9
Update 30/488, T 63488, FPS 182, 50-training-episode: mean/median -12.2/-54.4, min/max -68.8/101.9
Update 31/488, T 65536, FPS 182, 50-training-episode: mean/median -20.0/-54.9, min/max -63.3/99.4
Update 32/488, T 67584, FPS 182, 50-training-episode: mean/median -22.6/-54.8, min/max -64.1/99.4
Update 33/488, T 69632, FPS 182, 50-training-episode: mean/median -27.9/-54.3, min/max -64.1/99.4
Update 34/488, T 71680, FPS 182, 50-training-episode: mean/median -22.1/-53.4, min/max -64.1/99.6
Update 35/488, T 73728, FPS 182, 50-training-episode: mean/median -22.5/-53.3, min/max -66.4/99.6
Update 36/488, T 75776, FPS 181, 50-training-episode: mean/median -2.7/-48.4, min/max -66.4/99.6
Update 37/488, T 77824, FPS 181, 50-training-episode: mean/median 17.7/-43.3, min/max -59.2/100.7
Update 38/488, T 79872, FPS 180, 50-training-episode: mean/median 18.7/-37.5, min/max -57.4/100.7
Update 39/488, T 81920, FPS 180, 50-training-episode: mean/median 7.1/-43.3, min/max -53.2/100.2
Update 40/488, T 83968, FPS 180, 50-training-episode: mean/median 4.0/-43.3, min/max -58.8/100.0
Update 41/488, T 86016, FPS 180, 50-training-episode: mean/median 6.9/-44.0, min/max -58.8/103.5
Update 42/488, T 88064, FPS 180, 50-training-episode: mean/median 12.6/-44.2, min/max -58.7/105.4
Update 43/488, T 90112, FPS 180, 50-training-episode: mean/median 7.4/-44.2, min/max -62.7/105.4
Update 44/488, T 92160, FPS 180, 50-training-episode: mean/median 8.0/-44.1, min/max -62.7/103.8
Update 45/488, T 94208, FPS 180, 50-training-episode: mean/median 16.8/-42.7, min/max -54.3/103.8
Update 46/488, T 96256, FPS 180, 50-training-episode: mean/median 15.7/-43.5, min/max -54.3/101.7
Update 47/488, T 98304, FPS 180, 50-training-episode: mean/median -2.9/-43.8, min/max -54.1/103.9
Update 48/488, T 100352, FPS 180, 50-training-episode: mean/median 9.3/-42.6, min/max -54.1/106.5
Update 49/488, T 102400, FPS 180, 50-training-episode: mean/median 26.2/27.2, min/max -52.2/106.5
Update 50/488, T 104448, FPS 179, 50-training-episode: mean/median 16.8/-42.2, min/max -55.3/102.6
Update 51/488, T 106496, FPS 179, 50-training-episode: mean/median -5.0/-43.9, min/max -55.3/106.7
Update 52/488, T 108544, FPS 179, 50-training-episode: mean/median 10.7/-41.3, min/max -48.6/106.7
Update 53/488, T 110592, FPS 179, 50-training-episode: mean/median 15.5/-40.6, min/max -51.9/102.6
Update 54/488, T 112640, FPS 178, 50-training-episode: mean/median 43.6/96.4, min/max -51.5/103.6
Update 55/488, T 114688, FPS 178, 50-training-episode: mean/median 31.2/92.0, min/max -54.8/104.0
Update 56/488, T 116736, FPS 178, 50-training-episode: mean/median 19.6/-42.2, min/max -54.8/107.0
Update 57/488, T 118784, FPS 178, 50-training-episode: mean/median 7.8/-43.6, min/max -61.4/107.0
Update 58/488, T 120832, FPS 178, 50-training-episode: mean/median 34.5/93.5, min/max -61.4/103.7
Update 59/488, T 122880, FPS 177, 50-training-episode: mean/median 25.2/24.9, min/max -54.6/104.4
Update 60/488, T 124928, FPS 177, 50-training-episode: mean/median 22.2/-42.2, min/max -53.1/109.1
Update 61/488, T 126976, FPS 177, 50-training-episode: mean/median 25.0/23.4, min/max -53.5/109.1
Update 62/488, T 129024, FPS 177, 50-training-episode: mean/median 23.4/21.6, min/max -57.6/104.9
