CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=2351, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250720/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 4000000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed2351c1', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=2351, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250720/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 4000000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed2351c1', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x3235e0280>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 2351, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x3235ba9a0>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 2351, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptMemory20250720//plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed2351c1.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n1000000
Saved ./trained_models/ExptMemory20250720/plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed2351c1.pt
Update 0/488, T 2048, FPS 187, 12-training-episode: mean/median -38.0/-57.3, min/max -95.2/90.9
Update 1/488, T 4096, FPS 189, 22-training-episode: mean/median -31.1/-57.3, min/max -95.2/90.9
Update 2/488, T 6144, FPS 188, 32-training-episode: mean/median -32.6/-58.9, min/max -95.2/91.6
Update 3/488, T 8192, FPS 185, 43-training-episode: mean/median -27.3/-56.5, min/max -95.2/95.3
Update 4/488, T 10240, FPS 186, 50-training-episode: mean/median -24.4/-54.8, min/max -95.2/95.3
Update 5/488, T 12288, FPS 188, 50-training-episode: mean/median -28.0/-58.6, min/max -91.1/95.3
Update 6/488, T 14336, FPS 189, 50-training-episode: mean/median -34.3/-59.5, min/max -91.1/95.3
Update 7/488, T 16384, FPS 190, 50-training-episode: mean/median -26.0/-58.1, min/max -91.1/95.3
Update 8/488, T 18432, FPS 190, 50-training-episode: mean/median -22.9/-59.3, min/max -91.1/96.3
Update 9/488, T 20480, FPS 190, 50-training-episode: mean/median -15.7/-60.1, min/max -91.1/96.3
Update 10/488, T 22528, FPS 188, 50-training-episode: mean/median -9.9/-56.9, min/max -96.3/101.1
Update 11/488, T 24576, FPS 187, 50-training-episode: mean/median -5.8/-55.3, min/max -96.3/101.1
Update 12/488, T 26624, FPS 187, 50-training-episode: mean/median -0.3/-54.4, min/max -96.3/101.1
Update 13/488, T 28672, FPS 186, 50-training-episode: mean/median 2.3/-54.4, min/max -96.3/101.1
Update 14/488, T 30720, FPS 186, 50-training-episode: mean/median -3.6/-59.2, min/max -96.3/101.1
Update 15/488, T 32768, FPS 185, 50-training-episode: mean/median 3.5/-55.1, min/max -88.1/100.9
Update 16/488, T 34816, FPS 184, 50-training-episode: mean/median -2.2/-66.9, min/max -90.1/100.9
Update 17/488, T 36864, FPS 183, 50-training-episode: mean/median -4.1/-66.9, min/max -90.1/102.4
Update 18/488, T 38912, FPS 183, 50-training-episode: mean/median 4.2/-62.8, min/max -90.1/102.4
Update 19/488, T 40960, FPS 183, 50-training-episode: mean/median 2.7/-62.8, min/max -78.0/102.4
Update 20/488, T 43008, FPS 183, 50-training-episode: mean/median 18.3/77.4, min/max -78.0/102.4
Update 21/488, T 45056, FPS 183, 50-training-episode: mean/median 8.3/-60.4, min/max -80.5/101.7
Update 22/488, T 47104, FPS 182, 50-training-episode: mean/median 17.1/75.6, min/max -80.5/103.3
Update 23/488, T 49152, FPS 182, 50-training-episode: mean/median 4.8/-61.2, min/max -80.5/103.3
Update 24/488, T 51200, FPS 182, 50-training-episode: mean/median 8.1/-59.1, min/max -84.7/103.3
Update 25/488, T 53248, FPS 182, 50-training-episode: mean/median -1.4/-62.6, min/max -84.7/100.2
Update 26/488, T 55296, FPS 182, 50-training-episode: mean/median 10.2/2.2, min/max -85.0/101.5
Update 27/488, T 57344, FPS 183, 50-training-episode: mean/median 9.0/1.4, min/max -89.8/101.5
Update 28/488, T 59392, FPS 183, 50-training-episode: mean/median 1.6/-62.8, min/max -89.8/104.3
Update 29/488, T 61440, FPS 183, 50-training-episode: mean/median 6.1/-0.0, min/max -90.0/104.3
Update 30/488, T 63488, FPS 183, 50-training-episode: mean/median 3.6/-64.3, min/max -90.0/104.3
Update 31/488, T 65536, FPS 183, 50-training-episode: mean/median 27.4/85.4, min/max -90.0/102.2
Update 32/488, T 67584, FPS 183, 50-training-episode: mean/median 26.6/84.3, min/max -93.3/102.2
Update 33/488, T 69632, FPS 182, 50-training-episode: mean/median 26.4/84.2, min/max -93.3/103.6
Update 34/488, T 71680, FPS 182, 50-training-episode: mean/median 22.4/81.7, min/max -93.3/104.3
Update 35/488, T 73728, FPS 183, 50-training-episode: mean/median 23.8/83.3, min/max -89.6/104.3
Update 36/488, T 75776, FPS 182, 50-training-episode: mean/median 11.1/73.4, min/max -89.6/104.3
Update 37/488, T 77824, FPS 182, 50-training-episode: mean/median 9.3/4.1, min/max -89.6/102.8
Update 38/488, T 79872, FPS 182, 50-training-episode: mean/median 7.3/-60.3, min/max -89.6/102.8
Update 39/488, T 81920, FPS 182, 50-training-episode: mean/median 17.5/82.8, min/max -87.1/102.8
Update 40/488, T 83968, FPS 182, 50-training-episode: mean/median 8.3/-60.3, min/max -87.1/102.3
Update 41/488, T 86016, FPS 183, 50-training-episode: mean/median 18.8/79.7, min/max -87.1/104.0
Update 42/488, T 88064, FPS 183, 50-training-episode: mean/median 9.9/-59.0, min/max -77.9/104.0
Update 43/488, T 90112, FPS 183, 50-training-episode: mean/median 22.7/81.7, min/max -77.9/104.0
Update 44/488, T 92160, FPS 183, 50-training-episode: mean/median 28.4/84.9, min/max -77.9/103.6
Update 45/488, T 94208, FPS 183, 50-training-episode: mean/median 41.4/87.2, min/max -77.6/104.8
Update 46/488, T 96256, FPS 183, 50-training-episode: mean/median 47.2/87.1, min/max -82.9/104.8
Update 47/488, T 98304, FPS 183, 50-training-episode: mean/median 32.2/87.1, min/max -82.9/103.8
Update 48/488, T 100352, FPS 183, 50-training-episode: mean/median 29.7/86.6, min/max -82.9/106.2
Update 49/488, T 102400, FPS 183, 50-training-episode: mean/median 27.8/87.9, min/max -81.6/106.2
Update 50/488, T 104448, FPS 182, 50-training-episode: mean/median 24.9/87.9, min/max -75.7/106.2
Update 51/488, T 106496, FPS 182, 50-training-episode: mean/median 31.0/90.9, min/max -80.9/104.6
Update 52/488, T 108544, FPS 182, 50-training-episode: mean/median 26.1/85.9, min/max -84.2/104.6
Update 53/488, T 110592, FPS 182, 50-training-episode: mean/median 34.5/85.9, min/max -89.5/105.4
Update 54/488, T 112640, FPS 182, 50-training-episode: mean/median 31.2/85.8, min/max -90.1/105.4
Update 55/488, T 114688, FPS 182, 50-training-episode: mean/median 21.5/76.2, min/max -90.1/105.4
Update 56/488, T 116736, FPS 182, 50-training-episode: mean/median 18.6/78.5, min/max -90.9/105.3
Update 57/488, T 118784, FPS 182, 50-training-episode: mean/median 28.1/87.4, min/max -90.9/104.2
Update 58/488, T 120832, FPS 182, 50-training-episode: mean/median 35.9/89.6, min/max -76.2/104.2
Update 59/488, T 122880, FPS 181, 50-training-episode: mean/median 35.6/87.2, min/max -80.0/106.1
Update 60/488, T 124928, FPS 181, 50-training-episode: mean/median 42.3/88.1, min/max -82.6/106.1
Update 61/488, T 126976, FPS 181, 50-training-episode: mean/median 55.2/90.4, min/max -82.8/106.1
Update 62/488, T 129024, FPS 181, 50-training-episode: mean/median 44.0/88.9, min/max -82.8/106.7
Update 63/488, T 131072, FPS 181, 50-training-episode: mean/median 34.8/88.4, min/max -78.7/106.7
