CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=30319, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250720/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 4000000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed3031937', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=30319, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250720/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 4000000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed3031937', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x158faf250>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 30319, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x158f89970>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 30319, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptMemory20250720//plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed3031937.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n1000000
Saved ./trained_models/ExptMemory20250720/plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed3031937.pt
Update 0/488, T 2048, FPS 181, 15-training-episode: mean/median -77.1/-72.6, min/max -106.3/-52.8
Update 1/488, T 4096, FPS 187, 27-training-episode: mean/median -87.0/-84.3, min/max -151.5/-52.8
Update 2/488, T 6144, FPS 184, 40-training-episode: mean/median -85.9/-81.7, min/max -151.5/-52.8
Update 3/488, T 8192, FPS 184, 50-training-episode: mean/median -87.4/-82.1, min/max -151.5/-52.8
Update 4/488, T 10240, FPS 186, 50-training-episode: mean/median -88.0/-82.1, min/max -151.5/-35.3
Update 5/488, T 12288, FPS 188, 50-training-episode: mean/median -83.8/-80.0, min/max -137.9/-28.9
Update 6/488, T 14336, FPS 189, 50-training-episode: mean/median -85.8/-78.4, min/max -152.2/-28.9
Update 7/488, T 16384, FPS 190, 50-training-episode: mean/median -86.8/-81.5, min/max -152.2/-28.9
Update 8/488, T 18432, FPS 192, 50-training-episode: mean/median -85.3/-80.9, min/max -152.2/-28.9
Update 9/488, T 20480, FPS 192, 50-training-episode: mean/median -83.8/-79.2, min/max -152.2/-28.9
Update 10/488, T 22528, FPS 190, 50-training-episode: mean/median -85.3/-79.1, min/max -152.2/-57.7
Update 11/488, T 24576, FPS 190, 50-training-episode: mean/median -83.3/-76.9, min/max -152.2/-53.8
Update 12/488, T 26624, FPS 189, 50-training-episode: mean/median -77.0/-72.8, min/max -147.4/-48.6
Update 13/488, T 28672, FPS 189, 50-training-episode: mean/median -71.2/-68.7, min/max -124.6/-37.2
Update 14/488, T 30720, FPS 189, 50-training-episode: mean/median -70.5/-68.6, min/max -124.6/-37.2
Update 15/488, T 32768, FPS 190, 50-training-episode: mean/median -68.6/-66.7, min/max -111.9/-37.2
Update 16/488, T 34816, FPS 189, 50-training-episode: mean/median -67.5/-63.7, min/max -111.9/-37.2
Update 17/488, T 36864, FPS 188, 50-training-episode: mean/median -64.9/-62.6, min/max -111.6/-34.4
Update 18/488, T 38912, FPS 188, 50-training-episode: mean/median -64.4/-63.7, min/max -111.6/-34.4
Update 19/488, T 40960, FPS 188, 50-training-episode: mean/median -64.0/-61.8, min/max -111.6/-34.4
Update 20/488, T 43008, FPS 189, 50-training-episode: mean/median -64.8/-61.7, min/max -111.6/-34.4
Update 21/488, T 45056, FPS 188, 50-training-episode: mean/median -63.7/-60.4, min/max -111.6/-32.1
Update 22/488, T 47104, FPS 189, 50-training-episode: mean/median -63.6/-63.7, min/max -100.6/-32.1
Update 23/488, T 49152, FPS 189, 50-training-episode: mean/median -62.1/-61.7, min/max -100.6/-31.7
Update 24/488, T 51200, FPS 189, 50-training-episode: mean/median -63.2/-64.1, min/max -100.6/-31.7
Update 25/488, T 53248, FPS 189, 50-training-episode: mean/median -58.0/-60.0, min/max -100.6/68.0
Update 26/488, T 55296, FPS 189, 50-training-episode: mean/median -57.2/-61.7, min/max -92.6/68.0
Update 27/488, T 57344, FPS 189, 50-training-episode: mean/median -56.3/-61.9, min/max -92.6/68.0
Update 28/488, T 59392, FPS 189, 50-training-episode: mean/median -52.1/-55.4, min/max -92.6/68.0
Update 29/488, T 61440, FPS 189, 50-training-episode: mean/median -49.1/-53.2, min/max -104.0/68.0
Update 30/488, T 63488, FPS 189, 50-training-episode: mean/median -48.6/-51.7, min/max -104.0/68.0
Update 31/488, T 65536, FPS 189, 50-training-episode: mean/median -49.4/-47.5, min/max -104.0/57.4
Update 32/488, T 67584, FPS 189, 50-training-episode: mean/median -48.8/-47.3, min/max -104.0/57.4
Update 33/488, T 69632, FPS 190, 50-training-episode: mean/median -48.5/-47.3, min/max -104.0/57.4
Update 34/488, T 71680, FPS 189, 50-training-episode: mean/median -51.2/-49.5, min/max -104.0/57.4
Update 35/488, T 73728, FPS 190, 50-training-episode: mean/median -52.7/-53.9, min/max -99.2/57.4
Update 36/488, T 75776, FPS 190, 50-training-episode: mean/median -52.5/-53.9, min/max -99.2/64.5
Update 37/488, T 77824, FPS 190, 50-training-episode: mean/median -52.4/-51.7, min/max -99.2/64.5
Update 38/488, T 79872, FPS 190, 50-training-episode: mean/median -49.3/-51.7, min/max -99.2/64.5
Update 39/488, T 81920, FPS 190, 50-training-episode: mean/median -48.8/-51.5, min/max -99.2/64.5
Update 40/488, T 83968, FPS 190, 50-training-episode: mean/median -40.4/-48.7, min/max -96.7/73.7
Update 41/488, T 86016, FPS 190, 50-training-episode: mean/median -36.2/-44.1, min/max -96.7/73.7
Update 42/488, T 88064, FPS 190, 50-training-episode: mean/median -34.5/-35.3, min/max -96.7/73.7
Update 43/488, T 90112, FPS 190, 50-training-episode: mean/median -37.6/-36.2, min/max -106.3/73.7
Update 44/488, T 92160, FPS 190, 50-training-episode: mean/median -33.9/-33.6, min/max -106.3/73.7
Update 45/488, T 94208, FPS 191, 50-training-episode: mean/median -37.3/-34.8, min/max -106.3/73.7
Update 46/488, T 96256, FPS 191, 50-training-episode: mean/median -34.7/-34.8, min/max -106.3/89.9
Update 47/488, T 98304, FPS 191, 50-training-episode: mean/median -41.2/-36.5, min/max -106.3/89.9
Update 48/488, T 100352, FPS 191, 50-training-episode: mean/median -41.3/-36.4, min/max -106.3/89.9
Update 49/488, T 102400, FPS 191, 50-training-episode: mean/median -38.5/-34.0, min/max -99.5/89.9
Update 50/488, T 104448, FPS 191, 50-training-episode: mean/median -37.5/-32.4, min/max -99.5/89.9
Update 51/488, T 106496, FPS 191, 50-training-episode: mean/median -39.4/-32.4, min/max -99.5/89.9
Update 52/488, T 108544, FPS 191, 50-training-episode: mean/median -36.9/-31.1, min/max -99.5/89.9
Update 53/488, T 110592, FPS 191, 50-training-episode: mean/median -37.5/-31.1, min/max -92.5/76.2
Update 54/488, T 112640, FPS 191, 50-training-episode: mean/median -36.8/-30.2, min/max -94.0/76.2
Update 55/488, T 114688, FPS 191, 50-training-episode: mean/median -37.0/-30.5, min/max -94.0/76.2
Update 56/488, T 116736, FPS 191, 50-training-episode: mean/median -35.9/-34.4, min/max -94.0/83.6
Update 57/488, T 118784, FPS 191, 50-training-episode: mean/median -36.9/-38.7, min/max -94.0/83.6
Update 58/488, T 120832, FPS 191, 50-training-episode: mean/median -37.3/-38.7, min/max -94.0/83.6
Update 59/488, T 122880, FPS 191, 50-training-episode: mean/median -31.5/-40.5, min/max -94.0/93.1
Update 60/488, T 124928, FPS 191, 50-training-episode: mean/median -21.5/-38.1, min/max -90.5/94.1
Update 61/488, T 126976, FPS 191, 50-training-episode: mean/median -22.5/-36.6, min/max -90.5/94.1
