,idx,reward_sum,n_steps,reason
0,0,-28.73164275661111,56,OOB
1,1,-10.183585725724697,81,OOB
2,2,-16.198036923771724,246,OOB
3,3,-6.8583833610173315,115,OOB
4,4,-6.11377582925212,156,OOB
5,5,-10.994567930698395,193,OOB
6,6,-10.961494390619919,263,OOB
7,7,-5.487251975166146,129,OOB
8,8,-4.298191059846431,127,OOB
9,9,-9.997225073515438,291,OOB
10,10,-9.907299755141139,173,OOB
11,11,-6.547128469217569,168,OOB
12,12,-5.613320587668568,137,OOB
13,13,-12.248821829862209,256,OOB
14,14,-11.837585295084864,246,OOB
15,15,-8.835337398573756,146,OOB
16,16,-4.079432324506342,91,OOB
17,17,-3.668365137418732,103,OOB
18,18,-4.110462029231712,132,OOB
19,19,-6.013659375254065,224,OOB
20,20,-10.503811057657003,204,OOB
21,21,-3.6187226651236415,45,OOB
22,22,-8.229941110126674,299,OOT
23,23,-5.086490496993065,134,OOB
24,24,-7.727743253170047,219,OOB
25,25,-3.640781484544277,26,OOB
26,26,-3.900405276566744,36,OOB
27,27,-3.8674425296485424,110,OOB
28,28,-8.103855662513524,235,OOB
29,29,-4.201776285190135,125,OOB
30,30,-4.7862172815948725,56,OOB
31,31,-6.675220019184053,105,OOB
32,32,-5.535174189222744,133,OOB
33,33,-6.244695570785552,170,OOB
34,34,-6.961529885418713,193,OOB
35,35,-6.194869277998805,83,OOB
36,36,-8.566020205616951,147,OOB
37,37,-14.218695858027786,292,OOB
38,38,-3.1531118862330914,103,OOB
39,39,-4.05678217113018,132,OOB
40,40,-8.415440740063787,142,OOB
41,41,-11.031714539974928,209,OOB
42,42,-9.135099701583385,161,OOB
43,43,-7.395380992908031,137,OOB
44,44,-10.655495395418257,215,OOB
45,45,-8.29284212179482,137,OOB
46,46,-10.867922380566597,204,OOB
47,47,-9.783497097902,183,OOB
48,48,-2.851119534811005,101,OOB
49,49,-4.525139240548015,122,OOB
50,50,-8.252792125567794,137,OOB
51,51,-11.00671236217022,208,OOB
52,52,-3.4432906759902835,72,OOB
53,53,-3.637280161958188,62,OOB
54,54,-3.8740557414275827,131,OOB
55,55,-9.430284433066845,167,OOB
56,56,-10.974756002426147,209,OOB
57,57,-4.272813738789409,111,OOB
58,58,-6.067601855378598,106,OOB
59,59,-3.7057180830743164,115,OOB
60,60,-7.168009040877223,138,OOB
61,61,-8.475792053621262,213,OOB
62,62,-10.435702003538609,261,OOB
63,63,-4.418287943582982,105,OOB
64,64,-7.718480879440904,238,OOB
65,65,-3.614292860031128,27,OOB
66,66,-6.108918834477663,94,OOB
67,67,-4.026530766859651,87,OOB
68,68,-4.026693413965404,87,OOB
69,69,-8.286216541193426,229,OOB
70,70,-3.770387429744005,24,OOB
71,71,-5.667717099189758,78,OOB
72,72,-6.1004935833625495,100,OOB
73,73,-5.407327295746654,127,OOB
74,74,-5.382370867417194,177,OOB
75,75,-4.064917171373963,29,OOB
76,76,-7.613834772258997,119,OOB
77,77,-11.020824300590903,219,OOB
78,78,-11.251875874237157,263,OOB
79,79,-3.3208530084230006,54,OOB
80,80,-10.157439013943076,158,OOB
81,81,-11.325043825432658,188,OOB
82,82,-11.38725896726828,199,OOB
83,83,-3.285208990331739,146,OOB
84,84,-5.751657906221226,193,OOB
85,85,-11.121978418901563,183,OOB
86,86,-12.318443980067968,216,OOB
87,87,-5.834996107383631,299,OOT
88,88,-3.5570110801490955,210,OOB
89,89,-3.7232155717501882,169,OOB
90,90,-10.786307826638222,180,OOB
91,91,-5.8793290058965795,244,OOB
92,92,-2.4203702623490244,159,OOB
93,93,-7.267167183337733,122,OOB
94,94,-7.645346035191324,299,OOT
95,95,-11.22422775812447,195,OOB
96,96,-6.71180958050536,154,OOB
97,97,-2.5962640000507236,137,OOB
98,98,-12.14424838166451,254,OOB
99,99,-13.229470595390012,295,OOB
100,100,-6.449739651288837,143,OOB
101,101,-4.403141478076577,118,OOB
102,102,-4.843030387535691,124,OOB
103,103,-3.319320267997682,98,OOB
104,104,-5.92482961458154,228,OOB
105,105,-4.493197001516819,37,OOB
106,106,-6.223877948708832,244,OOB
107,107,-2.6314907297492027,108,OOB
108,108,-2.838028956204653,90,OOB
109,109,-3.2605973831377923,96,OOB
110,110,-5.842049945145845,66,OOB
111,111,-6.710939662531018,99,OOB
112,112,-2.9629258128697984,76,OOB
113,113,108.96838390280027,146,HOME
114,114,-6.1604311724659055,299,OOT
115,115,-5.994276894256473,63,OOB
116,116,-8.278173653408885,134,OOB
117,117,-6.682105244021841,285,OOB
118,118,-6.433979260036722,216,OOB
119,119,-5.806250078137964,299,OOT
120,120,-7.3779209312051535,98,OOB
121,121,-8.605884650722146,128,OOB
122,122,-12.367204500827938,245,OOB
123,123,-4.863188601564616,209,OOB
124,124,-5.662202606676146,299,OOT
125,125,-9.73036622442305,156,OOB
126,126,-7.84983079880476,104,OOB
127,127,-3.77190102415625,164,OOB
128,128,-6.027860878966749,299,OOT
129,129,-5.545848309295252,299,OOT
130,130,-9.840984217822552,158,OOB
131,131,-10.993386912159622,192,OOB
132,132,-7.057440178687102,279,OOB
133,133,-7.342065878678113,294,OOB
134,134,-5.751964165421668,299,OOT
135,135,-9.683820337057114,154,OOB
136,136,-8.97369406031794,136,OOB
137,137,-7.284338719968218,299,OOT
138,138,-11.27809307910502,242,OOB
139,139,-11.124323510564864,254,OOB
140,140,-7.069965159520507,91,OOB
141,141,-6.608675674535334,299,OOT
142,142,-8.457119336351752,295,OOB
143,143,-7.1633863794850186,299,OOT
144,144,-6.207151580252685,299,OOT
145,145,-7.68837115727365,132,OOB
146,146,-5.309674659743905,201,OOB
147,147,-7.571990437339991,270,OOB
148,148,107.23820133320987,171,HOME
149,149,-7.247107025788864,247,OOB
150,150,-4.88644459284842,46,OOB
151,151,-7.583903182297945,122,OOB
152,152,-6.774462349305395,287,OOB
153,153,-6.893799977144226,299,OOT
154,154,-7.959808103332762,281,OOB
155,155,-5.320195009931922,43,OOB
156,156,-7.164399402216077,99,OOB
157,157,-12.484114572696853,260,OOB
158,158,-7.556978151551448,281,OOB
159,159,-7.251387529890053,264,OOB
160,160,-7.31921967305243,61,OOB
161,161,-8.493831798434258,96,OOB
162,162,-11.658049208577722,219,OOB
163,163,-9.862931999465218,169,OOB
164,164,-4.8297242117114365,299,OOT
165,165,-9.771763855591416,123,OOB
166,166,-9.074595279991627,104,OOB
167,167,-6.567212234309409,57,OOB
168,168,-11.87670274102129,198,OOB
169,169,-4.0973402686358895,299,OOT
170,170,-9.8687161821872,126,OOB
171,171,-8.93680289760232,103,OOB
172,172,-10.179728155359044,146,OOB
173,173,-13.188802549484535,229,OOB
174,174,107.12651717930567,285,HOME
175,175,-9.890231030061841,129,OOB
176,176,-6.346492048789514,51,OOB
177,177,-5.024256492441054,299,OOT
178,178,-12.070532391429879,204,OOB
179,179,-6.570018011610955,188,OOB
180,180,-7.003421205619816,57,OOB
181,181,-5.480625465512276,299,OOT
182,182,-4.392856304431916,299,OOT
183,183,-9.73100476761465,167,OOB
184,184,-13.35123764083255,285,OOB
185,185,-9.596882162615657,155,OOB
