idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOB,78,0,25,53,1.0,0.44683966,0.3361339,1,78,2.1074537422687043,77,1.144548360698755,38.5,1.2155791694179938,38.5,0.47394343465566646,6.368802741621559,-2.2917652872820646,5.876250576674244,-2.455876121025224,4.0,-0.788818359375,-34.55628080289255
1,OOB,64,1,25,38,0.96875,0.44355124,0.48676676,1,62,2.0525770148277256,62,1.0506963950023613,30.515625,1.1061170387236419,30.5,0.351914931088686,5.767116023582579,-1.7567025729877326,5.276355197482854,-2.3280255710491264,4.0,-0.288818359375,-31.24645351376516
2,OOB,121,8,25,88,0.9338842975206612,0.41564885,0.35035825,2,112,2.0938482714670714,112,1.1812129609482134,52.30578512396694,1.3502787228518256,52.0,0.31951217725872993,6.157640572973905,-2.1576368011192564,5.70364535735072,-2.320553180495113,4.0,0.0054931640625,-33.176466973689415
3,HOME,89,77,12,0,0.25842696629213485,0.3022138,0.98856217,10,5,0.24611758996514516,5,0.08841500057932528,0.5617977528089888,0.08001390518324678,0.0,0.5281155556440353,0.19032427387265077,3.8208953474703358,0.18279894355349502,0.05298939007837248,4.0,0.2998046875,100.83333333333333
4,OOB,262,23,38,201,0.9656488549618321,0.39526457,0.2632968,3,226,2.005462155380847,225,0.777907102410294,98.20992366412214,0.7703931671635718,94.5,0.2858525179326534,6.160793134901983,-2.0816158234644213,5.745362869812366,-2.2240003474003345,4.0,0.7998046875,-33.00942782989076
5,OOB,93,0,25,68,1.0,0.4179145,0.28954053,1,93,2.0572837204298544,92,1.2929652376014407,46.0,1.4801600116863316,46.0,0.2913719788193703,5.378352002348058,-1.3013145480085635,4.8867771154889095,-2.246348077368078,4.0,-0.788818359375,-29.317463168680842
6,OOB,63,10,25,28,0.8253968253968254,0.3913038,0.64786375,1,52,2.01185079628069,52,0.9845896146506651,21.873015873015873,1.032537853957167,21.0,0.28958674520254124,5.657909635665551,-1.6474961850707048,5.169687872234692,-2.2991887154008555,4.0,-0.288818359375,-30.583645733557702
7,HOME,78,47,25,6,0.5512820512820513,0.18376239,0.97164273,7,30,0.5468169519305206,30,0.16045757164942312,6.269230769230769,0.09686446507083561,1.0,0.3913972713053227,0.15935914148230304,3.840644630372346,0.15014666787275538,0.0533976975223199,4.0,0.0054931640625,101.2908122529568
8,OOB,174,16,28,130,0.9712643678160919,0.40093318,0.28029487,2,155,2.0286893569251077,154,1.1614705832298506,69.19540229885058,1.2269408068176617,67.5,0.2874732669442893,6.170241553586523,-2.1590219322435367,5.709060011738151,-2.3406226974841995,4.0,0.2998046875,-33.07989712485772
9,OOB,167,17,38,112,0.9640718562874252,0.4132484,0.3242313,2,132,2.0089233204790204,131,1.0154441123261992,54.377245508982035,1.1277591701061511,48.0,0.28531869500875473,6.05129468163059,-1.9721173701930281,5.618340253434775,-2.247758910685289,4.0,0.7998046875,-32.46539672863197
10,OOB,95,0,25,70,1.0,0.4240024,0.31309444,1,95,2.0290945018861355,94,1.3184882931397994,47.0,1.5328107063321244,47.0,0.2786230742931365,5.258274969987648,-1.181237515648153,4.737103479238313,-2.2823904764493887,4.0,-0.788818359375,-28.678105522771464
11,OOB,239,84,28,127,0.7447698744769874,0.3566158,0.52940696,6,151,2.0361685998156758,151,0.8857235768493542,48.59414225941423,1.1012968092507827,32.0,0.29441883042454686,3.647235936112266,0.3631775144825804,2.8378673161121712,-2.291034497734816,4.0,-0.288818359375,-20.607411854930707
12,HOME,70,58,12,0,0.32857142857142857,0.20153052,0.98508835,7,10,0.23085976418877624,10,0.08332948215000724,1.1428571428571428,0.06716296031053756,0.0,0.06544788181781772,0.1630883601759101,3.836915411678739,0.1277255910922437,0.10140999262895317,4.0,0.0054931640625,100.83333333333333
13,OOB,246,14,31,201,0.9878048780487805,0.39647135,0.21490501,2,226,2.046982265973883,225,0.9153623234963324,103.97560975609755,0.9039095425591898,102.5,0.31699010543525197,7.626895950050253,-3.6156763287072664,7.253478563850489,-2.3572421506188954,4.0,0.2998046875,-40.49065884061696
14,HOME,107,77,25,5,0.3925233644859813,0.29288316,0.80713594,8,29,0.7150056165264408,29,0.1597681503446561,4.252336448598131,0.07482824891948144,0.0,0.38529495149850856,0.16890643802979083,3.9102708734077707,0.15433156142876256,0.06863784637407894,4.0,0.7998046875,100.83333333333333
15,OOB,105,0,25,80,1.0,0.4203552,0.3344208,1,105,2.029522127091131,104,1.232589229283518,52.0,1.3937086304942472,52.0,0.26793507859110843,5.105671948536895,-1.0286344941974006,4.597074759473585,-2.2214386558911365,4.0,-0.788818359375,-27.757881869775606
16,HOME,72,60,12,0,0.3194444444444444,0.20724997,0.9714654,9,6,0.17348812487687965,5,0.08040709619781361,0.6527777777777778,0.07766449717184659,0.0,0.12082992866635314,0.17177175447145288,3.8386416961233936,0.1716136781450309,0.0073675713593306935,4.0,-0.288818359375,101.20541767181291
17,OOB,112,64,27,21,0.7053571428571429,0.24690726,0.9860352,11,45,2.0284885889828232,45,0.41417636281001474,10.446428571428571,0.12442707759870317,3.0,0.14857535995542984,2.2003186828818833,1.7996850889727658,0.3153183971525989,-2.1776080029831313,4.0,0.0054931640625,-13.625707090592321
18,OOB,65,20,32,13,0.8615384615384616,0.3801345,0.72629124,2,38,2.0444623990392734,37,0.6694469210916657,13.446153846153846,0.30215353861486877,12.0,0.22891748324036593,4.514155257367083,-0.5029356360240964,3.9260465335693304,-2.2279489006400306,4.0,0.2998046875,-24.910428320404286
19,HOME,111,78,25,8,0.5765765765765766,0.31476206,0.80480456,10,32,0.7391774761418686,32,0.18469598481287447,5.576576576576577,0.10388993950957581,1.0,0.3349647931754589,0.1574551406851584,3.9217221707524033,0.1518685987673162,-0.04156982122447658,4.0,0.7998046875,100.83333333333333
20,OOB,107,18,38,51,0.9345794392523364,0.31584302,0.62259126,2,69,2.0302124436048987,68,1.0085294966657,26.560747663551403,0.7832242869808016,23.0,0.3319754414260388,3.999903502706112,0.07713395163338266,3.32576105013827,-2.222282940658956,4.0,-0.788818359375,-22.343816162138076
21,OOB,101,21,38,42,0.900990099009901,0.05795344,0.97821265,3,66,2.0588539456457693,66,0.4805449127485968,24.871287128712872,0.20974107483930662,20.0,0.9436563327908516,2.0745884483315313,1.9358250022633152,-1.527744056935226,1.4035367207343479,4.0,-0.288818359375,-25.361176735071403
22,OOB,67,7,25,35,0.8805970149253731,0.042854972,0.96092075,1,59,2.0212150649672047,59,0.7170619524864945,26.417910447761194,0.5347693769215983,26.0,0.921053472906351,2.314687436014311,1.685316335840338,0.8040657151635753,2.1705428473404975,4.0,0.0054931640625,-13.983997857092564
23,HOME,100,60,25,15,0.71,0.25097817,0.8971087,8,39,0.6971573071578286,39,0.20405580594328754,8.97,0.14177281239330913,4.0,0.8293303195387125,0.1755849933787675,3.835634627964219,0.17511661881570825,-0.012816384606267408,4.0,0.2998046875,101.29063688345177
24,OOB,298,38,41,219,0.9563758389261745,0.3874009,0.29934856,6,223,2.0275993357109474,222,0.8389385002655382,86.8993288590604,0.8087200969184563,73.5,0.27511771954596065,5.6454536369402994,-1.5662763255027379,5.170039474479012,-2.2675622591609765,4.0,0.7998046875,-30.454867520412446
25,OOB,37,0,25,12,1.0,0.28295785,0.8616983,1,37,2.000905214915562,36,1.2071570836704113,18.0,1.2474207879504442,18.0,0.10570929944515228,3.5296589762986437,0.547378478040851,2.7820136695123825,-2.172301183448519,4.0,-0.788818359375,-19.84920009640878
26,OOB,168,0,25,143,0.9940476190476191,0.33545458,0.39758545,1,167,2.0039887889892887,167,1.1728919014273023,83.5,1.2047213838019073,83.5,0.22400881908833978,3.6985625585863495,0.311850892008497,2.9843204922274333,-2.1847645638485202,4.0,-0.288818359375,-20.794358913550603
27,HOME,110,48,25,37,0.6909090909090909,0.19186617,0.92253166,9,61,1.4393635580758912,61,0.44576214281211163,17.48181818181818,0.17926714126871174,6.5,0.8717181347310543,0.18973396719884292,3.8102698046558063,0.12165460962084917,0.1455992248159666,4.0,0.0054931640625,100.83333333333333
28,HOME,98,57,25,16,0.6122448979591837,0.22924234,0.9133842,11,40,0.8868167463191697,40,0.24165373853513616,8.826530612244898,0.10895188167142106,1.5,0.4593442790210247,0.19919390095180198,3.8120257203911847,0.1954693237969479,-0.0383399743187217,4.0,0.2998046875,101.30025079840121
29,OOB,237,32,47,158,0.9662447257383966,0.37505904,0.3680369,4,183,2.0015281296760414,182,0.9553807128567862,72.41772151898734,0.989807876323516,64.0,0.25053860619664226,4.4571893157180815,-0.37801200428051995,3.861918627257561,-2.2253361796799362,4.0,0.7998046875,-24.549730640804327
