idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOB,77,0,25,52,1.0,0.4486399,0.30662933,1,77,2.0494298922349423,76,1.2550692292248642,38.0,1.244798437750073,38.0,0.4941471219062804,6.33355049287869,-2.222916458534761,5.849939277015897,-2.4273591207463743,4.0,-0.947265625,-34.10327259036013
1,OOB,66,0,25,41,0.9848484848484849,0.43835512,0.50389975,1,65,2.0042472410277417,65,1.1627594141415636,32.5,1.2846461209716615,32.5,0.42486906237900257,6.445063655267419,-2.4201355143801013,5.9907657077302465,-2.3768827811931224,4.0,-0.447265625,-34.49790614541404
2,OOB,74,8,25,41,0.8783783783783784,0.45138043,0.6195075,1,65,2.0942470689127513,65,0.9470883668787924,28.986486486486488,0.96067412825599,28.5,0.3620089646428824,6.082334688440235,-2.082283978247488,5.594034913309776,-2.387795772438394,4.0,-0.0201416015625,-32.89360607575548
3,HOME,87,75,12,0,0.2413793103448276,0.29781464,0.97091544,10,6,0.2676344454403632,6,0.09640250817966234,0.5517241379310345,0.09401047852139374,0.0,0.4899693801999092,0.17970322383234894,3.840947804510603,0.17970243372244196,0.0005328883285136638,4.0,0.406982421875,101.29923464845703
4,HOME,148,86,43,19,0.6959459459459459,0.29082277,0.8657373,8,35,0.7932026536524912,35,0.2379551235325308,9.182432432432432,0.1698238366888647,5.0,0.5431337952613831,0.15678016816854973,3.9447582156077425,0.15127913272157503,0.04116606774962633,4.0,0.906982421875,100.83333333333333
5,OOB,122,0,25,97,1.0,0.40572634,0.21301925,1,122,2.0172285571289783,121,1.3410058898819064,60.5,1.3840970414642055,60.5,0.2875426951795819,5.780169370094922,-1.669535335750993,5.313333745860028,-2.275707022463254,4.0,-0.947265625,-31.168803150393888
6,OOB,142,0,25,117,1.0,0.40175194,0.27126902,1,142,2.0899764598474415,141,1.2539095905937179,70.5,1.361319454211617,70.5,0.29077806510031223,5.893130440958433,-1.8682023000711148,5.404474679831082,-2.349604185648224,4.0,-0.447265625,-31.86653433004273
7,HOME,139,66,25,48,0.7769784172661871,0.20605892,0.94691634,11,72,1.5585697847169906,72,0.43516214817976523,19.79136690647482,0.21676286856800006,7.0,0.6419303938746452,0.16243331891753848,3.8376173912752085,0.1539264500703313,-0.051877076472297244,4.0,-0.0201416015625,100.83333333333333
8,OOB,149,16,28,105,0.9664429530201343,0.40484643,0.34913608,2,130,2.036127244959873,129,1.074989977145142,56.97986577181208,1.1617622609411968,55.0,0.2657930217683314,5.506665566936656,-1.4860145385937038,5.033075499482573,-2.2341702447651683,4.0,0.406982421875,-29.882478838556782
9,OOB,165,19,38,108,0.9515151515151515,0.40762973,0.39370885,2,131,2.059171192633489,130,1.1256840002426824,53.733333333333334,1.1944488926847432,48.0,0.25745295733213425,5.288566762785617,-1.187028379009325,4.760674467811092,-2.3032405467020425,4.0,0.906982421875,-28.702005006561574
