,idx,reward_sum,n_steps,reason
0,0,-30.520667478442192,77,OOB
1,1,-8.611702926456928,66,OOB
2,2,-8.0755713081453,74,OOB
3,3,110.09094616182847,87,HOME
4,4,108.29892144363839,148,HOME
5,5,-6.489069931209087,122,OOB
6,6,-7.20495524443686,142,OOB
7,7,108.28581693652086,139,HOME
8,8,-7.115419326117262,149,OOB
9,9,-7.3844030753243715,165,OOB
10,10,-5.2795037012547255,75,OOB
11,11,-4.992751679383218,52,OOB
12,12,110.72324282885529,97,HOME
13,13,-7.311703056679107,154,OOB
14,14,-3.311221626121551,111,OOB
15,15,-6.25827307254076,107,OOB
16,16,108.5301536808256,150,HOME
17,17,108.17679507243884,136,HOME
18,18,-8.681952799670398,200,OOB
19,19,-10.34404486650601,289,OOB
20,20,-9.013608567998745,224,OOB
21,21,-4.395374451123644,87,OOB
22,22,-2.8505001170560718,53,OOB
23,23,109.6238479660824,102,HOME
24,24,107.52614518254995,149,HOME
25,25,-5.582482295110822,119,OOB
26,26,-7.625133980065584,183,OOB
27,27,-7.797521162312478,285,OOB
28,28,109.35868650814518,101,HOME
29,29,107.9345030351542,139,HOME
30,30,-3.0728567745536566,36,OOB
31,31,-5.708105358760804,117,OOB
32,32,-7.049061609548517,267,OOB
33,33,109.64151494129328,101,HOME
34,34,-9.506514788139611,278,OOB
35,35,-3.3739301804453135,25,OOB
36,36,-4.468854483217001,65,OOB
37,37,-9.243881756789051,227,OOB
38,38,-7.803006797796115,241,OOB
39,39,109.01454617996933,111,HOME
40,40,-3.7279870584607124,31,OOB
41,41,-5.707397965714335,93,OOB
42,42,-8.217411644291133,178,OOB
43,43,108.73824371187948,141,HOME
44,44,-6.222751361550763,140,OOB
45,45,-5.97096012160182,95,OOB
46,46,-6.929990794509649,127,OOB
47,47,-9.606539521599188,211,OOB
48,48,107.0061908531352,163,HOME
49,49,-9.852582299616188,228,OOB
50,50,-6.125326078385115,99,OOB
51,51,-6.330168114975095,109,OOB
52,52,108.30205172789283,145,HOME
53,53,108.8198000791017,128,HOME
54,54,107.90871399402386,169,HOME
55,55,-6.1736047975718975,104,OOB
56,56,-8.098962651565671,160,OOB
57,57,108.3988799827639,137,HOME
58,58,-7.90785021497868,220,OOB
59,59,108.43372025620192,139,HOME
60,60,-4.707957966253161,54,OOB
61,61,108.5824973123963,136,HOME
62,62,108.67471297999145,131,HOME
63,63,108.15498649226356,131,HOME
64,64,107.38345141825266,168,HOME
65,65,-5.792892752215266,122,OOB
66,66,-7.84411240927875,182,OOB
67,67,108.73199229000602,129,HOME
68,68,107.93943473137915,129,HOME
69,69,108.03568249195814,133,HOME
70,70,-3.793169066309929,57,OOB
71,71,-5.908790590241551,122,OOB
72,72,108.52347566108801,155,HOME
73,73,107.99867651925888,152,HOME
74,74,-8.235414200578816,250,OOB
75,75,-3.292602052912116,26,OOB
76,76,-4.513363206759095,67,OOB
77,77,-8.661776692606509,194,OOB
78,78,108.96089876271435,131,HOME
79,79,108.44636168738361,133,HOME
80,80,-5.506373431533575,58,OOB
81,81,-7.618895435705781,123,OOB
82,82,-10.544204758480191,222,OOB
83,83,108.57421412726399,220,HOME
84,84,-4.008486042614095,299,OOT
85,85,-7.688922835513949,118,OOB
86,86,-7.859282294288278,122,OOB
87,87,-9.746484895935282,208,OOB
88,88,107.2220063120185,238,HOME
89,89,-9.523657673038542,227,OOB
90,90,-7.929629135876894,124,OOB
91,91,-8.903279063291848,159,OOB
92,92,107.88013456854969,241,HOME
93,93,108.42309334967285,213,HOME
94,94,108.56040794482396,223,HOME
95,95,-8.722185598686337,148,OOB
96,96,-7.055579471634701,109,OOB
97,97,108.0203447478707,214,HOME
98,98,108.97567671118304,211,HOME
99,99,108.26695575448684,217,HOME
100,100,-8.676534593105316,153,OOB
101,101,108.57272728625685,214,HOME
102,102,108.60907180118375,214,HOME
103,103,108.43571935486398,217,HOME
104,104,-10.025238010915928,271,OOB
105,105,-8.463530814275146,164,OOB
106,106,-9.954914434114471,246,OOB
107,107,108.22924471995793,237,HOME
108,108,108.42130421206821,213,HOME
109,109,107.03816489735618,251,HOME
110,110,-6.5414940267801285,107,OOB
111,111,-8.457043257309124,166,OOB
112,112,108.11677663147566,216,HOME
113,113,107.69881635945057,238,HOME
114,114,-9.131147547159344,245,OOB
115,115,-4.369466161355376,33,OOB
116,116,-7.056748043978587,114,OOB
117,117,-9.959911911922973,221,OOB
118,118,109.16430891590426,210,HOME
119,119,108.0919617251493,220,HOME
120,120,-6.984214924275875,100,OOB
121,121,-8.22366574977059,143,OOB
122,122,-10.658343882416375,244,OOB
123,123,108.87033340788912,222,HOME
124,124,108.14074563456234,232,HOME
125,125,-8.62489485181868,144,OOB
126,126,-9.365577184595168,180,OOB
127,127,-6.75533232500311,105,OOB
128,128,108.01286001110566,231,HOME
129,129,-10.853049284545705,274,OOB
130,130,-8.826246932148933,150,OOB
131,131,-10.021460389252752,206,OOB
132,132,108.1404405241592,248,HOME
133,133,-4.252111632900778,299,OOT
134,134,108.05770245107124,242,HOME
135,135,-9.714448101818562,175,OOB
136,136,-9.125134241796331,290,OOB
137,137,108.35989610824981,242,HOME
138,138,108.24339570726806,212,HOME
139,139,106.74313850456383,279,HOME
140,140,-8.71889903722331,159,OOB
141,141,-3.1712359986195224,299,OOT
142,142,107.78728366215364,240,HOME
143,143,-10.396893897675909,252,OOB
144,144,-6.5994646938634105,299,OOT
145,145,-9.3720144033432,189,OOB
146,146,-6.8529406689922325,191,OOB
147,147,106.91703425254673,240,HOME
148,148,-6.726742085535079,161,OOB
149,149,107.15724379953463,247,HOME
150,150,-6.7090316824615,111,OOB
151,151,-9.79429067869205,225,OOB
152,152,107.93355983681977,213,HOME
153,153,107.82112402119674,220,HOME
154,154,-9.465338733425597,242,OOB
155,155,-5.452853556722403,62,OOB
156,156,-8.805768908001482,170,OOB
157,157,109.30139603489079,242,HOME
158,158,-4.534998569637537,299,OOT
159,159,108.25153955921996,223,HOME
160,160,-6.705096051096916,60,OOB
161,161,-9.448990646749735,139,OOB
162,162,-10.138910960871726,178,OOB
163,163,109.79836700540909,281,HOME
164,164,-9.826705284649506,194,OOB
165,165,-8.833692276850343,118,OOB
166,166,-9.722080672159791,148,OOB
167,167,-9.95922046364285,180,OOB
168,168,-1.9193625996049377,299,OOT
169,169,-11.819504507235251,255,OOB
170,170,-8.966110922396183,122,OOB
171,171,-9.94150183070451,158,OOB
172,172,-1.7283806361083407,299,OOT
173,173,-9.5340003099991,163,OOB
174,174,-11.43169582496921,259,OOB
175,175,-9.213174153119326,132,OOB
176,176,-8.968347732909024,131,OOB
177,177,108.63596783127286,299,HOME
178,178,-11.471482294145972,217,OOB
179,179,-11.599932055571117,276,OOB
180,180,-8.110380431637168,108,OOB
181,181,108.25943367998116,276,HOME
182,182,107.91463417978957,299,HOME
183,183,-9.324873415054753,178,OOB
184,184,-2.650686880137073,299,OOT
185,185,-8.882093789055943,149,OOB
186,186,108.82197664404521,299,HOME
187,187,-2.2552731186096935,299,OOT
188,188,-7.864808330254164,190,OOB
189,189,-6.372500140481861,299,OOT
190,190,-6.93468120880425,90,OOB
191,191,-8.560947530902922,145,OOB
192,192,109.44283990759868,273,HOME
193,193,108.69257546425797,276,HOME
194,194,-7.978298128638926,197,OOB
195,195,-5.486661883071065,35,OOB
196,196,-7.396108096465468,94,OOB
197,197,-1.7680019995896146,299,OOT
198,198,108.8383517414477,279,HOME
199,199,-2.7928085038874997,299,OOT
200,200,-6.6248206328600645,56,OOB
201,201,-8.592852130532265,116,OOB
202,202,-12.155306096188724,244,OOB
203,203,-1.9349712597831967,299,OOT
204,204,-10.957458284450695,216,OOB
205,205,-8.780686739832163,113,OOB
206,206,-9.71966498810798,148,OOB
207,207,-8.101253522792831,131,OOB
208,208,-7.100479872664437,111,OOB
209,209,-1.468180562282214,299,OOT
210,210,-9.045635325834155,122,OOB
211,211,-10.622305222786963,173,OOB
212,212,-10.557668610475957,209,OOB
213,213,-9.666287734755315,166,OOB
214,214,-12.15699104082887,292,OOB
215,215,-8.867626614868641,120,OOB
216,216,-10.564086520113051,178,OOB
217,217,-2.2317882565548643,299,OOT
218,218,-11.166575984098017,213,OOB
219,219,-8.556912203493994,193,OOB
220,220,-8.08633136190474,104,OOB
221,221,-8.796258113346994,169,OOB
222,222,-3.188907534669852,299,OOT
223,223,-8.70094669656828,154,OOB
224,224,-2.2515228878182825,299,OOT
225,225,-8.654187129810452,138,OOB
226,226,-11.230409341107588,255,OOB
227,227,108.54346264907508,281,HOME
228,228,108.23023150360677,281,HOME
229,229,-2.2866232263622805,299,OOT
230,230,-6.763723568990827,82,OOB
231,231,-8.787589533254504,147,OOB
232,232,110.01181154948426,269,HOME
233,233,108.57056142727379,275,HOME
234,234,108.36658814857947,255,HOME
235,235,-5.323018331080675,27,OOB
236,236,-7.341397948563099,86,OOB
237,237,-1.90423656974599,299,OOT
238,238,108.64054244622821,280,HOME
239,239,107.77750230534002,294,HOME
