,idx,reward_sum,n_steps,reason
0,0,-19.768483999185264,299,OOT
1,1,-7.438720379956067,99,OOB
2,2,-8.051028290297836,103,OOB
3,3,-9.581717185908929,121,OOB
4,4,-5.366215754766017,71,OOB
5,5,-11.422054257243872,209,OOB
6,6,-9.131565531017259,140,OOB
7,7,-5.616460525880029,60,OOB
8,8,-4.9279421819373965,66,OOB
9,9,-7.374758492573164,299,OOT
10,10,-12.19525378011167,233,OOB
11,11,-3.0932493675500154,73,OOB
12,12,-8.315606594711426,299,OOT
13,13,-13.789130312623456,270,OOB
14,14,-10.90850964130368,197,OOB
15,15,-9.599310474470258,169,OOB
16,16,-3.9765949374996126,74,OOB
17,17,-2.657582924468443,78,OOB
18,18,-11.258576316176914,210,OOB
19,19,-11.258629046846181,212,OOB
20,20,-9.239638084342005,299,OOT
21,21,-6.290951623872388,196,OOB
22,22,-3.8996759053552523,75,OOB
23,23,-9.870823558419943,190,OOB
24,24,-9.378218934871256,164,OOB
25,25,-6.421713775023818,68,OOB
26,26,-3.687807211652398,59,OOB
27,27,-2.525543838739395,69,OOB
28,28,-7.635841677431017,299,OOT
29,29,-7.385823639575392,299,OOT
30,30,-6.784126095473766,89,OOB
31,31,-6.584834496490657,68,OOB
32,32,-6.211053739534691,200,OOB
33,33,-6.236353445696295,241,OOB
34,34,-6.32073157094419,71,OOB
35,35,-6.0199159402400255,69,OOB
36,36,-5.347331650555134,52,OOB
37,37,-5.073974531143904,41,OOB
38,38,-3.934259509202093,46,OOB
39,39,-10.682143072597682,238,OOB
40,40,-9.703004801645875,171,OOB
41,41,-8.837154500186443,173,OOB
42,42,-8.805222854018211,177,OOB
43,43,-6.4246146199293435,59,OOB
44,44,-10.212001003790647,151,OOB
45,45,-10.945650681853294,217,OOB
46,46,-9.32939925417304,183,OOB
47,47,-6.2260509710758924,85,OOB
48,48,-10.623086226638407,182,OOB
49,49,-5.082800765056163,45,OOB
50,50,-11.711153972893953,239,OOB
51,51,-10.205264659132808,183,OOB
52,52,-6.7537867545033805,255,OOB
53,53,-13.905449075624347,287,OOB
54,54,-7.027279695961624,86,OOB
55,55,-12.759819777682424,268,OOB
56,56,-5.390907064465864,127,OOB
57,57,-8.76702186302282,258,OOB
58,58,-7.289754901546985,213,OOB
59,59,-5.027775527909398,65,OOB
60,60,-11.149586562765762,220,OOB
61,61,-3.797885507810861,35,OOB
62,62,-7.852022483362816,299,OOT
63,63,-4.946286523714662,72,OOB
64,64,-8.030811967561021,299,OOT
65,65,-4.608336320146918,36,OOB
66,66,-4.922109038569033,35,OOB
67,67,-11.610643303021789,236,OOB
68,68,-4.246251406148076,43,OOB
69,69,-4.298481692560017,48,OOB
70,70,-5.773629579693079,57,OOB
71,71,-5.091767266392708,35,OOB
72,72,-4.769288471899927,38,OOB
73,73,-9.626649314537644,281,OOB
74,74,-7.547355130314827,299,OOT
75,75,-8.118917733430862,120,OOB
76,76,-5.326858269050717,44,OOB
77,77,-4.742309160530567,50,OOB
78,78,-4.0687156424392015,91,OOB
79,79,-5.53426002105698,56,OOB
80,80,-7.038492623716593,66,OOB
81,81,-7.633299387991428,86,OOB
82,82,-12.030605675186962,219,OOB
83,83,-7.161586392991012,76,OOB
84,84,-5.452873068978079,58,OOB
85,85,-12.965704213827848,245,OOB
86,86,-9.368329444900155,299,OOT
87,87,-9.116376742720604,299,OOT
88,88,-4.450829750625417,88,OOB
89,89,-6.492538038291968,55,OOB
90,90,-11.976319540292025,219,OOB
91,91,-14.20425680745393,259,OOB
92,92,-9.80926834139973,128,OOB
93,93,-3.9668735114391893,101,OOB
94,94,-9.143111722078174,299,OOT
95,95,-9.210156323388219,299,OOT
96,96,-8.949917473830283,299,OOT
97,97,-10.131775865535019,208,OOB
98,98,-4.340207215631381,98,OOB
99,99,-9.077364413999021,299,OOT
100,100,-12.95931009016931,254,OOB
101,101,-3.4283095653081546,80,OOB
102,102,-4.597206512466073,87,OOB
103,103,-4.730575910769403,73,OOB
104,104,-9.004530956037343,299,OOT
105,105,-5.3073552045971155,28,OOB
106,106,-5.340166233014315,38,OOB
107,107,-4.3081048130989075,74,OOB
108,108,-4.123733532382175,78,OOB
109,109,-7.224073018878698,80,OOB
110,110,-5.734815021976829,29,OOB
111,111,-5.588997284416109,33,OOB
112,112,-6.905911579262465,73,OOB
113,113,-3.9151076143607497,80,OOB
114,114,-2.1863154935999773,118,OOB
115,115,-5.753682684153318,29,OOB
116,116,-6.2550075757317245,37,OOB
117,117,-4.917595643084496,51,OOB
118,118,-5.24680786288809,56,OOB
119,119,-11.78195646952372,286,OOB
120,120,-6.173212336376309,43,OOB
121,121,-9.803116945549846,149,OOB
122,122,-5.776590146240778,44,OOB
123,123,-5.241524609504268,48,OOB
124,124,-8.402062706183642,170,OOB
125,125,-10.3854257222265,180,OOB
126,126,-14.571110546588898,290,OOB
127,127,-11.859903949312866,230,OOB
128,128,-9.388037246186286,172,OOB
129,129,-6.140915194526315,100,OOB
130,130,-8.952767223119736,299,OOT
131,131,-8.822779601207003,299,OOT
132,132,-10.48561662872089,183,OOB
133,133,-3.911800903879339,299,OOT
134,134,-7.764118022285402,97,OOB
135,135,-8.969022210687399,299,OOT
136,136,-11.182421525008976,205,OOB
137,137,-5.054020122857764,299,OOT
138,138,-6.098227878508624,252,OOB
139,139,-3.9305289707263,227,OOB
140,140,-12.757017334923148,257,OOB
141,141,-2.2958275941200554,87,OOB
142,142,-4.196205450221896,62,OOB
143,143,-8.200829702429473,158,OOB
144,144,-8.667461642384296,299,OOT
145,145,-4.286844447255135,34,OOB
146,146,-4.568623143015429,36,OOB
147,147,-4.21589090116322,61,OOB
148,148,-5.02990724882693,125,OOB
149,149,-4.3130575100076385,56,OOB
150,150,-5.247079083696008,27,OOB
151,151,-5.3761468776501715,33,OOB
152,152,-7.452028048224747,299,OOT
153,153,-3.8422686860430986,63,OOB
154,154,-5.035962021807791,50,OOB
155,155,-5.5821967869997025,29,OOB
156,156,-5.78752039372921,32,OOB
157,157,-4.59297906444408,42,OOB
158,158,-4.476345140952617,62,OOB
159,159,-4.981615086027887,53,OOB
160,160,-8.10428244061768,74,OOB
161,161,-7.937828003545292,74,OOB
162,162,-6.706228784052655,50,OOB
163,163,-7.364902394299861,46,OOB
164,164,-7.203259102650918,48,OOB
165,165,-8.642860235646367,92,OOB
166,166,-8.578972387127578,299,OOT
167,167,-8.620949090924114,91,OOB
168,168,-8.850600223056972,74,OOB
169,169,-7.5944027216755785,61,OOB
170,170,-8.596297078765929,299,OOT
171,171,-6.070174438180402,51,OOB
172,172,-6.588495855452493,52,OOB
173,173,-7.32300276402384,53,OOB
174,174,-8.497144485725585,73,OOB
175,175,-7.688964240252972,82,OOB
176,176,-6.770213812997099,60,OOB
177,177,-7.633234866778366,299,OOT
178,178,-8.80779825069476,86,OOB
179,179,-7.1379556296160445,58,OOB
180,180,-9.111444979556836,85,OOB
181,181,-3.7098467538598925,97,OOB
182,182,-3.535743565298617,82,OOB
183,183,-5.853185216314159,166,OOB
184,184,-8.569010139908642,86,OOB
185,185,-5.446352468803525,36,OOB
186,186,-5.452953401952982,38,OOB
187,187,-4.997151733376086,53,OOB
188,188,-3.70952409110032,94,OOB
189,189,-3.588149924762547,91,OOB
190,190,-6.1107294065877795,32,OOB
191,191,-5.782371269073337,35,OOB
192,192,-5.157708737067878,39,OOB
193,193,-3.210690774023533,89,OOB
194,194,-3.268926991149783,98,OOB
195,195,-6.6026799120008945,37,OOB
196,196,-6.266555748356041,37,OOB
197,197,-5.988698530592956,37,OOB
198,198,-5.111278096679598,49,OOB
199,199,-5.501452184398659,41,OOB
200,200,-6.5515218414366245,40,OOB
201,201,-13.322790410369635,245,OOB
202,202,-14.44272231470677,289,OOB
203,203,-5.346336587099358,44,OOB
204,204,-5.518832959933206,47,OOB
205,205,-8.407483821734786,299,OOT
206,206,-8.43550917133689,299,OOT
207,207,-14.743212284287438,299,OOB
208,208,-6.287582924589515,42,OOB
209,209,-5.65794655168429,48,OOB
210,210,-8.332071483135223,299,OOT
211,211,-14.535343485884368,286,OOB
212,212,-13.073554693721235,237,OOB
213,213,-7.3678374288138,299,OOT
214,214,-7.132155050523579,57,OOB
215,215,-8.31876040250063,299,OOT
216,216,-13.357733205892146,242,OOB
217,217,-5.755801733117551,80,OOB
218,218,-6.366437968259561,61,OOB
219,219,-7.277694102667738,71,OOB
220,220,-8.275579068809748,299,OOT
221,221,-8.165171816130169,299,OOT
222,222,-3.2771457439521328,97,OOB
223,223,-3.0004878338077106,299,OOT
224,224,-7.850821182888467,299,OOT
225,225,-5.039181942120194,52,OOB
226,226,-5.090888896898832,48,OOB
227,227,-5.179701373912394,47,OOB
228,228,-2.873081364436075,87,OOB
229,229,-5.201907493639737,176,OOB
230,230,-5.56014503352344,25,OOB
