idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOT,299,55,38,206,0.8996655518394648,0.29673374,0.23889573,6,167,1.6391643159648395,167,0.5412940762845794,59.88628762541806,0.4394496569735685,53.0,0.42570292204618476,7.815526238345361,-3.806764823900033,7.701974621772569,1.3274175333466403,4.0,-0.264892578125,-0.24415824965334101
1,OOB,138,2,25,111,0.9782608695652174,0.38507915,0.25757957,1,135,2.0218688325876046,135,1.240327563108029,66.52173913043478,1.3426497847739385,66.5,0.3815798815339804,6.65275586854888,-2.6511434590167227,6.524491958995279,-1.3000635844132802,4.0,-0.11358642578125,-35.8301480684164
2,OOB,140,5,25,110,0.9571428571428572,0.396287,0.27420682,1,134,2.0840588882846247,134,1.2158706688606318,64.60714285714286,1.3499857941859164,64.5,0.35044047981500615,6.526650465703559,-2.526472622435594,6.4025811690846535,-1.2665388563921265,4.0,0.0377197265625,-35.167392132980886
3,HOME,97,85,12,0,0.26804123711340205,0.3390708,0.99901354,9,8,0.27228960303869737,8,0.08857941928912344,0.6907216494845361,0.07552875558570626,0.0,0.32022085785865784,0.18987703515952406,3.814586821949974,0.18370893758231066,0.0480032783604394,4.0,0.18902587890625,100.83333333333333
4,OOB,100,57,37,6,0.7,0.2301031,0.96723866,4,31,2.057801972783297,30,0.4122228076748359,8.11,0.14383294487930254,5.0,0.2739657610654833,3.9582745071168888,0.05617762131791837,3.4987018920296022,-1.8512217977324945,4.0,0.34033203125,-22.16914551982164
5,OOB,97,8,25,64,0.9896907216494846,0.42638606,0.39436096,2,89,2.0800456933272646,88,1.1088103778145593,40.65979381443299,1.2185832679294244,40.0,0.3111715279519556,5.797594039935539,-1.78883262549021,5.5147440823102905,-1.7887689505689985,4.0,-0.264892578125,-31.39787378209507
6,OOB,105,33,38,34,0.780952380952381,0.19117878,0.94107014,2,51,2.080435415466156,51,0.7158825500201756,17.35238095238095,0.6208776171520094,15.0,0.22092378139495866,3.701181054352495,0.30043135517966224,3.246207560508464,-1.7778857306349962,4.0,-0.11358642578125,-20.953087434799443
7,HOME,96,84,12,0,0.3333333333333333,0.2336992,0.97692615,10,9,0.3219455417464645,9,0.08827397910995653,0.9791666666666666,0.06980905916473926,0.0,0.32767084054648865,0.19707140837188028,3.8031064348960855,0.0494935179758189,0.19075516159740918,4.0,0.0377197265625,100.83333333333333
8,OOB,112,17,25,70,0.9375,0.3826857,0.42421302,3,94,2.006288036432487,94,1.0620083780563159,40.36607142857143,1.2515616976809745,38.5,0.3050413057208059,5.149372483912871,-1.1449086268033728,4.885163320589274,-1.6282556031680628,4.0,0.18902587890625,-28.071507038833918
9,OOB,194,93,25,76,0.7268041237113402,0.33885664,0.6365635,10,101,2.005817939124096,100,0.7731839313877226,26.814432989690722,0.21470498264743612,8.0,0.32460042275488377,2.144965174082648,1.8694869543521593,1.8743326620665604,-1.0429538196573633,4.0,0.34033203125,-13.003386755291311
10,OOB,136,10,25,101,0.9852941176470589,0.40481108,0.26406738,2,126,2.03035880621686,125,1.1072788029450593,58.169117647058826,1.1080303646546463,57.5,0.3163660075515508,5.908587524511848,-1.8998261100665195,5.780169595525328,-1.2251718172491626,4.0,-0.264892578125,-31.80383060300206
11,OOB,146,14,25,107,0.9452054794520548,0.39953932,0.33772734,2,131,2.0324269300695046,131,1.0215785666067831,59.41095890410959,0.9821210514046578,58.5,0.3013578727841377,5.710576753614123,-1.7089643440819655,5.591537420066547,-1.1599121255136373,4.0,-0.11358642578125,-30.940085857805194
12,OOB,161,28,35,98,0.9006211180124224,0.3918037,0.40026894,3,122,2.0176086602274035,122,1.0470643965207553,48.05590062111801,1.0808421255930958,42.0,0.2743537873029706,4.727671942977854,-0.7274940997098884,4.63385358729306,-0.9371675047456779,4.0,0.0377197265625,-25.938112882284265
13,OOB,140,89,31,20,0.5142857142857142,0.2802683,0.93059474,7,44,2.025367875638123,44,0.36816809172582055,8.32857142857143,0.10615203508640117,1.0,0.31539352983236313,2.0839517784266204,1.920512078682878,1.511822326294434,-1.4343110780180013,4.0,0.18902587890625,-12.891693582540116
14,OOB,160,15,30,115,0.975,0.39466777,0.25863692,2,140,2.0248257402852583,139,1.040380828767422,61.6625,1.1177178219566781,59.5,0.3205004613846541,6.278276735894147,-2.26382460745934,6.211173569922713,-0.9154679987652268,4.0,0.34033203125,-33.67581342378957
15,OOB,251,89,38,124,0.7569721115537849,0.33091038,0.5975203,6,135,2.007209640514062,134,0.8323210882662702,39.211155378486055,0.7366919412553959,24.0,0.3501065857708455,2.428437474780399,1.5803239396649293,2.348838689537322,-0.6166566138868521,4.0,-0.264892578125,-14.41713870803856
16,OOB,79,7,25,47,0.8987341772151899,0.059621472,0.9618929,1,71,2.01179019797355,71,1.0225586153403265,32.35443037974684,1.0180365504962428,32.0,0.9309979192912576,2.302404889428869,1.6992075201032883,-0.037460540054969044,2.302100124409178,4.0,-0.11358642578125,-27.386831090344167
17,OOB,196,27,38,131,0.9183673469387755,0.37892693,0.36858484,3,149,2.035978259884246,149,0.8726184016290727,59.392857142857146,0.7973559560760537,51.5,0.33326921425759815,5.066769052600629,-1.066591209332663,5.051849507717427,-0.3885423834881555,4.0,0.0377197265625,-27.569823522887386
18,OOB,224,28,38,158,0.9330357142857143,0.38133833,0.34941515,4,173,2.0711118094811574,173,0.858215303546942,69.71428571428571,0.7400132925252285,61.5,0.3683023210614919,5.462981030548286,-1.4585171734387874,5.461937809920158,-0.10675720441727661,4.0,0.18902587890625,-29.646259656904583
19,OOB,160,17,32,111,0.9625,0.40597725,0.31492573,2,136,2.034488151774122,135,0.9469418190485784,58.44375,0.9065744056170371,55.5,0.3057819064706563,5.530904672450876,-1.5164525440160688,5.449918218041017,-0.9430259341097439,4.0,0.34033203125,-29.8890115140285
20,OOB,57,0,25,32,1.0,0.14478582,0.89152896,1,57,2.030853792242945,56,0.7865941748592604,28.0,0.5471466549479747,28.0,0.10673304647207249,3.2219400305734345,0.786821383871894,2.3165077898216566,-2.239350178133632,4.0,-0.264892578125,-18.340553945110116
21,OOB,167,64,28,75,0.8023952095808383,0.28691578,0.7166972,8,99,2.009684368871205,99,0.8967551844655905,30.59880239520958,0.5495652028704027,16.0,0.22086193412542365,2.0395099079407317,1.9621025015914255,1.1692153780000092,-1.6710882874452524,4.0,-0.11358642578125,-12.509793313952299
22,OOB,84,5,25,54,0.9285714285714286,0.05873533,0.9662368,1,78,2.0216107263250374,78,0.8998715982701397,36.67857142857143,0.8002336586155675,36.5,0.9495927151292564,2.267849371801397,1.7323284714665688,-0.5746457761353895,2.1938375065509628,4.0,0.0377197265625,-27.19568097251942
23,OOB,59,1,25,33,0.9661016949152542,0.06547774,0.947229,1,57,2.0835337109812295,57,0.7216787956566112,28.016949152542374,0.48640457699678574,28.0,0.9093475863337518,2.762772217306043,1.2416916398034554,1.5469703511260953,2.2890594263703496,4.0,0.18902587890625,-16.38009564535435
24,HOME,108,53,25,30,0.6111111111111112,0.2348451,0.9248333,8,54,1.0753534147773551,54,0.27507535109288056,13.953703703703704,0.12589499240829827,3.0,0.35467018559575075,0.18639652709151677,3.8280556013432903,0.1543817267243984,0.10445069538002953,4.0,0.34033203125,100.83333333333333
25,OOB,89,0,25,64,1.0,0.3426769,0.44074726,1,89,2.0950167648844324,88,1.2514146310208205,44.0,1.459065708344814,44.0,0.21040283143520372,4.2480132640751265,-0.23925184962979795,3.814846009943016,-1.8688409809772644,4.0,-0.264892578125,-23.591069610195184
26,OOB,228,31,38,159,0.9122807017543859,0.34998655,0.42502618,3,158,2.0233900061385723,158,0.8338999460254966,60.469298245614034,0.7552193641984017,47.0,0.3679414875805378,4.245245761985643,-0.24363335245348594,4.245009297142504,0.04480677215303698,4.0,-0.11358642578125,-23.518504508372693
27,OOB,283,47,51,185,0.9187279151943463,0.3126256,0.5728836,6,151,2.0033403774041045,151,0.9979272264850324,52.23321554770318,1.090013663824638,42.0,0.35060077160596836,3.116877477083742,0.8833003661842236,3.116849625875712,0.013176373945350716,4.0,0.0377197265625,-17.787727762822815
28,OOB,217,26,38,153,0.9493087557603687,0.33372954,0.47817853,3,141,2.013534323472561,141,0.8510156544482542,54.63594470046083,0.8124698303393215,47.0,0.3436129949986932,3.801612913532987,0.20285094357651134,3.8006089573921655,-0.08736302038735712,4.0,0.18902587890625,-21.221598891137496
29,OOB,161,33,38,90,0.9130434782608695,0.21131685,0.92015463,5,73,2.02261134756525,72,0.7838749190587503,30.198757763975156,0.86944224517057,29.0,0.30882919207215337,2.096612412978238,1.917839715456569,1.1077366546411405,-1.7800851424072066,4.0,0.34033203125,-13.015303364067973
30,OOB,94,0,25,69,1.0,0.3922809,0.39665917,1,94,2.0199266423150624,93,1.2930784910722641,46.5,1.4128544740065707,46.5,0.2301818951964379,4.583051680607564,-0.5742902661622358,4.210122304165306,-1.8108652327242982,4.0,-0.264892578125,-25.207876128346506
31,OOB,102,0,25,77,0.9901960784313726,0.3953436,0.43701404,1,101,2.1115526576167447,101,1.2654083575199988,50.5,1.4588455763441184,50.5,0.21892775781452672,4.135935687666156,-0.1343232781339987,3.7612435647934515,-1.720177566069958,4.0,-0.11358642578125,-23.01487460006589
32,HOME,133,70,25,38,0.5864661654135338,0.23633175,0.9580576,5,62,1.5540382669690043,62,0.40082164845857793,15.12781954887218,0.18180987064343068,4.0,0.7983315326273441,0.14915485391636724,3.8510229893515984,-0.059724909265957166,0.1366751830435432,4.0,0.0377197265625,100.83333333333333
33,OOB,133,31,38,64,0.849624060150376,0.23688044,0.88709027,3,56,2.1159018847278768,56,0.839617993950696,24.007518796992482,0.7462209229239525,23.0,0.2825151532888411,2.064180792563946,1.9402830645455524,1.1776334197462794,-1.6952940373535808,4.0,0.18902587890625,-12.955187145093175
34,OOB,219,71,38,110,0.7990867579908676,0.32295585,0.6464674,7,117,2.0061853028173315,116,0.8778523331720103,35.342465753424655,0.7834908403388798,25.0,0.28613970056176163,2.102521375705867,1.91193075272894,1.6541071710690198,-1.2978927543977339,4.0,0.34033203125,-12.852266562012279
