,idx,reward_sum,n_steps,reason
0,0,-24.424441277049482,299,OOT
1,1,-9.072280429303646,138,OOB
2,2,-9.373099043499678,140,OOB
3,3,110.35792323935311,97,HOME
4,4,-3.118789801024832,100,OOB
5,5,-5.9058928191661835,97,OOB
6,6,-4.184933134820312,105,OOB
7,7,110.62521352572367,96,HOME
8,8,-5.34650065144524,112,OOB
9,9,-3.6854020818136632,194,OOB
10,10,-6.932622464373708,136,OOB
11,11,-6.904584924690425,146,OOB
12,12,-6.481831503086141,161,OOB
13,13,-2.2300391601747833,140,OOB
14,14,-7.850713071995415,160,OOB
15,15,-5.467501102481037,251,OOB
16,16,-4.333697666006628,79,OOB
17,17,-7.977282750071026,196,OOB
18,18,-9.105844191944925,224,OOB
19,19,-7.6254223274299875,160,OOB
20,20,-3.0309405997395515,57,OOB
21,21,-4.0176845248788595,167,OOB
22,22,-4.627265786752105,84,OOB
23,23,-2.695704606361687,59,OOB
24,24,109.62890202947892,108,HOME
25,25,-4.919728072360158,89,OOB
26,26,-8.102814647252671,228,OOB
27,27,-9.077657675836235,283,OOB
28,28,-7.783072862308472,217,OOB
29,29,-4.553347148001194,161,OOB
30,30,-5.5487699173390865,94,OOB
31,31,-5.114591665333137,102,OOB
32,32,109.14800125313923,133,HOME
33,33,-3.978342317743227,133,OOB
34,34,-5.017317693622317,219,OOB
35,35,-6.527484398335218,113,OOB
36,36,-8.199359122663736,166,OOB
37,37,-5.323976401734399,230,OOB
38,38,-3.468095470103435,129,OOB
39,39,-5.860588033217937,207,OOB
40,40,-6.770642841234803,112,OOB
41,41,-6.845055975019932,114,OOB
42,42,-8.829487096518278,167,OOB
43,43,-8.25455337879248,169,OOB
44,44,-3.6057251750316937,99,OOB
45,45,-7.439265932887793,125,OOB
46,46,-7.323301346274093,126,OOB
47,47,-4.272637250513071,100,OOB
48,48,-6.455702880397439,124,OOB
49,49,-4.593292996753007,205,OOB
50,50,-7.5769576523453,127,OOB
51,51,-7.580208372324705,161,OOB
52,52,-6.855298314592801,146,OOB
53,53,110.50613478943706,100,HOME
54,54,-4.401014873292297,211,OOB
55,55,-8.4382439609617,152,OOB
56,56,-5.843915829551406,167,OOB
57,57,-4.189649620631826,78,OOB
