,idx,reward_sum,n_steps,reason
0,0,-28.405380077660084,55,OOB
1,1,-9.729807836003602,80,OOB
2,2,-16.752022392174695,268,OOB
3,3,-9.622818733972963,299,OOT
4,4,-14.75790178598254,268,OOB
5,5,-7.910876778885722,108,OOB
6,6,-7.551783649483696,122,OOB
7,7,-8.56866590701975,146,OOB
8,8,-13.903286763234064,245,OOB
9,9,-14.13520342065749,254,OOB
10,10,-7.967840859666467,107,OOB
11,11,-7.831803539942484,118,OOB
12,12,-7.750442984513938,120,OOB
13,13,-8.691098655108362,143,OOB
14,14,-12.027933774137637,214,OOB
15,15,-7.079443357884884,85,OOB
16,16,-7.7245022226125,104,OOB
17,17,-7.747988292016089,108,OOB
18,18,-9.184021062450483,140,OOB
19,19,-11.972164538531615,206,OOB
20,20,-6.72302446141839,75,OOB
21,21,-7.600663140416145,99,OOB
22,22,-7.717098512221128,98,OOB
23,23,-9.829004524261109,142,OOB
24,24,-12.445415717025753,217,OOB
25,25,-6.797707645222545,75,OOB
26,26,-7.721757434308529,98,OOB
27,27,-9.36959318537265,121,OOB
28,28,-9.384003532934003,122,OOB
29,29,-12.875075883152022,212,OOB
30,30,-6.6910932548344135,71,OOB
31,31,-7.356451790779829,87,OOB
32,32,-9.124521094141528,116,OOB
33,33,-11.53851046183263,170,OOB
34,34,-12.712541226763278,216,OOB
35,35,-6.836692007258534,71,OOB
36,36,-7.935789605602622,87,OOB
37,37,-10.640559024643153,155,OOB
38,38,-14.150248780249967,222,OOB
39,39,-11.974873998668045,194,OOB
40,40,-8.62622694298625,103,OOB
41,41,-9.060457344166934,124,OOB
42,42,-11.798879381851293,182,OOB
43,43,-13.995386739145033,222,OOB
44,44,-14.8187434572028,249,OOB
45,45,-8.684318797662854,107,OOB
46,46,-8.818918819422834,122,OOB
47,47,-10.469622438191436,164,OOB
48,48,-13.479905394546222,211,OOB
49,49,-13.823634301312268,220,OOB
50,50,-8.109875798225403,98,OOB
51,51,-8.725684122182429,120,OOB
52,52,-8.348601989680901,119,OOB
53,53,-12.916210281662643,213,OOB
54,54,-13.745786063431296,225,OOB
55,55,-7.534139171242714,86,OOB
56,56,-8.559747694060206,110,OOB
57,57,-8.551207967568189,115,OOB
58,58,-10.730113801546395,168,OOB
59,59,-11.966791245678905,191,OOB
60,60,-7.073462309315801,76,OOB
61,61,-8.48475481197238,107,OOB
62,62,-8.283562771975994,101,OOB
63,63,-10.01656533498317,150,OOB
64,64,-13.243664084060583,220,OOB
65,65,-7.296092696487904,80,OOB
