idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOB,64,0,25,39,1.0,0.09648618,0.46843907,1,64,2.0157426787541772,63,0.9891727902522931,31.5,0.8290010876551427,31.5,0.11996899545192735,4.311429425726992,-0.23533387463226774,3.6025624656671456,-2.3685369690994555,4.0,-0.783935546875,-23.853064136870437
1,OOB,93,15,25,53,0.8279569892473119,0.13650568,0.5165776,1,77,2.066123327184429,77,0.806719839568273,32.29032258064516,0.6457321605043994,31.0,0.15953340753912937,5.271407611339638,-1.2613428494212968,4.720645218798554,-2.3459000241109638,4.0,-0.283935546875,-28.717703507269636
2,OOT,299,90,25,184,0.7224080267558528,0.14945239,0.40099096,6,208,1.522735283825373,208,0.5283416357630424,72.74247491638796,0.4657910297740738,59.0,0.11138554289937042,8.709523730656963,-4.709136438424622,8.49593269818071,-1.917011007495951,4.0,0.0556640625,-0.2502809989763619
3,OOB,298,72,38,188,0.8087248322147651,0.12699705,0.37270045,5,193,2.0110854945949366,192,0.7000832966293699,65.51342281879195,0.5243266812682423,44.0,0.11890659853816057,8.54575683381107,-4.526275104743988,8.215411140767793,-2.3530787600029583,4.0,0.395263671875,-44.99171234060387
4,OOB,217,34,38,145,0.8940092165898618,0.09786847,0.33948407,2,124,2.018608294742655,123,0.702492549897172,46.59447004608295,0.5633164619774728,43.0,0.13252276182174644,6.344651243963086,-2.245688321200902,5.943726728527462,-2.2196197836815585,4.0,0.895263671875,-33.99458199404785
5,OOB,102,0,25,77,1.0,0.054603923,0.31336012,1,102,2.0558808109510087,101,0.9755922658030417,50.5,0.9742409198422879,50.5,0.14310299418866618,5.117631573576436,-1.0415360224817123,4.567211804107826,-2.3088372093511844,4.0,-0.783935546875,-27.908411265579197
6,OOB,113,11,25,77,0.8938053097345132,0.08798471,0.41533467,1,101,2.03479037101337,101,0.8584724413910789,45.584070796460175,0.7345355491798187,45.0,0.14857713133096684,4.760343734861252,-0.75027897294291,4.184613973839548,-2.269334343806473,4.0,-0.283935546875,-26.10623028087678
7,OOB,162,53,25,84,0.7222222222222222,0.16399536,0.5230871,4,108,2.0148898173831102,108,0.7002302204293721,36.48765432098765,0.5155262600558462,27.5,0.1452637575566769,6.0218123375623245,-2.021425045329983,5.565698297715643,-2.29896200221383,4.0,0.0556640625,-32.383172841188646
8,OOB,212,71,38,103,0.7358490566037735,0.17152189,0.490928,4,119,2.096161309597064,118,0.6347201821284105,35.79716981132076,0.4123561932063373,23.0,0.14117094688117496,7.370913859985825,-3.3514321309187416,6.981174447410261,-2.3650738817544723,4.0,0.395263671875,-39.2057719937389
9,OOB,235,72,38,125,0.7659574468085106,0.15382218,0.4545825,4,115,2.015235929745339,114,0.6462535705646055,35.48085106382979,0.5641624398107096,28.0,0.13989073410630248,7.390726236907835,-3.2917633141456504,7.058016512714549,-2.192541268748799,4.0,0.895263671875,-39.22342945775607
10,OOB,105,0,25,80,1.0,0.042421926,0.27058566,1,105,2.036784616405794,104,0.9964106213215043,52.0,0.9595924163798807,52.0,0.1434911899268626,5.169688410746629,-1.0935928596519053,4.677295497615575,-2.2019502928524695,4.0,-0.783935546875,-28.150420691972943
11,OOB,118,9,25,84,0.9152542372881356,0.07173317,0.34984753,1,108,2.0211225474997128,108,0.9516801662499579,49.88135593220339,0.8352853886458828,49.5,0.14798772707581487,4.903993610132975,-0.8939288482146335,4.3394943350713895,-2.2842815597269017,4.0,-0.283935546875,-26.811422216033858
12,OOB,136,30,25,81,0.7720588235294118,0.13032457,0.4626459,1,105,2.0012748979793185,105,0.79612981572192,40.919117647058826,0.6538789117242669,37.5,0.14976904354989523,5.532242100706829,-1.5318548084744874,5.0447255007537315,-2.270781205417669,4.0,0.0556640625,-29.928410993677012
13,OOB,226,93,38,95,0.6902654867256637,0.19038215,0.5237502,6,115,2.023087227826054,114,0.5849206624224328,31.141592920353983,0.344363644727001,15.5,0.14501824975013733,7.408389693990169,-3.388907964923086,7.029387590983806,-2.339219518074914,4.0,0.395263671875,-39.32203191383239
14,OOB,240,75,38,127,0.7458333333333333,0.14647071,0.45031023,3,122,2.010340256087387,121,0.688927694996625,36.96666666666667,0.5805192082874535,28.0,0.1432953327894212,7.130473784465708,-3.0315108617035236,6.744896629023296,-2.3130122902273746,4.0,0.895263671875,-37.920966541717426
15,OOB,100,0,25,75,1.0,0.04230613,0.26793042,1,100,2.0115922217447944,99,1.0888838365218372,49.5,1.0425963705818608,49.5,0.1458094324916599,5.127521446215523,-1.0514258951207989,4.609965774200552,-2.2449257765234982,4.0,-0.783935546875,-27.917218614600262
16,OOB,110,4,25,81,0.9545454545454546,0.067433,0.3103619,1,105,2.0108643077454063,105,0.9919159694311511,50.59090909090909,0.9472477995089577,50.5,0.14954282157123097,5.122076126721992,-1.1120113648036503,4.5939568790896,-2.26522052811657,4.0,-0.283935546875,-27.891003637786806
17,OOB,109,9,25,75,0.908256880733945,0.08740229,0.35763165,1,99,2.002129676723003,99,0.9195297806178575,45.41284403669725,0.7793565357464513,45.0,0.15232422575354576,5.521593996272366,-1.5212067040400248,5.042010252474628,-2.2508071604675,4.0,0.0556640625,-29.878120218325474
18,OOB,230,109,34,87,0.6130434782608696,0.22338204,0.57709974,5,112,2.04646810995441,111,0.5498325058905705,28.030434782608694,0.23212331934879699,8.5,0.14594169333577167,7.760715939445656,-3.7412342103785727,7.406834025785001,-2.31679123082755,4.0,0.395263671875,-41.1076220963064
19,OOB,235,75,38,122,0.7829787234042553,0.1466343,0.447201,4,122,2.0679886677706434,121,0.6996200507396474,36.838297872340426,0.548455669240101,27.0,0.14479515701532336,7.199072482798244,-3.10010956003606,6.798381817160128,-2.368258702230277,4.0,0.895263671875,-38.32354877221768
20,OOB,98,0,25,73,1.0,0.042251498,0.26281166,1,98,2.0948071821091734,97,1.1371173010368385,48.5,1.1302099439287976,48.5,0.14689458347857007,5.160757877256158,-1.0846623261614337,4.628575943523344,-2.282478171352023,4.0,-0.783935546875,-28.168216576018338
21,OOB,105,2,25,78,0.9714285714285714,0.064168505,0.2995052,1,102,2.041700041766419,102,1.0343547464439231,50.02857142857143,0.9901446021126394,50.0,0.1502843722701075,5.235387539854443,-1.2253227779361016,4.719259687269511,-2.266687163367729,4.0,-0.283935546875,-28.488511770358556
22,OOB,109,5,25,79,0.944954128440367,0.07831854,0.3344272,1,103,2.033356990831677,103,0.947214284185402,49.137614678899084,0.8497308828413581,49.0,0.15301373973488824,5.539459682825289,-1.5390723905929473,5.0469320977547385,-2.2834381923537594,4.0,0.0556640625,-30.000007092034444
23,OOB,174,66,25,83,0.6436781609195402,0.18584195,0.54816985,4,108,2.020530895818287,107,0.6743367906812663,33.235632183908045,0.5275075023525337,20.5,0.15026553720235825,6.838093075968032,-2.8186113469009486,6.427147007041379,-2.3348015473442234,4.0,0.395263671875,-36.47378193988706
24,OOB,220,73,38,109,0.7454545454545455,0.1573966,0.4678521,4,116,2.165952528648736,115,0.6641300732469373,34.481818181818184,0.5156559850507438,24.0,0.14879152923822375,7.2261276479039696,-3.1271647251417853,6.827692371426779,-2.3663342251175594,4.0,0.895263671875,-38.558472313044014
25,OOB,91,0,25,66,1.0,0.037105605,0.26792812,1,91,2.0018087605776103,90,1.1453320409032786,45.0,1.1486893140646135,45.0,0.1496785543859005,5.107240297962583,-1.0311447468678585,4.587685677703544,-2.2443358892391094,4.0,-0.783935546875,-27.80898772967985
26,OOB,104,2,25,77,0.9711538461538461,0.059284322,0.30334952,1,101,2.0583638951636107,101,1.063432218148166,49.52884615384615,1.0266512186741457,49.5,0.15270286984741693,5.190040869677242,-1.1799761077589004,4.6570321105468695,-2.2909771169209594,4.0,-0.283935546875,-28.281595060024816
27,OOB,124,22,25,77,0.8709677419354839,0.1197258,0.4126975,2,101,2.0945939514315914,101,0.8765170076464709,41.766129032258064,0.7430693206476955,39.5,0.15502353198826288,5.856459584216109,-1.856072291983768,5.379819271804363,-2.3142306419799845,4.0,0.0556640625,-31.64636268609844
28,OOB,158,49,25,84,0.7151898734177216,0.1549986,0.5023325,3,109,2.0029331225262985,108,0.6923485736591268,37.29746835443038,0.5229788398502568,29.5,0.15382840484380728,6.771313668258135,-2.751831939191052,6.35928278312078,-2.325986087284933,4.0,0.395263671875,-36.124515573365144
29,OOB,214,72,38,104,0.7616822429906542,0.15229361,0.4709867,4,112,2.040999444521596,111,0.633298363256082,33.28504672897196,0.45692756303757165,23.0,0.15318567678332318,6.978361467522892,-2.879398544760708,6.587993359308739,-2.3012762261649953,4.0,0.895263671875,-37.196733767050766
30,OOB,86,0,25,61,1.0,0.04953204,0.28618813,1,86,2.0536220132378773,85,1.1772525429587477,42.5,1.1663236701079867,42.5,0.1537652220577001,5.059480055548634,-0.9833845044539098,4.515661084450554,-2.2819166073441983,4.0,-0.783935546875,-27.626154391761162
31,OOB,101,2,25,74,0.9702970297029703,0.07423956,0.3341334,1,98,2.0149348145469315,98,1.0516103675465012,48.02970297029703,0.9422064175474252,48.0,0.15771677345037455,5.810268931835384,-1.8002041699170421,5.311115144425236,-2.3561156556732077,4.0,-0.283935546875,-31.338232154355527
32,OOB,124,21,25,78,0.8387096774193549,0.116561964,0.42199823,2,102,2.0138492531824284,102,0.7851649869303745,42.38709677419355,0.6180477178666248,40.5,0.15890172123909016,6.209594798069854,-2.2092075058375125,5.785724120510789,-2.254875596913462,4.0,0.0556640625,-33.33098525231619
33,OOB,159,49,25,85,0.6918238993710691,0.1572599,0.49816746,1,110,2.1251474219460516,109,0.694412593146868,37.704402515723274,0.5074273255583098,30.0,0.15814155712723704,6.930783231331587,-2.9113015022645037,6.511772392074639,-2.3733049769301973,4.0,0.395263671875,-37.04639971639671
34,OOB,187,53,38,96,0.7754010695187166,0.14632443,0.45934275,2,107,2.0159057665114735,106,0.6100806742391792,34.288770053475936,0.4182663670880144,26.0,0.15866691246628783,6.98716594389901,-2.8882030211368255,6.6069831087580475,-2.2733812104809856,4.0,0.895263671875,-37.2180319610712
35,OOB,78,0,25,53,1.0,0.062998086,0.30153063,1,78,2.024865788479014,77,1.184156949930162,38.5,1.1216369229895973,38.5,0.15895167179405667,5.042434394089539,-0.9663388429948148,4.506090791194288,-2.2630268226892865,4.0,-0.783935546875,-27.515333756643727
36,OOB,121,19,25,77,0.8512396694214877,0.10681461,0.4054585,2,101,2.1319039938148743,101,0.8996984524507431,42.59504132231405,0.7729620926420506,41.0,0.1613134816288947,5.917877702768142,-1.9078129408498006,5.424257427074219,-2.366158885144976,4.0,-0.283935546875,-31.99550168494555
37,OOB,165,59,25,81,0.6909090909090909,0.17904928,0.5340328,4,105,2.0445951678797427,105,0.6375596632034338,33.90909090909091,0.44005001242316355,23.0,0.1598793752491472,7.031444652295325,-3.0310573600629835,6.639022024203156,-2.316160715589044,4.0,0.0556640625,-37.469285925244805
38,OOB,168,68,25,75,0.6845238095238095,0.20091006,0.5360501,3,100,2.0106690396591187,99,0.6440672126072481,29.857142857142858,0.4719530850742084,15.5,0.15797409415245062,6.711910822431239,-2.692429093364156,6.320299126240327,-2.25910731111104,4.0,0.395263671875,-35.83790749793196
39,OOB,249,108,38,103,0.6586345381526104,0.2026371,0.5486392,6,119,2.0224380400186814,118,0.5789178612247614,30.6144578313253,0.34785295221488544,14.0,0.15531075745820966,7.918901733806862,-3.819938811044678,7.544175733399638,-2.4071595653951503,4.0,0.895263671875,-41.88161897180281
40,OOB,100,0,25,75,1.0,0.07127429,0.25887263,1,100,2.018712698673835,99,1.1104891675861688,49.5,1.0529860310130021,49.5,0.15568567439913764,5.532702765008724,-1.4203747418823287,5.059451735392004,-2.2389167075114735,4.0,-0.95458984375,-29.955452113219902
