idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOB,60,0,25,35,1.0,0.1020556,0.46253103,1,60,2.0016950583236484,59,0.9151052355810384,29.5,0.7434011996880315,29.5,0.11961555108428007,4.257834306477306,-0.18604454931236258,3.639781695560249,-2.2093307108895295,4.0,-0.76123046875,-23.55677763925376
1,OOB,107,15,25,67,0.8504672897196262,0.11767926,0.45118895,1,91,2.026539503636543,91,0.8087637990692957,39.12149532710281,0.6924181230244761,38.0,0.1451386064291002,5.3502299276083995,-1.3417088340124899,4.81076970561621,-2.3412507592741756,4.0,-0.26123046875,-29.05503604534764
2,OOB,214,58,25,131,0.7663551401869159,0.13441916,0.42158133,3,155,2.018121870200547,155,0.7141892278940499,56.62149532710281,0.608328450602525,48.5,0.1333850510418415,6.85052000543809,-2.8498561970233,6.4371091855720515,-2.3437682645542024,4.0,0.0728759765625,-36.52897190615951
3,OOB,205,53,38,114,0.8146341463414634,0.14216363,0.43804666,4,123,2.0796720407890015,122,0.6994492221843297,40.63414634146341,0.4919275415814087,30.0,0.14313318580389045,6.892779975111071,-2.872128946768119,6.468768843573981,-2.3802196187954427,4.0,0.406982421875,-36.80425764822257
4,OOB,286,90,38,158,0.7342657342657343,0.16021518,0.45278835,4,153,2.058180077104212,152,0.6842900456185927,45.86363636363637,0.5615203174228014,32.0,0.1385445035994053,8.412419617605556,-4.310881233829264,8.055798218976614,-2.423410587954098,4.0,0.906982421875,-44.378224611088285
5,OOB,116,0,25,91,1.0,0.047820177,0.27348244,1,116,2.0101910142076935,115,0.9914064699632937,57.5,0.9296292635747168,57.5,0.1483394503593444,5.455960980439777,-1.3841712232748336,4.923688068406097,-2.350490592433165,4.0,-0.76123046875,-29.561327931787556
6,OOB,113,12,25,76,0.8849557522123894,0.09940045,0.37878707,1,100,2.046497495759995,100,0.8942229656472884,44.690265486725664,0.7859091145063883,44.0,0.15602406486868853,5.475873422694537,-1.4673523290986275,4.976413421446286,-2.284841176148062,4.0,-0.26123046875,-29.69929507318002
7,OOB,233,93,29,111,0.6738197424892703,0.1960981,0.5143069,5,135,2.129322397029069,135,0.6491287534142175,39.987124463519315,0.4534218695963342,19.0,0.14395302906632385,7.688945463582443,-3.6882816551676525,7.307700355734588,-2.3911080805228364,4.0,0.0728759765625,-40.83552530192617
8,OOB,262,90,38,134,0.7290076335877863,0.16671024,0.45669603,4,149,2.102424084187875,148,0.6683590063822914,44.43511450381679,0.46620068687228516,26.0,0.13811945915222185,8.200122748730948,-4.179471720387996,7.848828167870751,-2.374428243913357,4.0,0.406982421875,-43.36360976447187
9,OOB,274,72,38,164,0.7992700729927007,0.13020886,0.3956263,4,144,2.013526682714195,143,0.7047836289562724,46.434306569343065,0.6257402612305929,38.0,0.1399408467113971,8.046256752481025,-3.9447183687047325,7.699657327369269,-2.336134578301348,4.0,0.906982421875,-42.505497765284794
10,OOB,124,0,25,99,1.0,0.034714982,0.23973043,1,124,2.0188386019085867,123,1.0314341277018526,61.5,1.0203960243741097,61.5,0.14513387717306617,5.515596592895999,-1.4438068357310563,5.0172468963700565,-2.2910782082746524,4.0,-0.76123046875,-29.865971494049415
11,OOB,124,7,25,92,0.9354838709677419,0.07470092,0.31323072,1,116,2.070680891927348,116,0.977851908638203,54.725806451612904,0.9382625437642527,54.5,0.15049437619745748,5.289888831812666,-1.2813677382167565,4.769642184920026,-2.2876707107378214,4.0,-0.26123046875,-28.792137999693097
12,OOB,166,48,25,93,0.7650602409638554,0.14964603,0.46166897,2,117,2.032275555962997,117,0.7622545656033121,41.91566265060241,0.5935045264925478,34.5,0.1501212157309054,6.298695835003361,-2.2980320265885705,5.863775936160061,-2.2999349974290326,4.0,0.0728759765625,-33.79246279053935
