,idx,reward_sum,n_steps,reason
0,0,-28.754606388509274,60,OOB
1,1,-11.021407621810795,107,OOB
2,2,-13.587648344226182,214,OOB
3,3,-12.185822902400105,205,OOB
4,4,-16.125524882110767,286,OOB
5,5,-8.783016349188983,116,OOB
6,6,-8.539290874032304,113,OOB
7,7,-13.505657605128363,233,OOB
8,8,-15.080968268885044,262,OOB
9,9,-15.620093120960519,274,OOB
10,10,-9.10243876837194,124,OOB
11,11,-8.511531411204487,124,OOB
12,12,-10.267047742687282,166,OOB
13,13,-12.813914772123098,218,OOB
14,14,-16.20807631558273,297,OOB
15,15,-8.857160184532404,117,OOB
16,16,-8.572010412812233,120,OOB
17,17,-10.336583112366498,140,OOB
18,18,-13.582980382896494,239,OOB
19,19,-13.805431511136703,235,OOB
20,20,-8.38854356482625,106,OOB
21,21,-8.586184553802013,111,OOB
22,22,-9.055395987816155,112,OOB
23,23,-10.07187248999253,159,OOB
24,24,-13.834759298610152,243,OOB
25,25,-7.764450512826443,93,OOB
26,26,-8.06064297480043,100,OOB
27,27,-9.62271726760082,128,OOB
28,28,-10.898400056408718,172,OOB
29,29,-14.492151408398058,260,OOB
30,30,-7.807933535426855,93,OOB
31,31,-8.350779199972749,102,OOB
32,32,-11.414338242379017,170,OOB
33,33,-10.423575389781035,161,OOB
34,34,-13.839110922883265,240,OOB
35,35,-7.928889434784651,93,OOB
36,36,-9.878846376435831,128,OOB
37,37,-13.119290546601405,222,OOB
38,38,-11.821810851703049,185,OOB
39,39,-16.313227436316083,287,OOB
40,40,-9.129401130601764,113,OOB
41,41,-9.628965646028519,140,OOB
42,42,-11.773065260320436,179,OOB
43,43,-14.313350579468533,236,OOB
44,44,-15.089717831113376,249,OOB
45,45,-9.034831738099456,115,OOB
46,46,-9.313984880354838,136,OOB
47,47,-9.74334318144247,135,OOB
48,48,-12.483683445549104,200,OOB
49,49,-13.544366078451276,226,OOB
50,50,-8.22901458851993,100,OOB
