idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOB,75,16,25,34,0.7733333333333333,0.17330086,0.56994075,1,58,2.0700460895250323,58,0.7242271651648203,22.813333333333333,0.5068621182658949,21.0,0.2853527776896953,5.280526983941584,-1.270600041184835,5.257793133529192,-0.4894656199862121,4.0,0.281982421875,-28.890367053792133
1,OOB,135,22,25,88,0.8518518518518519,0.15385449,0.47072828,3,112,2.0074712972320934,112,0.9427268703868,46.903703703703705,1.0136104135307764,45.0,0.27994927018880855,6.364455367434545,-2.3419934551910675,6.302967968658418,-0.8825456986085044,4.0,0.42449951171875,-34.07939147400675
2,OOB,288,104,45,139,0.7326388888888888,0.17900395,0.46035132,5,156,2.013930512458638,156,0.6205174005874095,44.88194444444444,0.3729815815708656,22.0,0.13434022292494754,6.980986469082233,-2.9409978767162244,6.877237159412231,-1.1990751163746192,4.0,0.5670166015625,-37.13091844198777
3,OOB,268,86,38,144,0.7798507462686567,0.14448512,0.44802326,5,158,2.0602891237126357,158,0.6330867883835946,49.33955223880597,0.3637664155104233,29.5,0.14391780272126214,7.175953567979996,-3.113511191866757,7.089560106281683,-1.1101563444957179,4.0,0.70953369140625,-38.154265999827764
4,OOB,282,81,51,150,0.8085106382978723,0.15294965,0.41576374,5,148,2.02292271446338,148,0.573810146226226,44.145390070921984,0.3348712381040766,27.5,0.146346103399992,7.448760836725709,-3.3590187258061546,7.366660720631975,-1.1028816028190316,4.0,0.85205078125,-39.47784740176654
5,OOB,131,14,25,92,0.8931297709923665,0.10368714,0.37318283,2,116,2.069397281454838,116,1.0364870986513985,51.80916030534351,1.0301395242529676,51.0,0.18468448892235773,4.986634722993706,-0.976707780236957,4.897776131549823,-0.9371845206720881,4.0,0.281982421875,-27.20824513260299
6,OOB,165,38,25,102,0.7696969696969697,0.13908581,0.45630887,2,126,2.0401757381646446,126,0.8089085907819351,48.4969696969697,0.8369163682888716,44.0,0.1327456384897231,5.4163231292021905,-1.3938612169587126,5.336949658869247,-0.9238639394553894,4.0,0.42449951171875,-29.367766852775276
7,OOB,211,59,25,127,0.7440758293838863,0.15161648,0.50379676,6,151,2.039969264906757,151,0.6438828547086709,54.4218009478673,0.4988986198924218,46.0,0.15749882534146314,6.601141742374804,-2.5611531500087947,6.542180453766395,-0.8803108617300917,4.0,0.5670166015625,-35.290466002730376
8,OOT,299,117,55,127,0.725752508361204,0.19309694,0.47575384,5,136,1.9640453939023177,136,0.5858489162633652,35.04347826086956,0.33597361754948857,17.0,0.14856277406215712,7.167732477927644,-3.105290101814405,7.062909988235572,-1.221348178539174,4.0,0.70953369140625,-0.21241524401382142
9,OOT,299,137,64,98,0.6722408026755853,0.21134953,0.49946213,6,84,1.013681715548484,84,0.30424488467790944,19.39799331103679,0.26798264783581843,12.0,0.1979688629508019,8.412501210810426,-4.322759099890871,8.409636483873166,-0.21952410117402207,4.0,0.85205078125,-0.20630965468761067
10,OOB,161,7,25,129,0.9503105590062112,0.07462509,0.28199503,1,153,2.0189886987181316,153,1.128186535019594,73.17391304347827,1.235287012300392,73.0,0.14138396829366678,5.055403364604606,-1.045476421847857,4.939313601955194,-1.0771649457701353,4.0,0.281982421875,-27.54479131076626
11,OOB,136,9,25,102,0.9264705882352942,0.0889851,0.3139948,1,126,2.0133005819590797,126,0.9830794171811723,58.830882352941174,1.0340325466490214,58.5,0.17741251550614837,4.994293020631968,-0.9718311083884901,4.933088265131806,-0.7794888994412034,4.0,0.42449951171875,-27.198721339822782
12,OOB,132,13,25,94,0.9015151515151515,0.09216649,0.3551186,2,118,2.0245356902674603,118,1.0652002122377526,53.196969696969695,1.0772896481559564,52.5,0.16782143898308277,4.906154476799893,-0.866165884433884,4.82532882124661,-0.8868785244160702,4.0,0.5670166015625,-26.768391464654222
