,idx,reward_sum,n_steps,reason
0,0,-28.032066270709038,75,OOB
1,1,-11.426894852425903,135,OOB
2,2,-15.150155309354886,288,OOB
3,3,-14.999575220659608,268,OOB
4,4,-16.383663847198477,282,OOB
5,5,-8.715748956194147,131,OOB
6,6,-9.800579815113451,165,OOB
7,7,-12.538792499806732,211,OOB
8,8,-9.747310243430547,299,OOT
9,9,-10.596023985512147,299,OOT
10,10,-10.282467264682055,161,OOB
11,11,-9.237998452037573,136,OOB
12,12,-8.908839815296233,132,OOB
13,13,-11.460143246280495,202,OOB
14,14,-9.97113561630249,299,OOT
15,15,-10.037260822951794,149,OOB
16,16,-9.701191365718842,141,OOB
17,17,-9.498902128136251,133,OOB
18,18,-10.084232261637226,135,OOB
19,19,-11.029150718692108,189,OOB
20,20,-8.538973957300186,96,OOB
21,21,-8.720309434924275,99,OOB
22,22,-8.483785940683447,96,OOB
23,23,-9.054438983032014,105,OOB
24,24,-10.562714176019654,153,OOB
25,25,-8.317407630383968,82,OOB
26,26,-8.721360051538795,87,OOB
27,27,-9.355887814890593,93,OOB
28,28,-10.132095045293681,96,OOB
29,29,-10.081803933833726,132,OOB
30,30,-8.040514703840017,77,OOB
31,31,-8.334389057010412,78,OOB
32,32,-11.811033981852233,159,OOB
33,33,-12.572172239422798,172,OOB
34,34,-13.140267117880285,176,OOB
35,35,-7.833184530958533,72,OOB
36,36,-7.888743935152888,72,OOB
37,37,-12.186287616379559,179,OOB
38,38,-13.186927503207698,229,OOB
39,39,-12.819414374389453,223,OOB
40,40,-9.431077220942825,138,OOB
41,41,-12.26831544241577,227,OOB
42,42,-14.504196542489808,252,OOB
43,43,-9.767794691722884,299,OOT
44,44,-10.350246183923446,299,OOT
45,45,-9.550778752192855,151,OOB
46,46,-9.555368117289618,151,OOB
47,47,-13.316102001874242,236,OOB
48,48,-16.931344972574152,299,OOB
49,49,-13.192080416949466,207,OOB
50,50,-8.955340541899204,138,OOB
51,51,-8.88170744664967,140,OOB
52,52,-9.661607411690056,149,OOB
53,53,-14.542727865686174,259,OOB
54,54,-9.440641723223962,299,OOT
55,55,-8.987720413133502,134,OOB
56,56,-8.984883087221533,133,OOB
57,57,-9.216350754722953,141,OOB
58,58,-9.407071164809167,138,OOB
59,59,-11.565272806328721,203,OOB
60,60,-9.267815496772528,131,OOB
61,61,-9.607524253427982,137,OOB
62,62,-9.238611360546201,129,OOB
63,63,-11.630181353539228,199,OOB
64,64,-12.535104091090034,221,OOB
65,65,-9.026239283382893,119,OOB
66,66,-10.10261168301804,136,OOB
67,67,-10.838905510492623,160,OOB
68,68,-12.632589938992169,212,OOB
69,69,-9.869374576199334,299,OOT
70,70,-9.129656333476305,120,OOB
71,71,-10.736804887419567,153,OOB
72,72,-13.131812104489654,190,OOB
73,73,-14.93654875982611,260,OOB
74,74,-14.602425393721205,259,OOB
75,75,-10.341287054121494,132,OOB
76,76,-11.463567565195262,163,OOB
77,77,-16.492839178739814,294,OOB
78,78,-10.31364202441182,299,OOT
79,79,-12.56876717240084,224,OOB
80,80,-12.785864423960447,152,OOB
81,81,-15.033872975036502,201,OOB
82,82,-9.978765606909292,299,OOT
83,83,-18.28498433419736,293,OOB
84,84,-8.613151037508942,299,OOT
85,85,-13.675752519164234,186,OOB
86,86,-14.960550901429087,221,OOB
87,87,-9.182751854881644,299,OOT
88,88,-9.676693420420634,299,OOT
89,89,-10.035096604085993,299,OOT
90,90,-13.259620547411032,175,OOB
91,91,-13.380477571859956,177,OOB
92,92,-16.360435329610482,256,OOB
93,93,-9.1605977313302,299,OOT
94,94,-10.23667023156304,299,OOT
95,95,-12.995429396629333,169,OOB
96,96,-12.73117071390152,164,OOB
97,97,-13.749504318926483,177,OOB
98,98,-15.662089656267199,240,OOB
99,99,-9.341279864660464,299,OOT
100,100,-12.649842912331223,153,OOB
101,101,-12.329385015182197,144,OOB
102,102,-13.308731787838042,163,OOB
103,103,-14.640071101603098,196,OOB
104,104,-9.711628321208991,299,OOT
105,105,-12.086497217416763,129,OOB
106,106,-12.279523465782404,130,OOB
107,107,-12.363219467923045,104,OOB
108,108,-16.228162793442607,207,OOB
109,109,-15.581598928547464,231,OOB
110,110,-10.89761570841074,91,OOB
111,111,-11.38611675798893,93,OOB
112,112,-15.673521080985665,181,OOB
113,113,-15.607262765523046,200,OOB
114,114,-15.294658182625426,221,OOB
115,115,-10.643189691007137,87,OOB
116,116,-10.98673539236188,87,OOB
117,117,-16.47716567059979,213,OOB
118,118,-15.852607295964845,248,OOB
119,119,-16.041131815873086,214,OOB
120,120,-12.64860175922513,145,OOB
121,121,-13.32950896024704,156,OOB
122,122,-15.855008088401519,253,OOB
123,123,-10.113006086410678,299,OOT
124,124,-8.405540514271706,299,OOT
125,125,-14.053502384573221,180,OOB
126,126,-12.862060762010515,184,OOB
127,127,-16.33700134199171,273,OOB
128,128,-9.55436806747457,299,OOT
129,129,-10.160359686939046,299,OOT
130,130,-13.224888662341982,171,OOB
131,131,-13.721194362966344,180,OOB
132,132,-13.940470656030811,221,OOB
133,133,-13.927520696888678,239,OOB
134,134,-17.18877039338986,294,OOB
135,135,-13.455574173480272,169,OOB
136,136,-12.980381168425083,168,OOB
137,137,-14.036472245119512,181,OOB
138,138,-16.18494344467763,265,OOB
139,139,-15.758235804882133,261,OOB
140,140,-13.07160960137844,160,OOB
141,141,-13.140633377246559,166,OOB
142,142,-13.491041334811598,170,OOB
143,143,-15.216263196663931,212,OOB
144,144,-15.601417535042856,254,OOB
145,145,-12.586613278836012,149,OOB
146,146,-13.05012034997344,162,OOB
147,147,-13.95127375680022,172,OOB
148,148,-15.38107149116695,210,OOB
149,149,-14.479386938852258,229,OOB
150,150,-12.486728392541409,147,OOB
151,151,-12.590752650750801,153,OOB
152,152,-14.648237064480782,177,OOB
153,153,-15.655499355867505,215,OOB
154,154,-17.16284145350801,291,OOB
155,155,-12.07955165579915,138,OOB
156,156,-12.404896007850766,148,OOB
157,157,-13.546806832309812,190,OOB
158,158,-15.822730842774035,272,OOB
159,159,-15.947020944848191,252,OOB
160,160,-11.868038702290505,83,OOB
161,161,-16.92506424749081,262,OOB
162,162,-17.97176694974769,286,OOB
163,163,-18.168603407160845,289,OOB
164,164,-10.811807534657419,299,OOT
165,165,-16.500677118543535,214,OOB
166,166,-16.623416250455193,219,OOB
167,167,-8.07654232418281,299,OOT
168,168,-8.528872632494313,299,OOT
169,169,-9.37550986558199,299,OOT
170,170,-15.352670300984755,193,OOB
171,171,-15.637106191483326,193,OOB
172,172,-15.6570249798242,197,OOB
173,173,-17.068706017860677,294,OOB
174,174,-9.184168865409447,299,OOT
175,175,-15.585750114172697,180,OOB
176,176,-15.552670796401799,195,OOB
177,177,-15.804181451909244,200,OOB
178,178,-15.756160110933706,199,OOB
179,179,-16.568685313854076,254,OOB
180,180,-14.791509296745062,162,OOB
181,181,-14.91247701086104,172,OOB
182,182,-14.899989078752697,171,OOB
183,183,-14.644507237710059,167,OOB
184,184,-16.172067879262613,237,OOB
185,185,-13.607797188684344,127,OOB
186,186,-14.339507404714823,158,OOB
187,187,-13.595229330472648,124,OOB
188,188,-15.617601002100855,223,OOB
189,189,-17.83518976403866,291,OOB
190,190,-13.328554183244705,119,OOB
191,191,-13.74660929851234,139,OOB
192,192,-15.054173981750864,213,OOB
193,193,-15.539263256359845,230,OOB
194,194,-17.776026086648926,287,OOB
195,195,-11.548883251845837,81,OOB
196,196,-13.48614619858563,134,OOB
197,197,-16.103852097992785,228,OOB
198,198,-16.241181436693296,230,OOB
199,199,-15.303169106438872,221,OOB
200,200,-14.162920350208879,159,OOB
201,201,-14.904074182733893,176,OOB
202,202,-16.183944732008968,261,OOB
203,203,-8.859224871266633,299,OOT
204,204,-17.184903895977186,268,OOB
205,205,-15.982605621218681,205,OOB
206,206,-15.717758850194514,222,OOB
207,207,-15.79902955450234,246,OOB
208,208,-9.357176816411084,299,OOT
209,209,-16.867794126912486,270,OOB
210,210,-14.718285461247433,193,OOB
211,211,-15.150629419833422,199,OOB
212,212,-16.08266132485005,214,OOB
213,213,-15.833167552482337,223,OOB
214,214,-9.03159892075928,299,OOT
215,215,-14.335854711011052,183,OOB
216,216,-14.524594293965492,186,OOB
217,217,-14.986392349470407,196,OOB
218,218,-15.366210335167125,203,OOB
219,219,-9.627643490792252,299,OOT
220,220,-14.540377957746387,172,OOB
221,221,-14.431426520328387,181,OOB
222,222,-15.10388747509569,189,OOB
223,223,-15.073993125930429,191,OOB
224,224,-14.825784126878716,218,OOB
225,225,-13.958310792222619,158,OOB
226,226,-13.987639969214797,167,OOB
227,227,-14.793106644414365,175,OOB
228,228,-16.113133929437026,252,OOB
229,229,-15.414461896405555,242,OOB
230,230,-13.52551767975092,149,OOB
231,231,-13.974825814657379,165,OOB
232,232,-14.45160367772587,170,OOB
233,233,-16.556994725026016,248,OOB
234,234,-15.743512070155703,263,OOB
235,235,-13.439830327406526,146,OOB
236,236,-13.695407153107226,155,OOB
237,237,-15.72591073520016,215,OOB
238,238,-14.835116114933044,221,OOB
239,239,-15.35416686989629,244,OOB
