,idx,reward_sum,n_steps,reason
0,0,-35.63680730666965,138,OOB
1,1,-8.3892044541426,94,OOB
2,2,-14.020899573573843,191,OOB
3,3,-14.075437711551785,216,OOB
4,4,-11.999336828710511,184,OOB
5,5,-8.296131646609865,127,OOB
6,6,-8.416856776413624,109,OOB
7,7,-9.692080150431138,154,OOB
8,8,-12.435870083456393,192,OOB
9,9,-11.625707897590473,171,OOB
10,10,-8.221025052247569,122,OOB
11,11,-7.700455982936546,114,OOB
12,12,-8.574532141850796,110,OOB
13,13,-9.644860482774675,145,OOB
14,14,-11.092230682657828,170,OOB
15,15,-7.9695038963109255,109,OOB
16,16,-7.953550597652793,112,OOB
17,17,-7.902729842811823,110,OOB
18,18,-8.738170749973506,106,OOB
19,19,-8.805619420018047,123,OOB
20,20,-7.479013449290505,95,OOB
21,21,-7.762687244452536,97,OOB
22,22,-7.974879920948297,95,OOB
23,23,-8.35384587943554,94,OOB
24,24,-10.047912428155541,118,OOB
25,25,-7.562069145031273,94,OOB
26,26,-7.96148378867656,90,OOB
27,27,-8.15901898080483,86,OOB
28,28,-8.88409332674837,106,OOB
29,29,-9.796120151135256,131,OOB
30,30,-7.750809198245406,85,OOB
31,31,-8.968882006884087,109,OOB
32,32,-10.013914982555434,131,OOB
33,33,-9.522460575652076,107,OOB
34,34,-8.658831456908956,109,OOB
35,35,-9.460625243824325,108,OOB
36,36,-10.263824066671077,141,OOB
37,37,-10.311217499023769,145,OOB
38,38,-16.857734468387207,292,OOB
39,39,-9.485045950830681,299,OOT
40,40,-9.594366218196228,116,OOB
41,41,-10.909978050738573,142,OOB
42,42,-13.706766388713731,209,OOB
43,43,-9.449600566294976,299,OOT
44,44,-8.983429790649097,299,OOT
45,45,-9.102650086395442,115,OOB
46,46,-9.971777002094314,120,OOB
47,47,-10.649381959723542,155,OOB
48,48,-11.275414485862711,172,OOB
49,49,-8.982404990209034,299,OOT
50,50,-8.629714777547633,116,OOB
51,51,-9.114628403331153,124,OOB
52,52,-9.559512470499612,121,OOB
53,53,-10.49666043772595,147,OOB
54,54,-7.64128122193506,299,OOT
55,55,-9.555230142374057,130,OOB
56,56,-9.31890982342884,124,OOB
57,57,-9.098569677211344,123,OOB
58,58,-9.877169838640839,122,OOB
59,59,-11.388090966560412,149,OOB
60,60,-8.696622976101935,108,OOB
61,61,-9.002075855620205,110,OOB
62,62,-8.980458660051227,107,OOB
63,63,-9.381171802990139,114,OOB
64,64,-9.587473080318887,125,OOB
65,65,-8.981258052401245,114,OOB
66,66,-9.20972425211221,106,OOB
67,67,-9.286410341621377,103,OOB
68,68,-10.027351090451702,133,OOB
69,69,-10.983384794206358,132,OOB
70,70,-8.72230580728501,107,OOB
71,71,-10.889465795829892,123,OOB
72,72,-9.920009170658886,123,OOB
73,73,-12.44684899697313,166,OOB
74,74,-11.047295499418397,144,OOB
75,75,-10.414776464924216,110,OOB
76,76,-10.025943239917979,135,OOB
77,77,-10.500158105744049,142,OOB
78,78,-7.86162451832206,299,OOT
79,79,-9.438621423003497,299,OOT
80,80,-11.385429791174829,118,OOB
81,81,-10.516622866140096,117,OOB
82,82,-11.920087363396306,155,OOB
83,83,-13.375155597386765,169,OOB
84,84,-13.273925117246108,169,OOB
85,85,-10.397845183033496,116,OOB
86,86,-11.03497555181093,121,OOB
87,87,-10.886837342637591,127,OOB
88,88,-12.843654908239841,174,OOB
89,89,-14.79266984469723,202,OOB
90,90,-9.793885267921723,112,OOB
91,91,-10.100690449820831,118,OOB
92,92,-9.949903442175128,116,OOB
93,93,-12.469122975104256,150,OOB
94,94,-14.180121063254774,201,OOB
95,95,-10.110432795248926,119,OOB
96,96,-9.88115702662617,113,OOB
97,97,-9.897039791569114,111,OOB
98,98,-11.031716894358397,129,OOB
99,99,-12.025029329117388,148,OOB
100,100,-9.980081174522638,116,OOB
101,101,-9.81297790305689,105,OOB
102,102,-10.367395885288715,110,OOB
103,103,-10.825087066274136,123,OOB
104,104,-11.304927762248553,125,OOB
105,105,-9.651190203614533,108,OOB
106,106,-9.856711811502464,112,OOB
107,107,-10.255324539262801,106,OOB
108,108,-11.561574085615575,122,OOB
109,109,-11.602427065372467,144,OOB
