idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOB,201,12,38,151,0.9950248756218906,0.20100646,0.747644,2,155,2.0167817320484596,155,0.816043425600125,65.07462686567165,0.8600671063265115,55.0,0.8933862261474135,2.030657658886444,2.079976375457485,-1.4603622206722215,1.4109970630825104,4.0,-0.947265625,-0.47523161230091016
1,HOME,76,49,25,2,0.7763157894736842,0.2432438,0.9622922,11,26,0.5851919950761759,26,0.18604848607917746,5.828947368421052,0.1311029773477635,3.0,0.9284982681274414,0.18027972047290192,3.844648420414416,0.17946257510193311,-0.017145312816355115,4.0,-0.447265625,100.83333333333333
2,OOB,144,54,30,60,0.8541666666666666,0.22698492,0.8252914,12,85,2.1047523904682777,84,0.5411907731153945,26.03472222222222,0.43533044651934083,14.5,0.9177398718893528,1.9021029237285356,2.0979477864642115,-1.5868732357302495,1.048727260149011,4.0,-0.0201416015625,-0.47828323470230005
3,OOB,144,59,27,58,0.8125,0.22793818,0.8188212,10,83,2.0954093290027735,82,0.5276248452868546,24.5625,0.3627188732557186,12.0,0.8561564814299345,1.786579496199505,2.234071532143447,-1.466126719604303,1.0209499195860698,4.0,0.406982421875,-0.471597530908908
4,OOB,133,0,25,108,1.0,0.16978368,0.78213245,1,133,2.0009708726375695,132,1.183956002908169,66.0,1.2543548898656598,66.0,0.943701546639204,1.9439260860466254,2.157612297729667,-0.9515216732887979,1.6951268782230544,4.0,0.906982421875,-0.3942912471804436
5,OOB,114,0,25,89,1.0,0.055118196,0.94137347,1,114,2.0755213491895455,113,0.7910367442894338,56.5,0.702466501281908,56.5,0.9719358440488579,2.043179615521855,2.0674544188220736,-2.039236936868072,0.12686865884433485,4.0,-0.947265625,-0.49168451439290695
6,HOME,80,49,25,6,0.825,0.23341489,0.91936654,8,30,0.5783320587323613,30,0.1622233307298065,7.425,0.10054122958612932,4.0,0.9419703893363475,0.17957948656766146,3.8453486543196562,0.11522392291524516,0.13773975309955563,4.0,-0.447265625,100.83333333333333
7,HOME,79,67,12,0,0.620253164556962,0.2806402,0.9157958,16,8,0.23219907470202697,8,0.07797525914816551,1.7848101265822784,0.06387475950943618,1.0,0.9096738211810588,0.1590416150015426,3.8410090951912044,0.14437581367168373,0.06670726893628727,4.0,-0.0201416015625,100.83333333333333
8,HOME,79,62,17,0,0.620253164556962,0.2939016,0.91590184,17,16,0.3142830887059391,16,0.06874107387177021,2.632911392405063,0.057456394123749616,1.0,0.07458825781941408,0.1556410298041769,3.865009998538775,0.1433539770212263,-0.060611611352136205,4.0,0.406982421875,100.83333333333333
9,OOT,299,0,25,274,1.0,0.30514863,0.5544652,1,299,1.5600040190839966,298,0.9370780935701619,149.0,0.9499448030598135,149.0,0.7537708096206188,1.6053134260089839,2.4962249577673084,-1.3362334431149763,0.8896692538386367,4.0,0.906982421875,-0.47062151703147626
10,OOB,240,0,25,215,1.0,0.24034527,0.64116347,1,240,2.0375088152472944,239,0.8061945613357803,119.5,0.708261400729484,119.5,0.87934978120029,2.00124699928229,2.109387035061639,-1.9758491513170982,-0.3178202060534736,4.0,-0.947265625,-0.43470840687540013
11,OOB,136,15,38,83,0.9852941176470589,0.13771744,0.81640345,3,77,2.0412362734265583,76,0.6796474179601326,32.86029411764706,0.4023322312778472,32.0,0.902330880984664,1.9802006489919595,2.044727491895358,-1.0660131343640435,1.6687751818718797,4.0,-0.447265625,-0.30578609569123927
12,HOME,90,76,14,0,0.6888888888888889,0.27027926,0.8519456,12,13,0.251658395168761,13,0.07766204711414665,2.8777777777777778,0.06679777507525858,2.0,0.9251300096511841,0.16548799614857534,3.834562714044172,0.14959700231642545,0.07076025556207591,4.0,-0.0201416015625,100.83333333333333
13,OOB,179,70,26,83,0.8435754189944135,0.26798928,0.7376316,14,108,2.0124737807779227,107,0.6545218404691193,33.089385474860336,0.5477475290596693,18.0,0.8376192413270475,1.9271146593469735,2.0935363689959785,-1.615593676731346,1.0505369969571243,4.0,0.406982421875,-0.19999999999999998
14,OOB,122,0,25,97,1.0,0.13537723,0.80172485,1,122,2.012223971515475,121,1.0280665227215613,60.5,1.001312553358149,60.5,0.9525513760745523,2.0301646006206413,2.071373783155651,-0.7761437370110902,1.875944883281923,4.0,0.906982421875,-0.2410140172378548
15,OOB,140,0,25,115,1.0,0.120549254,0.82540077,1,140,2.1283415426190637,139,0.9035655307008365,69.5,0.8148177260799914,69.5,0.9683765880763533,1.8740996767869826,2.236534357556946,-1.873286687861434,0.05519586591594157,4.0,-0.947265625,-0.48551380421355184
16,HOME,89,39,25,25,0.8764044943820225,0.21967608,0.8498069,11,49,0.6125713209450846,49,0.16452777531201812,14.595505617977528,0.09541440673260633,6.0,0.9403661973774431,0.1486815091485989,3.876246631738719,0.14562813338854463,0.02997729021231154,4.0,-0.447265625,100.83333333333333
