idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,HOME,179,53,25,101,0.8938547486033519,0.36654603,0.73769546,10,125,1.0808942380314195,125,0.5205572097522643,44.52513966480447,0.536473004317837,36.0,0.699421111494303,0.1517738903926533,3.94369988065461,0.1305820861536881,-0.07735394353665438,4.0,-0.879150390625,100.83333333333333
1,HOME,79,46,25,8,0.759493670886076,0.2698602,0.9541994,11,32,0.5166977835987125,32,0.17220139441205648,7.582278481012659,0.1357126587678308,3.0,0.9353756159543989,0.14136581523548544,3.8765633800977386,0.1054454572703315,-0.09415704571748255,4.0,-0.379150390625,100.83333333333333
2,HOME,80,68,12,0,0.5,0.3166499,0.9486616,13,8,0.22836984419121392,8,0.09438212843362345,1.4125,0.08398870619791649,0.5,0.8871119301766157,0.19140119692543464,3.808795540130269,0.1797080326301915,-0.06587443504634433,4.0,-0.0396728515625,100.83333333333333
3,HOME,79,67,12,0,0.5316455696202531,0.2920071,0.94417685,14,9,0.22569467658824025,8,0.09507598105598647,1.3164556962025316,0.09542388626538553,1.0,0.31290314719080925,0.19910155631071497,3.8121180650322715,0.19535743497321742,0.038430486934645264,4.0,0.2998046875,100.83333333333333
4,OOT,299,0,25,274,1.0,0.41411743,0.43742892,1,299,0.8264001485869525,298,0.5492093733176664,149.0,0.5544392618855647,149.0,0.5814540758728982,2.8192223947345423,1.2599549167030193,2.7252299337814105,0.7218979976385425,4.0,0.7998046875,-0.19999999999999998
5,HOME,237,35,25,177,0.9324894514767933,0.35073325,0.5973117,5,201,0.9351072420379436,201,0.39150887951038293,85.90295358649789,0.39503955634021354,83.0,0.6834763847291468,0.1379742520417149,3.9574995190055486,0.11292965369432838,-0.07927034466274088,4.0,-0.879150390625,100.83333333333333
6,HOME,80,44,25,11,0.75,0.25805956,0.921418,11,35,0.5108288373950348,35,0.18271877483504723,8.5625,0.12654701860844106,3.0,0.9181292243301868,0.18896153709876534,3.8289676582344585,0.17989911970125916,-0.05781668646195582,4.0,-0.379150390625,100.83333333333333
7,HOME,242,225,17,0,0.29338842975206614,0.15282203,0.47816747,22,16,0.19663157090492622,16,0.06711473677941697,1.0826446280991735,0.0569482392507961,0.0,0.8881154060363767,0.189421785888218,3.8107749511674855,0.16091580506503153,-0.09993356117618686,4.0,-0.0396728515625,100.83333333333333
8,HOME,82,70,12,0,0.5365853658536586,0.29509625,0.9345746,16,7,0.23187390215691,7,0.09801317508039703,1.329268292682927,0.09983047533980963,1.0,0.1577562652528285,0.16301525421657356,3.848204367126413,0.1164172307076317,-0.11410960302121888,4.0,0.2998046875,100.83333333333333
9,OOT,299,0,25,274,1.0,0.3865048,0.50613534,1,299,1.4863969895247449,298,0.929820774940227,149.0,0.9510482221805572,149.0,0.6334577724337577,2.6205559085774386,1.458621402860123,2.1119032830475755,1.5515082317000444,4.0,0.7998046875,-0.19999999999999998
10,OOT,299,142,25,132,0.6521739130434783,0.2667959,0.5133271,12,156,0.9439996130738775,156,0.2775645366533219,41.30434782608695,0.18227299141195882,7.0,0.855410110205412,0.3810513388795947,3.7144224321676687,0.3792453058799833,-0.03705564504808449,4.0,-0.879150390625,0.1941428737992162
11,HOME,88,50,25,13,0.7386363636363636,0.28690034,0.8815546,12,37,0.5299226788014736,37,0.1771486316106574,8.636363636363637,0.11849712511154815,2.0,0.8907548785209656,0.19087707877415358,3.8270521165590705,0.1901181606030752,-0.017004240949178812,4.0,-0.379150390625,101.2938896559629
12,HOME,85,73,12,0,0.4235294117647059,0.2516823,0.8637232,15,7,0.2632863048718213,7,0.09020310150457139,0.9764705882352941,0.08332158018095359,0.0,0.8704043217003348,0.14948731589222733,3.8507094211634763,0.1440252378291707,-0.040039836174906814,4.0,-0.0396728515625,101.29332082833267
13,HOME,86,74,12,0,0.5581395348837209,0.29184848,0.90771997,15,9,0.2812557356478831,9,0.10654522530925,1.6395348837209303,0.10700179953300215,1.0,0.41506019420921797,0.17383440747425444,3.837385213868732,0.16470259902427678,-0.05560085517843612,4.0,0.2998046875,101.29256202974497
