,idx,reward_sum,n_steps,reason
0,0,82.91434186697006,179,HOME
1,1,108.76435824553482,79,HOME
2,2,8.683074582600966,80,HOME
3,3,8.376117880223319,79,HOME
4,4,-5.956630307249725,299,OOT
5,5,4.291129165911116,237,HOME
6,6,7.7855207193642855,80,HOME
7,7,8.381903339643031,242,HOME
8,8,8.60919881920563,82,HOME
9,9,-6.035590643063188,299,OOT
10,10,-3.6029008387122303,299,OOT
11,11,8.309787617996335,88,HOME
12,12,8.978659311920637,85,HOME
13,13,8.817652286670636,86,HOME
14,14,-6.18956646323204,299,OOT
15,15,4.881233627675101,221,HOME
16,16,8.178292856318876,91,HOME
17,17,8.773695620388025,79,HOME
18,18,8.834408633527346,86,HOME
19,19,-6.0667425673455,299,OOT
20,20,5.561339884065092,187,HOME
21,21,7.901123834424652,91,HOME
22,22,8.865669203936704,71,HOME
23,23,8.690137398894876,90,HOME
24,24,-5.973139701411128,299,OOT
25,25,8.085898831486702,73,HOME
26,26,8.614843325223774,68,HOME
27,27,8.626288254745305,69,HOME
28,28,-5.737290600081906,299,OOT
29,29,-3.073908479884267,158,OOB
30,30,7.393912579398602,104,HOME
31,31,8.15526021597907,70,HOME
32,32,8.704913130961359,71,HOME
33,33,8.518805777886882,73,HOME
34,34,-4.887816585600376,250,OOB
35,35,6.277915817743633,156,HOME
36,36,7.844666821649298,73,HOME
37,37,8.822225323034218,72,HOME
38,38,8.547851594776148,76,HOME
39,39,-5.837041134014726,297,OOB
40,40,6.256871842779219,138,HOME
41,41,7.761423758231103,75,HOME
42,42,8.700262058991939,74,HOME
43,43,8.678758320398629,75,HOME
44,44,-5.838938727974892,299,OOT
45,45,5.596730915247463,192,HOME
46,46,7.801157266832888,76,HOME
47,47,8.468682594131678,183,HOME
48,48,8.8380491938442,78,HOME
49,49,-5.774480365216732,299,OOT
50,50,5.401365975383669,163,HOME
51,51,7.63329463172704,85,HOME
52,52,8.527961916057393,160,HOME
53,53,8.672335649258457,91,HOME
54,54,-5.836712284013629,299,OOT
55,55,5.592026111204177,167,HOME
56,56,7.605072176083922,90,HOME
57,57,8.681943136034533,157,HOME
58,58,8.719494524877518,94,HOME
59,59,-5.8693958055227995,299,OOT
60,60,6.039552210830152,148,HOME
61,61,7.867469060001895,102,HOME
62,62,8.955189414438792,68,HOME
63,63,8.698222961858846,92,HOME
64,64,-5.858333213254809,299,OOT
65,65,8.256539054214954,70,HOME
66,66,8.732344211661257,69,HOME
67,67,8.830606198869646,69,HOME
68,68,8.66699959221296,71,HOME
69,69,-4.532204754650593,234,OOB
70,70,7.28774162940681,94,HOME
71,71,8.257782217115164,68,HOME
72,72,8.63928383262828,69,HOME
73,73,8.709784951526672,71,HOME
74,74,-5.813252966850996,299,OOT
75,75,6.277488429099321,140,HOME
76,76,7.862478465773165,71,HOME
77,77,8.640984717803804,71,HOME
78,78,8.655596634373069,73,HOME
79,79,-5.798907311633229,299,OOT
80,80,5.606497126398608,235,HOME
81,81,8.586062514106743,111,HOME
82,82,9.467195678967983,108,HOME
83,83,9.400498694507405,108,HOME
84,84,-5.186487518483773,299,OOT
85,85,5.45681083353702,233,HOME
86,86,8.569343126844615,112,HOME
87,87,9.376480321632698,112,HOME
88,88,9.307599750813097,111,HOME
89,89,-5.238028862513602,299,OOT
90,90,4.550489424262196,275,HOME
91,91,8.418981020338833,117,HOME
92,92,9.332366300281137,126,HOME
93,93,9.247915781801566,119,HOME
94,94,-5.0017016446217895,299,OOT
95,95,-3.9652875354586286,299,OOT
96,96,8.502325795590878,121,HOME
97,97,9.329926556674764,129,HOME
98,98,9.21790914144367,124,HOME
99,99,-4.9645181484520435,299,OOT
100,100,4.785941979240306,286,HOME
101,101,8.371524728368968,124,HOME
102,102,9.198684298899025,138,HOME
103,103,9.179061435861513,127,HOME
104,104,-4.968361372128129,299,OOT
105,105,8.623737001325935,176,HOME
106,106,9.28508229542058,102,HOME
107,107,9.2261932506226,103,HOME
108,108,9.204385440796614,103,HOME
109,109,-5.673426711931825,299,OOT
110,110,7.443279589759186,169,HOME
111,111,8.836179738398641,104,HOME
112,112,9.228831501677632,104,HOME
113,113,9.185312774032354,104,HOME
114,114,-5.64821563847363,299,OOT
115,115,5.324899337254465,273,HOME
116,116,8.504933215677738,107,HOME
117,117,9.193940928569646,105,HOME
118,118,9.193033389165066,106,HOME
119,119,-5.356860797852278,299,OOT
120,120,4.733859377214685,268,HOME
121,121,8.409060065634549,110,HOME
122,122,9.125644423420908,109,HOME
123,123,9.044662006665021,111,HOME
124,124,-5.633165679872036,299,OOT
125,125,4.028141060727648,289,HOME
126,126,8.312726310454309,113,HOME
127,127,9.008441795711406,114,HOME
128,128,9.082360271771904,113,HOME
129,129,-5.622314526699483,299,OOT
130,130,-4.534489764657337,299,OOT
131,131,8.369845268316567,118,HOME
132,132,9.106257321080193,133,HOME
133,133,9.030204410664737,119,HOME
134,134,-5.615704407915473,299,OOT
135,135,-4.080115220625885,299,OOT
