,idx,reward_sum,n_steps,reason
0,0,82.61706676660106,260,HOME
1,1,-8.76360385317821,264,OOB
2,2,107.35010016011074,104,HOME
3,3,108.19295458705164,80,HOME
4,4,107.9536123307189,101,HOME
5,5,-6.176707896403968,216,OOB
6,6,108.06570943095721,101,HOME
7,7,108.03078080154955,99,HOME
8,8,108.13225623965263,93,HOME
9,9,108.61156929051504,76,HOME
10,10,-5.866993158124387,213,OOB
11,11,-4.20115829363931,152,OOB
12,12,108.1237322431989,107,HOME
13,13,108.08149374183267,112,HOME
14,14,108.16848562832456,97,HOME
15,15,107.04491728171706,132,HOME
16,16,-3.8911579723935574,146,OOB
17,17,108.03766814607661,115,HOME
18,18,108.17086757998914,111,HOME
19,19,-5.412948536686599,205,OOB
20,20,107.87633972615004,108,HOME
21,21,-3.453500588890165,138,OOB
22,22,-3.9196320502087474,149,OOB
23,23,108.05071404855698,118,HOME
24,24,-3.9585922866826877,151,OOB
25,25,-5.893979055574164,211,OOB
26,26,-3.7937432874459773,167,OOB
27,27,108.40279137750622,133,HOME
28,28,108.34560330444947,134,HOME
29,29,107.92869813474886,148,HOME
30,30,-8.102660783100873,299,OOT
31,31,106.90522222824438,175,HOME
32,32,106.72172561628395,166,HOME
33,33,107.9530271719268,143,HOME
34,34,-4.498341716825962,197,OOB
35,35,-8.121619898825884,299,OOT
36,36,106.66082686698064,158,HOME
37,37,-6.451524703996256,238,OOB
38,38,-6.609396864660084,243,OOB
39,39,-6.767667139414698,244,OOB
40,40,-0.9227601457387209,41,OOB
41,41,107.62931139976718,124,HOME
42,42,108.38623855460901,116,HOME
43,43,108.83739491015695,111,HOME
44,44,-5.28723924321821,203,OOB
45,45,107.05656767636538,141,HOME
46,46,108.20352993311826,128,HOME
47,47,-6.719241151236929,291,OOB
48,48,109.22552395332605,121,HOME
49,49,-7.391657283646055,277,OOB
50,50,106.8147948612459,156,HOME
51,51,107.89098458085209,139,HOME
52,52,108.57483867916744,142,HOME
53,53,-6.418329376931069,290,OOB
54,54,107.87352568411734,149,HOME
55,55,106.47525319189299,183,HOME
56,56,-6.002753843786195,237,OOB
57,57,109.62000407467713,126,HOME
58,58,109.5927889700688,123,HOME
59,59,107.52359525623615,164,HOME
60,60,106.64537086291239,180,HOME
61,61,107.76003869716078,156,HOME
62,62,109.26146884611808,137,HOME
63,63,109.30096592043992,140,HOME
64,64,107.56193375014118,174,HOME
65,65,106.80242785206065,191,HOME
66,66,108.36230983398855,155,HOME
67,67,109.16431637454662,155,HOME
68,68,109.40636116138194,140,HOME
69,69,107.84619008540176,176,HOME
70,70,-6.368169116321951,257,OOB
71,71,108.01639043913019,182,HOME
72,72,-6.593825955933426,299,OOT
73,73,108.69785763663822,146,HOME
74,74,108.57659241554211,223,HOME
75,75,106.79483335893019,193,HOME
76,76,107.39837473345688,193,HOME
77,77,-6.018542391102528,299,OOT
78,78,-6.300085094291717,299,OOT
79,79,107.97263766097603,164,HOME
80,80,-6.261472322861664,280,OOB
81,81,108.15491812629625,252,HOME
82,82,109.15371499690809,213,HOME
83,83,108.1438306531636,226,HOME
84,84,110.3556772653319,195,HOME
85,85,-3.590826864936389,299,OOT
86,86,108.25192595088811,251,HOME
87,87,110.50506667484296,173,HOME
88,88,108.25126061000628,234,HOME
89,89,111.00128587207291,179,HOME
90,90,-6.133034499827772,297,OOB
91,91,107.43575543114275,286,HOME
92,92,110.50427405926166,177,HOME
93,93,108.30276931793196,243,HOME
94,94,111.25081179250265,188,HOME
95,95,-5.911959739634767,299,OOT
96,96,107.24956607350032,295,HOME
97,97,110.85484480767627,195,HOME
98,98,108.75899124346324,259,HOME
99,99,111.41742627036729,209,HOME
100,100,-5.851128312118817,299,OOT
101,101,-3.9299753476516344,299,OOT
102,102,-2.8426082415971905,299,OOT
103,103,-2.3337637563236058,299,OOT
104,104,-1.7199358740472235,299,OOT
105,105,-5.848439063345722,299,OOT
106,106,107.9464456862188,284,HOME
107,107,110.90288238189896,194,HOME
108,108,109.4075518004829,254,HOME
109,109,111.24331520171836,190,HOME
110,110,108.9832320352798,238,HOME
111,111,107.89672622257785,282,HOME
112,112,110.17307027761126,189,HOME
113,113,110.20570667578431,184,HOME
114,114,-6.839986955747008,266,OOB
115,115,106.5480682105408,293,HOME
116,116,108.63418821574305,277,HOME
117,117,-4.3676355562056415,299,OOT
118,118,108.90124437143095,254,HOME
119,119,-5.617366774356924,260,OOB
120,120,107.67995527468156,279,HOME
121,121,108.90589359513251,209,HOME
122,122,110.57069251919165,196,HOME
123,123,110.54690497665433,190,HOME
124,124,111.22052403865382,186,HOME
125,125,-4.357348098186776,252,OOB
126,126,-3.7695037830853835,299,OOT
127,127,110.40551325362685,197,HOME
128,128,110.32488121531787,206,HOME
129,129,-1.536070761270821,208,OOB
130,130,-3.1726810894761,299,OOT
131,131,-3.554993419907987,231,OOB
132,132,-3.4809295854065567,299,OOT
133,133,110.22146626884933,218,HOME
134,134,-2.858140820171684,213,OOB
135,135,-5.481082766549662,299,OOT
136,136,108.8596014008508,221,HOME
137,137,111.36838001542492,154,HOME
138,138,110.44690919446293,199,HOME
139,139,111.15778788692478,204,HOME
140,140,-4.614157579526363,272,OOB
141,141,108.8104108612606,226,HOME
142,142,111.49591714359121,162,HOME
143,143,110.32214571747863,212,HOME
144,144,-3.256861155619845,228,OOB
145,145,108.32927043811651,278,HOME
146,146,109.18671699930565,234,HOME
147,147,111.53327306965366,160,HOME
148,148,110.40395885333419,219,HOME
149,149,111.23212441577198,182,HOME
150,150,109.91840679437155,209,HOME
151,151,110.26974229557527,206,HOME
152,152,110.49591382656217,200,HOME
153,153,-4.962696653674357,251,OOB
154,154,-6.241588427685201,240,OOB
155,155,107.90965375601081,254,HOME
156,156,109.72785388119519,207,HOME
157,157,110.5688661528111,205,HOME
158,158,110.94274611983565,200,HOME
159,159,-5.233207066019531,253,OOB
