,update,total_updates,T,FPS,window,mean,median,min,max
0,0,488,2048,181,15,-77.13745573333333,-72.558512,-106.282398,-52.764717
1,1,488,4096,187,27,-87.02391318518518,-84.268039,-151.480052,-52.764717
2,2,488,6144,184,40,-85.863311025,-81.6619275,-151.480052,-52.764717
3,3,488,8192,184,50,-87.41528194,-82.0845115,-151.480052,-52.764717
4,4,488,10240,186,50,-88.02367396000004,-82.0845115,-151.480052,-35.252986
5,5,488,12288,188,50,-83.80935186,-80.00682950000001,-137.881087,-28.888146
6,6,488,14336,189,50,-85.76639146,-78.436263,-152.165298,-28.888146
7,7,488,16384,190,50,-86.84723648,-81.4811325,-152.165298,-28.888146
8,8,488,18432,192,50,-85.32161752000002,-80.89640349999999,-152.165298,-28.888146
9,9,488,20480,192,50,-83.78278836,-79.1888105,-152.165298,-28.888146
10,10,488,22528,190,50,-85.28292163999998,-79.07550950000001,-152.165298,-57.711255
11,11,488,24576,190,50,-83.33974294,-76.89841050000001,-152.165298,-53.785294
12,12,488,26624,189,50,-76.96914752,-72.78548950000001,-147.370749,-48.573569
13,13,488,28672,189,50,-71.15345954,-68.7128985,-124.613554,-37.151877
14,14,488,30720,189,50,-70.50032551999999,-68.5533085,-124.613554,-37.151877
15,15,488,32768,190,50,-68.60882420000002,-66.68195399999999,-111.850088,-37.151877
16,16,488,34816,189,50,-67.45861488,-63.656386,-111.850088,-37.151877
17,17,488,36864,188,50,-64.87679704,-62.5882265,-111.604615,-34.396243
18,18,488,38912,188,50,-64.38514278,-63.656386,-111.604615,-34.396243
19,19,488,40960,188,50,-64.01285694,-61.847280999999995,-111.604615,-34.396243
20,20,488,43008,189,50,-64.75315409999999,-61.6612315,-111.604615,-34.396243
21,21,488,45056,188,50,-63.66049253999999,-60.405345999999994,-111.604615,-32.149837
22,22,488,47104,189,50,-63.60631902,-63.6910515,-100.597144,-32.149837
23,23,488,49152,189,50,-62.06132438,-61.6612315,-100.597144,-31.652302
24,24,488,51200,189,50,-63.16699659999999,-64.1007945,-100.597144,-31.652302
25,25,488,53248,189,50,-57.973603239999996,-59.988945,-100.597144,67.994325
26,26,488,55296,189,50,-57.186693319999996,-61.687983,-92.562148,67.994325
27,27,488,57344,189,50,-56.3190783,-61.9096685,-92.562148,67.994325
28,28,488,59392,189,50,-52.09795775999999,-55.393869,-92.562148,67.994325
29,29,488,61440,189,50,-49.124917319999994,-53.208093500000004,-103.989738,67.994325
30,30,488,63488,189,50,-48.560114320000004,-51.745627,-103.989738,67.994325
31,31,488,65536,189,50,-49.42550689999999,-47.5393945,-103.989738,57.379861
32,32,488,67584,189,50,-48.825189640000005,-47.301612,-103.989738,57.379861
33,33,488,69632,190,50,-48.46526054,-47.301612,-103.989738,57.379861
34,34,488,71680,189,50,-51.17824466,-49.5139345,-103.989738,57.379861
35,35,488,73728,190,50,-52.73024330000001,-53.9303265,-99.228063,57.379861
36,36,488,75776,190,50,-52.45178818,-53.9303265,-99.228063,64.540148
37,37,488,77824,190,50,-52.37536046,-51.689142000000004,-99.228063,64.540148
38,38,488,79872,190,50,-49.272197859999984,-51.689142000000004,-99.228063,64.540148
39,39,488,81920,190,50,-48.8199305,-51.4526665,-99.228063,64.540148
40,40,488,83968,190,50,-40.394697120000004,-48.726333499999996,-96.693867,73.746351
41,41,488,86016,190,50,-36.19341358,-44.0604465,-96.693867,73.746351
42,42,488,88064,190,50,-34.4905304,-35.3119375,-96.693867,73.746351
43,43,488,90112,190,50,-37.556551000000006,-36.2421145,-106.337865,73.746351
44,44,488,92160,190,50,-33.85240624,-33.6143695,-106.337865,73.746351
45,45,488,94208,191,50,-37.331180599999996,-34.7932945,-106.337865,73.746351
46,46,488,96256,191,50,-34.6520745,-34.7932945,-106.337865,89.944376
47,47,488,98304,191,50,-41.16555144,-36.5285105,-106.337865,89.944376
48,48,488,100352,191,50,-41.28932918,-36.43439600000001,-106.337865,89.944376
49,49,488,102400,191,50,-38.465143479999995,-34.0311225,-99.499105,89.944376
50,50,488,104448,191,50,-37.4693865,-32.388873000000004,-99.499105,89.944376
51,51,488,106496,191,50,-39.380820299999996,-32.388873000000004,-99.499105,89.944376
52,52,488,108544,191,50,-36.92481492,-31.053505,-99.499105,89.944376
53,53,488,110592,191,50,-37.45281488,-31.053505,-92.520753,76.20788
54,54,488,112640,191,50,-36.767710859999994,-30.248082,-93.996021,76.20788
55,55,488,114688,191,50,-37.03464274,-30.460369999999998,-93.996021,76.20788
56,56,488,116736,191,50,-35.91249966,-34.4245555,-93.996021,83.604309
57,57,488,118784,191,50,-36.907177860000004,-38.699954500000004,-93.996021,83.604309
58,58,488,120832,191,50,-37.3488237,-38.699954500000004,-93.996021,83.604309
59,59,488,122880,191,50,-31.51271544,-40.4834355,-93.996021,93.138717
60,60,488,124928,191,50,-21.50279044,-38.060434,-90.545285,94.113765
61,61,488,126976,191,50,-22.47622212,-36.613337,-90.545285,94.113765
62,62,488,129024,191,50,-25.212926480000007,-38.162915,-107.88786,94.113765
63,63,488,131072,191,50,-20.58414022,-35.897732500000004,-107.88786,94.113765
64,64,488,133120,191,50,-22.137452020000005,-35.897732500000004,-107.88786,94.113765
