,idx,reward_sum,n_steps,reason
0,0,-35.83626425638795,262,OOB
1,1,-3.8794695562683046,59,OOB
2,2,110.17568085435778,104,HOME
3,3,-3.029574556276202,58,OOB
4,4,-3.230911733582616,47,OOB
5,5,-2.982657380402088,63,OOB
6,6,-3.1979823366273195,55,OOB
7,7,-3.4613273649010807,49,OOB
8,8,-3.5499754156917334,44,OOB
9,9,-3.5465335100889206,36,OOB
10,10,-3.9425954304169863,65,OOB
11,11,-3.4361179603729397,56,OOB
12,12,-3.7809088928624988,54,OOB
13,13,-3.9768387358635664,45,OOB
14,14,-3.852888695895672,38,OOB
15,15,-5.219001061515883,93,OOB
16,16,-3.8436265459749848,68,OOB
17,17,108.6229415605776,77,HOME
18,18,-4.133647913113236,52,OOB
19,19,-4.152444005012512,47,OOB
20,20,-3.7930299192667007,54,OOB
21,21,-4.086977085578837,82,OOB
22,22,108.57878852076828,76,HOME
23,23,-3.850193092599511,61,OOB
24,24,-4.292249903082848,72,OOB
25,25,-3.967387270182371,49,OOB
26,26,-5.77182806795463,91,OOB
27,27,109.00693043816136,76,HOME
28,28,108.83203491847962,76,HOME
29,29,108.30483165197074,78,HOME
30,30,-3.8944668993353844,42,OOB
31,31,108.99750763596967,78,HOME
32,32,109.62376321561169,76,HOME
33,33,-6.039505737484433,117,OOB
34,34,108.60269317775965,76,HOME
35,35,-3.9353598712477833,57,OOB
36,36,-4.248962510377169,57,OOB
37,37,-6.125606586312642,123,OOB
38,38,109.36839178117225,88,HOME
39,39,-4.297955321148038,36,OOB
40,40,-3.6944350637495518,57,OOB
41,41,-3.5987077485769987,46,OOB
42,42,-4.023606097325683,45,OOB
43,43,-4.020094389095902,40,OOB
44,44,-3.9922002349048853,32,OOB
45,45,-3.8033891597297043,54,OOB
46,46,-3.5381536239292473,43,OOB
47,47,-3.732702309731394,41,OOB
48,48,-3.8050167355686426,36,OOB
49,49,-3.8782584201544523,31,OOB
50,50,-3.8868672461248934,56,OOB
51,51,-3.63732994440943,47,OOB
52,52,-3.668238036290859,42,OOB
53,53,-3.9379926938563585,39,OOB
54,54,-3.8100137263536453,32,OOB
55,55,-4.150620545260608,60,OOB
56,56,-3.7368794484063983,47,OOB
57,57,-3.678541283123195,50,OOB
58,58,-3.7829806953668594,44,OOB
59,59,-3.9787516966462135,38,OOB
60,60,-4.562764863134362,73,OOB
61,61,-3.671158028766513,53,OOB
62,62,-3.73084544215817,56,OOB
63,63,-4.129640273749828,54,OOB
64,64,-3.993973221629858,48,OOB
65,65,-3.7783718314021826,62,OOB
66,66,-4.048485214356333,75,OOB
67,67,108.91852472728351,72,HOME
68,68,108.66634845361114,75,HOME
69,69,108.32906152494252,74,HOME
70,70,-3.737458584830165,61,OOB
71,71,-4.064353711903095,79,OOB
72,72,108.62531728111207,78,HOME
73,73,108.79607486515306,76,HOME
74,74,-7.038921620696783,114,OOB
75,75,-5.198090019999654,61,OOB
76,76,-4.356695801019669,67,OOB
77,77,-7.424824613831106,127,OOB
78,78,108.84296399052255,88,HOME
79,79,-5.111471815034747,36,OOB
80,80,-5.073886914353352,51,OOB
81,81,-5.058056101202965,43,OOB
82,82,-5.0878224656917155,40,OOB
83,83,-5.389464221894741,37,OOB
84,84,-5.305647427216172,29,OOB
85,85,-4.828710664762184,51,OOB
86,86,-4.681520451558754,41,OOB
87,87,-4.968574402912054,39,OOB
88,88,-5.092205994995311,35,OOB
89,89,-5.0968797747045755,28,OOB
90,90,-5.012328163953498,53,OOB
91,91,-4.7098321239463985,43,OOB
92,92,-4.741112461022567,39,OOB
93,93,-4.870451519964263,35,OOB
94,94,-4.9901528134942055,30,OOB
95,95,-5.240477059502155,59,OOB
96,96,-4.455391826108098,46,OOB
97,97,-4.576927775051445,44,OOB
98,98,-4.82561163417995,39,OOB
99,99,-4.9932298213243484,35,OOB
100,100,-5.134972491825465,68,OOB
101,101,-4.594681173097342,56,OOB
102,102,-4.429474158852827,55,OOB
103,103,-4.861106526106596,49,OOB
104,104,-5.037646664306521,46,OOB
105,105,-4.571381513029337,76,OOB
106,106,-4.461768072098494,70,OOB
107,107,108.16673351626378,110,HOME
108,108,-7.825900093652308,144,OOB
109,109,-7.937655735760927,146,OOB
110,110,-4.698417030274868,71,OOB
111,111,-3.690031837206334,90,OOB
112,112,-6.978034432046115,149,OOB
113,113,107.99412244418636,109,HOME
114,114,-7.939687110483646,148,OOB
115,115,-6.695399365038611,108,OOB
116,116,-6.900730514360475,144,OOB
117,117,-4.784116490744054,126,OOB
118,118,-7.696310990490019,158,OOB
119,119,-7.195078007876873,40,OOB
120,120,-5.082622072775848,49,OOB
121,121,-5.327247388660908,43,OOB
122,122,-5.557444171048701,40,OOB
123,123,-5.580333570018411,36,OOB
124,124,-5.523524604737759,28,OOB
125,125,-5.172518311766908,49,OOB
126,126,-5.199431929446291,44,OOB
127,127,-5.245708693284541,38,OOB
128,128,-5.347716083750129,35,OOB
129,129,-5.3079727701842785,28,OOB
130,130,-5.119694344932213,51,OOB
131,131,-4.850406675046543,42,OOB
132,132,-5.01978974964004,39,OOB
133,133,-5.246180414687842,37,OOB
134,134,-5.093860112130642,28,OOB
135,135,-5.051424433477223,56,OOB
136,136,-4.7469084416516125,45,OOB
137,137,-4.943588602356613,46,OOB
138,138,-5.075431868433952,41,OOB
139,139,-5.143226025626063,34,OOB
140,140,-4.809495852328837,62,OOB
141,141,-4.830020317012895,63,OOB
142,142,-4.843530861544423,54,OOB
143,143,-5.0019449181854725,49,OOB
144,144,-5.183030864223838,44,OOB
145,145,-5.682502517243847,113,OOB
146,146,108.03936161659658,108,HOME
147,147,-7.779298762441613,145,OOB
148,148,-7.645595225971192,141,OOB
149,149,-5.328701253980398,99,OOB
150,150,-4.79082621820271,86,OOB
151,151,-8.140598742407747,150,OOB
152,152,-7.256244079209864,149,OOB
153,153,107.81422115769237,109,HOME
154,154,-8.75674669444561,149,OOB
155,155,-6.747413600911386,96,OOB
156,156,-4.928831705183256,120,OOB
157,157,-7.806942746043205,158,OOB
158,158,-8.03937699063681,161,OOB
159,159,-7.225812753662467,39,OOB
160,160,-6.4975450246129185,53,OOB
161,161,-6.725455584470183,45,OOB
162,162,-6.954624007921666,42,OOB
163,163,-7.0062079187482595,35,OOB
164,164,-7.000242222100496,28,OOB
165,165,-6.190344470844138,52,OOB
166,166,-6.408961076638661,44,OOB
167,167,-6.616810463136062,40,OOB
168,168,-6.806795855984092,36,OOB
169,169,-6.738454341888428,28,OOB
170,170,-6.242707547440659,52,OOB
171,171,-6.031578671012539,45,OOB
172,172,-6.362059000413865,41,OOB
173,173,-6.52968671778217,35,OOB
174,174,-6.62602586299181,31,OOB
175,175,-5.766288578044623,57,OOB
176,176,-5.798645981063601,49,OOB
177,177,-5.798939747735858,43,OOB
178,178,-6.336102202534676,40,OOB
179,179,-6.489966701716185,34,OOB
180,180,-5.372342772076081,63,OOB
181,181,-5.415872770827264,58,OOB
182,182,-5.542053562239744,50,OOB
183,183,-6.204583240672946,46,OOB
184,184,-6.360768968239427,41,OOB
185,185,-5.722465413622558,103,OOB
186,186,-5.072243730071932,68,OOB
187,187,-7.980010941391811,178,OOB
188,188,-8.515680341981351,178,OOB
189,189,-6.280093336477876,90,OOB
190,190,-5.841251792386174,92,OOB
191,191,-4.9422525549307466,77,OOB
192,192,-7.345410421257839,182,OOB
