idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOB,84,0,25,59,1.0,0.17010282,0.85253155,1,84,2.0060174023442383,83,1.112442453254188,41.5,1.0996468054020423,41.5,0.22233735397458068,4.297328866007181,-0.18669483166325218,3.627349517767949,-2.3042072082534575,4.0,-0.947265625,-24.032844756995775
1,HOME,103,91,12,0,0.2815533980582524,0.2922832,0.9977393,11,8,0.32971428948641723,8,0.10336279498241864,0.6893203883495146,0.08779100821226597,0.0,0.8108811117708683,0.19328697629642488,3.831641164590893,0.1513727007677149,0.12019218222539504,4.0,-0.447265625,100.83333333333333
2,OOB,65,4,25,36,0.9230769230769231,0.08419059,0.97994345,1,60,2.040573909707525,60,0.771244231125005,28.153846153846153,0.6148682264416653,28.0,0.9106246829032898,2.598244685925298,1.4031246942941902,1.36543627627199,2.210533696503976,4.0,-0.10467529296875,-15.318911996778013
3,OOB,50,0,25,25,0.98,0.10865587,0.98119646,1,49,2.0447827164865258,49,0.9132512717103515,24.5,0.7728062734957175,24.5,0.8858958203345537,3.206491951132367,0.8005772478972824,2.2363933351840024,2.2978545391345437,4.0,0.2379150390625,-18.345181919055534
4,OOB,39,0,25,14,1.0,0.13461603,0.9806807,1,39,2.1140738106765693,38,1.2120522575862398,19.0,1.070122915164896,19.0,0.8749531544744968,3.611661454052912,0.45583391839370124,2.736771386055254,2.3567309645270917,4.0,0.7379150390625,-20.439282788608015
5,OOB,61,19,35,7,0.8688524590163934,0.10345781,0.98551655,2,32,2.043084847456604,31,0.7097945904508512,11.918032786885245,0.42419664478723623,11.0,0.851837173104286,3.284784539508997,0.8258494948349315,2.29225376841095,2.3527392826667244,4.0,-0.947265625,-18.80329192661038
6,OOB,45,9,25,11,0.8222222222222222,0.09194721,0.98570085,2,36,2.0527890222198533,35,0.7492372288245622,14.022222222222222,0.5971379092751598,13.0,0.8450600616633893,3.59933474813956,0.425593392747758,2.8108010743238716,2.2482455270153747,4.0,-0.447265625,-20.37278852589504
7,OOB,55,6,25,24,0.8727272727272727,0.10107836,0.9871561,1,48,2.0695521201324407,48,0.7349773453836693,21.381818181818183,0.43509520039744604,21.0,0.8396276608109474,3.4510745072899685,0.5502948729295198,2.510192097593369,2.368301266318646,4.0,-0.10467529296875,-19.685277648574424
8,OOB,41,0,25,16,0.975609756097561,0.09847203,0.98359317,1,40,2.1754519940252153,40,0.9584612363719683,20.0,0.8181432673454369,20.0,0.8475947566330433,3.694570698829469,0.3124985002001801,2.7878028237027017,2.424460365690583,4.0,0.2379150390625,-21.012048364619194
9,OOB,33,0,25,8,1.0,0.120138675,0.9819853,1,33,2.013212763969402,32,1.195211248922881,16.0,1.143214690627863,16.0,0.8665012903511524,3.773072022709069,0.29442334973754436,2.938330956740217,2.366914378935585,4.0,0.7379150390625,-21.239917148929983
10,OOB,61,19,37,5,0.8688524590163934,0.1103522,0.9868176,2,30,2.086677759483402,29,0.6989552094408982,11.655737704918034,0.50440940787327,11.0,0.8186116479337218,3.575018172769436,0.5356158615744926,2.6789921178733396,2.3672254155454304,4.0,-0.947265625,-20.35240468594623
11,OOB,48,10,25,13,0.7916666666666666,0.11472645,0.9875124,1,38,2.0337731833049695,37,0.7097499794983605,14.645833333333334,0.49280294790957213,13.5,0.8460712172091007,3.5344314683981577,0.4904966724891602,2.71643040922259,2.2612411717138774,4.0,-0.447265625,-20.095612537416557
12,OOB,125,47,39,39,0.888,0.1246893,0.9476499,5,63,2.017243949604803,63,0.5103073111265523,19.312,0.3061838871843694,12.0,0.10179571807384519,2.0551094379080013,1.946259942311487,-1.5749616192334694,-1.320216156438039,4.0,-0.10467529296875,-25.048387530702854
13,OOB,43,0,25,18,0.9767441860465116,0.07753255,0.9852215,1,42,2.042348085509064,42,0.8364235451812113,21.0,0.5813001330803135,21.0,0.8642768822610378,3.4037305502853554,0.6033386487442938,2.501529314542126,2.3081881958437123,4.0,0.2379150390625,-19.438189056910723
14,OOB,38,0,25,13,1.0,0.09435458,0.983463,1,38,2.1113359846819395,37,1.1290603244172264,18.5,0.964311678449597,18.5,0.8641144037246704,3.5087714269380297,0.5587239455085835,2.5703664321172806,2.3884499850617384,4.0,0.7379150390625,-20.039250928363227
15,OOB,78,18,38,22,0.9230769230769231,0.09894882,0.9865895,3,39,2.112013314794575,39,0.7383008638692778,16.371794871794872,0.6487098942316494,16.0,0.8383794352412224,2.653002115650839,1.4576319186930897,1.361123381342676,2.277227122271757,4.0,-0.947265625,-15.841705267318803
16,OOB,48,13,25,10,0.8333333333333334,0.09120957,0.9878842,2,35,2.0637327500206655,34,0.7035064750623438,12.708333333333334,0.4208575305293728,10.5,0.8503418080508708,3.4679650111219242,0.5569631297653936,2.5937288044794147,2.3020321907348893,4.0,-0.447265625,-19.787798609493752
17,HOME,79,48,31,0,0.8227848101265823,0.16753376,0.9810336,5,17,0.3824416385345854,17,0.195626511313701,6.746835443037975,0.19442396592030664,6.0,0.07280657067894952,0.18206360805641644,3.8193057721630717,0.12115138464011428,0.13590253632034802,4.0,-0.10467529296875,100.83333333333333
18,OOB,49,0,25,24,0.9795918367346939,0.084594704,0.9859517,1,48,2.024507695912474,48,0.7549160136195915,24.0,0.46087667740099353,24.0,0.8451171293854713,3.085463512077448,0.9216056869522014,2.111148968807465,2.250141132432469,4.0,0.2379150390625,-17.847790419176942
19,OOB,51,0,25,26,1.0,0.079228096,0.98361695,1,51,2.0478024658344953,50,0.9380202477948387,25.0,0.696070052443421,25.0,0.8341089971363542,2.97238384803744,1.0951115244091731,1.8651242250865794,2.3143848783357197,4.0,0.7379150390625,-17.32836111587599
20,OOB,48,0,25,23,1.0,0.07158746,0.9306075,1,48,2.0020645167535434,47,1.0795672245019754,23.5,0.981880594243393,23.5,0.09795911610126506,2.933746041046563,1.176887993297366,1.9074737836342877,-2.2289929560463566,4.0,-0.947265625,-16.94845503087428
21,HOME,80,54,26,0,0.7875,0.16567102,0.98416936,5,19,0.3523873169170058,19,0.19476239680753318,6.0,0.19755228933621072,5.0,0.07375646010041226,0.18069400044328698,3.844234140444031,0.15439755863057666,0.09387073923814725,4.0,-0.447265625,100.83333333333333
22,OOB,121,55,34,32,0.8677685950413223,0.13218391,0.9580546,5,56,2.00927645809404,56,0.5032329412815969,16.03305785123967,0.21928945481197099,10.0,0.10815382003784152,2.040322186823344,1.9610471933961442,-1.6824460922806626,-1.1542485748802644,4.0,-0.10467529296875,-24.859869304779224
23,OOB,59,18,29,12,0.8813559322033898,0.11737654,0.988246,3,36,2.0541417314655868,36,0.6795697560209146,13.338983050847459,0.40602867167300594,11.0,0.8421330600976945,2.84417463536338,1.1628945636662693,1.6809289971078851,2.294298817313537,4.0,0.2379150390625,-16.675818297827682
24,OOB,80,17,38,25,0.9375,0.099090286,0.98236215,3,49,2.0710831800249347,48,0.6514292118590317,18.775,0.49329233542665374,17.0,0.8405488785356283,2.2765554127775736,1.7909399596690396,0.5375174781534854,2.2121888500140274,4.0,0.7379150390625,-13.94895796066259
25,OOB,43,0,25,18,1.0,0.101686455,0.9218127,1,43,2.0521688090407473,42,1.1043302538464483,21.0,0.9257568025480611,21.0,0.1367974393069744,3.3467579738857904,0.7638760604581383,2.412205904387866,-2.3199249148635044,4.0,-0.947265625,-19.15578025664118
26,HOME,79,58,21,0,0.7721518987341772,0.20202652,0.9865078,7,17,0.3897242205226658,17,0.17314455775566512,4.8734177215189876,0.16921405578818324,4.0,0.7512975819408894,0.19019294089905311,3.834735199988265,0.14353133211673416,0.12478826655029096,4.0,-0.447265625,100.83333333333333
27,OOB,151,55,31,65,0.847682119205298,0.16862434,0.9494661,7,89,2.0203363961547955,89,0.6852133320911704,28.072847682119207,0.2554131022518999,16.0,0.15531341731548293,2.065622078783215,1.9357473014362734,-1.2436525319091671,-1.6492795251965653,4.0,-0.10467529296875,-25.207743308068004
28,OOB,153,61,30,62,0.8496732026143791,0.18056102,0.9574578,7,86,2.016400326353913,86,0.6548610972332936,26.18954248366013,0.3357307958108034,13.0,0.14835751801729186,2.033571465180793,1.9734977338488564,-1.451579546998605,-1.424194411845827,4.0,0.2379150390625,-24.866034974734205
29,HOME,78,56,22,0,0.8205128205128205,0.23330604,0.9862303,7,21,0.6036514012483406,21,0.21391012693444608,5.615384615384615,0.16073813521180197,4.0,0.11990202590823179,0.18198592029991,3.885509452146703,0.1541693747997578,0.09669890930748395,4.0,0.7379150390625,100.83333333333333
30,OOB,35,0,25,10,1.0,0.17101616,0.9123894,1,35,2.0542493581855523,34,1.242555891394809,17.0,1.1091873852488474,17.0,0.1697991937398911,4.036432368280195,0.07420166606373346,3.2287185511694574,-2.4224291075353,4.0,-0.947265625,-22.79002081535881
31,OOB,75,0,25,50,1.0,0.17214985,0.93926555,1,75,2.0082593913522793,74,1.0736065088985456,37.0,1.0874816378262198,37.0,0.17828377708792698,3.357560017708899,0.6673681231784188,2.521874501460645,-2.2166096344191972,4.0,-0.447265625,-19.10641154544157
32,HOME,78,64,14,0,0.6153846153846154,0.22048299,0.9911876,11,13,0.27244258606883603,13,0.1280583976730121,2.5384615384615383,0.1211697968217556,1.0,0.49201528541743755,0.16972331384032766,3.8316460663791605,0.16894106067075493,0.01627640256268737,4.0,-0.10467529296875,100.83333333333333
33,OOB,117,54,31,32,0.7863247863247863,0.14423011,0.96895236,7,56,2.018628290908976,56,0.4517664822366805,15.418803418803419,0.18952946683827945,8.0,0.131805058568716,2.058920961000136,1.9481482380295132,-1.089447085385061,-1.7470719996015387,4.0,0.2379150390625,-25.041964767479023
