idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,OOB,83,0,25,58,1.0,0.17613298,0.8666487,1,83,2.0446752497195884,82,1.1142427670645196,41.0,1.0984572231295073,41.0,0.23268109560012823,4.40105823197496,-0.29042419763103133,3.72927847838671,-2.337048478717603,4.0,-0.947265625,-24.64743816225824
1,HOME,105,93,12,0,0.3047619047619048,0.26750603,0.99781024,15,9,0.29812192713204694,9,0.10923294920602698,0.8095238095238095,0.09053211741089234,0.0,0.6682218238711357,0.1975644176559309,3.827363723231387,0.17145744615321826,0.09815316236547533,4.0,-0.447265625,100.83333333333333
2,OOB,58,3,25,30,0.9482758620689655,0.09264622,0.982692,2,54,2.0224851205746677,54,0.7999377031466658,25.620689655172413,0.6394842417378125,25.5,0.8964829985052347,2.9462469190836846,1.0549271871579324,1.8484731378734283,2.2942358132438057,4.0,-0.096923828125,-17.033099346408935
3,OOB,46,0,25,21,1.0,0.1156547,0.9827919,1,46,2.127072621365286,45,0.929679091880669,22.5,0.844449559978609,22.5,0.8724960833787919,3.4598467917469877,0.5481727524774884,2.5396535459577,2.3496169238551214,4.0,0.25341796875,-19.7077556515143
4,OOB,35,0,25,10,1.0,0.14706959,0.9820692,1,35,2.0986828361692726,34,1.1992674601405813,17.0,1.0871349587213215,17.0,0.8714568354189396,3.8133728157137665,0.2569636121058525,3.0026674676544656,2.3507020888054404,4.0,0.75341796875,-21.44802726561329
5,OOB,56,16,34,6,0.9107142857142857,0.09688805,0.98615754,2,31,2.049762372360882,30,0.6662982624454313,12.053571428571429,0.44945785277110284,11.5,0.8381742816418412,3.4484109744531564,0.6622230598907723,2.5991831660267883,2.2662270667724207,4.0,-0.947265625,-19.639932682509958
6,OOB,41,10,25,6,0.8780487804878049,0.07952971,0.9862422,2,31,2.0554152896796154,30,0.7540432931039227,11.707317073170731,0.5909144573828401,10.0,0.819469690322876,4.0539230793980385,-0.028994938510720658,3.316213622700945,2.3317417400494307,4.0,-0.447265625,-22.679103084920474
7,OOB,40,3,25,12,0.9,0.10071099,0.987294,1,36,2.09140454752937,36,0.7765168528816982,16.65,0.6295589622736996,16.5,0.8270467296242714,3.8261349452139823,0.17503916102763473,3.0841510237359717,2.2643588677097894,4.0,-0.096923828125,-21.605002326831084
8,OOB,35,0,25,10,1.0,0.112254426,0.98529786,1,35,2.0183149869653905,34,0.9031679795170727,17.0,0.7994316199328337,17.0,0.8324008435010911,3.9245270746392764,0.08349246958519974,3.1871184947241504,2.2900193143648333,4.0,0.25341796875,-22.039202942904602
9,OOB,28,0,25,3,1.0,0.13699803,0.9836475,1,28,2.0716403186169443,27,1.1959683263006597,13.5,1.103532303861167,13.5,0.8591692373156548,3.9579406197642513,0.11239580805536775,3.238935405956254,2.274772820662059,4.0,0.75341796875,-22.26379425356301
