,idx,reward_sum,n_steps,reason
0,0,-29.674456477165222,83,OOB
1,1,110.43979000742547,105,HOME
2,2,-2.7204264502506703,58,OOB
3,3,-3.2480398863554,46,OOB
4,4,-3.436235226690769,35,OOB
5,5,-3.6529283887939528,56,OOB
6,6,-3.666476389626041,41,OOB
7,7,-3.905259991355706,40,OOB
8,8,-4.097931085154414,35,OOB
9,9,-3.9406647626310587,28,OOB
10,10,-5.151949372142553,55,OOB
11,11,-4.523279029730475,43,OOB
12,12,-4.620699584163958,58,OOB
13,13,-4.411469466751441,35,OOB
14,14,-4.358342986553907,31,OOB
15,15,-5.319123466964811,63,OOB
16,16,-4.867797992192209,53,OOB
17,17,-4.777985240332782,49,OOB
18,18,-4.745215805247426,43,OOB
19,19,-4.526173051446676,39,OOB
20,20,-7.521943088620901,97,OOB
21,21,-8.346104643773288,119,OOB
22,22,-7.959397343918681,114,OOB
23,23,-4.787257181480527,64,OOB
24,24,-4.945791993290186,61,OOB
25,25,-4.560513660311699,76,OOB
26,26,108.55340644880198,77,HOME
27,27,108.6059371093288,75,HOME
28,28,108.60913262795657,72,HOME
29,29,-7.605743711814284,113,OOB
30,30,-3.736067248508334,57,OOB
31,31,-3.9805930983275175,68,OOB
32,32,108.93962045549415,76,HOME
33,33,109.25502331869211,73,HOME
34,34,108.56122554466128,76,HOME
35,35,-4.926575354067609,63,OOB
36,36,-4.256326790899038,55,OOB
37,37,108.81416019366588,83,HOME
38,38,-6.510645101778209,126,OOB
39,39,-4.6510768588632345,36,OOB
40,40,-3.9006902427063324,54,OOB
41,41,-3.937807315029204,47,OOB
42,42,108.74215318764618,91,HOME
43,43,-4.017453268170357,38,OOB
44,44,-3.958670027554035,30,OOB
45,45,-3.7308134768973105,55,OOB
46,46,-3.7284638539422303,61,OOB
47,47,-3.867237881058827,43,OOB
48,48,-3.9814331252127886,38,OOB
49,49,-3.8832287583500147,30,OOB
50,50,-3.8918458027765155,58,OOB
51,51,108.67391848168336,78,HOME
52,52,-3.748977150011342,58,OOB
53,53,-3.819965035887435,39,OOB
54,54,-3.7859448213130236,33,OOB
55,55,-4.133104905951768,63,OOB
56,56,-6.925081806606613,118,OOB
57,57,109.1106261566747,72,HOME
58,58,-3.6684736758470535,42,OOB
59,59,-3.770525136962533,36,OOB
60,60,-4.434158841148019,80,OOB
61,61,-4.1486414624378085,85,OOB
62,62,-6.978126903064549,111,OOB
63,63,-3.8857256677001715,56,OOB
64,64,-3.8412228394299746,46,OOB
65,65,-3.742864953354001,65,OOB
66,66,108.66596293542534,76,HOME
67,67,108.85414551151916,73,HOME
68,68,108.89238589629531,69,HOME
69,69,-6.621753346174955,92,OOB
70,70,-3.597166020423174,59,OOB
71,71,108.63792560948059,79,HOME
72,72,109.05485481239157,75,HOME
73,73,108.86780999260372,74,HOME
74,74,-7.020312812179327,113,OOB
75,75,-4.254043089560582,56,OOB
76,76,-4.039088783785701,72,OOB
77,77,108.71513523184694,82,HOME
78,78,108.86681608040817,84,HOME
79,79,-4.589023936539888,34,OOB
80,80,-4.439875596435741,54,OOB
81,81,-4.749153336044401,47,OOB
82,82,-4.903927708044648,43,OOB
83,83,-5.011262149550021,39,OOB
84,84,-5.0928533133119345,32,OOB
85,85,-4.617034473165404,52,OOB
86,86,-4.473834307631478,45,OOB
87,87,-4.69773695920594,42,OOB
88,88,-4.800288141705096,37,OOB
89,89,-4.8472302518785,30,OOB
90,90,-4.710962556768209,57,OOB
91,91,-4.308793040458113,46,OOB
92,92,-4.423926722472061,48,OOB
93,93,-4.6275351429358125,38,OOB
94,94,-4.790487276390195,33,OOB
95,95,-4.598333834204823,60,OOB
96,96,-4.1392264891183,57,OOB
97,97,-4.187026145518757,50,OOB
98,98,-4.598483242094517,43,OOB
99,99,-4.771165665239096,37,OOB
100,100,-4.85468078055419,72,OOB
101,101,-4.06826435495168,59,OOB
102,102,108.46578234795015,111,HOME
103,103,-4.5354003785178065,51,OOB
104,104,-4.81971750035882,49,OOB
105,105,-4.424769112840295,69,OOB
106,106,-3.7337361038662493,72,OOB
107,107,108.73242268525064,110,HOME
108,108,108.52450798870996,106,HOME
109,109,-4.502216741908342,91,OOB
110,110,-4.522161595523357,67,OOB
111,111,-3.2734585097059608,91,OOB
112,112,-6.649514198696124,149,OOB
113,113,-6.835884078638628,149,OOB
114,114,108.21528690122068,108,HOME
115,115,-6.281967234215699,63,OOB
116,116,-5.143738850951195,76,OOB
117,117,109.08409322658554,120,HOME
118,118,-6.800288738682866,159,OOB
119,119,-6.2634716387838125,37,OOB
120,120,-4.761521103675477,52,OOB
121,121,-5.347687844121538,47,OOB
122,122,-5.500332324765623,43,OOB
123,123,-5.327725375071168,38,OOB
124,124,-5.282791933044791,30,OOB
125,125,-4.632468668278307,51,OOB
126,126,-4.756073904456571,43,OOB
127,127,-4.809853202197701,40,OOB
128,128,-5.070868320763111,37,OOB
129,129,-5.0309134144335985,29,OOB
130,130,-4.640989559295122,53,OOB
131,131,-4.302647694363259,56,OOB
132,132,-4.587483095063362,47,OOB
133,133,-4.84690094506368,38,OOB
134,134,-4.915290085598826,31,OOB
135,135,-4.411062713857973,57,OOB
136,136,-4.386427528166678,52,OOB
137,137,-4.1065637352876365,77,OOB
138,138,-4.707756546325982,43,OOB
139,139,-4.914107646793127,36,OOB
140,140,-4.335603386920411,66,OOB
141,141,108.72405419452116,112,HOME
142,142,-4.040520662616473,60,OOB
143,143,-4.735730976099148,57,OOB
