idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
0,HOME,261,92,25,144,0.8160919540229885,0.26506475,0.90099674,14,168,1.423120694714364,168,0.481351196820551,55.03448275862069,0.45188128348080653,38.0,0.35650431364774704,0.18444398813999172,3.8310614334213313,0.13991258410431562,0.12018341636947341,4.0,0.3525390625,100.83333333333333
1,OOB,40,5,25,10,0.95,0.182273,0.9775835,3,35,2.039338848931286,34,0.8047169191789647,14.975,0.636609139288963,14.5,0.27898011729121197,4.780001772741392,-0.7516116495744019,4.634528677368548,-1.170282395859813,4.0,0.4774169921875,-26.448519225577694
2,OOB,42,7,25,10,0.8333333333333334,0.19279568,0.9764168,1,35,2.0031851737412265,34,0.7379992578654363,14.166666666666666,0.48940625951766215,13.5,0.297013221308589,5.007414782790678,-0.9623240331391436,4.9038361295267245,-1.0132097619244362,4.0,0.602294921875,-27.60802960319942
3,OOB,146,21,38,87,0.9657534246575342,0.12080985,0.9864462,4,108,2.0015715043129374,108,0.8921536350385115,42.986301369863014,0.9555235732889673,35.5,0.7680527344346046,4.872485202095646,-0.8069249263095966,2.79408890161453,3.9917639277035852,4.0,0.7271728515625,-26.820439238462594
4,OOB,49,19,25,5,0.7959183673469388,0.16417854,0.9842569,5,30,2.0870398126828635,29,0.6375297930483466,9.285714285714286,0.31091820227991623,5.0,0.26332649961113935,4.3463512808831295,-0.25660916996357486,4.195125844070886,-1.136524794821018,4.0,0.85205078125,-24.19030829430318
5,OOB,76,41,25,10,0.618421052631579,0.07691515,0.990294,7,35,2.023326677881287,34,0.49889365125427965,8.197368421052632,0.11372393564543049,2.0,0.9819759037345648,2.7552068660518105,1.2602985555095123,-0.6968557532988504,2.665625054998045,4.0,0.3525390625,-32.00352432712256
6,OOB,72,36,26,10,0.8333333333333334,0.07834013,0.98885167,5,35,2.0145115322369676,34,0.5396932390400738,10.0,0.21480197837722934,6.5,0.9574901424348354,3.0888233452971985,0.9395667778697918,-0.34007839012605234,3.0700450073284347,4.0,0.4774169921875,-35.339525792861835
7,OOB,68,11,25,32,0.9558823529411765,0.0777343,0.9874447,3,57,2.009423965870234,56,0.5485635237769547,23.897058823529413,0.2914207658892114,22.5,0.9372565113008022,3.377920950226541,0.6671697994249937,0.07789904323234277,3.3770226065341733,4.0,0.602294921875,-19.33290506381421
8,OOB,64,2,25,37,0.953125,0.08344461,0.9877218,1,61,2.001619606752263,61,0.6485012680948548,29.546875,0.4816147292070013,29.5,0.9186916928738356,3.768003731954813,0.29755654383123664,0.5519846024139676,3.7273536353186683,4.0,0.7271728515625,-21.283300045132588
9,OOB,60,0,25,35,0.9833333333333333,0.08625216,0.9871025,1,59,2.017705471409892,59,0.7623493221903572,29.5,0.6843021369678413,29.5,0.8987420909106731,4.072560595742452,0.017181515177102646,0.9464185328111429,3.9610657362313137,4.0,0.85205078125,-22.83862537698476
10,OOB,61,10,25,26,0.8524590163934426,0.05581554,0.9885386,2,51,2.090183074151537,50,0.6211597233267722,20.918032786885245,0.4137658251684395,20.0,0.8749421164393425,4.174969775422006,-0.1594643538606828,0.9498763220441991,4.065477536342693,4.0,0.3525390625,-23.47602412382371
11,OOB,58,9,25,24,0.8275862068965517,0.07180001,0.98882,1,48,2.0241989387951236,48,0.6689578593015258,20.275862068965516,0.43613985767023494,19.5,0.8516605403274298,4.414155319917641,-0.3857651967506506,1.3993124403790151,4.186489207266362,4.0,0.4774169921875,-24.63449556225438
12,OOB,51,8,25,18,0.8627450980392157,0.066601455,0.9879386,2,43,2.055254474722553,42,0.7201866115342953,17.725490196078432,0.6174513730146983,17.0,0.8480592556297779,4.527083876817112,-0.48199312716557774,1.9859522346867502,4.068228379685703,4.0,0.602294921875,-25.270586878621188
13,OOB,48,1,25,22,0.9583333333333334,0.0983094,0.98807454,1,46,2.0000660038902063,46,0.7182374579809768,22.520833333333332,0.566992814274053,22.5,0.8097937591373922,4.698674397659708,-0.6331141218736587,2.5232038598897204,3.9637082860196005,4.0,0.7271728515625,-26.165606710405044
14,OOB,46,0,25,21,0.9782608695652174,0.13837214,0.9872774,1,45,2.0453901407977453,45,0.7702074066119594,22.5,0.51829615254989,22.5,0.7931491620838642,4.8342952621985935,-0.7445531512790389,3.053000113152366,3.7482797375872847,4.0,0.85205078125,-26.797776895105677
15,OOB,81,22,25,34,0.8395061728395061,0.18398689,0.9886845,2,59,2.0539909508415426,58,0.7821461849823905,21.679012345679013,0.7897766761807264,18.0,0.8316483572125435,4.822515650929868,-0.8070102293685455,1.9141441572395854,4.4263652525259465,4.0,0.3525390625,-26.76325270046713
16,OOB,84,22,28,34,0.8571428571428571,0.19398092,0.9891808,2,58,2.1008295724195984,58,0.8128710021581966,21.61904761904762,0.7209970648022508,16.5,0.7989290319383144,4.954801046412089,-0.9264109232450988,2.1197231054823638,4.478484940871247,4.0,0.4774169921875,-27.484146466483118
17,OOB,83,21,25,37,0.8674698795180723,0.18572958,0.9885781,2,61,2.0204977019381256,61,0.7237227478677558,23.57831325301205,0.644222981429323,20.0,0.8173336274921894,4.804595084601638,-0.7595043349501029,1.891469495151729,4.416613756701924,4.0,0.602294921875,-26.649223777766018
18,OOB,76,19,25,32,0.868421052631579,0.1736968,0.9880836,2,56,2.0109753754455495,56,0.8200877186958928,21.723684210526315,0.9583204514693093,18.5,0.816122991964221,4.892859260295359,-0.8272989845093095,2.015169027644638,4.458605783322833,4.0,0.7271728515625,-27.15092955338145
19,OOB,73,8,25,40,0.9315068493150684,0.16228591,0.9878636,2,64,2.000860114217793,64,0.8732102614274067,28.63013698630137,1.0648736690932668,28.0,0.8409050218760968,4.898371625812246,-0.808629514892691,2.10957684974845,4.4208291190191815,4.0,0.85205078125,-27.17305463861134
