,idx,reward_sum,n_steps,reason
0,0,81.82383186370134,261,HOME
1,1,-4.150423776358366,40,OOB
2,2,-4.410468164132908,42,OOB
3,3,-7.687024837126955,146,OOB
4,4,-3.809371208306402,49,OOB
5,5,-4.050771967682522,76,OOB
6,6,-5.099561151815578,72,OOB
7,7,-3.574261832749471,68,OOB
8,8,-4.174904283136129,64,OOB
9,9,-4.557625535875559,60,OOB
10,10,-4.265986489597708,61,OOB
11,11,-4.568847369868308,58,OOB
12,12,-4.599880449939519,51,OOB
13,13,-4.873889431823045,48,OOB
14,14,-5.134682668372989,46,OOB
15,15,-5.904189160675742,81,OOB
16,16,-6.35036097583361,84,OOB
17,17,-6.220998109973152,83,OOB
18,18,-6.087050007656217,76,OOB
19,19,-6.295450370758772,73,OOB
20,20,-5.420033945003524,125,OOB
21,21,-4.6094865089980885,69,OOB
22,22,-4.655901398014976,69,OOB
23,23,-4.320074730552733,72,OOB
24,24,-6.313850278733298,88,OOB
25,25,-2.5290649235248566,42,OOB
26,26,-5.774977113993373,122,OOB
27,27,-5.229785428382456,117,OOB
28,28,-5.440003364346921,118,OOB
29,29,-5.553041166625917,119,OOB
30,30,-3.068045176565647,39,OOB
31,31,-2.5784634426236153,42,OOB
32,32,-4.9678556974977255,113,OOB
33,33,-5.096147269476205,107,OOB
34,34,-2.428570646326989,79,OOB
35,35,-3.518461698666215,37,OOB
36,36,-3.2648441288620234,42,OOB
37,37,-5.278916576615302,115,OOB
38,38,-3.519294078461826,112,OOB
39,39,-2.6458540027961135,84,OOB
40,40,-4.407505875453353,37,OOB
41,41,-3.957095382735133,42,OOB
42,42,-3.7489944333210588,43,OOB
43,43,-2.4518961841240525,57,OOB
44,44,-3.202551824040711,84,OOB
45,45,-4.867504787573125,67,OOB
46,46,-5.950545207597315,139,OOB
47,47,-8.384757429361343,187,OOB
48,48,-6.242537997663021,69,OOB
49,49,-5.61314469575882,67,OOB
50,50,-4.586772800888866,69,OOB
51,51,-4.874575871916022,68,OOB
52,52,-4.404614962171763,64,OOB
53,53,-4.773280353634618,64,OOB
54,54,-4.89144310465781,63,OOB
55,55,-6.0083012147806585,77,OOB
56,56,-4.369197538122535,85,OOB
57,57,-4.101475747535005,63,OOB
58,58,-4.505603924859315,65,OOB
59,59,-4.632070610648952,62,OOB
60,60,-7.435971118509769,123,OOB
61,61,-6.304980525164865,82,OOB
62,62,-2.6704788599163294,61,OOB
63,63,-2.922611579298973,61,OOB
64,64,-4.63279311102815,88,OOB
65,65,-4.336124010384083,30,OOB
66,66,-3.6988431327044964,34,OOB
67,67,-8.312876776792109,170,OOB
68,68,-8.778269917704165,199,OOB
69,69,-2.9068392608314753,52,OOB
70,70,-4.510415192693472,31,OOB
71,71,-4.874284594319761,37,OOB
72,72,106.3383738650009,162,HOME
73,73,106.61282344569918,161,HOME
74,74,-1.9823395567946136,51,OOB
75,75,-4.073744013905525,32,OOB
76,76,-3.9111637510359287,36,OOB
77,77,-3.590294645400718,42,OOB
78,78,-5.4306535185314715,119,OOB
79,79,-2.2220136635005474,52,OOB
80,80,-5.4126232345588505,68,OOB
81,81,-6.895513366907835,44,OOB
82,82,-2.5553971519693732,88,OOB
83,83,-2.826055853278376,92,OOB
84,84,-6.27022086456418,40,OOB
85,85,-4.9980760319158435,81,OOB
86,86,-5.393492019269615,78,OOB
87,87,-5.724389476701617,72,OOB
88,88,-5.222021764144301,53,OOB
