,update,total_updates,T,FPS,window,mean,median,min,max
0,0,488,2048,176,16,-76.047576375,-72.259278,-125.642408,-43.498933
1,1,488,4096,188,29,-89.02311806896552,-80.123452,-139.893224,-42.900284
2,2,488,6144,185,43,-87.8043275116279,-77.271425,-149.200267,-42.900284
3,3,488,8192,181,50,-85.82041376,-75.51280349999999,-149.200267,-39.093912
4,4,488,10240,183,50,-86.46764014,-75.67831100000001,-149.200267,-39.093912
5,5,488,12288,184,50,-81.96456152,-74.74695,-149.200267,-39.093912
6,6,488,14336,186,50,-71.94355060000001,-71.344434,-149.200267,76.749912
7,7,488,16384,186,50,-63.399516219999995,-67.4247245,-120.070876,76.749912
8,8,488,18432,187,50,-52.164591200000004,-61.548935,-115.486117,85.645263
9,9,488,20480,188,50,-51.46411698,-63.070725,-98.658125,85.645263
10,10,488,22528,189,50,-45.68951399999999,-58.417640500000005,-98.658125,92.933096
11,11,488,24576,191,50,-41.79311164,-57.628673500000005,-98.658125,92.933096
12,12,488,26624,193,50,-40.97379443999999,-57.008736999999996,-98.658125,92.933096
13,13,488,28672,194,50,-41.40543112,-56.5587615,-94.395739,92.933096
14,14,488,30720,195,50,-38.99254954,-61.402099,-104.566298,97.565431
15,15,488,32768,196,50,-45.56927444,-56.6353105,-104.566298,97.565431
16,16,488,34816,196,50,-42.723166840000005,-54.739236500000004,-104.566298,97.565431
17,17,488,36864,197,50,-30.6111838,-43.072086,-76.277179,100.602275
18,18,488,38912,197,50,-29.21750052,-41.622592,-76.277179,100.602275
19,19,488,40960,198,50,-23.779419280000003,-47.348965500000006,-69.413135,100.602275
20,20,488,43008,198,50,-24.384417640000002,-53.4721145,-69.413135,96.001542
21,21,488,45056,199,50,-26.49493254,-54.049318,-69.413135,99.625949
22,22,488,47104,199,50,-23.047271040000002,-53.3338475,-65.443124,101.881798
23,23,488,49152,199,50,4.383144140000001,-50.2926065,-64.391862,101.881798
24,24,488,51200,200,50,4.288321720000001,-48.6191395,-70.169031,101.881798
25,25,488,53248,200,50,-6.295746399999998,-48.6191395,-70.169031,100.416877
26,26,488,55296,200,50,-8.307948660000001,-49.729004,-62.382195,99.12802
27,27,488,57344,201,50,-11.090164660000001,-48.454611,-65.176255,99.8759
28,28,488,59392,202,50,-9.3986285,-49.382483,-65.176255,105.08215
29,29,488,61440,202,50,-4.45796102,-50.124491,-65.176255,105.08215
30,30,488,63488,203,50,-2.02585226,-49.893734499999994,-64.701104,99.66767
31,31,488,65536,203,50,-2.186213600000001,-49.6961805,-64.457437,99.66767
32,32,488,67584,204,50,-5.91187138,-50.2095845,-69.859822,98.971617
33,33,488,69632,204,50,-12.875204680000001,-52.875695500000006,-83.326783,98.971617
34,34,488,71680,204,50,-9.58209712,-52.875695500000006,-83.326783,99.740623
35,35,488,73728,204,50,0.9678037200000008,-50.277998,-70.514117,99.740623
36,36,488,75776,204,50,17.01557754,-44.443647999999996,-65.845906,100.749137
37,37,488,77824,204,50,21.990448000000004,25.047713,-58.937549,101.17718
38,38,488,79872,204,50,10.6519772,-35.368793499999995,-55.020742,101.975395
