CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.0075, value_loss_coef=0.5, max_grad_norm=0.5, seed=18336, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250723/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[850000, 3500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed18336f2', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.0075, value_loss_coef=0.5, max_grad_norm=0.5, seed=18336, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250723/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[850000, 3500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed18336f2', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
Using Precomputed Plume...
2025-07-23 15:15:31.158 python[3873:38617124] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
2025-07-23 15:15:31.158 python[3875:38617126] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x16bb7ad30>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 18336, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptMemory20250723//plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed18336f2.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n850000
Saved ./trained_models/ExptMemory20250723/plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed18336f2.pt
Update 0/207, T 4096, FPS 424, 17-training-episode: mean/median -43.5/-67.7, min/max -92.1/84.4
Update 1/207, T 8192, FPS 428, 34-training-episode: mean/median -53.4/-69.9, min/max -92.1/84.4
Update 2/207, T 12288, FPS 434, 50-training-episode: mean/median -53.1/-68.7, min/max -92.1/78.0
Update 3/207, T 16384, FPS 433, 50-training-episode: mean/median -47.8/-67.9, min/max -89.5/78.0
Update 4/207, T 20480, FPS 430, 50-training-episode: mean/median -38.0/-64.8, min/max -89.5/82.8
Update 5/207, T 24576, FPS 432, 50-training-episode: mean/median -38.6/-62.2, min/max -87.9/85.6
Update 6/207, T 28672, FPS 431, 50-training-episode: mean/median -44.9/-63.7, min/max -89.5/85.6
Update 7/207, T 32768, FPS 426, 50-training-episode: mean/median -46.0/-62.4, min/max -89.5/85.6
Update 8/207, T 36864, FPS 421, 50-training-episode: mean/median -38.6/-58.8, min/max -84.6/78.2
Update 9/207, T 40960, FPS 423, 50-training-episode: mean/median -44.2/-62.2, min/max -91.8/80.9
Update 10/207, T 45056, FPS 422, 50-training-episode: mean/median -29.0/-63.6, min/max -91.8/89.1
Update 11/207, T 49152, FPS 423, 50-training-episode: mean/median -25.7/-63.6, min/max -91.8/89.1
Update 12/207, T 53248, FPS 425, 50-training-episode: mean/median -31.9/-64.2, min/max -99.2/86.7
Update 13/207, T 57344, FPS 426, 50-training-episode: mean/median -38.9/-66.7, min/max -99.2/90.6
Update 14/207, T 61440, FPS 428, 50-training-episode: mean/median -28.2/-62.2, min/max -94.7/90.9
Update 15/207, T 65536, FPS 428, 50-training-episode: mean/median -25.5/-61.6, min/max -91.7/90.9
Update 16/207, T 69632, FPS 428, 50-training-episode: mean/median -21.2/-61.7, min/max -91.7/97.9
Update 17/207, T 73728, FPS 428, 50-training-episode: mean/median 0.5/-58.0, min/max -82.3/97.9
Update 18/207, T 77824, FPS 428, 50-training-episode: mean/median -8.1/-58.3, min/max -74.7/97.4
Update 19/207, T 81920, FPS 427, 50-training-episode: mean/median -5.5/-56.3, min/max -95.8/97.6
Update 20/207, T 86016, FPS 426, 50-training-episode: mean/median -8.7/-56.2, min/max -95.8/93.0
Update 21/207, T 90112, FPS 420, 50-training-episode: mean/median -21.9/-57.2, min/max -74.5/97.2
Update 22/207, T 94208, FPS 412, 50-training-episode: mean/median -17.8/-56.0, min/max -76.6/97.2
Update 23/207, T 98304, FPS 403, 50-training-episode: mean/median -3.8/-51.5, min/max -76.6/95.7
Update 24/207, T 102400, FPS 400, 50-training-episode: mean/median -4.6/-48.9, min/max -63.1/94.4
Update 25/207, T 106496, FPS 399, 50-training-episode: mean/median 13.7/-47.6, min/max -68.6/97.0
Update 26/207, T 110592, FPS 398, 50-training-episode: mean/median 7.8/-49.3, min/max -73.2/97.0
Update 27/207, T 114688, FPS 396, 50-training-episode: mean/median -13.0/-54.9, min/max -67.6/95.7
Update 28/207, T 118784, FPS 395, 50-training-episode: mean/median -13.0/-53.1, min/max -80.5/96.2
Update 29/207, T 122880, FPS 396, 50-training-episode: mean/median 4.7/-52.0, min/max -65.2/96.2
Update 30/207, T 126976, FPS 395, 50-training-episode: mean/median 13.6/-49.4, min/max -67.5/95.9
Update 31/207, T 131072, FPS 395, 50-training-episode: mean/median 3.1/-52.4, min/max -61.3/98.2
Update 32/207, T 135168, FPS 394, 50-training-episode: mean/median -0.1/-51.6, min/max -65.7/101.4
Update 33/207, T 139264, FPS 392, 50-training-episode: mean/median -1.4/-55.5, min/max -68.4/102.6
Update 34/207, T 143360, FPS 392, 50-training-episode: mean/median 13.9/-50.8, min/max -77.0/97.2
Update 35/207, T 147456, FPS 392, 50-training-episode: mean/median 9.1/-50.8, min/max -69.7/102.1
Update 36/207, T 151552, FPS 391, 50-training-episode: mean/median 9.5/-51.1, min/max -64.5/100.9
Update 37/207, T 155648, FPS 391, 50-training-episode: mean/median 5.7/-52.0, min/max -67.2/100.0
Update 38/207, T 159744, FPS 390, 50-training-episode: mean/median -7.9/-52.7, min/max -65.9/100.5
Update 39/207, T 163840, FPS 390, 50-training-episode: mean/median 13.0/-47.9, min/max -62.0/100.5
Update 40/207, T 167936, FPS 390, 50-training-episode: mean/median 15.8/-47.6, min/max -60.7/101.5
Update 41/207, T 172032, FPS 390, 50-training-episode: mean/median 4.1/-52.6, min/max -62.2/102.4
Update 42/207, T 176128, FPS 389, 50-training-episode: mean/median 19.5/15.7, min/max -63.2/100.7
Update 43/207, T 180224, FPS 388, 50-training-episode: mean/median 19.3/22.0, min/max -60.7/100.0
Update 44/207, T 184320, FPS 386, 50-training-episode: mean/median -6.2/-51.0, min/max -64.3/102.2
Update 45/207, T 188416, FPS 386, 50-training-episode: mean/median 4.5/-48.3, min/max -61.6/102.2
Update 46/207, T 192512, FPS 385, 50-training-episode: mean/median -5.2/-49.8, min/max -59.7/97.8
Update 47/207, T 196608, FPS 383, 50-training-episode: mean/median 7.3/-48.9, min/max -64.0/105.5
Update 48/207, T 200704, FPS 381, 50-training-episode: mean/median 1.5/-49.1, min/max -57.5/102.1
Update 49/207, T 204800, FPS 380, 50-training-episode: mean/median 4.6/-48.5, min/max -57.9/102.6
Update 50/207, T 208896, FPS 380, 50-training-episode: mean/median 24.4/84.9, min/max -63.3/104.3
Update 51/207, T 212992, FPS 380, 50-training-episode: mean/median 21.7/21.2, min/max -58.0/102.2
Update 52/207, T 217088, FPS 379, 50-training-episode: mean/median 21.5/15.7, min/max -59.2/102.2
Update 53/207, T 221184, FPS 379, 50-training-episode: mean/median 42.6/92.2, min/max -57.6/106.1
Update 54/207, T 225280, FPS 379, 50-training-episode: mean/median 24.2/86.4, min/max -62.7/101.9
