CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.0075, value_loss_coef=0.5, max_grad_norm=0.5, seed=21678, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250723/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[850000, 3500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed2167859', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.0075, value_loss_coef=0.5, max_grad_norm=0.5, seed=21678, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250723/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[850000, 3500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed2167859', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
Using Precomputed Plume...
2025-07-23 19:35:52.414 python[22308:38915605] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
2025-07-23 19:35:52.414 python[22309:38915606] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x179af2d30>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 21678, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptMemory20250723//plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed2167859.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n850000
Saved ./trained_models/ExptMemory20250723/plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed2167859.pt
Update 0/207, T 4096, FPS 417, 36-training-episode: mean/median -79.2/-75.3, min/max -138.9/-44.7
Update 1/207, T 8192, FPS 414, 50-training-episode: mean/median -86.2/-84.6, min/max -138.9/-46.0
Update 2/207, T 12288, FPS 413, 50-training-episode: mean/median -86.5/-86.2, min/max -137.6/-46.0
Update 3/207, T 16384, FPS 413, 50-training-episode: mean/median -91.8/-91.6, min/max -132.6/-46.2
Update 4/207, T 20480, FPS 414, 50-training-episode: mean/median -94.9/-95.1, min/max -145.7/-37.1
Update 5/207, T 24576, FPS 415, 50-training-episode: mean/median -95.7/-94.4, min/max -150.0/-40.4
Update 6/207, T 28672, FPS 415, 50-training-episode: mean/median -88.3/-86.1, min/max -147.9/-41.7
Update 7/207, T 32768, FPS 415, 50-training-episode: mean/median -81.8/-76.0, min/max -137.0/-41.7
Update 8/207, T 36864, FPS 416, 50-training-episode: mean/median -80.1/-69.0, min/max -165.3/-35.5
Update 9/207, T 40960, FPS 417, 50-training-episode: mean/median -68.8/-64.3, min/max -165.3/-33.6
Update 10/207, T 45056, FPS 417, 50-training-episode: mean/median -52.8/-49.6, min/max -112.7/78.7
Update 11/207, T 49152, FPS 417, 50-training-episode: mean/median -46.2/-48.4, min/max -73.7/78.7
Update 12/207, T 53248, FPS 417, 50-training-episode: mean/median -42.5/-40.8, min/max -76.2/88.5
Update 13/207, T 57344, FPS 416, 50-training-episode: mean/median -39.0/-40.4, min/max -94.6/93.0
Update 14/207, T 61440, FPS 417, 50-training-episode: mean/median -27.6/-41.1, min/max -94.6/93.0
Update 15/207, T 65536, FPS 417, 50-training-episode: mean/median -26.1/-43.5, min/max -88.4/88.1
Update 16/207, T 69632, FPS 418, 50-training-episode: mean/median -13.8/-38.8, min/max -78.1/90.5
Update 17/207, T 73728, FPS 416, 50-training-episode: mean/median 0.5/-35.1, min/max -76.2/93.1
Update 18/207, T 77824, FPS 415, 50-training-episode: mean/median 2.2/-35.2, min/max -78.5/95.7
Update 19/207, T 81920, FPS 414, 50-training-episode: mean/median 3.4/-39.8, min/max -81.6/93.1
Update 20/207, T 86016, FPS 413, 50-training-episode: mean/median -9.0/-43.0, min/max -81.6/95.2
Update 21/207, T 90112, FPS 413, 50-training-episode: mean/median 0.9/-35.2, min/max -71.3/96.9
Update 22/207, T 94208, FPS 412, 50-training-episode: mean/median 8.1/-33.1, min/max -66.4/99.1
Update 23/207, T 98304, FPS 412, 50-training-episode: mean/median 17.2/-32.0, min/max -69.7/100.2
Update 24/207, T 102400, FPS 410, 50-training-episode: mean/median 41.5/89.8, min/max -60.3/98.7
Update 25/207, T 106496, FPS 410, 50-training-episode: mean/median 9.6/-35.1, min/max -57.6/102.8
Update 26/207, T 110592, FPS 409, 50-training-episode: mean/median 23.0/27.1, min/max -62.8/105.6
Update 27/207, T 114688, FPS 408, 50-training-episode: mean/median -1.2/-51.1, min/max -68.1/101.4
Update 28/207, T 118784, FPS 408, 50-training-episode: mean/median 6.6/-50.9, min/max -68.1/101.2
Update 29/207, T 122880, FPS 408, 50-training-episode: mean/median 13.3/-47.4, min/max -66.7/101.2
Update 30/207, T 126976, FPS 408, 50-training-episode: mean/median 10.1/-50.0, min/max -67.4/102.7
Update 31/207, T 131072, FPS 407, 50-training-episode: mean/median 15.9/-49.8, min/max -66.3/102.0
Update 32/207, T 135168, FPS 407, 50-training-episode: mean/median 18.5/16.7, min/max -68.2/103.1
Update 33/207, T 139264, FPS 407, 50-training-episode: mean/median -2.2/-53.1, min/max -69.7/103.0
Update 34/207, T 143360, FPS 407, 50-training-episode: mean/median 27.5/86.2, min/max -69.7/104.5
Update 35/207, T 147456, FPS 406, 50-training-episode: mean/median 28.2/87.5, min/max -59.9/100.4
Update 36/207, T 151552, FPS 406, 50-training-episode: mean/median 16.8/-49.1, min/max -59.1/101.3
Update 37/207, T 155648, FPS 406, 50-training-episode: mean/median 15.4/-48.8, min/max -61.1/105.6
Update 38/207, T 159744, FPS 405, 50-training-episode: mean/median 25.6/86.7, min/max -64.0/104.2
Update 39/207, T 163840, FPS 405, 50-training-episode: mean/median 21.4/19.8, min/max -61.4/103.1
Update 40/207, T 167936, FPS 405, 50-training-episode: mean/median 5.4/-50.5, min/max -61.4/102.2
Update 41/207, T 172032, FPS 404, 50-training-episode: mean/median 25.0/84.1, min/max -64.7/106.4
Update 42/207, T 176128, FPS 404, 50-training-episode: mean/median 19.9/20.4, min/max -71.5/103.3
Update 43/207, T 180224, FPS 404, 50-training-episode: mean/median 23.2/87.5, min/max -64.8/105.3
Update 44/207, T 184320, FPS 403, 50-training-episode: mean/median 38.2/92.2, min/max -61.2/105.0
Update 45/207, T 188416, FPS 403, 50-training-episode: mean/median 20.1/15.8, min/max -64.9/106.5
Update 46/207, T 192512, FPS 402, 50-training-episode: mean/median 35.5/89.2, min/max -61.9/106.5
Update 47/207, T 196608, FPS 402, 50-training-episode: mean/median 16.9/-49.4, min/max -62.3/104.8
Update 48/207, T 200704, FPS 402, 50-training-episode: mean/median 15.7/-49.5, min/max -59.4/107.5
Update 49/207, T 204800, FPS 401, 50-training-episode: mean/median 20.6/19.2, min/max -61.1/105.7
Update 50/207, T 208896, FPS 401, 50-training-episode: mean/median 5.5/-49.9, min/max -65.8/99.4
Update 51/207, T 212992, FPS 400, 50-training-episode: mean/median 18.3/-46.0, min/max -62.3/104.9
Update 52/207, T 217088, FPS 400, 50-training-episode: mean/median 19.3/-46.9, min/max -56.9/107.5
Update 53/207, T 221184, FPS 400, 50-training-episode: mean/median 9.9/-48.7, min/max -62.7/104.2
Update 54/207, T 225280, FPS 400, 50-training-episode: mean/median 27.8/88.4, min/max -56.4/103.2
