CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.0075, value_loss_coef=0.5, max_grad_norm=0.5, seed=26203, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250723/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[850000, 3500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed26203f8', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.0075, value_loss_coef=0.5, max_grad_norm=0.5, seed=26203, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250723/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[850000, 3500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed26203f8', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
Using Precomputed Plume...
2025-07-23 19:23:22.246 python[21785:38906495] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
2025-07-23 19:23:22.246 python[21784:38906494] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x3128f5e50>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 26203, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptMemory20250723//plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed26203f8.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n850000
Saved ./trained_models/ExptMemory20250723/plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed26203f8.pt
Update 0/207, T 4096, FPS 423, 34-training-episode: mean/median -73.0/-72.4, min/max -125.3/-31.1
Update 1/207, T 8192, FPS 431, 50-training-episode: mean/median -81.0/-74.8, min/max -144.0/-31.1
Update 2/207, T 12288, FPS 424, 50-training-episode: mean/median -84.8/-80.6, min/max -144.0/-39.3
Update 3/207, T 16384, FPS 428, 50-training-episode: mean/median -84.0/-79.8, min/max -137.4/-40.3
Update 4/207, T 20480, FPS 429, 50-training-episode: mean/median -86.1/-85.5, min/max -137.4/-40.3
Update 5/207, T 24576, FPS 431, 50-training-episode: mean/median -76.1/-72.8, min/max -145.4/-39.8
Update 6/207, T 28672, FPS 434, 50-training-episode: mean/median -66.3/-66.3, min/max -145.4/-32.7
Update 7/207, T 32768, FPS 437, 50-training-episode: mean/median -65.6/-67.1, min/max -113.8/-32.7
Update 8/207, T 36864, FPS 441, 50-training-episode: mean/median -65.3/-67.1, min/max -113.8/-32.7
Update 9/207, T 40960, FPS 441, 50-training-episode: mean/median -55.8/-65.9, min/max -113.8/74.0
Update 10/207, T 45056, FPS 443, 50-training-episode: mean/median -55.2/-67.6, min/max -95.0/74.0
Update 11/207, T 49152, FPS 442, 50-training-episode: mean/median -55.0/-67.6, min/max -95.0/74.0
Update 12/207, T 53248, FPS 442, 50-training-episode: mean/median -52.8/-67.9, min/max -90.4/78.7
Update 13/207, T 57344, FPS 443, 50-training-episode: mean/median -40.3/-63.2, min/max -93.6/89.0
Update 14/207, T 61440, FPS 444, 50-training-episode: mean/median -40.4/-58.4, min/max -93.6/89.0
Update 15/207, T 65536, FPS 444, 50-training-episode: mean/median -39.5/-54.8, min/max -96.2/87.9
Update 16/207, T 69632, FPS 444, 50-training-episode: mean/median -34.9/-57.3, min/max -96.2/87.9
Update 17/207, T 73728, FPS 444, 50-training-episode: mean/median -32.6/-62.9, min/max -96.2/89.1
Update 18/207, T 77824, FPS 443, 50-training-episode: mean/median -26.0/-59.1, min/max -83.4/89.1
Update 19/207, T 81920, FPS 443, 50-training-episode: mean/median -19.2/-55.7, min/max -77.0/88.0
Update 20/207, T 86016, FPS 443, 50-training-episode: mean/median -19.6/-54.5, min/max -69.6/92.2
Update 21/207, T 90112, FPS 442, 50-training-episode: mean/median -29.7/-56.2, min/max -72.4/93.0
Update 22/207, T 94208, FPS 442, 50-training-episode: mean/median -27.9/-55.6, min/max -73.2/93.0
Update 23/207, T 98304, FPS 442, 50-training-episode: mean/median -22.8/-56.0, min/max -73.2/94.8
Update 24/207, T 102400, FPS 441, 50-training-episode: mean/median -14.4/-57.2, min/max -72.4/94.8
Update 25/207, T 106496, FPS 441, 50-training-episode: mean/median -17.6/-57.3, min/max -72.4/95.6
Update 26/207, T 110592, FPS 441, 50-training-episode: mean/median -8.5/-54.7, min/max -73.3/95.6
Update 27/207, T 114688, FPS 441, 50-training-episode: mean/median -8.9/-56.3, min/max -73.3/97.1
Update 28/207, T 118784, FPS 441, 50-training-episode: mean/median 0.3/-54.5, min/max -71.2/95.3
Update 29/207, T 122880, FPS 440, 50-training-episode: mean/median -12.8/-58.0, min/max -73.6/97.8
Update 30/207, T 126976, FPS 440, 50-training-episode: mean/median -6.5/-56.7, min/max -70.0/98.0
Update 31/207, T 131072, FPS 440, 50-training-episode: mean/median 5.0/-55.0, min/max -75.1/97.6
Update 32/207, T 135168, FPS 439, 50-training-episode: mean/median 0.1/-55.3, min/max -74.2/100.5
Update 33/207, T 139264, FPS 439, 50-training-episode: mean/median -3.8/-57.7, min/max -79.7/102.4
Update 34/207, T 143360, FPS 438, 50-training-episode: mean/median -0.6/-57.1, min/max -81.1/102.6
Update 35/207, T 147456, FPS 438, 50-training-episode: mean/median 20.4/85.2, min/max -81.1/102.3
Update 36/207, T 151552, FPS 438, 50-training-episode: mean/median 33.5/86.9, min/max -84.7/99.2
Update 37/207, T 155648, FPS 437, 50-training-episode: mean/median 31.5/85.7, min/max -75.4/106.5
Update 38/207, T 159744, FPS 436, 50-training-episode: mean/median 31.5/89.3, min/max -65.1/106.5
Update 39/207, T 163840, FPS 436, 50-training-episode: mean/median 45.8/90.9, min/max -67.9/105.2
Update 40/207, T 167936, FPS 436, 50-training-episode: mean/median 24.9/85.1, min/max -66.4/99.0
Update 41/207, T 172032, FPS 435, 50-training-episode: mean/median 22.7/81.2, min/max -68.2/104.9
Update 42/207, T 176128, FPS 435, 50-training-episode: mean/median 9.4/-49.2, min/max -67.2/100.9
Update 43/207, T 180224, FPS 434, 50-training-episode: mean/median 33.9/86.6, min/max -59.1/100.8
Update 44/207, T 184320, FPS 434, 50-training-episode: mean/median 28.6/87.7, min/max -61.8/103.5
Update 45/207, T 188416, FPS 433, 50-training-episode: mean/median 33.8/90.6, min/max -61.3/101.0
Update 46/207, T 192512, FPS 433, 50-training-episode: mean/median 35.4/91.1, min/max -66.4/103.5
Update 47/207, T 196608, FPS 432, 50-training-episode: mean/median 25.5/85.0, min/max -60.8/102.4
Update 48/207, T 200704, FPS 432, 50-training-episode: mean/median 26.2/87.0, min/max -66.3/104.3
Update 49/207, T 204800, FPS 431, 50-training-episode: mean/median 9.0/-45.7, min/max -63.1/100.6
Update 50/207, T 208896, FPS 431, 50-training-episode: mean/median 24.1/84.9, min/max -64.0/105.4
Update 51/207, T 212992, FPS 431, 50-training-episode: mean/median 29.6/84.9, min/max -62.7/101.9
Update 52/207, T 217088, FPS 431, 50-training-episode: mean/median 16.8/-37.0, min/max -65.2/101.6
Update 53/207, T 221184, FPS 431, 50-training-episode: mean/median 35.9/91.6, min/max -62.2/104.3
Update 54/207, T 225280, FPS 431, 50-training-episode: mean/median 13.9/-38.4, min/max -69.3/104.7
Update 55/207, T 229376, FPS 431, 50-training-episode: mean/median 39.6/87.2, min/max -69.1/104.0
Update 56/207, T 233472, FPS 431, 50-training-episode: mean/median 36.6/88.5, min/max -65.7/103.3
Update 57/207, T 237568, FPS 431, 50-training-episode: mean/median 28.7/87.9, min/max -69.8/103.3
Update 58/207, T 241664, FPS 430, 50-training-episode: mean/median 35.6/88.3, min/max -61.4/103.9
Update 59/207, T 245760, FPS 430, 50-training-episode: mean/median 17.4/17.2, min/max -74.4/107.9
Update 60/207, T 249856, FPS 430, 50-training-episode: mean/median 30.0/87.7, min/max -72.1/108.0
Update 61/207, T 253952, FPS 430, 50-training-episode: mean/median 35.6/89.9, min/max -67.5/103.1
Update 62/207, T 258048, FPS 430, 50-training-episode: mean/median 35.2/88.5, min/max -60.1/104.6
Update 63/207, T 262144, FPS 430, 50-training-episode: mean/median 24.5/82.4, min/max -70.4/104.5
Update 64/207, T 266240, FPS 430, 50-training-episode: mean/median 58.6/93.1, min/max -64.8/105.5
Update 65/207, T 270336, FPS 430, 50-training-episode: mean/median 33.0/90.7, min/max -60.3/100.3
Update 66/207, T 274432, FPS 430, 50-training-episode: mean/median 41.4/89.4, min/max -64.9/102.6
Update 67/207, T 278528, FPS 429, 50-training-episode: mean/median 40.5/90.2, min/max -63.9/104.5
Update 68/207, T 282624, FPS 429, 50-training-episode: mean/median 38.9/90.6, min/max -60.1/104.5
Update 69/207, T 286720, FPS 429, 50-training-episode: mean/median 29.2/91.5, min/max -57.7/106.4
Update 70/207, T 290816, FPS 429, 50-training-episode: mean/median 18.9/-36.4, min/max -60.9/105.1
Update 71/207, T 294912, FPS 428, 50-training-episode: mean/median 24.2/84.3, min/max -60.6/104.6
Update 72/207, T 299008, FPS 428, 50-training-episode: mean/median 32.9/88.6, min/max -67.6/105.1
Update 73/207, T 303104, FPS 428, 50-training-episode: mean/median 53.3/92.4, min/max -62.0/104.8
Update 74/207, T 307200, FPS 427, 50-training-episode: mean/median 49.2/89.7, min/max -64.9/104.0
Update 75/207, T 311296, FPS 427, 50-training-episode: mean/median 53.4/93.4, min/max -61.9/104.9
Update 76/207, T 315392, FPS 427, 50-training-episode: mean/median 39.3/89.2, min/max -69.1/103.6
Update 77/207, T 319488, FPS 427, 50-training-episode: mean/median 48.5/92.3, min/max -63.1/103.8
Update 78/207, T 323584, FPS 426, 50-training-episode: mean/median 40.1/89.5, min/max -71.6/109.2
Update 79/207, T 327680, FPS 426, 50-training-episode: mean/median 46.9/92.2, min/max -63.8/102.9
Update 80/207, T 331776, FPS 425, 50-training-episode: mean/median 23.2/87.6, min/max -63.3/104.9
Update 81/207, T 335872, FPS 425, 50-training-episode: mean/median 45.3/88.5, min/max -63.4/103.6
Update 82/207, T 339968, FPS 424, 50-training-episode: mean/median 51.9/91.7, min/max -67.7/104.2
Update 83/207, T 344064, FPS 424, 50-training-episode: mean/median 61.4/92.7, min/max -61.4/101.7
Update 84/207, T 348160, FPS 423, 50-training-episode: mean/median 52.7/92.2, min/max -61.9/104.9
Update 85/207, T 352256, FPS 423, 50-training-episode: mean/median 38.7/90.4, min/max -60.6/103.6
Update 86/207, T 356352, FPS 423, 50-training-episode: mean/median 46.9/92.0, min/max -64.0/106.7
Update 87/207, T 360448, FPS 422, 50-training-episode: mean/median 24.4/90.0, min/max -62.9/102.2
Update 88/207, T 364544, FPS 422, 50-training-episode: mean/median 35.2/91.3, min/max -64.1/103.7
Update 89/207, T 368640, FPS 422, 50-training-episode: mean/median 41.6/90.8, min/max -62.9/108.7
Update 90/207, T 372736, FPS 421, 50-training-episode: mean/median 63.0/94.6, min/max -60.3/104.0
Update 91/207, T 376832, FPS 421, 50-training-episode: mean/median 41.6/91.1, min/max -64.5/106.8
Update 92/207, T 380928, FPS 420, 50-training-episode: mean/median 41.9/91.5, min/max -61.2/104.6
Update 93/207, T 385024, FPS 420, 50-training-episode: mean/median 29.1/86.8, min/max -64.5/100.7
Update 94/207, T 389120, FPS 419, 50-training-episode: mean/median 42.5/93.1, min/max -59.0/105.8
Update 95/207, T 393216, FPS 419, 50-training-episode: mean/median 36.7/89.5, min/max -64.8/104.4
Update 96/207, T 397312, FPS 418, 50-training-episode: mean/median 32.8/87.2, min/max -61.2/104.5
Update 97/207, T 401408, FPS 418, 50-training-episode: mean/median 47.7/92.3, min/max -65.0/104.6
Update 98/207, T 405504, FPS 417, 50-training-episode: mean/median 18.3/-46.0, min/max -62.7/103.9
Update 99/207, T 409600, FPS 417, 50-training-episode: mean/median 38.8/91.9, min/max -61.1/104.2
Saved ./trained_models/ExptMemory20250723/plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed26203f8.pt
Update 100/207, T 413696, FPS 416, 50-training-episode: mean/median 14.0/-45.0, min/max -66.0/104.7
Update 101/207, T 417792, FPS 416, 50-training-episode: mean/median 35.6/87.4, min/max -70.5/106.4
Update 102/207, T 421888, FPS 415, 50-training-episode: mean/median 14.9/-46.5, min/max -63.5/102.5
Update 103/207, T 425984, FPS 415, 50-training-episode: mean/median 17.7/-41.2, min/max -67.8/104.3
Update 104/207, T 430080, FPS 415, 50-training-episode: mean/median 32.1/89.4, min/max -67.4/104.2
Update 105/207, T 434176, FPS 414, 50-training-episode: mean/median 35.8/90.8, min/max -67.6/106.7
Update 106/207, T 438272, FPS 414, 50-training-episode: mean/median 32.3/86.2, min/max -65.1/101.7
Update 107/207, T 442368, FPS 414, 50-training-episode: mean/median 14.6/-45.9, min/max -64.5/104.6
Update 108/207, T 446464, FPS 413, 50-training-episode: mean/median 21.8/78.3, min/max -71.7/108.1
Update 109/207, T 450560, FPS 413, 50-training-episode: mean/median 30.5/87.2, min/max -66.8/99.5
Update 110/207, T 454656, FPS 413, 50-training-episode: mean/median 19.7/16.8, min/max -76.2/105.6
Update 111/207, T 458752, FPS 412, 50-training-episode: mean/median 32.3/87.3, min/max -65.5/107.9
Update 112/207, T 462848, FPS 412, 50-training-episode: mean/median 27.8/86.0, min/max -67.2/104.7
Update 113/207, T 466944, FPS 412, 50-training-episode: mean/median 46.0/90.9, min/max -68.0/104.9
Update 114/207, T 471040, FPS 411, 50-training-episode: mean/median 32.8/83.4, min/max -64.2/104.5
Update 115/207, T 475136, FPS 411, 50-training-episode: mean/median 35.0/89.1, min/max -61.7/101.2
Update 116/207, T 479232, FPS 411, 50-training-episode: mean/median 42.8/90.4, min/max -73.0/104.4
Update 117/207, T 483328, FPS 411, 50-training-episode: mean/median 59.7/94.5, min/max -64.8/104.3
Update 118/207, T 487424, FPS 410, 50-training-episode: mean/median 61.6/92.9, min/max -74.7/106.2
Update 119/207, T 491520, FPS 410, 50-training-episode: mean/median 43.5/90.6, min/max -64.0/105.1
Update 120/207, T 495616, FPS 410, 50-training-episode: mean/median 48.1/94.4, min/max -59.5/102.5
Update 121/207, T 499712, FPS 409, 50-training-episode: mean/median 53.8/93.5, min/max -61.2/103.0
Update 122/207, T 503808, FPS 409, 50-training-episode: mean/median 38.2/91.2, min/max -64.6/103.3
Update 123/207, T 507904, FPS 409, 50-training-episode: mean/median 38.9/91.8, min/max -62.7/106.4
Update 124/207, T 512000, FPS 409, 50-training-episode: mean/median 42.0/92.4, min/max -60.2/102.2
Update 125/207, T 516096, FPS 408, 50-training-episode: mean/median 34.1/90.9, min/max -61.0/103.1
Update 126/207, T 520192, FPS 408, 50-training-episode: mean/median 53.4/95.0, min/max -59.1/104.9
Update 127/207, T 524288, FPS 408, 50-training-episode: mean/median 49.9/96.6, min/max -60.4/104.3
Update 128/207, T 528384, FPS 407, 50-training-episode: mean/median 34.5/92.5, min/max -62.7/104.9
Update 129/207, T 532480, FPS 407, 50-training-episode: mean/median 47.8/92.1, min/max -55.8/106.5
Update 130/207, T 536576, FPS 407, 50-training-episode: mean/median 43.1/92.9, min/max -61.4/106.0
Update 131/207, T 540672, FPS 406, 50-training-episode: mean/median 49.7/95.5, min/max -59.6/104.4
Update 132/207, T 544768, FPS 406, 50-training-episode: mean/median 51.1/95.2, min/max -54.0/106.4
Update 133/207, T 548864, FPS 406, 50-training-episode: mean/median 45.4/95.9, min/max -55.5/104.5
Update 134/207, T 552960, FPS 405, 50-training-episode: mean/median 44.6/93.4, min/max -57.5/106.5
Update 135/207, T 557056, FPS 405, 50-training-episode: mean/median 38.0/91.7, min/max -60.6/104.9
Update 136/207, T 561152, FPS 405, 50-training-episode: mean/median 31.6/90.5, min/max -63.6/106.1
Update 137/207, T 565248, FPS 405, 50-training-episode: mean/median 52.0/95.4, min/max -53.7/108.5
Update 138/207, T 569344, FPS 404, 50-training-episode: mean/median 37.5/93.2, min/max -56.1/104.8
Update 139/207, T 573440, FPS 404, 50-training-episode: mean/median 47.7/94.8, min/max -64.3/107.3
Update 140/207, T 577536, FPS 404, 50-training-episode: mean/median 31.0/93.3, min/max -65.1/104.6
Update 141/207, T 581632, FPS 404, 50-training-episode: mean/median 20.5/-34.1, min/max -61.7/103.3
Update 142/207, T 585728, FPS 403, 50-training-episode: mean/median 37.6/91.5, min/max -61.3/104.1
Update 143/207, T 589824, FPS 403, 50-training-episode: mean/median 34.2/91.6, min/max -71.6/101.4
Update 144/207, T 593920, FPS 403, 50-training-episode: mean/median 40.6/95.7, min/max -56.3/104.8
Update 145/207, T 598016, FPS 403, 50-training-episode: mean/median 25.7/27.6, min/max -67.1/101.9
Update 146/207, T 602112, FPS 402, 50-training-episode: mean/median 37.9/92.8, min/max -63.2/106.2
Update 147/207, T 606208, FPS 402, 50-training-episode: mean/median 35.9/92.8, min/max -64.8/104.8
Update 148/207, T 610304, FPS 402, 50-training-episode: mean/median 32.7/92.7, min/max -56.3/105.0
Update 149/207, T 614400, FPS 402, 50-training-episode: mean/median 28.7/91.1, min/max -62.3/107.1
Update 150/207, T 618496, FPS 402, 50-training-episode: mean/median 32.6/93.6, min/max -60.6/103.6
Update 151/207, T 622592, FPS 402, 50-training-episode: mean/median 27.1/28.8, min/max -58.1/101.3
Update 152/207, T 626688, FPS 401, 50-training-episode: mean/median 42.5/94.9, min/max -83.6/103.4
Update 153/207, T 630784, FPS 401, 50-training-episode: mean/median 32.3/90.6, min/max -62.1/105.4
Update 154/207, T 634880, FPS 401, 50-training-episode: mean/median 25.5/28.1, min/max -62.3/102.4
Update 155/207, T 638976, FPS 401, 50-training-episode: mean/median 28.7/90.7, min/max -66.0/102.8
