CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.0075, value_loss_coef=0.5, max_grad_norm=0.5, seed=4783, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250723/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[850000, 3500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed4783b6', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.0075, value_loss_coef=0.5, max_grad_norm=0.5, seed=4783, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250723/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.0001, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[850000, 3500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed4783b6', walking=False, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
Using Precomputed Plume...
2025-07-23 15:15:31.158 python[3874:38617125] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
2025-07-23 15:15:31.158 python[3876:38617127] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x32492ed30>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': False, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 4783, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptMemory20250723//plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed4783b6.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n850000
Saved ./trained_models/ExptMemory20250723/plume_20250723_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t8500003500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n2_codeVRNN_seed4783b6.pt
Update 0/207, T 4096, FPS 422, 26-training-episode: mean/median -82.1/-71.8, min/max -130.9/-45.6
Update 1/207, T 8192, FPS 423, 50-training-episode: mean/median -80.0/-71.0, min/max -146.4/-33.9
Update 2/207, T 12288, FPS 430, 50-training-episode: mean/median -77.3/-72.8, min/max -165.7/94.4
Update 3/207, T 16384, FPS 432, 50-training-episode: mean/median -81.4/-81.5, min/max -165.7/94.4
Update 4/207, T 20480, FPS 431, 50-training-episode: mean/median -83.2/-82.4, min/max -165.7/-43.0
Update 5/207, T 24576, FPS 434, 50-training-episode: mean/median -77.9/-78.5, min/max -130.2/74.4
Update 6/207, T 28672, FPS 433, 50-training-episode: mean/median -56.2/-69.5, min/max -130.2/77.7
Update 7/207, T 32768, FPS 429, 50-training-episode: mean/median -46.2/-59.8, min/max -89.9/77.7
Update 8/207, T 36864, FPS 422, 50-training-episode: mean/median -25.6/-47.8, min/max -82.3/95.5
Update 9/207, T 40960, FPS 424, 50-training-episode: mean/median -16.2/-38.9, min/max -91.7/97.0
Update 10/207, T 45056, FPS 423, 50-training-episode: mean/median -21.3/-44.9, min/max -91.7/97.0
Update 11/207, T 49152, FPS 424, 50-training-episode: mean/median -25.6/-56.6, min/max -75.9/96.6
Update 12/207, T 53248, FPS 426, 50-training-episode: mean/median -19.2/-60.2, min/max -79.6/96.6
Update 13/207, T 57344, FPS 428, 50-training-episode: mean/median -31.2/-61.4, min/max -79.6/95.2
Update 14/207, T 61440, FPS 429, 50-training-episode: mean/median -24.0/-62.7, min/max -94.7/93.1
Update 15/207, T 65536, FPS 430, 50-training-episode: mean/median 11.1/78.8, min/max -94.7/98.9
Update 16/207, T 69632, FPS 430, 50-training-episode: mean/median 7.9/8.9, min/max -86.7/98.9
Update 17/207, T 73728, FPS 430, 50-training-episode: mean/median 2.9/-58.5, min/max -86.7/95.6
Update 18/207, T 77824, FPS 431, 50-training-episode: mean/median 10.7/10.4, min/max -79.0/97.4
Update 19/207, T 81920, FPS 430, 50-training-episode: mean/median 3.1/-58.0, min/max -77.3/97.4
Update 20/207, T 86016, FPS 430, 50-training-episode: mean/median 5.2/-59.2, min/max -80.6/97.4
Update 21/207, T 90112, FPS 425, 50-training-episode: mean/median -4.5/-59.6, min/max -82.6/100.9
Update 22/207, T 94208, FPS 418, 50-training-episode: mean/median 8.1/-52.9, min/max -83.6/100.9
Update 23/207, T 98304, FPS 408, 50-training-episode: mean/median 12.2/11.2, min/max -83.6/101.5
Update 24/207, T 102400, FPS 406, 50-training-episode: mean/median 0.1/-58.3, min/max -79.8/101.5
Update 25/207, T 106496, FPS 405, 50-training-episode: mean/median -4.8/-58.2, min/max -78.2/100.1
Update 26/207, T 110592, FPS 403, 50-training-episode: mean/median -0.7/-57.5, min/max -74.3/99.5
Update 27/207, T 114688, FPS 402, 50-training-episode: mean/median 4.5/-52.2, min/max -74.2/100.6
Update 28/207, T 118784, FPS 400, 50-training-episode: mean/median -8.5/-56.1, min/max -74.2/103.5
Update 29/207, T 122880, FPS 401, 50-training-episode: mean/median -12.7/-54.1, min/max -71.1/103.3
Update 30/207, T 126976, FPS 400, 50-training-episode: mean/median -14.1/-53.7, min/max -81.7/102.0
Update 31/207, T 131072, FPS 401, 50-training-episode: mean/median -3.8/-55.2, min/max -81.7/102.0
Update 32/207, T 135168, FPS 401, 50-training-episode: mean/median -3.5/-57.0, min/max -77.3/103.5
Update 33/207, T 139264, FPS 398, 50-training-episode: mean/median 12.6/9.1, min/max -84.7/101.4
Update 34/207, T 143360, FPS 398, 50-training-episode: mean/median 7.0/-55.2, min/max -93.1/101.4
Update 35/207, T 147456, FPS 398, 50-training-episode: mean/median -1.1/-61.0, min/max -93.1/99.5
Update 36/207, T 151552, FPS 398, 50-training-episode: mean/median 0.7/-60.9, min/max -94.1/102.1
Update 37/207, T 155648, FPS 397, 50-training-episode: mean/median 39.9/86.4, min/max -82.4/102.1
Update 38/207, T 159744, FPS 396, 50-training-episode: mean/median 21.9/77.1, min/max -82.2/101.6
Update 39/207, T 163840, FPS 396, 50-training-episode: mean/median 11.6/71.3, min/max -91.1/103.3
Update 40/207, T 167936, FPS 397, 50-training-episode: mean/median 12.4/76.6, min/max -91.1/101.9
Update 41/207, T 172032, FPS 397, 50-training-episode: mean/median 10.7/9.6, min/max -90.1/103.5
Update 42/207, T 176128, FPS 396, 50-training-episode: mean/median 14.3/73.9, min/max -88.2/103.5
Update 43/207, T 180224, FPS 396, 50-training-episode: mean/median 13.3/14.4, min/max -87.1/103.6
Update 44/207, T 184320, FPS 395, 50-training-episode: mean/median 16.3/79.7, min/max -87.1/103.6
Update 45/207, T 188416, FPS 393, 50-training-episode: mean/median 39.8/90.9, min/max -75.2/105.6
Update 46/207, T 192512, FPS 393, 50-training-episode: mean/median 14.7/10.3, min/max -76.4/102.9
Update 47/207, T 196608, FPS 392, 50-training-episode: mean/median -3.8/-55.7, min/max -74.8/105.2
Update 48/207, T 200704, FPS 390, 50-training-episode: mean/median -5.5/-53.6, min/max -67.8/105.2
Update 49/207, T 204800, FPS 387, 50-training-episode: mean/median 27.7/85.0, min/max -73.6/104.6
Update 50/207, T 208896, FPS 387, 50-training-episode: mean/median 4.4/-52.6, min/max -64.0/104.9
Update 51/207, T 212992, FPS 386, 50-training-episode: mean/median 15.1/-45.7, min/max -63.9/101.8
Update 52/207, T 217088, FPS 386, 50-training-episode: mean/median 20.9/21.5, min/max -59.0/102.6
Update 53/207, T 221184, FPS 385, 50-training-episode: mean/median 9.2/-48.0, min/max -60.9/100.9
Update 54/207, T 225280, FPS 385, 50-training-episode: mean/median 15.6/-48.5, min/max -70.5/106.5
