,idx,reward_sum,n_steps,reason
0,0,95.76429923810065,105,HOME
1,1,-4.4587001809850335,299,OOT
2,2,-4.503579603973776,44,OOB
3,3,-10.18065923845279,299,OOT
4,4,-9.218505715951324,262,OOB
5,5,-3.1505592800676823,58,OOB
6,6,-3.064848256180994,47,OOB
7,7,-6.983819594839588,156,OOB
8,8,-5.212830459699035,69,OOB
9,9,-4.036883261054754,27,OOB
10,10,-7.076485642930493,245,OOB
11,11,-6.472592595295282,157,OOB
12,12,-5.467170193383936,128,OOB
13,13,-6.018375902669504,108,OOB
14,14,-3.992430157959461,26,OOB
15,15,-4.937381759285927,132,OOB
16,16,-5.134392485953867,127,OOB
17,17,-5.143762176856399,113,OOB
18,18,-5.358825669391081,96,OOB
19,19,-4.4470963682979345,36,OOB
20,20,-6.402629002695903,128,OOB
21,21,-5.192570007406175,220,OOB
22,22,-7.32480354141444,164,OOB
23,23,-6.210816476959735,107,OOB
24,24,-4.260924756526947,25,OOB
25,25,-5.590125446207821,223,OOB
26,26,111.42675855010748,70,HOME
27,27,-6.317347759846598,150,OOB
28,28,-5.681396393105388,100,OOB
29,29,-4.712195456027985,61,OOB
30,30,-5.6472551400074735,146,OOB
31,31,-5.654621155932546,120,OOB
32,32,-5.0418690668884665,117,OOB
33,33,-5.553189961647149,117,OOB
34,34,-5.223358592018485,93,OOB
35,35,-6.177551185479388,157,OOB
36,36,-5.118483513360843,99,OOB
37,37,-5.280488714692183,98,OOB
38,38,-3.9289364484138787,126,OOB
39,39,-6.606699246913195,134,OOB
40,40,-7.210045164451003,177,OOB
41,41,-6.136805639936938,142,OOB
42,42,-6.726248066232074,119,OOB
43,43,-5.861414333921857,94,OOB
44,44,-6.5009015910327435,114,OOB
45,45,-6.931997495237738,149,OOB
46,46,-4.8927021631971,102,OOB
47,47,-5.6948534259572625,72,OOB
48,48,-4.9377030692994595,55,OOB
49,49,-4.329978100955486,26,OOB
50,50,-6.884130079532042,143,OOB
51,51,-6.405685500241816,131,OOB
52,52,-5.6149503998458385,85,OOB
53,53,-5.344666730612516,64,OOB
54,54,-4.483890971168876,26,OOB
55,55,-6.803092852933332,139,OOB
56,56,-4.923102939501405,79,OOB
57,57,-6.356822241097689,124,OOB
58,58,-5.488762700930238,56,OOB
59,59,-4.95337469689548,28,OOB
60,60,-6.210232796380296,128,OOB
