,idx,reward_sum,n_steps,reason
0,0,-26.44600410014391,299,OOT
1,1,-7.853226736886427,299,OOT
2,2,-8.326823065581266,299,OOT
3,3,-8.637108012102544,299,OOT
4,4,-6.806154842255637,199,OOB
5,5,-7.881319116859231,200,OOB
6,6,-8.738059210358188,299,OOT
7,7,-7.677542890101904,299,OOT
8,8,-11.569674441008829,277,OOB
9,9,-8.092750475276262,238,OOB
10,10,-8.431335721164942,299,OOT
11,11,-11.55434130912181,296,OOB
12,12,-7.91166225168854,299,OOT
13,13,-10.82159265235532,284,OOB
14,14,-9.032044550403953,299,OOT
15,15,-8.744502312329132,229,OOB
16,16,-8.016598977148533,220,OOB
17,17,-11.555209917685715,282,OOB
18,18,-7.393795831070747,299,OOT
19,19,-7.64790352107957,299,OOT
20,20,-10.346213438082486,287,OOB
21,21,-8.271458532195538,242,OOB
22,22,-11.574401181191206,280,OOB
23,23,-6.791610347107053,299,OOT
24,24,-9.919458742719144,299,OOT
25,25,-5.853581348434091,168,OOB
26,26,-5.602071480825543,165,OOB
27,27,-8.936647912370972,207,OOB
28,28,-7.255812491755933,202,OOB
29,29,-6.499555543996394,198,OOB
30,30,-5.616371683776379,177,OOB
31,31,-8.58971048379317,247,OOB
32,32,-6.261600058875047,196,OOB
33,33,-9.051217097323388,238,OOB
34,34,-6.356229096185416,214,OOB
35,35,-6.335068655200303,184,OOB
36,36,-6.716642798070097,191,OOB
37,37,-6.339414958260022,205,OOB
38,38,-7.9673663708381355,278,OOB
39,39,-8.18051374994684,254,OOB
40,40,-11.065659940009937,291,OOB
41,41,-9.373175665619783,236,OOB
42,42,-11.444112289580517,298,OOB
43,43,-8.259539315942675,209,OOB
44,44,-8.196504960302263,201,OOB
45,45,-10.687962950614747,253,OOB
46,46,-8.513207698473707,220,OOB
47,47,-9.370620781555772,235,OOB
48,48,-10.480189470021287,275,OOB
49,49,-8.523436992429197,299,OOT
50,50,-10.058017718387418,251,OOB
51,51,-7.916820851154625,220,OOB
52,52,-9.198327017365955,201,OOB
53,53,-8.197620124323294,234,OOB
54,54,-11.976096300408244,290,OOB
55,55,-8.11369277187623,201,OOB
56,56,-8.265588142094202,219,OOB
57,57,-9.853587845118454,242,OOB
58,58,-10.426281637279317,263,OOB
59,59,-8.499936232808977,261,OOB
60,60,-9.295124413212761,209,OOB
61,61,-7.2579508412163705,179,OOB
62,62,-9.658253382891417,239,OOB
63,63,-7.404738473705947,204,OOB
64,64,-9.03551456076093,206,OOB
65,65,-10.15563161415048,251,OOB
66,66,-8.82982568256557,241,OOB
67,67,-7.786009478382766,210,OOB
68,68,-8.277539825066924,214,OOB
69,69,-7.762365264235996,210,OOB
70,70,-9.020853077003267,193,OOB
71,71,-8.818089780805167,192,OOB
72,72,-8.233676850795746,219,OOB
73,73,-6.6970788618782535,149,OOB
74,74,-6.102147444151342,152,OOB
75,75,-6.885008860845119,193,OOB
76,76,-8.46934927336406,236,OOB
77,77,-9.34086033492349,218,OOB
78,78,-9.559684322215617,245,OOB
79,79,-8.665597528219223,241,OOB
80,80,-9.569144578068517,279,OOB
81,81,-7.016301873140037,299,OOT
82,82,-8.654162186197937,257,OOB
83,83,-8.909581096144393,299,OOT
84,84,-8.932420877739787,299,OOT
85,85,-8.399332045592018,299,OOT
86,86,-8.133990685804747,299,OOT
87,87,-13.08541114651598,269,OOB
88,88,-8.187956621870399,299,OOT
89,89,-8.6049988521263,299,OOT
90,90,-5.99131977185607,243,OOB
91,91,-8.177631574682891,299,OOT
92,92,-13.574991391273215,296,OOB
93,93,-9.245731180533767,158,OOB
94,94,-4.876730909571052,34,OOB
95,95,-7.8061702298000455,299,OOT
96,96,-6.38362240040442,195,OOB
97,97,-12.558324189856648,283,OOB
98,98,-9.700303817167878,184,OOB
99,99,-8.551892457529902,142,OOB
100,100,-5.226689055562019,197,OOB
101,101,-6.284108377265511,204,OOB
102,102,-7.63744642958045,299,OOT
103,103,-12.007428912445903,259,OOB
104,104,-8.65263837762177,148,OOB
105,105,-5.300066741649061,186,OOB
106,106,-10.889482973143458,285,OOB
107,107,-12.543351231142879,292,OOB
108,108,-8.176376407966018,130,OOB
109,109,-7.534207398071885,109,OOB
110,110,-5.546751946210861,185,OOB
111,111,-11.502669262699783,285,OOB
112,112,-11.163302036933601,267,OOB
113,113,-8.179455922916532,143,OOB
114,114,-7.513889830559492,105,OOB
115,115,-8.625034231798054,299,OOT
116,116,-6.387571424245834,212,OOB
117,117,-5.59777853556443,179,OOB
118,118,-7.231690013082698,125,OOB
