,idx,reward_sum,n_steps,reason
0,0,-32.45284578669816,299,OOT
1,1,-18.686979077756405,299,OOT
2,2,-7.824621367733926,299,OOT
3,3,-8.69673125189729,299,OOT
4,4,-8.613936945839669,299,OOT
5,5,110.68941465427633,85,HOME
6,6,-5.3263020273298025,76,OOB
7,7,-5.124235839350149,55,OOB
8,8,-4.678910086862743,52,OOB
9,9,-4.809471644461155,50,OOB
10,10,110.5090274992981,70,HOME
11,11,-4.728210160217714,163,OOB
12,12,-4.54225559495535,134,OOB
13,13,-4.109295811969787,68,OOB
14,14,-4.23434080556035,70,OOB
15,15,-4.455356479156762,151,OOB
16,16,110.54538390599191,70,HOME
17,17,-6.591563935391605,183,OOB
18,18,-4.041334751993418,83,OOB
19,19,-4.1849079467356205,87,OOB
20,20,-4.819046281278133,158,OOB
21,21,-5.154997258796357,164,OOB
22,22,-4.885533013381064,162,OOB
23,23,-4.796023270115256,115,OOB
24,24,-4.833742633461952,82,OOB
25,25,-4.971157947555184,167,OOB
26,26,-5.160989967174828,162,OOB
27,27,-5.230050102167297,144,OOB
28,28,-5.179233433678746,126,OOB
29,29,-4.716299185529351,79,OOB
30,30,-4.719038493232802,156,OOB
31,31,111.17976222350262,73,HOME
32,32,-7.4951558784232475,191,OOB
33,33,-7.474632075318368,188,OOB
34,34,-6.033408507879358,175,OOB
35,35,-7.821232705377042,192,OOB
36,36,-8.382023842743365,189,OOB
37,37,-6.290711706969887,181,OOB
38,38,-4.683714606217109,173,OOB
39,39,-8.543307906133123,218,OOB
40,40,-8.145745026500663,213,OOB
41,41,-8.013402916840278,252,OOB
42,42,-7.555866155653348,252,OOB
43,43,-8.362701292382553,208,OOB
44,44,-6.30360540933907,163,OOB
45,45,-8.620888013392687,197,OOB
46,46,-8.7106017395854,196,OOB
47,47,-9.03433763468638,191,OOB
48,48,-9.166513057425618,184,OOB
49,49,-4.500100566074252,35,OOB
50,50,-8.257211027899757,182,OOB
51,51,-8.573415122460574,180,OOB
52,52,-7.2129018609412014,180,OOB
53,53,-8.807340441271663,172,OOB
54,54,-9.13262622244656,170,OOB
55,55,-8.232032174244523,165,OOB
56,56,-8.288968153763562,172,OOB
57,57,-8.283136755228043,169,OOB
58,58,-7.1190644558519125,164,OOB
59,59,-8.91015840973705,161,OOB
60,60,-6.3804505483713,162,OOB
61,61,110.9733486585319,69,HOME
62,62,-6.253030217718333,153,OOB
63,63,-6.749617237597704,155,OOB
64,64,-7.15140638500452,155,OOB
65,65,-8.297467380296439,157,OOB
66,66,-7.530934300273657,148,OOB
67,67,-8.269651451613754,149,OOB
68,68,-6.496815883554518,151,OOB
69,69,-6.420551531016827,144,OOB
70,70,-7.8914393642917275,150,OOB
71,71,-5.929463822161779,149,OOB
72,72,-6.874241766287014,142,OOB
73,73,-8.42480243704631,156,OOB
74,74,-6.934668297035387,162,OOB
75,75,-6.3974653095938265,161,OOB
76,76,-8.771676361560822,164,OOB
77,77,-8.560958214802667,160,OOB
78,78,-8.168580994475633,152,OOB
79,79,-7.184587703319266,167,OOB
80,80,-7.853522404446267,207,OOB
81,81,-8.187644380319398,202,OOB
82,82,-7.095196530222893,54,OOB
83,83,-7.71436181163881,186,OOB
84,84,-7.487670676608104,160,OOB
85,85,-7.17726815235801,160,OOB
86,86,-6.780336537631229,115,OOB
87,87,-6.58163598831743,101,OOB
88,88,-7.015083726495504,93,OOB
89,89,-5.692722637206316,31,OOB
90,90,-6.341716373804957,133,OOB
91,91,-6.610177165130153,151,OOB
92,92,-6.680073710507713,125,OOB
93,93,-6.614517331589013,97,OOB
94,94,-6.921691892668605,87,OOB
95,95,-6.961941176559776,154,OOB
96,96,-6.825511171482503,148,OOB
97,97,-6.559330736170523,132,OOB
98,98,-6.645595624111593,84,OOB
99,99,-6.78701909026131,83,OOB
