,idx,reward_sum,n_steps,reason
0,0,-32.29078795388341,210,OOB
1,1,-3.7759645134210587,79,OOB
2,2,-4.077269326895475,85,OOB
3,3,-4.468458842486143,92,OOB
4,4,-5.621543567627668,104,OOB
5,5,-3.978008609265089,77,OOB
6,6,-5.4486373625695705,107,OOB
7,7,-4.926452394574881,84,OOB
8,8,109.11026254296303,26,HOME
9,9,-4.078853698447347,85,OOB
10,10,-3.2526552118360996,72,OOB
11,11,109.30174889601767,28,HOME
12,12,109.77709599770606,17,HOME
13,13,109.72223035432398,18,HOME
14,14,109.48346051573753,22,HOME
15,15,-2.186246370896697,71,OOB
16,16,109.91576618514955,17,HOME
17,17,109.94630025885999,15,HOME
18,18,109.6541324686259,15,HOME
19,19,109.1015001386404,19,HOME
20,20,-2.0726072564721107,84,OOB
21,21,-2.4054902382194996,88,OOB
22,22,109.5940310601145,17,HOME
23,23,-2.503528978675604,89,OOB
24,24,109.20050621964037,18,HOME
25,25,-2.135339491069317,86,OOB
26,26,-2.4216248597949743,88,OOB
27,27,-2.515571879222989,86,OOB
28,28,109.71156636066735,14,HOME
29,29,109.26110903173685,18,HOME
30,30,-1.9543721992522478,80,OOB
31,31,-2.2863358594477177,84,OOB
32,32,-2.3630890548229218,83,OOB
33,33,109.75334307085723,18,HOME
34,34,109.30352955684066,18,HOME
35,35,-1.9486165195703506,78,OOB
36,36,-2.2771861385554075,84,OOB
37,37,-2.3502081874758005,84,OOB
38,38,-2.4731487816316076,87,OOB
39,39,109.70227166078985,20,HOME
40,40,-2.1299048885703087,81,OOB
41,41,-2.5637635607272387,91,OOB
42,42,-2.611154107376933,90,OOB
43,43,-2.669124503619969,91,OOB
44,44,109.49129724130034,29,HOME
45,45,-2.4614468589425087,86,OOB
46,46,109.62363081578224,25,HOME
47,47,109.32367934286594,35,HOME
48,48,109.48872104473412,23,HOME
49,49,-2.3991221711039543,76,OOB
50,50,-2.2447454147040844,82,OOB
51,51,109.9045291300863,17,HOME
52,52,109.50175777170807,28,HOME
53,53,109.48328155651689,18,HOME
54,54,-2.409535825252533,77,OOB
55,55,-2.132900083437562,82,OOB
56,56,-2.311375455930829,82,OOB
57,57,109.72408983623609,18,HOME
58,58,-2.4839129112660885,84,OOB
59,59,109.5141397062689,19,HOME
60,60,-2.1115365363657475,82,OOB
61,61,-2.2680264711380005,81,OOB
62,62,109.84969639033079,15,HOME
63,63,109.63976911082864,15,HOME
64,64,109.33869280666113,18,HOME
65,65,-2.0424963627010584,81,OOB
66,66,-2.205617442727089,80,OOB
67,67,109.64263800531626,16,HOME
68,68,109.45186967216432,15,HOME
69,69,109.17481635138392,18,HOME
70,70,-1.914212079718709,79,OOB
71,71,-2.0941137969493866,79,OOB
72,72,-2.2707961183041334,81,OOB
73,73,109.53809608053416,16,HOME
74,74,109.19715706445277,18,HOME
75,75,-1.8528700657188892,76,OOB
76,76,-2.206147452816367,83,OOB
77,77,-2.2685590740293264,83,OOB
78,78,-2.385262207535561,84,OOB
79,79,109.34066211991012,20,HOME
80,80,-2.910653490573168,117,OOB
81,81,-3.054768880829215,115,OOB
82,82,-3.032153880223632,112,OOB
83,83,-3.1302365893498063,112,OOB
84,84,109.51722135581076,47,HOME
85,85,-2.9295720141381025,107,OOB
86,86,109.63451663125306,42,HOME
87,87,109.47078149020672,41,HOME
88,88,109.30095126666129,40,HOME
89,89,-2.5283536352217197,91,OOB
90,90,-2.7857915200293064,105,OOB
91,91,109.77457958832383,35,HOME
92,92,109.67652667022776,34,HOME
93,93,-2.601853271946311,99,OOB
94,94,109.12553307879716,41,HOME
95,95,-2.454167563468218,97,OOB
96,96,109.76337844505906,33,HOME
97,97,109.61286490224302,33,HOME
98,98,109.45925347879529,33,HOME
99,99,-2.615818480029702,100,OOB
100,100,-2.3874939884990454,96,OOB
101,101,109.69469643104821,35,HOME
102,102,109.61504678614438,33,HOME
103,103,109.41842505522072,33,HOME
104,104,109.04784086626023,36,HOME
105,105,-2.531542770564556,101,OOB
106,106,-2.6301812399178743,100,OOB
107,107,109.43482828140259,32,HOME
108,108,109.37520398199558,34,HOME
109,109,108.88490940351039,37,HOME
110,110,-2.4911105167120695,103,OOB
111,111,-2.5789850149303675,98,OOB
112,112,-2.592887413862627,101,OOB
113,113,109.4175847794395,36,HOME
114,114,109.03126978874207,35,HOME
115,115,-2.5636549685150385,107,OOB
116,116,-2.752863794565201,106,OOB
117,117,-2.623841780005023,101,OOB
118,118,109.49625442631077,38,HOME
119,119,109.14407590031624,38,HOME
120,120,-2.8986344560980797,116,OOB
121,121,-2.893254540860653,111,OOB
122,122,-2.97780080139637,110,OOB
123,123,109.41999891959131,44,HOME
124,124,109.11869084648788,45,HOME
125,125,-2.8602656722068787,103,OOB
126,126,109.430504495278,38,HOME
127,127,-2.5371634140610695,105,OOB
128,128,109.04149412922561,41,HOME
129,129,-2.192842587828636,80,OOB
130,130,-2.7337399180978537,102,OOB
131,131,-2.216686804080382,97,OOB
132,132,109.43521571904421,35,HOME
133,133,109.26935412734747,35,HOME
134,134,-2.2853835113346577,82,OOB
135,135,-2.6693110037595034,101,OOB
136,136,109.66582909505814,33,HOME
137,137,109.54480722174048,33,HOME
138,138,109.3400984890759,33,HOME
139,139,-2.320689646527171,82,OOB
140,140,-2.6619288735091686,101,OOB
141,141,109.51424510776997,34,HOME
142,142,109.52144725993276,32,HOME
143,143,109.30615753866732,32,HOME
144,144,-2.278838101774454,81,OOB
145,145,-2.662657130509615,101,OOB
146,146,109.64071132615209,33,HOME
147,147,-2.27314468100667,97,OOB
