,idx,reward_sum,n_steps,reason
0,0,-31.769725173246115,116,OOB
1,1,-6.844087546749506,89,OOB
2,2,-7.39077067974722,113,OOB
3,3,-12.593806871213019,69,OOB
4,4,-10.979283537715673,67,OOB
5,5,-6.209862308605807,114,OOB
6,6,-6.170206592418253,94,OOB
7,7,-6.236510201822966,86,OOB
8,8,-6.86192736402154,74,OOB
9,9,-6.844978850334883,81,OOB
10,10,-10.477342765778303,140,OOB
11,11,-11.380286562722176,140,OOB
12,12,-10.116974622593261,139,OOB
13,13,-10.838375479448587,165,OOB
14,14,-11.148155458271503,173,OOB
15,15,-10.432209498248994,203,OOB
16,16,-7.91608677059412,145,OOB
17,17,-8.130752534139901,141,OOB
18,18,-6.800640913657844,118,OOB
19,19,-8.888052532449365,152,OOB
20,20,-13.891028765356168,255,OOB
21,21,-8.097472119960003,181,OOB
22,22,-9.278480838052928,165,OOB
23,23,-7.206574704498053,138,OOB
24,24,-6.161947395652533,112,OOB
25,25,-4.432458434486762,95,OOB
26,26,-9.172238794446457,181,OOB
27,27,-7.938409742899239,145,OOB
28,28,-6.758262338582426,157,OOB
29,29,-5.026776077225804,86,OOB
30,30,-6.42135767894797,112,OOB
31,31,-8.337806798284873,187,OOB
32,32,-11.699699450633489,226,OOB
33,33,-9.76051437156275,185,OOB
34,34,-6.095527460798621,108,OOB
35,35,-4.535379758803174,126,OOB
36,36,-7.205662333173677,157,OOB
37,37,-5.303053846495459,115,OOB
38,38,-5.945901965431403,122,OOB
39,39,-5.6466796265449375,124,OOB
40,40,-7.686365048401058,195,OOB
41,41,-7.283169249072671,227,OOB
42,42,-5.533015902037732,151,OOB
43,43,-6.149826406501234,141,OOB
44,44,-4.830969911068678,97,OOB
45,45,-4.583655645139515,94,OOB
46,46,-5.859149053227156,125,OOB
47,47,-5.259208218893036,124,OOB
48,48,-5.5803394839167595,102,OOB
49,49,-4.601399241015315,98,OOB
50,50,-10.336281317751855,237,OOB
51,51,-4.1290796916000545,106,OOB
52,52,-5.144898856175132,114,OOB
53,53,-4.230530362576246,94,OOB
54,54,-5.36880193836987,112,OOB
55,55,-10.219492209842429,214,OOB
56,56,-3.8623070262838155,104,OOB
57,57,-3.926696266978979,108,OOB
58,58,-5.409477239474654,97,OOB
59,59,-6.6413053795695305,112,OOB
60,60,-6.8309851684607565,126,OOB
61,61,-12.86621887004003,225,OOB
62,62,-3.5991321246838197,101,OOB
63,63,-6.701444877311587,108,OOB
64,64,-4.28426874242723,65,OOB
65,65,-6.501531797694042,151,OOB
66,66,-10.245143305743113,182,OOB
67,67,-6.730404638219625,171,OOB
68,68,-6.107901064679027,100,OOB
69,69,-3.9242167938500643,59,OOB
70,70,-4.439490293618292,113,OOB
71,71,-4.978690778487362,107,OOB
72,72,-3.8249843576923013,114,OOB
73,73,-6.763655252754688,108,OOB
74,74,-4.165541287511587,64,OOB
75,75,-13.98148305749055,220,OOB
76,76,-8.052922892384231,195,OOB
77,77,-4.017801436595619,109,OOB
78,78,-4.948697472224012,113,OOB
79,79,-3.9218757208436728,44,OOB
80,80,-7.082572940504178,170,OOB
81,81,-8.944348572273157,192,OOB
82,82,-12.774537406876334,174,OOB
83,83,-8.406645076349378,125,OOB
84,84,-9.075177816674113,150,OOB
85,85,-5.801561769447289,184,OOB
86,86,-4.507908113126177,150,OOB
87,87,-4.321738135069609,131,OOB
88,88,-5.930250013712794,134,OOB
89,89,-7.206457976251841,122,OOB
90,90,-8.446843340643682,299,OOT
91,91,-6.547958647832274,173,OOB
92,92,-5.42098382365657,156,OOB
93,93,-6.692367288284004,151,OOB
94,94,-7.059970237314701,114,OOB
95,95,-8.327667555306107,236,OOB
96,96,-5.42221030080691,174,OOB
97,97,-9.214984144433402,204,OOB
98,98,-9.860402641817927,170,OOB
99,99,-8.926126476377249,132,OOB
100,100,-8.822894766461104,191,OOB
101,101,-3.9773041533771902,149,OOB
102,102,-12.18527059815824,209,OOB
103,103,-7.131634788587689,115,OOB
104,104,-6.257763501256704,82,OOB
105,105,-7.25347641936969,190,OOB
106,106,-11.379775311332196,228,OOB
107,107,-11.968116914620623,210,OOB
108,108,-8.989660743623972,150,OOB
109,109,-5.303328322246671,62,OOB
110,110,-8.17103834822774,221,OOB
111,111,-6.466386005922686,173,OOB
112,112,-14.474988776724786,294,OOB
113,113,-5.265578339109197,174,OOB
114,114,-5.209708232432604,63,OOB
115,115,-5.418348977924325,194,OOB
116,116,-5.934783210745081,218,OOB
117,117,-7.8310134407365695,217,OOB
118,118,-10.154689733608393,202,OOB
119,119,-6.066231427714229,76,OOB
120,120,-7.000298704137094,186,OOB
121,121,-7.164736907463521,157,OOB
122,122,-12.207603655871935,156,OOB
123,123,-6.505305819911882,110,OOB
124,124,-7.951109496876597,128,OOB
125,125,-4.504128823522478,110,OOB
126,126,-10.839721960481256,208,OOB
127,127,-6.643045884557068,184,OOB
128,128,-4.526834647171199,102,OOB
129,129,-7.381211571395397,120,OOB
130,130,-8.387869983067503,299,OOT
131,131,-4.066164494492114,105,OOB
132,132,-4.080318198655732,125,OOB
133,133,-5.852474366314709,102,OOB
134,134,-7.138927115127444,113,OOB
135,135,-11.481681540608406,264,OOB
136,136,-5.388092711567879,118,OOB
137,137,-7.752935870666988,173,OOB
138,138,-7.994168940931559,123,OOB
139,139,-7.441640825942159,109,OOB
140,140,-5.67051078856457,103,OOB
141,141,-5.527633449295536,121,OOB
142,142,-4.574931704206392,114,OOB
143,143,-6.30180006660521,81,OOB
144,144,-4.772658033296466,57,OOB
145,145,-8.84090513549745,134,OOB
146,146,-6.397067229496315,175,OOB
147,147,-7.60954677243717,171,OOB
148,148,-6.454456835985184,80,OOB
149,149,-4.853067610412836,55,OOB
150,150,-6.456563490210101,147,OOB
151,151,-4.577671740204096,156,OOB
152,152,-4.005470925592817,167,OOB
153,153,-4.296177824959159,113,OOB
154,154,-5.243551334366202,60,OOB
155,155,-15.641003150027245,239,OOB
156,156,-5.314595800824463,159,OOB
157,157,-5.95801080900128,144,OOB
158,158,-5.9244423700729385,116,OOB
159,159,-5.280252534896135,44,OOB
160,160,-3.99311705888249,201,OOB
161,161,-14.770397851894813,283,OOB
162,162,-10.108136779395863,192,OOB
163,163,-8.418757926672697,124,OOB
164,164,-10.728505839593709,161,OOB
165,165,-3.3632354695582762,143,OOB
166,166,-8.1935478929081,147,OOB
167,167,-6.325415560764668,137,OOB
168,168,-8.761382196098566,139,OOB
169,169,-10.445886297617108,156,OOB
170,170,-10.175376051105559,271,OOB
171,171,-8.37977212772239,224,OOB
172,172,-4.309018705622293,186,OOB
173,173,-11.219347793608904,170,OOB
174,174,-9.250508973374963,132,OOB
175,175,-13.141962389825494,278,OOB
176,176,-4.531262501026504,200,OOB
177,177,-5.685982231632806,179,OOB
178,178,-7.575462717562914,110,OOB
179,179,-7.613865405321121,91,OOB
180,180,-14.891531616798602,252,OOB
181,181,-13.508539742499124,272,OOB
182,182,-4.177362898015417,154,OOB
183,183,-8.59310626797378,130,OOB
184,184,-5.7904362846165895,57,OOB
185,185,-4.901759324944578,218,OOB
186,186,-4.086368330114055,104,OOB
187,187,-4.263478721346473,211,OOB
188,188,-7.767486824188381,118,OOB
189,189,-5.631404660642147,53,OOB
190,190,-7.509239256352885,265,OOB
191,191,-4.135797836803249,198,OOB
192,192,-9.438158568838844,182,OOB
193,193,-7.191499778535217,115,OOB
194,194,-6.066166320815682,58,OOB
195,195,-8.542118794226553,169,OOB
196,196,-9.660903219424654,135,OOB
197,197,-9.559808783465996,179,OOB
198,198,-10.574649088899605,173,OOB
199,199,-6.1641273982822895,45,OOB
200,200,-5.2919267426477745,231,OOB
201,201,-5.408807754545705,299,OOT
202,202,-10.77073255914729,117,OOB
203,203,-8.431181335821748,124,OOB
204,204,-12.861342028714716,197,OOB
205,205,-8.21707685761794,299,OOT
206,206,-3.6727888224704657,201,OOB
207,207,-5.784046763321385,247,OOB
208,208,-8.392599274404347,127,OOB
209,209,-11.33033879334107,173,OOB
210,210,-7.7511830038856715,299,OOT
211,211,-3.3469287259940756,206,OOB
212,212,-7.192955391132273,134,OOB
213,213,-7.907572813332081,114,OOB
214,214,-9.319190097041428,129,OOB
215,215,-7.166163307403622,286,OOB
216,216,-3.5368321109563112,182,OOB
217,217,-3.274077538982965,194,OOB
218,218,-8.169942386448383,106,OOB
219,219,-7.644261687994003,91,OOB
220,220,-14.78513905192085,263,OOB
221,221,-3.944746610126458,129,OOB
222,222,-4.180509319630801,195,OOB
223,223,-7.267949000000954,80,OOB
224,224,-5.806733191013336,56,OOB
225,225,-5.460674978006864,224,OOB
226,226,-3.710510017728666,191,OOB
227,227,-10.377529404009692,185,OOB
228,228,-6.2868702709674835,58,OOB
229,229,-5.369300466030836,49,OOB
230,230,-6.108622870407999,292,OOB
231,231,-4.2602999303198885,205,OOB
232,232,-5.8172286780318245,111,OOB
233,233,-5.364864393603057,96,OOB
234,234,-5.761807123199105,54,OOB
235,235,-13.288076498778537,199,OOB
236,236,-7.556412244797684,145,OOB
237,237,-4.751479830127209,106,OOB
238,238,-4.761075972972321,228,OOB
239,239,-6.210284050554037,43,OOB
