,idx,reward_sum,n_steps,reason
0,0,-34.54879211401567,178,OOB
1,1,-12.173102057073265,126,OOB
2,2,111.20893708590302,105,HOME
3,3,109.3082574158907,82,HOME
4,4,108.99557043612003,89,HOME
5,5,-3.2527387142181396,55,OOB
6,6,110.83164735755417,74,HOME
7,7,110.56302641844377,72,HOME
8,8,109.63372891768813,75,HOME
9,9,-3.3464787248522043,89,OOB
10,10,-4.8472413923591375,117,OOB
11,11,110.24210091913119,74,HOME
12,12,110.41240153371473,70,HOME
13,13,-3.0910965371876955,84,OOB
14,14,-3.701555659994483,84,OOB
15,15,-10.217614958339254,230,OOB
16,16,9.090021315962076,71,HOME
17,17,8.58837574813515,73,HOME
18,18,-3.7483075596392155,101,OOB
19,19,-4.22121456451714,102,OOB
20,20,-9.91137837083079,250,OOB
21,21,8.251109995879233,74,HOME
22,22,8.283412912394851,74,HOME
23,23,-4.20982663705945,121,OOB
24,24,-3.886028392240405,103,OOB
25,25,6.582627035677433,110,HOME
26,26,8.189173692953773,78,HOME
27,27,8.277077053906396,78,HOME
28,28,-3.83287712931633,110,OOB
29,29,-4.088783772662282,109,OOB
30,30,-8.174512959318236,299,OOT
31,31,7.7829913487657905,81,HOME
32,32,8.228205269901082,79,HOME
33,33,7.573189689544961,79,HOME
34,34,-4.000535752624273,115,OOB
35,35,5.927904222509824,132,HOME
36,36,7.817199865821749,87,HOME
37,37,8.340489625697955,85,HOME
38,38,8.099061496090144,84,HOME
39,39,-4.841715641319752,130,OOB
40,40,8.004131007008255,85,HOME
41,41,-3.5644044280052185,131,OOB
42,42,-5.452271896298043,159,OOB
43,43,-4.312696764245629,117,OOB
44,44,-4.2902572099119425,114,OOB
45,45,-8.43174349932815,299,OOT
46,46,7.941867207642645,80,HOME
47,47,-4.239216704154387,135,OOB
48,48,-8.803164824843407,263,OOB
49,49,-4.766795676201582,132,OOB
50,50,6.305622031912208,120,HOME
51,51,-3.2606350847054273,123,OOB
52,52,8.167682873085141,74,HOME
53,53,-4.623590843752027,125,OOB
54,54,-4.874220259487629,128,OOB
55,55,6.500100658275187,117,HOME
56,56,8.25328862760216,72,HOME
57,57,8.073698529042304,80,HOME
58,58,-5.544160375371575,144,OOB
59,59,-4.053880840539932,106,OOB
60,60,6.534538235864602,119,HOME
61,61,8.23886499996297,77,HOME
62,62,8.273227554745972,77,HOME
63,63,-5.462264453992248,144,OOB
64,64,-4.00302086211741,106,OOB
65,65,-5.835104360245168,179,OOB
66,66,8.146210703882389,81,HOME
67,67,-4.039898898685351,157,OOB
68,68,-4.928106794133782,140,OOB
69,69,-4.914998352527618,130,OOB
70,70,5.724124017404392,158,HOME
71,71,8.367850924907543,79,HOME
72,72,8.27864392340416,82,HOME
73,73,-5.344797470839694,152,OOB
74,74,-5.186638355255127,137,OOB
75,75,-7.723120874259621,214,OOB
76,76,8.386353288198734,84,HOME
77,77,8.160354102146812,88,HOME
78,78,-4.032878297031857,127,OOB
79,79,-5.106638917699456,134,OOB
80,80,-4.804427996277809,177,OOB
81,81,-5.057949146488681,176,OOB
82,82,-6.3604747236240655,171,OOB
83,83,-7.968918920494616,191,OOB
84,84,-6.126813072711229,139,OOB
85,85,9.126596293412149,115,HOME
86,86,-4.886578155206735,180,OOB
87,87,-4.920465417439118,151,OOB
88,88,-7.483608450740576,187,OOB
89,89,-6.5949676260352135,154,OOB
90,90,-7.103182571401703,299,OOT
91,91,-4.845450097229332,183,OOB
92,92,-5.467133514554007,172,OOB
93,93,-5.841322202468291,146,OOB
94,94,-7.068955842405558,166,OOB
95,95,-5.989354400895536,299,OOT
96,96,-3.5046033207327127,152,OOB
97,97,-5.478898752946407,173,OOB
98,98,-6.013840549625456,146,OOB
99,99,-6.625348288565874,148,OOB
100,100,109.05385426431894,115,HOME
101,101,-4.645282172947191,167,OOB
102,102,-5.082469625107478,157,OOB
103,103,-6.043756553903222,147,OOB
104,104,-6.406449642032385,148,OOB
105,105,109.29814714286476,113,HOME
106,106,-5.871783477414283,200,OOB
107,107,-6.018093607854098,184,OOB
108,108,-6.8923258958384395,172,OOB
109,109,-6.694717900827527,155,OOB
110,110,-6.040421904704999,299,OOT
111,111,109.0596490065218,124,HOME
112,112,-4.724104925873689,165,OOB
113,113,-6.446303288452327,172,OOB
114,114,-7.236823745071888,172,OOB
115,115,106.68814523424953,174,HOME
116,116,-3.5963694497477263,163,OOB
117,117,-6.793738573691371,210,OOB
118,118,-6.304352882318199,179,OOB
119,119,-6.796057101339102,161,OOB
120,120,-4.136724404990673,174,OOB
121,121,-5.399211572250351,160,OOB
122,122,-8.067869948223233,191,OOB
123,123,-8.135323544964194,193,OOB
124,124,-6.082493932917714,138,OOB
125,125,109.60309667536058,116,HOME
126,126,-4.995454776275437,161,OOB
127,127,-6.677199887810275,174,OOB
128,128,-7.040341289713979,170,OOB
129,129,-7.021572507917881,158,OOB
130,130,-3.8156216582283378,191,OOB
131,131,-4.136813078977866,153,OOB
132,132,-6.6845322138105985,191,OOB
133,133,-6.873372764093801,166,OOB
134,134,-7.615693356841803,169,OOB
135,135,109.1458582310006,113,HOME
136,136,-3.931631847983226,187,OOB
137,137,-6.684323059394956,189,OOB
138,138,-6.774336401373148,163,OOB
139,139,-6.666018785908818,148,OOB
140,140,108.83560755103827,117,HOME
141,141,-5.361545881489292,183,OOB
142,142,-6.202746549621224,170,OOB
143,143,-6.95362664014101,167,OOB
144,144,-6.597698152065277,150,OOB
145,145,-4.413915723562241,187,OOB
146,146,-4.341959105455317,165,OOB
147,147,-5.811103937448934,168,OOB
148,148,-6.391103399917483,153,OOB
149,149,-6.735471345484257,154,OOB
150,150,-4.882819667458534,210,OOB
151,151,-3.8055993267334998,180,OOB
152,152,-6.009295084892074,175,OOB
153,153,-6.715154512319714,171,OOB
154,154,-8.333971351385117,191,OOB
155,155,108.85953004937619,126,HOME
156,156,-4.3805043792235665,174,OOB
157,157,-6.928441422525793,202,OOB
158,158,-6.697635232230823,176,OOB
159,159,-7.914131114259362,184,OOB
160,160,-5.891530519351363,219,OOB
161,161,-6.285894691944122,178,OOB
162,162,-9.781779680633917,228,OOB
163,163,-9.852613082155585,213,OOB
164,164,-6.8612989746034145,138,OOB
165,165,-5.422284130007029,227,OOB
166,166,-6.077725814993755,201,OOB
167,167,-6.783812851877883,171,OOB
168,168,-8.557674469426274,191,OOB
169,169,-7.424142800271511,154,OOB
170,170,-5.950614699104335,299,OOT
171,171,-5.7476686898153275,200,OOB
172,172,-7.364228884900513,191,OOB
173,173,-8.160969469230622,184,OOB
174,174,-8.09193998388946,168,OOB
175,175,-5.990020813798765,299,OOT
176,176,-6.113031911663711,201,OOB
177,177,-6.6566766910254955,185,OOB
178,178,-9.299005638808012,205,OOB
179,179,-7.249959042295814,148,OOB
180,180,-4.713973249308765,211,OOB
181,181,-6.029787004343234,199,OOB
182,182,-8.36404021596536,205,OOB
183,183,-8.363758304156363,189,OOB
184,184,-7.429804323241115,153,OOB
185,185,-5.593549129553139,230,OOB
186,186,-6.299695416819304,201,OOB
187,187,-6.495149411261082,172,OOB
188,188,-9.192348130978644,210,OOB
189,189,-8.037847368046641,172,OOB
190,190,-5.654795537120663,299,OOT
191,191,-6.234033350134268,207,OOB
192,192,-6.803473120555282,192,OOB
193,193,-7.619459537323564,172,OOB
194,194,-8.565955935046077,192,OOB
195,195,-5.480488944333047,299,OOT
196,196,-6.213292000815272,220,OOB
197,197,-6.264819618780166,180,OOB
198,198,-7.72805577039253,179,OOB
199,199,-8.277658346341923,184,OOB
200,200,-5.355874953093007,200,OOB
201,201,-5.839474382693879,161,OOB
202,202,-9.802763718296774,213,OOB
203,203,-9.101139359496301,196,OOB
204,204,-7.879655338823795,160,OOB
205,205,-5.479127562604845,225,OOB
206,206,-7.47898556706059,218,OOB
207,207,-8.491362639470026,212,OOB
208,208,-8.492585878819227,191,OOB
209,209,-8.427680376917124,176,OOB
210,210,-5.527174819610082,299,OOT
211,211,-6.048346918658353,203,OOB
212,212,-7.138863335705537,189,OOB
213,213,-7.62968612939585,168,OOB
214,214,-8.849124750122428,189,OOB
215,215,-5.128379125235369,299,OOT
216,216,-6.396427594125271,204,OOB
217,217,-7.6922320612357,208,OOB
218,218,-7.6573825888335705,169,OOB
219,219,-8.21119007654488,171,OOB
220,220,-3.7621445767581463,192,OOB
221,221,-6.54407319726306,205,OOB
222,222,-6.714482187642716,173,OOB
223,223,-8.297350332140923,189,OOB
224,224,-8.319257790222764,174,OOB
225,225,-5.300709922797978,226,OOB
226,226,-6.56592437857762,205,OOB
227,227,-6.992935899994336,190,OOB
228,228,-8.088096911553293,189,OOB
229,229,-8.410376217216253,177,OOB
230,230,-5.243558784772176,299,OOT
231,231,-5.93359139165841,210,OOB
232,232,-7.519916950375773,212,OOB
233,233,-7.54861195574631,171,OOB
234,234,-10.436876925639808,230,OOB
235,235,-4.237904845736921,198,OOB
236,236,-6.383053830359131,218,OOB
237,237,-7.9128112084872555,223,OOB
238,238,-8.041212168172933,193,OOB
239,239,-9.143542816396803,204,OOB
