,idx,reward_sum,n_steps,reason
0,0,-20.418690011370927,76,OOB
1,1,-6.8858016431331635,49,OOB
2,2,105.98206068575382,91,HOME
3,3,-9.534389039094094,209,OOB
4,4,-2.6449013483943418,107,OOB
5,5,-9.749026062665507,176,OOB
6,6,-11.640819147592993,229,OOB
7,7,-9.280587411718443,190,OOB
8,8,-9.249077099608257,186,OOB
9,9,-6.262074456899427,223,OOB
10,10,-4.147577467199881,110,OOB
11,11,-6.878782805259107,132,OOB
12,12,-4.875468231621198,145,OOB
13,13,-7.4887406376656145,178,OOB
14,14,-9.168964367709123,235,OOB
15,15,-6.123219746630639,116,OOB
16,16,-3.085828638631938,108,OOB
17,17,-6.519541821151506,182,OOB
18,18,-3.8271476441732375,116,OOB
19,19,-6.735208342666738,184,OOB
20,20,-2.6643801126629114,43,OOB
21,21,-11.651830895105377,226,OOB
22,22,-10.007937820395455,252,OOB
23,23,-4.546626646770164,95,OOB
24,24,-5.257338884053752,131,OOB
25,25,-6.271960906218737,186,OOB
26,26,-10.594733717152849,213,OOB
27,27,-5.845563476439565,98,OOB
28,28,-3.287084380397573,112,OOB
29,29,-4.3155018633115105,99,OOB
30,30,-5.624517471922445,206,OOB
31,31,-3.1840269010863267,116,OOB
32,32,-9.417459625925403,175,OOB
33,33,-4.324907902206178,118,OOB
34,34,-8.73226803293801,176,OOB
35,35,-4.846162025896774,180,OOB
36,36,-4.102260925050359,126,OOB
37,37,-5.910656926309457,119,OOB
38,38,-7.134811901618377,120,OOB
39,39,-4.319556593429297,140,OOB
40,40,-7.244396657682955,127,OOB
41,41,-9.965276215982158,183,OOB
42,42,-11.229742048395565,250,OOB
43,43,-9.76787963102106,167,OOB
44,44,-8.852381021948531,148,OOB
45,45,-9.494668498053215,157,OOB
46,46,-10.86632619305783,224,OOB
47,47,-3.6336896235679887,126,OOB
48,48,-9.966498182620853,157,OOB
49,49,-5.378875829279423,70,OOB
50,50,-9.906635110462958,158,OOB
51,51,-10.17645461059874,171,OOB
52,52,-3.1270076759974472,99,OOB
53,53,-2.6548627870506607,84,OOB
54,54,-2.8303459860617295,82,OOB
55,55,-9.121130576590076,173,OOB
56,56,-3.513159542977519,117,OOB
57,57,-8.056503264073399,165,OOB
58,58,-4.290093448740663,95,OOB
59,59,-4.547277640318498,110,OOB
60,60,-3.268467703834176,40,OOB
61,61,-5.703590708319098,213,OOB
62,62,-4.032482372451341,115,OOB
63,63,-6.73062989329992,299,OOT
64,64,-2.601108785631368,96,OOB
65,65,-5.41727280151099,171,OOB
66,66,-9.782154262415133,215,OOB
67,67,-3.914119759516325,96,OOB
68,68,-11.614042481047363,268,OOB
69,69,-4.841963558777934,102,OOB
70,70,-6.108111394947628,212,OOB
71,71,-3.794917538180016,101,OOB
72,72,-4.312625192687847,138,OOB
73,73,-4.647644148586551,168,OOB
74,74,-5.8101019272289705,299,OOT
75,75,-3.827219121158123,82,OOB
76,76,-7.891617203946225,147,OOB
77,77,-8.384588335640728,128,OOB
78,78,-5.492553450982086,81,OOB
79,79,-6.788161918026162,222,OOB
80,80,-11.454487141774734,227,OOB
81,81,-10.473238661070354,144,OOB
82,82,-5.371854220167734,125,OOB
83,83,-9.719021826604148,148,OOB
84,84,-4.536745209246874,132,OOB
85,85,-11.228452897368697,209,OOB
86,86,-11.160550385393435,229,OOB
87,87,-5.781607173383236,111,OOB
88,88,-5.754427749663591,66,OOB
89,89,-10.056195457524154,236,OOB
90,90,-3.21324416808784,140,OOB
91,91,-9.597226354369923,219,OOB
92,92,-2.334397242182604,125,OOB
93,93,-3.517670662724413,131,OOB
94,94,-3.844262122886903,146,OOB
95,95,-3.5194299712748034,134,OOB
96,96,-5.892833747871919,190,OOB
97,97,-9.954151298938086,266,OOB
