,idx,reward_sum,n_steps,reason
0,0,-29.54186932556331,106,OOB
1,1,-12.180012758821249,105,OOB
2,2,-9.275320609798655,136,OOB
3,3,-6.810829905036371,136,OOB
4,4,-8.705894783139229,128,OOB
5,5,-7.344715249026194,120,OOB
6,6,-6.824883862864226,117,OOB
7,7,-7.783378644613549,118,OOB
8,8,110.26494616316631,74,HOME
9,9,109.91901723481715,75,HOME
10,10,110.56585229700431,73,HOME
11,11,110.57445268100128,73,HOME
12,12,110.05109871330205,74,HOME
13,13,-4.64844577369513,95,OOB
14,14,-5.470212104497477,86,OOB
15,15,109.86758593656123,73,HOME
16,16,110.44201416987926,70,HOME
17,17,110.40011411998421,71,HOME
18,18,-4.863553199917078,94,OOB
19,19,-5.678443539887667,91,OOB
20,20,109.86574437748641,73,HOME
21,21,-5.274017485775403,115,OOB
22,22,110.15496810880722,72,HOME
23,23,109.90056701656431,72,HOME
24,24,-3.733389690518379,85,OOB
25,25,110.4561077663675,70,HOME
26,26,-5.237416177988052,120,OOB
27,27,110.38748942734674,74,HOME
28,28,109.68595396087039,81,HOME
29,29,-4.724752951413393,112,OOB
30,30,110.37839973252267,73,HOME
31,31,110.15685938019305,73,HOME
32,32,-4.897406598785892,118,OOB
33,33,-5.585009321034704,149,OOB
34,34,-5.589977090785396,140,OOB
35,35,-8.280286806635559,209,OOB
36,36,109.75285489589442,85,HOME
37,37,-4.566053446207661,133,OOB
38,38,110.23440169976675,81,HOME
39,39,-6.531076906714588,170,OOB
40,40,108.83670882682782,100,HOME
41,41,108.39188749622554,101,HOME
42,42,-2.6932070872280747,97,OOB
43,43,109.30336114276724,98,HOME
44,44,109.11702002084348,90,HOME
45,45,110.19739762536483,81,HOME
46,46,110.15180044865701,78,HOME
47,47,110.22685161558911,80,HOME
48,48,109.93332652095705,75,HOME
49,49,109.65977801196277,76,HOME
50,50,110.58823667489924,78,HOME
51,51,110.02081809996162,81,HOME
52,52,110.33445588205359,77,HOME
53,53,110.30312351189787,76,HOME
54,54,109.97191212256439,73,HOME
55,55,110.40527021046728,73,HOME
56,56,110.25514685567032,79,HOME
57,57,110.2675812500529,79,HOME
58,58,109.89794288529083,79,HOME
59,59,109.95972672384232,74,HOME
60,60,110.50798383913934,75,HOME
61,61,110.52859238767996,76,HOME
62,62,-5.1205133801722695,133,OOB
63,63,110.20479736744892,77,HOME
64,64,109.84354687511222,79,HOME
65,65,-6.096557965502143,148,OOB
66,66,110.5066257744329,77,HOME
67,67,110.41159577248618,80,HOME
68,68,110.23655200720532,79,HOME
69,69,110.0043011449161,78,HOME
70,70,110.02859829226509,82,HOME
71,71,-4.490388793870807,147,OOB
72,72,110.4486908793042,80,HOME
73,73,110.33845586958341,79,HOME
74,74,110.2885597134009,79,HOME
75,75,110.00350859435275,89,HOME
76,76,110.09449073288124,88,HOME
77,77,110.19468333583791,84,HOME
78,78,110.3120100501983,83,HOME
79,79,-2.165183871984482,79,OOB
80,80,-2.0061987725785,102,OOB
81,81,-2.845492891734466,108,OOB
82,82,-3.9261503040324897,108,OOB
83,83,-4.1384947542101145,101,OOB
84,84,-3.7010654266923666,82,OOB
85,85,-2.30661130649969,108,OOB
86,86,-2.359277501993347,100,OOB
87,87,-3.71950231899973,118,OOB
88,88,-3.5086135496385396,97,OOB
89,89,-4.081023780629039,95,OOB
90,90,-2.532707054633647,112,OOB
91,91,-2.868439230500371,116,OOB
92,92,-3.2738872889021877,107,OOB
93,93,-3.3832622949266806,97,OOB
94,94,-3.972267458215356,92,OOB
95,95,-3.3775429762899876,92,OOB
96,96,-2.7083612652495503,109,OOB
97,97,-4.084521054290235,122,OOB
98,98,-3.8499795012176037,95,OOB
99,99,-3.3162762243300676,70,OOB
100,100,-3.9493748359382153,123,OOB
101,101,-4.105508751701564,123,OOB
102,102,-3.295714944601059,112,OOB
103,103,-4.240940931020305,107,OOB
104,104,-4.197272424586117,74,OOB
105,105,-3.0352334118215367,114,OOB
106,106,-6.617476413957775,191,OOB
107,107,-4.439799172105268,132,OOB
108,108,-5.68069483700674,141,OOB
109,109,-5.4208665697369725,117,OOB
110,110,-4.335184459574521,123,OOB
111,111,-5.7174185019684955,173,OOB
112,112,-7.420053711161017,209,OOB
113,113,-3.753265359238867,119,OOB
114,114,-4.730913671781309,126,OOB
115,115,-6.8000519877823535,152,OOB
116,116,-5.104920058976859,155,OOB
117,117,-8.22309977572877,229,OOB
118,118,-9.356977150659077,250,OOB
119,119,-6.588052772160154,178,OOB
120,120,-3.413318416918628,162,OOB
121,121,-10.585916742420522,239,OOB
