,update,total_updates,T,FPS,window,mean,median,min,max
0,0,207,4096,422,26,-82.0757093846154,-71.82799700000001,-130.879512,-45.599074
1,1,207,8192,423,50,-79.99196314,-70.980812,-146.364302,-33.921019
2,2,207,12288,430,50,-77.30897488000001,-72.784857,-165.71095,94.410413
3,3,207,16384,432,50,-81.43007395999999,-81.5152365,-165.71095,94.410413
4,4,207,20480,431,50,-83.17186012,-82.356841,-165.71095,-43.010584
5,5,207,24576,434,50,-77.85053996,-78.497541,-130.209988,74.427121
6,6,207,28672,433,50,-56.1932977,-69.51472050000001,-130.209988,77.704287
7,7,207,32768,429,50,-46.1566758,-59.760645499999995,-89.883053,77.704287
8,8,207,36864,422,50,-25.563463539999997,-47.764541,-82.334447,95.54399
9,9,207,40960,424,50,-16.165289899999998,-38.868165000000005,-91.725855,97.046251
10,10,207,45056,423,50,-21.322922600000002,-44.877395,-91.725855,97.046251
11,11,207,49152,424,50,-25.63935078,-56.617122,-75.865661,96.575999
12,12,207,53248,426,50,-19.23714384,-60.231188,-79.578667,96.575999
13,13,207,57344,428,50,-31.18392668,-61.375198,-79.578667,95.217006
14,14,207,61440,429,50,-23.9622643,-62.700107,-94.659015,93.140379
15,15,207,65536,430,50,11.073189919999999,78.7863615,-94.659015,98.857341
16,16,207,69632,430,50,7.93853434,8.934394999999999,-86.748967,98.857341
17,17,207,73728,430,50,2.935964859999999,-58.532595,-86.748967,95.62934
18,18,207,77824,431,50,10.7075982,10.382893000000003,-79.015428,97.415461
19,19,207,81920,430,50,3.120758319999999,-58.044022,-77.277293,97.415461
20,20,207,86016,430,50,5.15864912,-59.221613,-80.608899,97.386717
21,21,207,90112,425,50,-4.525442880000001,-59.5981605,-82.640443,100.918211
22,22,207,94208,418,50,8.090073019999998,-52.892522,-83.558724,100.918211
23,23,207,98304,408,50,12.206436459999999,11.230311500000003,-83.558724,101.52082
24,24,207,102400,406,50,0.051260240000001574,-58.326599,-79.808391,101.52082
25,25,207,106496,405,50,-4.843171000000002,-58.180229499999996,-78.158669,100.140986
26,26,207,110592,403,50,-0.7365230400000001,-57.4661415,-74.334038,99.450899
27,27,207,114688,402,50,4.549069740000002,-52.170237,-74.174075,100.560473
28,28,207,118784,400,50,-8.458675600000001,-56.1013705,-74.174075,103.53983
29,29,207,122880,401,50,-12.700712600000001,-54.114915499999995,-71.148631,103.266867
30,30,207,126976,400,50,-14.10915176,-53.7323635,-81.743777,101.980668
31,31,207,131072,401,50,-3.7884417999999984,-55.152773499999995,-81.743777,101.980668
32,32,207,135168,401,50,-3.5016082799999992,-56.991815,-77.34407,103.507183
33,33,207,139264,398,50,12.614123759999998,9.101952,-84.706223,101.351344
34,34,207,143360,398,50,6.9766316999999995,-55.2294395,-93.129585,101.351344
35,35,207,147456,398,50,-1.0591098400000007,-61.0141735,-93.129585,99.533307
36,36,207,151552,398,50,0.74870058,-60.8820235,-94.112211,102.093953
37,37,207,155648,397,50,39.86618422000001,86.38165749999999,-82.415645,102.093953
38,38,207,159744,396,50,21.89736978,77.096159,-82.168259,101.561547
39,39,207,163840,396,50,11.573730059999997,71.345439,-91.085781,103.30799
40,40,207,167936,397,50,12.386592840000002,76.62010749999999,-91.085781,101.885737
41,41,207,172032,397,50,10.740819879999998,9.597333499999998,-90.082282,103.498162
42,42,207,176128,396,50,14.346794359999999,73.949734,-88.178684,103.498162
43,43,207,180224,396,50,13.282538800000003,14.388950999999999,-87.128005,103.55807
44,44,207,184320,395,50,16.34372738,79.6602215,-87.128005,103.55807
45,45,207,188416,393,50,39.83356214,90.90263350000001,-75.161415,105.596931
46,46,207,192512,393,50,14.73705708,10.254634500000002,-76.391083,102.937588
47,47,207,196608,392,50,-3.8178207399999984,-55.6616875,-74.754896,105.240021
48,48,207,200704,390,50,-5.5066988199999996,-53.621761500000005,-67.843055,105.240021
49,49,207,204800,387,50,27.694228820000003,85.029045,-73.635333,104.593544
50,50,207,208896,387,50,4.4398930000000005,-52.6125155,-64.015808,104.876302
51,51,207,212992,386,50,15.10316396,-45.742004,-63.922982,101.825225
52,52,207,217088,386,50,20.874751259999996,21.482845,-59.027188,102.554075
53,53,207,221184,385,50,9.225081439999999,-48.009397,-60.905639,100.929783
54,54,207,225280,385,50,15.624513399999998,-48.4898505,-70.454031,106.482016
55,55,207,229376,385,50,9.4735737,-50.386347,-71.380823,106.165251
56,56,207,233472,385,50,-5.229885599999999,-52.950576,-67.322043,101.690555
57,57,207,237568,384,50,2.58056108,-54.004517,-71.465066,103.301991
58,58,207,241664,384,50,8.42260406,-52.4778285,-73.021533,106.166779
59,59,207,245760,383,50,10.99983216,-52.204457,-71.375027,103.928306
60,60,207,249856,382,50,16.1631046,13.088530500000001,-71.403212,104.922259
61,61,207,253952,382,50,15.023371099999999,-46.8291225,-69.114572,106.081596
62,62,207,258048,382,50,27.0194702,81.574644,-66.476461,106.399968
63,63,207,262144,382,50,28.89603032,87.67606649999999,-67.600719,104.173985
