CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=31517, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250724/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.000115, rnn_type='VRNN', hidden_size=62, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1100000, 4700000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250724_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicturn_bx0.30.8_t11000004700000_q2.00.5_dmx0.80.8_dmn0.70.4_h62_wd0.000115_n2_codeVRNN_seed31517f4', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'turn'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=31517, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250724/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.000115, rnn_type='VRNN', hidden_size=62, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1100000, 4700000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250724_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicturn_bx0.30.8_t11000004700000_q2.00.5_dmx0.80.8_dmn0.70.4_h62_wd0.000115_n2_codeVRNN_seed31517f4', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'turn'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
Using Precomputed Plume...
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x320fbae20>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic', 'turn'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 31517, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic', 'turn']
Using MLPBase
hidden_size 62
Using VanillaRNN
Saved ./trained_models/ExptMemory20250724//plume_20250724_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicturn_bx0.30.8_t11000004700000_q2.00.5_dmx0.80.8_dmn0.70.4_h62_wd0.000115_n2_codeVRNN_seed31517f4.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n1100000
Saved ./trained_models/ExptMemory20250724/plume_20250724_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicturn_bx0.30.8_t11000004700000_q2.00.5_dmx0.80.8_dmn0.70.4_h62_wd0.000115_n2_codeVRNN_seed31517f4.pt
Update 0/268, T 4096, FPS 392, 50-training-episode: mean/median -80.5/-60.1, min/max -308.6/-2.3
Update 1/268, T 8192, FPS 397, 50-training-episode: mean/median -72.4/-58.3, min/max -237.0/-1.0
Update 2/268, T 12288, FPS 400, 50-training-episode: mean/median -70.9/-50.7, min/max -281.2/-2.8
Update 3/268, T 16384, FPS 403, 50-training-episode: mean/median -79.0/-66.9, min/max -229.0/-2.5
Update 4/268, T 20480, FPS 402, 50-training-episode: mean/median -92.3/-79.1, min/max -303.9/-2.2
Update 5/268, T 24576, FPS 400, 50-training-episode: mean/median -79.7/-72.7, min/max -256.9/-1.0
Update 6/268, T 28672, FPS 400, 50-training-episode: mean/median -73.7/-57.9, min/max -244.1/-1.9
Update 7/268, T 32768, FPS 401, 50-training-episode: mean/median -81.3/-70.6, min/max -265.8/-1.5
Update 8/268, T 36864, FPS 402, 50-training-episode: mean/median -76.8/-75.0, min/max -304.4/-1.7
Update 9/268, T 40960, FPS 403, 50-training-episode: mean/median -75.3/-67.8, min/max -220.0/-1.4
Update 10/268, T 45056, FPS 403, 50-training-episode: mean/median -67.9/-55.1, min/max -235.1/-1.5
Update 11/268, T 49152, FPS 402, 50-training-episode: mean/median -85.0/-83.7, min/max -208.7/-1.7
Update 12/268, T 53248, FPS 402, 50-training-episode: mean/median -77.7/-70.4, min/max -249.8/-4.3
Update 13/268, T 57344, FPS 402, 50-training-episode: mean/median -59.5/-49.4, min/max -214.0/-3.5
Update 14/268, T 61440, FPS 402, 50-training-episode: mean/median -58.5/-45.6, min/max -167.2/-2.3
Update 15/268, T 65536, FPS 403, 50-training-episode: mean/median -58.3/-50.0, min/max -206.4/-0.9
Update 16/268, T 69632, FPS 402, 50-training-episode: mean/median -64.7/-59.0, min/max -214.6/-1.0
Update 17/268, T 73728, FPS 402, 50-training-episode: mean/median -56.5/-44.9, min/max -268.2/-1.7
Update 18/268, T 77824, FPS 402, 50-training-episode: mean/median -62.0/-55.8, min/max -150.5/-1.1
Update 19/268, T 81920, FPS 402, 50-training-episode: mean/median -62.9/-57.3, min/max -158.7/-8.9
Update 20/268, T 86016, FPS 402, 50-training-episode: mean/median -61.5/-56.0, min/max -236.8/-3.5
Update 21/268, T 90112, FPS 403, 50-training-episode: mean/median -69.1/-61.2, min/max -196.5/-3.2
Update 22/268, T 94208, FPS 403, 50-training-episode: mean/median -73.4/-77.5, min/max -192.6/-8.0
Update 23/268, T 98304, FPS 403, 50-training-episode: mean/median -56.5/-46.3, min/max -163.6/-2.1
Update 24/268, T 102400, FPS 403, 50-training-episode: mean/median -54.9/-56.0, min/max -139.9/-3.2
Update 25/268, T 106496, FPS 403, 50-training-episode: mean/median -52.8/-51.9, min/max -151.9/-2.1
Update 26/268, T 110592, FPS 403, 50-training-episode: mean/median -61.3/-57.0, min/max -171.0/-0.6
Update 27/268, T 114688, FPS 403, 50-training-episode: mean/median -52.4/-50.0, min/max -148.5/-2.4
Update 28/268, T 118784, FPS 403, 50-training-episode: mean/median -56.1/-50.3, min/max -181.6/-0.8
Update 29/268, T 122880, FPS 403, 50-training-episode: mean/median -55.5/-56.5, min/max -157.1/-1.2
Update 30/268, T 126976, FPS 403, 50-training-episode: mean/median -51.4/-41.2, min/max -143.6/-0.9
Update 31/268, T 131072, FPS 402, 50-training-episode: mean/median -52.6/-51.6, min/max -171.1/-1.8
Update 32/268, T 135168, FPS 402, 50-training-episode: mean/median -58.6/-55.7, min/max -159.5/-3.5
Update 33/268, T 139264, FPS 402, 50-training-episode: mean/median -53.2/-45.6, min/max -137.0/-0.8
Update 34/268, T 143360, FPS 402, 50-training-episode: mean/median -60.9/-55.2, min/max -166.4/-1.1
Update 35/268, T 147456, FPS 402, 50-training-episode: mean/median -56.1/-55.8, min/max -122.6/-1.3
Update 36/268, T 151552, FPS 402, 50-training-episode: mean/median -52.2/-47.2, min/max -146.8/-6.8
Update 37/268, T 155648, FPS 402, 50-training-episode: mean/median -51.2/-47.4, min/max -135.8/-2.3
Update 38/268, T 159744, FPS 402, 50-training-episode: mean/median -48.0/-50.0, min/max -159.9/-1.6
Update 39/268, T 163840, FPS 402, 50-training-episode: mean/median -49.7/-44.6, min/max -215.6/-1.8
Update 40/268, T 167936, FPS 402, 50-training-episode: mean/median -52.3/-51.0, min/max -152.3/-0.9
Update 41/268, T 172032, FPS 403, 50-training-episode: mean/median -49.8/-48.9, min/max -124.0/-0.9
Update 42/268, T 176128, FPS 403, 50-training-episode: mean/median -47.9/-44.6, min/max -128.7/-0.5
Update 43/268, T 180224, FPS 404, 50-training-episode: mean/median -47.4/-45.2, min/max -128.0/-0.5
Update 44/268, T 184320, FPS 405, 50-training-episode: mean/median -45.7/-44.0, min/max -107.8/-1.0
Update 45/268, T 188416, FPS 406, 50-training-episode: mean/median -53.6/-51.1, min/max -135.1/-1.0
Update 46/268, T 192512, FPS 406, 50-training-episode: mean/median -46.7/-50.3, min/max -95.6/-2.3
Update 47/268, T 196608, FPS 407, 50-training-episode: mean/median -46.2/-47.5, min/max -111.9/-1.2
Update 48/268, T 200704, FPS 408, 50-training-episode: mean/median -46.8/-46.8, min/max -104.9/-4.4
Update 49/268, T 204800, FPS 408, 50-training-episode: mean/median -44.5/-42.7, min/max -112.4/-2.2
Update 50/268, T 208896, FPS 409, 50-training-episode: mean/median -39.3/-39.4, min/max -108.8/-1.8
