,update,total_updates,T,FPS,window,mean,median,min,max
0,0,268,4096,403,50,-62.303619999999995,-46.489611499999995,-261.662081,-1.54861
1,1,268,8192,418,50,-73.61273795999999,-49.28011,-343.479715,-4.00396
2,2,268,12288,421,50,-68.78092226,-60.1013125,-217.075667,13.660267
3,3,268,16384,419,50,-73.22686778,-62.567512,-223.120205,-2.019986
4,4,268,20480,418,50,-97.53025492,-70.7843905,-358.980195,-0.982287
5,5,268,24576,422,50,-85.08302498,-83.79350199999999,-251.03011,-2.137276
6,6,268,28672,422,50,-68.3628767,-57.1273535,-230.760089,-2.244221
7,7,268,32768,418,50,-74.341331,-61.286781,-344.711864,-1.213906
8,8,268,36864,413,50,-77.57374529999998,-62.838769,-345.392419,-1.253774
9,9,268,40960,415,50,-76.38761251999999,-68.7288425,-247.733178,-1.966462
10,10,268,45056,417,50,-64.16569695999999,-50.5820565,-207.908637,7.256102
11,11,268,49152,419,50,-71.06894078,-56.347066999999996,-280.519693,-0.748196
12,12,268,53248,421,50,-67.73259022,-57.122132,-298.93338,-0.67078
13,13,268,57344,422,50,-73.4132412,-52.4477945,-297.599142,-0.773157
14,14,268,61440,423,50,-61.3016282,-47.0957415,-234.849957,-2.01235
15,15,268,65536,423,50,-71.30564781999999,-67.98975899999999,-180.07588,32.603352
16,16,268,69632,424,50,-62.11626000000001,-50.364924,-208.600462,-0.967477
17,17,268,73728,425,50,-66.68331217999999,-61.4006955,-179.786062,16.321638
18,18,268,77824,425,50,-64.12443476,-47.5232235,-288.735744,-1.45883
19,19,268,81920,426,50,-56.30967595999999,-46.620555499999995,-209.134916,6.421598
20,20,268,86016,426,50,-61.937413639999995,-56.9953245,-217.463519,41.246894
21,21,268,90112,426,50,-67.09350923999999,-64.87220500000001,-183.169798,-6.481858
22,22,268,94208,426,50,-66.77519801999999,-62.025142,-157.808161,-3.856209
23,23,268,98304,426,50,-55.31973545999999,-49.672377999999995,-159.432259,-1.000261
24,24,268,102400,426,50,-50.692221599999996,-43.322304,-168.702605,-2.479298
25,25,268,106496,427,50,-68.22173734,-65.6129965,-166.664213,-0.383562
26,26,268,110592,427,50,-65.44134591999999,-68.275865,-181.938827,24.097145
27,27,268,114688,427,50,-53.09390773999999,-44.913735,-152.979883,-2.135981
28,28,268,118784,427,50,-63.0119697,-52.882009499999995,-179.911417,3.967939
29,29,268,122880,428,50,-61.57550366,-57.522469,-209.849121,39.435243
30,30,268,126976,428,50,-55.58760274,-48.054214,-133.527523,-7.356713
31,31,268,131072,428,50,-68.18758466,-64.4879855,-276.818457,-1.106192
32,32,268,135168,428,50,-57.88805644000001,-53.666854,-138.189804,23.245725
33,33,268,139264,428,50,-56.51629828,-48.6613175,-167.709364,11.842961
34,34,268,143360,428,50,-58.0405333,-52.4385975,-200.219415,-1.891046
35,35,268,147456,428,50,-49.426846,-40.141239999999996,-142.524488,-4.909548
36,36,268,151552,428,50,-62.07830083999999,-56.5581655,-206.749673,-0.914121
37,37,268,155648,428,50,-55.29862624,-49.9164825,-150.794924,20.889901
38,38,268,159744,429,50,-57.674294499999995,-56.5366355,-153.747304,20.749986
39,39,268,163840,429,50,-51.14926064,-42.332205,-175.84765,-1.780289
40,40,268,167936,428,50,-47.52513215999999,-38.757857,-158.13465,-2.18702
41,41,268,172032,428,50,-55.50261064,-54.085752,-123.549003,22.271289
42,42,268,176128,428,50,-48.17946542,-40.288579,-185.037519,27.535032
43,43,268,180224,428,50,-54.250838560000005,-54.2792475,-131.9851,-4.361461
44,44,268,184320,428,50,-57.65957668,-48.968473,-168.246328,40.837708
45,45,268,188416,428,50,-47.70988114000001,-40.5785325,-141.945637,36.996178
46,46,268,192512,428,50,-49.88569574,-42.993432,-143.311766,-0.880066
47,47,268,196608,428,50,-58.400193980000005,-50.031687,-272.949265,-3.333005
48,48,268,200704,428,50,-50.454799439999995,-41.985907,-243.753349,-0.568194
49,49,268,204800,428,50,-51.61834508,-45.131713000000005,-197.939675,-1.971903
50,50,268,208896,428,50,-58.54791816,-57.8661,-160.147637,-3.161688
51,51,268,212992,428,50,-52.06919774,-47.783916500000004,-127.747227,-0.772048
52,52,268,217088,428,50,-47.00846844000001,-45.784925,-147.282912,-1.931128
53,53,268,221184,428,50,-49.606483540000006,-52.2123905,-106.017933,-0.920419
54,54,268,225280,428,50,-51.25305391999999,-55.2749355,-136.096301,-1.131485
55,55,268,229376,428,50,-53.10557452,-44.4527805,-140.839817,-3.086604
56,56,268,233472,428,50,-44.44131931999999,-42.454556499999995,-120.97926,45.982596
57,57,268,237568,428,50,-52.92281814,-47.8610235,-158.157362,-1.481433
58,58,268,241664,428,50,-47.03986164,-45.308212,-157.421302,-0.921406
59,59,268,245760,428,50,-46.11636171999999,-44.373827500000004,-117.145135,-1.139799
60,60,268,249856,428,50,-37.918535340000005,-35.3785005,-112.220327,-1.086052
61,61,268,253952,428,50,-46.37174602000001,-44.902521500000006,-132.61031,-1.633878
62,62,268,258048,428,50,-53.72357274000001,-49.624244,-175.793365,-1.594178
63,63,268,262144,428,50,-43.28079404,-43.21717700000001,-111.021536,-0.593038
64,64,268,266240,428,50,-48.41707254000001,-46.732645500000004,-131.080283,-1.328575
65,65,268,270336,428,50,-47.34390466,-46.947517000000005,-121.049522,38.943482
66,66,268,274432,428,50,-40.83749718,-39.510286,-103.611378,-2.288799
67,67,268,278528,427,50,-46.27600135999999,-43.140631,-118.521988,-1.799293
68,68,268,282624,428,50,-46.40794602,-40.317447,-148.987332,-3.436844
69,69,268,286720,428,50,-43.034239719999995,-41.583354,-133.159952,-2.749968
70,70,268,290816,427,50,-49.117379760000006,-40.1399075,-106.723771,-2.641158
71,71,268,294912,427,50,-34.871923159999994,-34.511770999999996,-86.561001,43.523359
72,72,268,299008,427,50,-45.291372419999995,-41.921134,-133.94457,-2.00308
73,73,268,303104,427,50,-42.07004818,-39.636124499999994,-107.62502,-3.040256
74,74,268,307200,427,50,-37.55895228,-29.060543,-140.771539,-1.838438
75,75,268,311296,427,50,-41.3140266,-35.49153,-120.101473,-1.021926
