,update,total_updates,T,FPS,window,mean,median,min,max
0,0,268,4096,412,50,-93.42105882000001,-74.607787,-348.689269,-1.359863
1,1,268,8192,412,50,-81.77301498,-65.2225215,-258.161402,-1.287784
2,2,268,12288,414,50,-89.18540576,-62.758061,-336.092891,-1.050827
3,3,268,16384,414,50,-89.20946067999999,-70.2451495,-262.852939,-2.08386
4,4,268,20480,412,50,-80.38382250000001,-76.89408649999999,-231.197188,-0.55695
5,5,268,24576,409,50,-74.10073899999999,-66.86962249999999,-354.051938,-1.228747
6,6,268,28672,409,50,-72.95408402,-59.145188000000005,-210.749327,-1.735398
7,7,268,32768,410,50,-70.48146720000001,-63.14445,-205.249175,2.210065
8,8,268,36864,411,50,-87.12828074,-68.38449399999999,-285.267075,-0.485371
9,9,268,40960,411,50,-77.1035695,-66.7485755,-276.674311,-2.681197
10,10,268,45056,411,50,-83.73411601999999,-78.6728105,-280.214206,-2.111215
11,11,268,49152,410,50,-65.93117717999999,-54.15668599999999,-245.614147,-1.660515
12,12,268,53248,411,50,-77.12886506,-65.8694895,-219.649176,0.4113
13,13,268,57344,410,50,-58.250681779999994,-44.069480999999996,-158.804397,-1.936793
14,14,268,61440,410,50,-73.64459296,-68.2127275,-223.41942,-1.819196
15,15,268,65536,410,50,-57.38688880000001,-48.1727035,-251.438314,7.693001
16,16,268,69632,410,50,-64.64360874,-62.171767,-191.040487,-2.202463
17,17,268,73728,410,50,-55.156772880000005,-51.552335,-194.16515,-1.367055
18,18,268,77824,409,50,-56.81700913999999,-52.8190545,-197.209142,14.890194
19,19,268,81920,407,50,-44.04824696,-33.1953965,-110.651883,-1.507654
20,20,268,86016,407,50,-61.20353652,-51.741780500000004,-178.163548,-2.907528
21,21,268,90112,407,50,-61.19921812,-54.835387499999996,-159.789659,-4.589413
22,22,268,94208,407,50,-51.82326982000001,-36.884838,-164.544578,-0.879045
23,23,268,98304,407,50,-49.92458001999999,-41.732039,-203.732436,7.188061
24,24,268,102400,407,50,-61.0593412,-61.896832,-134.459781,-1.857505
25,25,268,106496,407,50,-61.62989150000001,-62.487409,-217.167228,19.869138
26,26,268,110592,407,50,-53.411311059999996,-43.8147855,-136.592463,-1.177698
27,27,268,114688,407,50,-51.038889360000006,-49.863214,-130.745394,-1.265356
28,28,268,118784,407,50,-43.60265442000001,-38.192772500000004,-151.07253,-1.656587
29,29,268,122880,407,50,-68.37113217999999,-64.5918155,-159.634369,-5.471194
30,30,268,126976,408,50,-54.58469506,-53.519183,-166.670706,-0.891796
31,31,268,131072,409,50,-62.1742473,-59.972008,-176.459976,-1.444791
