CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=24821, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250725/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.000115, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[13000000, 4500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250725_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx0.30.8_t130000004500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.000115_n2_codeVRNN_seed24821d2', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=24821, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptMemory20250725/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.000115, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[13000000, 4500000], qvar=[2.0, 0.5], birthx=[0.3, 0.8], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='20250725_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx0.30.8_t130000004500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.000115_n2_codeVRNN_seed24821d2', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
Using Precomputed Plume...
2025-07-25 01:07:14.840 python[99612:40982853] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
2025-07-25 01:07:14.841 python[99613:40982854] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x3220dad30>, 't_val_min': 60.0, 'sim_steps_max': 300, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 0.3, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 2.0, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.141592653589793, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 24821, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptMemory20250725//plume_20250725_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx0.30.8_t130000004500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.000115_n2_codeVRNN_seed24821d2.pt.start
Stage: 0/2 - constantx5b5 b0.3 q2.0 n13000000
Saved ./trained_models/ExptMemory20250725/plume_20250725_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx0.30.8_t130000004500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.000115_n2_codeVRNN_seed24821d2.pt
Update 0/3173, T 4096, FPS 361, 50-training-episode: mean/median -2.2/-1.7, min/max -6.6/-0.4
Update 1/3173, T 8192, FPS 379, 50-training-episode: mean/median -2.2/-2.0, min/max -4.5/-0.5
Update 2/3173, T 12288, FPS 383, 50-training-episode: mean/median -2.1/-1.7, min/max -6.1/-0.4
Update 3/3173, T 16384, FPS 387, 50-training-episode: mean/median -2.5/-2.0, min/max -8.7/-0.4
Update 4/3173, T 20480, FPS 388, 50-training-episode: mean/median -2.2/-2.1, min/max -6.0/-0.4
Update 5/3173, T 24576, FPS 388, 50-training-episode: mean/median -2.2/-2.2, min/max -5.8/-0.4
Update 6/3173, T 28672, FPS 389, 50-training-episode: mean/median -2.5/-2.0, min/max -6.9/-0.4
Update 7/3173, T 32768, FPS 390, 50-training-episode: mean/median -2.4/-2.2, min/max -6.1/-0.4
Update 8/3173, T 36864, FPS 389, 50-training-episode: mean/median -1.9/-1.9, min/max -4.7/-0.3
Update 9/3173, T 40960, FPS 391, 50-training-episode: mean/median -2.3/-2.0, min/max -7.3/-0.3
Update 10/3173, T 45056, FPS 392, 50-training-episode: mean/median -2.7/-2.2, min/max -6.0/-0.7
Update 11/3173, T 49152, FPS 391, 50-training-episode: mean/median -2.3/-2.0, min/max -6.6/-0.4
Update 12/3173, T 53248, FPS 392, 50-training-episode: mean/median -2.6/-2.6, min/max -6.7/-0.4
Update 13/3173, T 57344, FPS 393, 50-training-episode: mean/median -2.2/-2.1, min/max -5.6/-0.5
Update 14/3173, T 61440, FPS 393, 50-training-episode: mean/median -2.3/-2.3, min/max -4.9/-0.3
Update 15/3173, T 65536, FPS 394, 50-training-episode: mean/median -2.4/-2.1, min/max -5.9/-0.5
Update 16/3173, T 69632, FPS 394, 50-training-episode: mean/median -2.5/-2.6, min/max -6.5/-0.5
Update 17/3173, T 73728, FPS 394, 50-training-episode: mean/median -2.5/-2.4, min/max -6.0/-0.6
Update 18/3173, T 77824, FPS 394, 50-training-episode: mean/median -2.0/-1.6, min/max -5.1/-0.6
Update 19/3173, T 81920, FPS 394, 50-training-episode: mean/median -2.0/-1.6, min/max -5.8/-0.5
Update 20/3173, T 86016, FPS 395, 50-training-episode: mean/median -2.8/-2.6, min/max -7.2/-0.5
Update 21/3173, T 90112, FPS 395, 50-training-episode: mean/median -2.5/-2.4, min/max -6.2/-0.6
Update 22/3173, T 94208, FPS 393, 50-training-episode: mean/median -2.4/-2.0, min/max -5.8/-0.5
Update 23/3173, T 98304, FPS 393, 50-training-episode: mean/median -2.3/-1.8, min/max -5.7/-0.5
Update 24/3173, T 102400, FPS 393, 50-training-episode: mean/median -2.5/-2.5, min/max -6.8/-0.3
Update 25/3173, T 106496, FPS 393, 50-training-episode: mean/median -2.4/-1.9, min/max -6.7/-0.6
Update 26/3173, T 110592, FPS 393, 50-training-episode: mean/median -2.7/-2.6, min/max -7.0/-0.4
Update 27/3173, T 114688, FPS 394, 50-training-episode: mean/median -2.6/-2.1, min/max -5.6/-0.3
Update 28/3173, T 118784, FPS 393, 50-training-episode: mean/median -2.4/-1.8, min/max -6.7/-0.3
Update 29/3173, T 122880, FPS 393, 50-training-episode: mean/median -2.7/-2.5, min/max -6.9/-0.4
Update 30/3173, T 126976, FPS 394, 50-training-episode: mean/median -2.5/-2.0, min/max -5.9/-0.4
Update 31/3173, T 131072, FPS 394, 50-training-episode: mean/median -2.4/-1.8, min/max -6.9/-0.5
Update 32/3173, T 135168, FPS 394, 50-training-episode: mean/median -2.1/-1.6, min/max -6.9/-0.4
Update 33/3173, T 139264, FPS 394, 50-training-episode: mean/median -2.9/-2.5, min/max -6.9/-0.5
Update 34/3173, T 143360, FPS 393, 50-training-episode: mean/median -2.2/-1.9, min/max -5.7/-0.4
Update 35/3173, T 147456, FPS 394, 50-training-episode: mean/median -2.5/-2.2, min/max -5.8/-0.4
Update 36/3173, T 151552, FPS 394, 50-training-episode: mean/median -2.5/-2.6, min/max -5.8/-0.4
Update 37/3173, T 155648, FPS 394, 50-training-episode: mean/median -2.8/-2.6, min/max -7.4/-0.4
Update 38/3173, T 159744, FPS 394, 50-training-episode: mean/median -2.8/-2.6, min/max -7.4/-0.5
Update 39/3173, T 163840, FPS 394, 50-training-episode: mean/median -2.5/-1.8, min/max -7.3/-0.5
Update 40/3173, T 167936, FPS 394, 50-training-episode: mean/median -2.6/-2.1, min/max -5.8/-0.4
Update 41/3173, T 172032, FPS 394, 50-training-episode: mean/median -2.7/-2.6, min/max -7.2/-0.4
Update 42/3173, T 176128, FPS 394, 50-training-episode: mean/median -2.8/-2.3, min/max -6.2/-0.3
Update 43/3173, T 180224, FPS 393, 50-training-episode: mean/median -2.6/-2.2, min/max -6.2/-0.4
Update 44/3173, T 184320, FPS 393, 50-training-episode: mean/median -2.4/-2.3, min/max -6.3/-0.5
Update 45/3173, T 188416, FPS 393, 50-training-episode: mean/median -2.8/-2.0, min/max -7.0/-0.5
Update 46/3173, T 192512, FPS 393, 50-training-episode: mean/median -2.2/-1.4, min/max -6.5/-0.4
Update 47/3173, T 196608, FPS 393, 50-training-episode: mean/median -2.5/-1.7, min/max -6.5/-0.5
Update 48/3173, T 200704, FPS 393, 50-training-episode: mean/median -3.0/-2.6, min/max -6.5/-0.6
Update 49/3173, T 204800, FPS 393, 50-training-episode: mean/median -2.6/-2.2, min/max -6.8/-0.4
Update 50/3173, T 208896, FPS 393, 50-training-episode: mean/median -2.4/-1.8, min/max -7.0/-0.4
Update 51/3173, T 212992, FPS 393, 50-training-episode: mean/median -2.9/-2.3, min/max -7.0/-0.4
Update 52/3173, T 217088, FPS 393, 50-training-episode: mean/median -2.5/-1.8, min/max -6.4/-0.4
Update 53/3173, T 221184, FPS 393, 50-training-episode: mean/median -2.6/-2.2, min/max -6.1/-0.4
Update 54/3173, T 225280, FPS 393, 50-training-episode: mean/median -2.7/-2.3, min/max -6.1/-0.4
Update 55/3173, T 229376, FPS 394, 50-training-episode: mean/median -2.7/-2.1, min/max -6.5/-0.6
Update 56/3173, T 233472, FPS 394, 50-training-episode: mean/median -3.1/-3.3, min/max -6.2/-0.6
Update 57/3173, T 237568, FPS 394, 50-training-episode: mean/median -2.9/-2.6, min/max -6.3/-0.5
Update 58/3173, T 241664, FPS 394, 50-training-episode: mean/median -2.2/-1.3, min/max -6.4/-0.5
Update 59/3173, T 245760, FPS 394, 50-training-episode: mean/median -2.7/-2.4, min/max -6.3/-0.5
Update 60/3173, T 249856, FPS 394, 50-training-episode: mean/median -3.0/-2.5, min/max -6.2/-0.4
Update 61/3173, T 253952, FPS 394, 50-training-episode: mean/median -2.7/-2.0, min/max -6.2/-0.4
Update 62/3173, T 258048, FPS 394, 50-training-episode: mean/median -2.7/-1.7, min/max -7.2/-0.4
Update 63/3173, T 262144, FPS 394, 50-training-episode: mean/median -2.8/-2.2, min/max -6.7/-0.4
Update 64/3173, T 266240, FPS 394, 50-training-episode: mean/median -3.0/-2.4, min/max -6.6/-0.4
Update 65/3173, T 270336, FPS 394, 50-training-episode: mean/median -3.0/-2.4, min/max -6.6/-0.4
Update 66/3173, T 274432, FPS 394, 50-training-episode: mean/median -2.4/-1.6, min/max -6.6/-0.5
Update 67/3173, T 278528, FPS 395, 50-training-episode: mean/median -3.0/-2.5, min/max -6.1/-0.3
Update 68/3173, T 282624, FPS 395, 50-training-episode: mean/median -3.1/-2.5, min/max -6.2/-0.4
Update 69/3173, T 286720, FPS 395, 50-training-episode: mean/median -3.2/-2.9, min/max -6.2/-0.4
Update 70/3173, T 290816, FPS 395, 50-training-episode: mean/median -3.1/-2.9, min/max -6.0/-0.4
Update 71/3173, T 294912, FPS 395, 50-training-episode: mean/median -2.3/-1.7, min/max -5.7/-0.4
Update 72/3173, T 299008, FPS 394, 50-training-episode: mean/median -2.9/-2.3, min/max -5.7/-0.4
Update 73/3173, T 303104, FPS 395, 50-training-episode: mean/median -3.4/-4.2, min/max -6.6/-0.6
Update 74/3173, T 307200, FPS 395, 50-training-episode: mean/median -2.7/-1.8, min/max -6.1/-0.5
Update 75/3173, T 311296, FPS 395, 50-training-episode: mean/median -2.8/-2.3, min/max -5.9/-0.5
Update 76/3173, T 315392, FPS 395, 50-training-episode: mean/median -2.5/-1.9, min/max -5.9/-0.3
Update 77/3173, T 319488, FPS 395, 50-training-episode: mean/median -2.7/-2.0, min/max -6.3/-0.5
Update 78/3173, T 323584, FPS 395, 50-training-episode: mean/median -2.9/-2.3, min/max -7.2/-0.5
Update 79/3173, T 327680, FPS 395, 50-training-episode: mean/median -3.1/-2.9, min/max -7.2/-0.5
Update 80/3173, T 331776, FPS 395, 50-training-episode: mean/median -2.6/-2.3, min/max -6.2/-0.5
Update 81/3173, T 335872, FPS 395, 50-training-episode: mean/median -2.7/-2.5, min/max -5.8/-0.4
Update 82/3173, T 339968, FPS 395, 50-training-episode: mean/median -2.9/-2.6, min/max -6.6/-0.4
Update 83/3173, T 344064, FPS 395, 50-training-episode: mean/median -2.7/-2.2, min/max -5.8/-0.5
Update 84/3173, T 348160, FPS 396, 50-training-episode: mean/median -2.6/-2.0, min/max -5.9/-0.6
Update 85/3173, T 352256, FPS 396, 50-training-episode: mean/median -3.0/-3.1, min/max -5.8/-0.5
Update 86/3173, T 356352, FPS 396, 50-training-episode: mean/median -2.8/-2.4, min/max -6.2/-0.4
Update 87/3173, T 360448, FPS 396, 50-training-episode: mean/median -2.8/-2.4, min/max -6.2/-0.6
Update 88/3173, T 364544, FPS 396, 50-training-episode: mean/median -3.0/-2.4, min/max -6.2/-0.6
Update 89/3173, T 368640, FPS 396, 50-training-episode: mean/median -3.2/-3.0, min/max -6.5/-0.6
Update 90/3173, T 372736, FPS 396, 50-training-episode: mean/median -2.7/-2.3, min/max -6.5/-0.6
Update 91/3173, T 376832, FPS 397, 50-training-episode: mean/median -2.7/-2.4, min/max -6.3/-0.4
Update 92/3173, T 380928, FPS 397, 50-training-episode: mean/median -2.8/-2.3, min/max -6.3/-0.3
Update 93/3173, T 385024, FPS 397, 50-training-episode: mean/median -3.1/-3.2, min/max -6.1/-0.3
Update 94/3173, T 389120, FPS 397, 50-training-episode: mean/median -2.8/-2.4, min/max -6.1/-0.4
Update 95/3173, T 393216, FPS 397, 50-training-episode: mean/median -2.6/-2.0, min/max -6.0/-0.4
Update 96/3173, T 397312, FPS 397, 50-training-episode: mean/median -2.9/-2.4, min/max -6.2/-0.5
Update 97/3173, T 401408, FPS 397, 50-training-episode: mean/median -3.2/-2.9, min/max -6.2/-0.4
Update 98/3173, T 405504, FPS 397, 50-training-episode: mean/median -2.8/-2.4, min/max -5.5/-0.4
Update 99/3173, T 409600, FPS 397, 50-training-episode: mean/median -2.9/-2.3, min/max -6.1/-0.6
Saved ./trained_models/ExptMemory20250725/plume_20250725_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx0.30.8_t130000004500000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.000115_n2_codeVRNN_seed24821d2.pt
Update 100/3173, T 413696, FPS 397, 50-training-episode: mean/median -2.5/-1.7, min/max -5.8/-0.4
Update 101/3173, T 417792, FPS 397, 50-training-episode: mean/median -2.8/-2.1, min/max -6.3/-0.5
Update 102/3173, T 421888, FPS 397, 50-training-episode: mean/median -2.8/-2.0, min/max -6.3/-0.4
Update 103/3173, T 425984, FPS 398, 50-training-episode: mean/median -2.8/-1.6, min/max -6.5/-0.4
Update 104/3173, T 430080, FPS 398, 50-training-episode: mean/median -2.7/-2.1, min/max -6.6/-0.4
Update 105/3173, T 434176, FPS 398, 50-training-episode: mean/median -3.0/-2.7, min/max -6.6/-0.4
Update 106/3173, T 438272, FPS 398, 50-training-episode: mean/median -2.9/-2.6, min/max -5.6/-0.4
Update 107/3173, T 442368, FPS 398, 50-training-episode: mean/median -2.8/-2.0, min/max -6.3/-0.5
Update 108/3173, T 446464, FPS 398, 50-training-episode: mean/median -2.8/-2.2, min/max -6.3/-0.4
Update 109/3173, T 450560, FPS 398, 50-training-episode: mean/median -3.0/-2.6, min/max -6.2/-0.4
Update 110/3173, T 454656, FPS 398, 50-training-episode: mean/median -2.9/-2.0, min/max -6.5/-0.5
Update 111/3173, T 458752, FPS 398, 50-training-episode: mean/median -3.0/-3.1, min/max -6.5/-0.4
Update 112/3173, T 462848, FPS 398, 50-training-episode: mean/median -2.7/-2.1, min/max -6.1/-0.4
Update 113/3173, T 466944, FPS 398, 50-training-episode: mean/median -3.0/-3.0, min/max -6.0/-0.4
Update 114/3173, T 471040, FPS 398, 50-training-episode: mean/median -2.6/-1.9, min/max -6.0/-0.4
Update 115/3173, T 475136, FPS 398, 50-training-episode: mean/median -2.7/-2.0, min/max -6.0/-0.5
Update 116/3173, T 479232, FPS 398, 50-training-episode: mean/median -3.0/-2.4, min/max -6.8/-0.6
Update 117/3173, T 483328, FPS 398, 50-training-episode: mean/median -2.6/-2.1, min/max -6.8/-0.4
Update 118/3173, T 487424, FPS 399, 50-training-episode: mean/median -3.1/-2.9, min/max -6.3/-0.4
Update 119/3173, T 491520, FPS 399, 50-training-episode: mean/median -2.8/-2.4, min/max -6.3/-0.5
Update 120/3173, T 495616, FPS 399, 50-training-episode: mean/median -2.1/-1.2, min/max -6.0/-0.3
Update 121/3173, T 499712, FPS 399, 50-training-episode: mean/median -2.6/-2.3, min/max -6.0/-0.3
Update 122/3173, T 503808, FPS 399, 50-training-episode: mean/median -2.8/-2.5, min/max -6.0/-0.4
Update 123/3173, T 507904, FPS 399, 50-training-episode: mean/median -2.9/-2.6, min/max -5.9/-0.4
Update 124/3173, T 512000, FPS 399, 50-training-episode: mean/median -3.1/-3.1, min/max -6.0/-0.5
Update 125/3173, T 516096, FPS 399, 50-training-episode: mean/median -3.3/-4.0, min/max -6.0/-0.3
Update 126/3173, T 520192, FPS 399, 50-training-episode: mean/median -2.9/-1.9, min/max -5.8/-0.3
Update 127/3173, T 524288, FPS 399, 50-training-episode: mean/median -2.7/-1.8, min/max -5.7/-0.4
Update 128/3173, T 528384, FPS 399, 50-training-episode: mean/median -2.8/-2.3, min/max -6.1/-0.5
Update 129/3173, T 532480, FPS 399, 50-training-episode: mean/median -2.6/-1.6, min/max -5.7/-0.3
Update 130/3173, T 536576, FPS 399, 50-training-episode: mean/median -2.7/-2.3, min/max -6.4/-0.3
Update 131/3173, T 540672, FPS 399, 50-training-episode: mean/median -2.5/-1.8, min/max -5.6/-0.3
Update 132/3173, T 544768, FPS 399, 50-training-episode: mean/median -2.7/-2.1, min/max -5.7/-0.3
Update 133/3173, T 548864, FPS 400, 50-training-episode: mean/median -2.7/-2.3, min/max -6.4/-0.4
Update 134/3173, T 552960, FPS 400, 50-training-episode: mean/median -2.8/-2.4, min/max -5.9/-0.4
Update 135/3173, T 557056, FPS 400, 50-training-episode: mean/median -3.1/-3.4, min/max -6.0/-0.3
Update 136/3173, T 561152, FPS 400, 50-training-episode: mean/median -2.7/-2.2, min/max -6.0/-0.3
