,update,total_updates,T,FPS,window,mean,median,min,max
0,0,183,4096,307,38,-57.61035107894736,-48.5304615,-112.685144,-37.106989
1,1,183,8192,296,50,-55.985803419999996,-45.8377475,-112.685144,-36.057722
2,2,183,12288,291,50,-56.99232048,-48.1759775,-116.278712,-36.77934
3,3,183,16384,302,50,-64.94778539999999,-60.761776999999995,-116.278712,-37.359635
4,4,183,20480,308,50,-68.71846968,-65.60223049999999,-116.278712,-37.359635
5,5,183,24576,313,50,-70.34302868,-68.834956,-101.316087,-44.327097
6,6,183,28672,312,50,-63.84996370000001,-68.9979185,-96.795099,60.773902
7,7,183,32768,313,50,-62.38186542,-69.71981600000001,-104.256974,60.773902
8,8,183,36864,312,50,-53.55287596,-68.719072,-104.256974,77.359547
9,9,183,40960,313,50,-46.68625844,-63.1565305,-96.162976,77.359547
10,10,183,45056,312,50,-42.40053830000001,-59.023595,-93.461183,77.340506
11,11,183,49152,314,50,-35.55740108,-55.3688425,-93.461183,85.262467
12,12,183,53248,315,50,-28.48075886,-54.563251,-93.461183,88.448056
13,13,183,57344,316,50,-23.7339264,-49.252119,-85.018417,91.656678
14,14,183,61440,314,50,-33.61636068,-57.9999325,-87.727167,91.656678
