,update,total_updates,T,FPS,window,mean,median,min,max
0,0,183,4096,395,49,-11.125956428571428,-8.934016,-30.839329,-0.878732
1,1,183,8192,390,50,-12.020945220000002,-7.920066,-33.976032,-1.676949
2,2,183,12288,401,50,-11.099932480000001,-10.646683,-35.390589,-0.832879
3,3,183,16384,405,50,-11.547571980000003,-10.283619999999999,-29.039004,-0.852786
4,4,183,20480,404,50,-12.466193280000002,-11.0382475,-32.764196,-1.397253
5,5,183,24576,401,50,-12.23294222,-11.2563685,-33.277581,-1.604766
6,6,183,28672,402,50,-11.0034312,-9.712256,-32.952671,-0.826435
7,7,183,32768,399,50,-10.609752360000002,-8.3047555,-33.702646,-1.667066
8,8,183,36864,402,50,-11.405198240000002,-9.919982000000001,-38.069573,-0.862325
9,9,183,40960,402,50,-10.781293160000002,-9.020246499999999,-29.329813,-0.996172
10,10,183,45056,402,50,-9.95301362,-6.881427,-29.282292,-1.058455
11,11,183,49152,402,50,-11.350222899999999,-12.5511055,-26.961235,-1.312107
12,12,183,53248,402,50,-9.325502179999999,-7.806005,-26.40475,-1.429932
13,13,183,57344,404,50,-10.71898366,-7.3854334999999995,-32.504809,-0.993807
14,14,183,61440,407,50,-12.32690742,-11.313604,-37.678132,-1.3928
15,15,183,65536,409,50,-12.796506,-12.0342035,-27.988837,-2.236829
16,16,183,69632,411,50,-10.064629240000002,-9.2954775,-32.578581,-1.306126
17,17,183,73728,412,50,-9.35900068,-8.4802055,-26.192341,-1.199616
18,18,183,77824,413,50,-11.02678818,-10.303732,-24.499486,-0.833931
19,19,183,81920,415,50,-8.79769354,-7.62122,-19.77451,-0.81203
20,20,183,86016,416,50,-9.30800324,-7.6312325,-36.703891,-0.894856
21,21,183,90112,417,50,-8.932026,-7.8504275,-20.776942,-1.471433
22,22,183,94208,418,50,-10.35186228,-10.1747725,-20.293834,-1.341465
23,23,183,98304,418,50,-8.60859086,-7.176861499999999,-19.892362,-1.349949
24,24,183,102400,419,50,-9.305847660000001,-7.979486,-29.95049,-1.645958
25,25,183,106496,420,50,-10.548513139999997,-8.6170515,-28.228233,-0.8765
26,26,183,110592,421,50,-8.798317899999999,-6.794443,-25.450465,-1.005667
27,27,183,114688,422,50,-10.656314639999998,-9.544352,-23.188241,-1.562842
28,28,183,118784,423,50,-9.006029119999999,-8.551177,-24.345285,-1.30911
29,29,183,122880,423,50,-8.85680782,-8.218803,-22.120527,-1.27752
30,30,183,126976,423,50,-8.169679879999999,-8.348413,-17.718314,-1.622756
31,31,183,131072,424,50,-8.76180612,-8.5286965,-19.717119,-1.87501
32,32,183,135168,424,50,-8.474699780000002,-8.6303835,-16.821278,-0.79313
33,33,183,139264,424,50,-8.418876440000002,-6.5993955,-19.041298,-1.947898
34,34,183,143360,425,50,-9.005704080000001,-7.8645675,-24.108635,-0.949856
35,35,183,147456,425,50,-8.74991668,-7.963797,-24.410325,-1.741641
36,36,183,151552,425,50,-8.84499104,-7.738368,-24.071266,-0.999437
37,37,183,155648,426,50,-6.876964019999999,-6.101324,-17.413262,-0.864201
38,38,183,159744,426,50,-7.8504652199999985,-7.1606545,-21.067192,-1.163377
39,39,183,163840,426,50,-8.312019659999999,-8.306034499999999,-23.14265,-1.779128
40,40,183,167936,427,50,-8.43373816,-7.8501055,-18.878136,-0.774004
41,41,183,172032,427,50,-9.08823076,-7.8919125,-24.707491,-1.018554
42,42,183,176128,426,50,-8.765699979999999,-8.753921,-22.598763,-1.464822
43,43,183,180224,426,50,-8.2643605,-9.150448,-20.902779,-1.601363
44,44,183,184320,427,50,-7.206716220000001,-7.2688939999999995,-16.896246,-1.046889
45,45,183,188416,427,50,-7.2370704,-6.304735,-20.556107,-1.443816
46,46,183,192512,427,50,-8.13748004,-7.299718,-27.648451,-1.277163
47,47,183,196608,427,50,-8.1173023,-7.504665,-22.831061,-1.661949
48,48,183,200704,427,50,-8.737119139999999,-9.3969445,-17.270542,-1.235191
49,49,183,204800,426,50,-6.935770659999999,-6.586355,-15.82405,-1.172744
50,50,183,208896,426,50,-8.63038802,-8.007090999999999,-20.183834,-1.260716
51,51,183,212992,426,50,-7.637919579999999,-7.195091,-16.681614,-0.888233
52,52,183,217088,426,50,-8.578995579999999,-7.061542,-24.885861,-1.193881
53,53,183,221184,426,50,-8.70287868,-8.034138,-21.255318,-1.603044
54,54,183,225280,427,50,-7.600165679999999,-7.642186499999999,-16.74611,-1.676915
55,55,183,229376,426,50,-8.100064419999999,-7.209673,-23.753875,-1.168306
56,56,183,233472,426,50,-7.043771340000001,-6.437272500000001,-16.068236,-0.895672
57,57,183,237568,426,50,-7.74531702,-7.0502335,-20.581088,-1.833002
58,58,183,241664,426,50,-6.92000622,-6.5933019999999996,-22.110132,-0.955805
59,59,183,245760,426,50,-7.0598661400000005,-6.202329,-17.103344,-1.464906
60,60,183,249856,426,50,-7.33518146,-6.900187000000001,-18.687653,-1.384953
61,61,183,253952,426,50,-6.496917959999999,-5.9355715,-18.066346,-0.931433
62,62,183,258048,426,50,-6.733541039999999,-5.599249,-22.089478,-0.897724
63,63,183,262144,426,50,-7.515681039999999,-7.0454475,-16.647888,-1.249428
64,64,183,266240,426,50,-6.7607472600000005,-5.6232240000000004,-17.001119,-1.199759
65,65,183,270336,426,50,-7.226374999999999,-6.5745465,-14.398984,-1.921344
66,66,183,274432,426,50,-7.4120065199999985,-7.033072000000001,-17.045715,-0.841061
67,67,183,278528,426,50,-7.42679918,-8.0906545,-15.748672,-1.289639
68,68,183,282624,426,50,-6.650797160000001,-6.3492180000000005,-15.388032,-1.13545
69,69,183,286720,426,50,-7.48096544,-7.1675094999999995,-14.515949,-2.014573
70,70,183,290816,426,50,-7.3513304999999995,-7.137577,-17.737031,-1.070841
