,update,total_updates,T,FPS,window,mean,median,min,max
0,0,183,4096,395,50,-9.431621660000001,-8.249711000000001,-34.584698,-1.315255
1,1,183,8192,391,50,-11.29310562,-8.629586499999998,-40.494482,-1.44713
2,2,183,12288,401,50,-10.592840220000001,-9.152203,-34.576232,-1.346784
3,3,183,16384,406,50,-11.801777079999999,-8.833189,-36.505093,-1.438442
4,4,183,20480,404,50,-11.688698440000003,-10.6941105,-35.274243,-0.915919
5,5,183,24576,401,50,-10.25787108,-8.090826,-30.522017,-1.374576
6,6,183,28672,401,50,-7.760769460000001,-8.2523815,-37.231551,89.054779
7,7,183,32768,399,50,-11.132063659999998,-10.419902,-32.85006,-1.333886
8,8,183,36864,401,50,-11.260186560000001,-9.2444175,-35.535611,-1.074776
9,9,183,40960,400,50,-8.9412163,-8.519974,-26.921974,-1.054124
10,10,183,45056,401,50,-10.04033392,-8.7688555,-24.540339,-1.008321
11,11,183,49152,401,50,-8.716512980000001,-7.5840165,-28.341161,-1.038522
12,12,183,53248,400,50,-8.71224406,-6.505914,-29.363524,-1.376771
13,13,183,57344,403,50,-9.038098699999999,-9.2009945,-23.019871,-1.208956
14,14,183,61440,405,50,-10.07775522,-8.265788,-32.03907,-1.232444
15,15,183,65536,407,50,-9.108436759999998,-9.079822,-22.645137,-1.009292
16,16,183,69632,408,50,-7.732308239999998,-6.865089,-19.867203,-1.318734
17,17,183,73728,410,50,-7.341347880000001,-5.651885500000001,-20.694903,-0.8582
18,18,183,77824,410,50,-8.54698018,-7.1146645,-26.207251,-1.524475
19,19,183,81920,412,50,-9.193321520000001,-8.2020465,-25.39952,-1.344612
20,20,183,86016,413,50,-7.589833719999999,-8.8327615,-26.309007,80.637724
21,21,183,90112,414,50,-8.762461940000001,-8.436295000000001,-19.990909,-1.112672
22,22,183,94208,415,50,-7.481576020000001,-6.930536,-17.522571,-1.186691
23,23,183,98304,416,50,-9.54861242,-8.663695,-27.338941,-0.811195
24,24,183,102400,416,50,-7.6249132799999995,-5.7124435,-22.434643,-0.832474
25,25,183,106496,417,50,-7.32199698,-6.562768500000001,-20.511092,-0.991695
26,26,183,110592,418,50,-9.85459144,-8.3879485,-34.698312,-1.40024
27,27,183,114688,419,50,-8.633521499999999,-8.1858615,-17.237984,-1.249251
28,28,183,118784,420,50,-8.788530459999999,-8.4099225,-23.036463,-1.24057
29,29,183,122880,420,50,-9.49393434,-8.0317245,-25.610258,-1.261747
30,30,183,126976,420,50,-7.406327160000001,-6.5811545,-18.201022,-1.073421
31,31,183,131072,421,50,-7.564655459999999,-7.3405465,-22.406088,-0.763824
32,32,183,135168,421,50,-8.89054936,-8.0968045,-21.585244,-1.530024
33,33,183,139264,422,50,-8.221610779999999,-7.8232105,-20.462485,-1.114431
34,34,183,143360,422,50,-7.66547402,-8.1560985,-15.41744,-0.964672
35,35,183,147456,423,50,-7.82841702,-8.0820985,-16.700028,-1.43196
36,36,183,151552,423,50,-8.33743424,-8.028834,-24.973078,-1.029913
37,37,183,155648,423,50,-7.35402212,-7.2495285,-16.47621,-1.086754
38,38,183,159744,424,50,-7.674228500000001,-7.5393155,-16.586827,-1.368372
39,39,183,163840,424,50,-7.660325499999999,-7.5203855,-15.016877,-0.998539
