,update,total_updates,T,FPS,window,mean,median,min,max
0,0,3173,4096,367,31,-4.286441322580646,-3.0185,-9.030268,-0.478121
1,1,3173,8192,384,50,-3.485919360000001,-2.924742,-9.216207,-0.510725
2,2,3173,12288,390,50,-3.30501358,-2.2252345,-9.085807,-0.510725
3,3,3173,16384,395,50,-3.18055006,-1.8364764999999998,-9.01406,-0.591096
4,4,3173,20480,395,50,-2.62234252,-1.7787380000000002,-8.48568,-0.448211
5,5,3173,24576,396,50,-3.3213749200000002,-2.6377059999999997,-9.360268,-0.379228
6,6,3173,28672,394,50,-3.0696399199999997,-1.8872425,-8.576606,-0.329732
7,7,3173,32768,396,50,-3.4573192,-2.6237835,-8.499775,-0.389236
8,8,3173,36864,394,50,-2.7420968200000004,-2.087712,-8.685853,-0.40006
9,9,3173,40960,396,50,-2.52425214,-1.6338225,-7.605121,-0.353759
10,10,3173,45056,396,50,-2.6807321,-2.5447065,-8.620969,-0.485222
11,11,3173,49152,395,50,-3.0546885999999995,-2.5022330000000004,-8.620969,-0.404895
12,12,3173,53248,396,50,-2.8404335000000005,-2.2328295000000002,-7.619737,-0.421236
13,13,3173,57344,396,50,-3.0990331600000003,-2.6240674999999998,-7.607138,-0.369632
14,14,3173,61440,397,50,-2.95908972,-2.2702545,-8.450874,-0.528815
15,15,3173,65536,398,50,-2.89280792,-1.9545485,-8.450874,-0.490868
16,16,3173,69632,398,50,-2.80630252,-2.14779,-7.218792,-0.58374
17,17,3173,73728,397,50,-2.65560252,-1.7000005,-7.591603,-0.467115
18,18,3173,77824,397,50,-2.8436575,-2.0624405,-7.310564,-0.312811
19,19,3173,81920,397,50,-3.0890019399999993,-2.7680535,-6.679919,-0.312811
20,20,3173,86016,397,50,-1.0390668,-2.7127280000000003,-6.614604,97.107803
21,21,3173,90112,397,50,-3.1304208599999996,-3.041221,-7.521507,-0.42824
22,22,3173,94208,396,50,-2.8630489999999997,-2.9501720000000002,-7.674171,-0.494866
23,23,3173,98304,396,50,-3.4334585,-3.0062755,-7.674171,-0.439088
24,24,3173,102400,396,50,-3.52840216,-3.3698385,-7.504864,-0.563507
25,25,3173,106496,395,50,-2.47320206,-1.379962,-8.208876,-0.483634
26,26,3173,110592,395,50,-2.7126778400000005,-2.1201145,-7.382668,-0.381594
27,27,3173,114688,396,50,-3.0383714,-2.5288969999999997,-8.015429,-0.381594
28,28,3173,118784,395,50,-2.9889956200000007,-2.5971515,-7.27857,-0.381277
29,29,3173,122880,395,50,-2.7696564800000005,-2.113057,-8.326283,-0.386433
30,30,3173,126976,395,50,-3.02608678,-2.448977,-8.034203,-0.352725
31,31,3173,131072,395,50,-2.55033052,-2.3174925,-7.455193,-0.49802
32,32,3173,135168,395,50,-2.8428812,-2.4097825,-8.05281,-0.323105
33,33,3173,139264,395,50,-3.039168980000001,-2.4209765,-8.05281,-0.523979
34,34,3173,143360,395,50,-2.670735020000001,-2.2088995000000002,-7.296746,-0.441792
35,35,3173,147456,395,50,-2.7773078,-2.3873165,-6.411985,-0.341615
36,36,3173,151552,395,50,-2.98514536,-2.838583,-6.873787,-0.422311
37,37,3173,155648,395,50,-3.04654854,-2.7898915,-7.586076,-0.369902
38,38,3173,159744,396,50,-2.9659440999999998,-2.3548435000000003,-6.93725,-0.345967
39,39,3173,163840,396,50,-2.58322628,-1.929056,-6.748347,-0.41772
40,40,3173,167936,395,50,-2.5757252999999998,-2.17887,-7.05797,-0.409512
41,41,3173,172032,396,50,-2.63466674,-2.3430989999999996,-7.071376,-0.398764
42,42,3173,176128,396,50,-2.2522779999999996,-1.7015185000000002,-6.306076,-0.380482
43,43,3173,180224,395,50,-2.9656067999999998,-2.4418545,-7.127151,-0.44169
44,44,3173,184320,394,50,-2.3544079,-1.772291,-6.571017,-0.506051
45,45,3173,188416,394,50,-2.40139082,-1.8826999999999998,-6.572027,-0.433375
46,46,3173,192512,394,50,-2.8491054200000008,-2.232138,-6.572027,-0.433375
47,47,3173,196608,394,50,-2.85112848,-1.948125,-7.498052,-0.454605
48,48,3173,200704,394,50,-2.44516832,-1.7872375,-6.20544,-0.454605
49,49,3173,204800,394,50,-2.4831115400000003,-1.9798045000000002,-6.209789,-0.629852
50,50,3173,208896,394,50,-2.75060222,-1.9857945,-6.381553,-0.629852
51,51,3173,212992,394,50,-2.6326522400000005,-2.1111355,-7.058101,-0.373767
52,52,3173,217088,394,50,-2.8879647999999998,-2.8153924999999997,-6.952807,-0.328513
53,53,3173,221184,394,50,-2.5749650399999995,-1.738083,-6.609671,-0.328778
54,54,3173,225280,395,50,-0.4844633599999999,-1.6976255,-6.326503,97.422234
55,55,3173,229376,395,50,-2.41607156,-1.9688080000000001,-6.024232,-0.506898
56,56,3173,233472,395,50,-2.5754514800000003,-2.137447,-6.397603,-0.342358
57,57,3173,237568,395,50,-2.8560290800000003,-2.4758925,-6.437355,-0.642543
58,58,3173,241664,394,50,-2.7347681199999996,-2.049047,-6.890293,-0.386853
59,59,3173,245760,395,50,-2.4059317800000004,-1.7846570000000002,-6.470941,-0.383593
60,60,3173,249856,395,50,-2.8903976000000005,-2.9231685,-6.471022,-0.383593
61,61,3173,253952,395,50,-3.19760102,-3.095996,-6.471022,-0.529978
62,62,3173,258048,395,50,-2.58053992,-1.6116540000000001,-6.841102,-0.584263
63,63,3173,262144,395,50,-2.3776964,-1.609867,-6.343899,-0.419801
64,64,3173,266240,395,50,-2.3034511799999997,-1.7114639999999999,-5.791172,-0.352317
65,65,3173,270336,395,50,-2.6330055400000005,-2.5670545000000002,-7.11075,-0.352317
66,66,3173,274432,395,50,-2.6615499400000004,-2.144089,-6.597199,-0.500282
67,67,3173,278528,395,50,-2.71076124,-2.1340149999999998,-6.32306,-0.541489
68,68,3173,282624,395,50,-2.3481392199999997,-1.751196,-6.120203,-0.466534
69,69,3173,286720,395,50,-2.3702330600000003,-1.676421,-5.808302,-0.342872
70,70,3173,290816,395,50,-2.7071058,-2.3985825,-5.808302,-0.342872
71,71,3173,294912,395,50,-2.84817962,-2.901896,-6.53346,-0.345837
72,72,3173,299008,395,50,-2.8724320999999997,-2.61808,-6.53346,-0.345837
73,73,3173,303104,395,50,-3.0336176600000004,-2.8592245,-6.232616,-0.4209
74,74,3173,307200,395,50,-2.26964876,-1.679903,-6.240379,-0.570361
75,75,3173,311296,394,50,-2.8586721799999997,-2.617546,-6.473287,-0.547809
76,76,3173,315392,395,50,-2.29303512,-1.620168,-6.150883,-0.427534
77,77,3173,319488,395,50,-2.37031398,-1.6615815,-6.338003,-0.45813
78,78,3173,323584,395,50,-2.5770885,-1.9224845,-6.495312,-0.398027
79,79,3173,327680,395,50,-3.2314613399999996,-2.721031,-6.617468,-0.433856
80,80,3173,331776,395,50,-2.8174804600000005,-2.441809,-6.243779,-0.479228
81,81,3173,335872,395,50,-3.00954454,-2.902394,-6.184891,-0.523253
82,82,3173,339968,395,50,-2.4869095999999997,-1.8861885,-6.040718,-0.344724
83,83,3173,344064,395,50,-2.52626774,-1.894809,-6.759473,-0.434279
84,84,3173,348160,395,50,-2.3929482,-1.806018,-6.091037,-0.43764
85,85,3173,352256,396,50,-2.6535954200000003,-1.82797,-6.184113,-0.436148
86,86,3173,356352,396,50,-3.2789160200000005,-3.389279,-6.184113,-0.436148
87,87,3173,360448,396,50,-2.7907540799999992,-2.4343155,-5.90984,-0.395715
88,88,3173,364544,396,50,-2.42432726,-1.8509660000000001,-6.186677,-0.354169
89,89,3173,368640,396,50,-2.7479800799999996,-2.0463805,-6.235996,-0.354169
90,90,3173,372736,396,50,-2.6535341800000003,-2.230671,-6.642208,-0.474403
91,91,3173,376832,396,50,-2.8080222,-2.1787525,-6.353567,-0.361137
92,92,3173,380928,396,50,-2.9631736399999995,-2.8295060000000003,-6.353567,-0.434306
93,93,3173,385024,396,50,-3.1103376000000003,-2.898726,-6.424634,-0.440905
94,94,3173,389120,397,50,-3.0579107399999996,-2.47939,-7.057094,-0.400281
95,95,3173,393216,396,50,-2.63434932,-1.7819705,-7.057094,-0.400281
96,96,3173,397312,397,50,-2.6778741000000004,-2.072271,-6.856848,-0.363276
97,97,3173,401408,397,50,-2.6477768999999993,-2.160436,-6.405557,-0.450533
98,98,3173,405504,397,50,-2.90535124,-2.613341,-6.091664,-0.578019
99,99,3173,409600,397,50,-2.42833402,-1.7219410000000002,-5.958646,-0.448647
100,100,3173,413696,397,50,-2.8915909200000005,-2.3087665,-6.588925,-0.448647
101,101,3173,417792,397,50,-2.6504073199999993,-2.097007,-5.795943,-0.464892
102,102,3173,421888,397,50,-2.48711578,-1.853693,-5.613556,-0.293901
103,103,3173,425984,397,50,-2.9813331,-2.7726525,-6.278413,-0.400232
104,104,3173,430080,397,50,-2.80994302,-2.4623855,-6.12432,-0.4731
105,105,3173,434176,397,50,-2.96192408,-2.514654,-5.907617,-0.461095
106,106,3173,438272,397,50,-3.19628232,-3.056789,-5.810811,-0.461095
107,107,3173,442368,397,50,-2.66733384,-2.357379,-5.881431,-0.410113
108,108,3173,446464,397,50,-2.50343146,-1.6848025,-5.958344,-0.53638
109,109,3173,450560,397,50,-2.81440116,-2.5670225,-5.953506,-0.605735
110,110,3173,454656,397,50,-2.88063222,-2.5086815,-6.41005,-0.376377
111,111,3173,458752,397,50,-2.9196250599999996,-2.7444445,-6.41005,-0.376377
112,112,3173,462848,397,50,-2.7105703799999996,-2.3694785,-6.166441,-0.345926
113,113,3173,466944,398,50,-3.00306382,-2.5178785,-6.01923,-0.475163
114,114,3173,471040,398,50,-2.7823096000000005,-2.3561604999999997,-6.674227,-0.489369
115,115,3173,475136,398,50,-2.7620679999999997,-2.4925625,-6.674227,-0.489369
116,116,3173,479232,398,50,-2.1812143400000004,-1.26497,-5.833966,-0.371946
117,117,3173,483328,398,50,-2.06994476,-1.5110705,-5.514958,-0.410039
118,118,3173,487424,398,50,-2.61551068,-2.3128539999999997,-6.302379,-0.374162
119,119,3173,491520,398,50,-2.7037138000000005,-2.0190954999999997,-6.302379,-0.374162
120,120,3173,495616,398,50,-2.63995438,-1.712734,-5.754352,-0.508728
121,121,3173,499712,398,50,-2.52138004,-1.7369949999999998,-6.058339,-0.49176
122,122,3173,503808,398,50,-2.4454039,-1.6195629999999999,-6.058339,-0.307971
123,123,3173,507904,398,50,-2.4146344799999997,-1.8946425,-6.428446,-0.327009
124,124,3173,512000,399,50,-2.60105298,-2.058948,-5.91441,-0.454259
125,125,3173,516096,399,50,-2.5452928799999994,-2.311633,-6.182155,-0.341225
126,126,3173,520192,399,50,-2.47717528,-1.8722940000000001,-5.584393,-0.341225
127,127,3173,524288,399,50,-3.09435902,-3.1059504999999996,-6.1123,-0.416924
128,128,3173,528384,399,50,-3.12684764,-3.261215,-5.894945,-0.398562
129,129,3173,532480,399,50,-2.54639282,-1.75162,-6.625528,-0.387421
130,130,3173,536576,399,50,-2.6928745999999997,-2.1709585000000002,-6.625528,-0.387421
131,131,3173,540672,399,50,-3.2626372599999995,-3.4845420000000003,-5.814904,-0.580429
132,132,3173,544768,399,50,-2.7373237800000005,-2.2364025,-5.959656,-0.561911
133,133,3173,548864,399,50,-2.56194556,-1.623392,-5.959656,-0.37677
134,134,3173,552960,399,50,-2.5684206,-2.135064,-5.831074,-0.37677
135,135,3173,557056,399,50,-2.72004236,-2.6954905,-5.491014,-0.325461
136,136,3173,561152,399,50,-2.9624017999999994,-2.7088720000000004,-6.183695,-0.325461
137,137,3173,565248,399,50,-2.7636165199999994,-2.645866,-6.554241,-0.44176
138,138,3173,569344,399,50,-2.03152914,-1.3279975,-5.721446,-0.395998
139,139,3173,573440,399,50,-2.59217602,-1.9988899999999998,-6.19414,-0.440942
140,140,3173,577536,399,50,-2.7101636799999995,-2.2274209999999997,-6.19414,-0.506211
141,141,3173,581632,399,50,-2.57180424,-1.931981,-5.733686,-0.432544
142,142,3173,585728,399,50,-2.5253339400000003,-1.941634,-5.502636,-0.460039
143,143,3173,589824,399,50,-2.8021389,-2.6730535,-5.761452,-0.469282
144,144,3173,593920,399,50,-3.1679861600000003,-3.041957,-6.990688,-0.505745
145,145,3173,598016,400,50,-2.53414954,-2.050186,-6.018438,-0.505745
146,146,3173,602112,399,50,-2.6921930200000004,-1.9633815000000001,-6.100099,-0.416535
147,147,3173,606208,400,50,-2.6498899600000003,-2.064217,-6.100099,-0.416535
148,148,3173,610304,400,50,-3.11489364,-3.0611365,-6.177907,-0.446153
149,149,3173,614400,400,50,-3.17663728,-2.7368745,-6.177907,-0.474395
150,150,3173,618496,400,50,-2.8554794799999996,-2.154942,-5.912381,-0.474395
151,151,3173,622592,400,50,-3.19382704,-2.873349,-6.147727,-0.518132
152,152,3173,626688,400,50,-2.7391407999999995,-2.5367825,-5.74891,-0.408545
153,153,3173,630784,400,50,-2.8312225400000006,-2.6582995,-6.02449,-0.408545
154,154,3173,634880,400,50,-2.8446954000000004,-2.662172,-6.02449,-0.509561
155,155,3173,638976,400,50,-2.6846608999999995,-2.2055854999999998,-5.909578,-0.363966
156,156,3173,643072,400,50,-2.887643679999999,-2.4693759999999996,-5.989495,-0.363966
157,157,3173,647168,400,50,-3.160725640000001,-2.944597,-5.989495,-0.400752
158,158,3173,651264,400,50,-3.00749196,-2.4797339999999997,-5.675551,-0.404074
159,159,3173,655360,400,50,-2.81950602,-2.0185465000000002,-5.63566,-0.404074
160,160,3173,659456,400,50,-2.9253339600000006,-3.0883380000000002,-6.107314,-0.432818
161,161,3173,663552,400,50,-2.8013435200000005,-2.602975,-6.107314,-0.478701
162,162,3173,667648,400,50,-2.789303,-2.5733915,-5.996822,-0.40127
163,163,3173,671744,400,50,-3.1294961,-3.0754045000000003,-6.008797,-0.337254
164,164,3173,675840,400,50,-2.8964081600000005,-2.752119,-6.245105,-0.367212
165,165,3173,679936,400,50,-2.60608032,-1.9377065,-6.709352,-0.481001
166,166,3173,684032,400,50,-2.8199343800000003,-2.341329,-6.709352,-0.396605
167,167,3173,688128,400,50,-3.00292972,-2.8983160000000003,-6.226823,-0.451565
168,168,3173,692224,400,50,-3.0884452199999997,-2.8983160000000003,-6.226823,-0.367138
169,169,3173,696320,400,50,-2.5160774200000002,-1.794428,-5.778907,-0.306266
170,170,3173,700416,400,50,-2.53704104,-1.794428,-6.201373,-0.306266
171,171,3173,704512,400,50,-3.07690056,-3.379956,-6.201373,-0.367139
172,172,3173,708608,401,50,-3.01335668,-2.9303475,-6.074451,-0.335607
173,173,3173,712704,401,50,-2.49303376,-2.050482,-5.811221,-0.335607
174,174,3173,716800,401,50,-2.0239691200000003,-1.3619675,-5.843525,-0.38902
175,175,3173,720896,401,50,-2.5832903400000005,-1.7772700000000001,-5.843525,-0.337376
176,176,3173,724992,401,50,-2.79957262,-1.9014025,-5.935219,-0.337376
177,177,3173,729088,401,50,-2.75249508,-2.1073310000000003,-5.935219,-0.45343
178,178,3173,733184,401,50,-2.72434686,-1.962983,-6.261744,-0.383206
179,179,3173,737280,401,50,-3.0905643999999994,-3.3236825,-6.261744,-0.368663
180,180,3173,741376,401,50,-3.03208074,-2.9943169999999997,-6.256123,-0.416522
181,181,3173,745472,401,50,-2.6450856,-2.0286660000000003,-6.256123,-0.416522
182,182,3173,749568,401,50,-2.88240834,-2.603784,-5.942079,-0.490923
183,183,3173,753664,401,50,-2.7133018800000004,-2.4378735000000002,-5.942079,-0.490923
184,184,3173,757760,401,50,-2.44322082,-1.9869245,-5.520498,-0.591457
185,185,3173,761856,401,50,-2.70030848,-2.1904665,-6.131557,-0.323843
186,186,3173,765952,401,50,-2.7082036599999992,-2.129239,-6.131557,-0.323843
187,187,3173,770048,401,50,-2.626867179999999,-2.0477335,-6.169131,-0.361328
188,188,3173,774144,401,50,-2.5111115400000004,-1.4163335,-6.44466,-0.361328
189,189,3173,778240,401,50,-3.0142753,-3.344469,-6.44466,-0.37632
190,190,3173,782336,401,50,-2.7598431199999998,-2.122554,-6.200098,-0.382072
191,191,3173,786432,401,50,-2.8580243199999997,-2.507207,-6.500382,-0.382072
192,192,3173,790528,401,50,-3.1090778000000006,-3.462472,-6.500382,-0.402974
193,193,3173,794624,401,50,-2.96826026,-2.5657105,-6.306627,-0.402974
194,194,3173,798720,401,50,-3.01895768,-3.3400914999999998,-6.835807,-0.471147
195,195,3173,802816,401,50,-2.9530793600000003,-3.009524,-6.835807,-0.501149
196,196,3173,806912,401,50,-2.541855,-2.0272975,-5.722673,-0.496328
197,197,3173,811008,401,50,-2.8702202199999998,-2.5566079999999998,-5.722673,-0.496328
198,198,3173,815104,402,50,-2.7733866600000003,-2.3305499999999997,-6.010396,-0.536303
199,199,3173,819200,402,50,-2.6355880800000007,-1.8426185,-6.010396,-0.314605
200,200,3173,823296,402,50,-2.87207198,-2.0974285,-5.795357,-0.314605
201,201,3173,827392,402,50,-2.83146814,-1.937271,-6.150929,-0.410394
202,202,3173,831488,402,50,-2.9068540599999992,-2.1469009999999997,-6.414068,-0.442927
203,203,3173,835584,403,50,-3.0849864200000003,-3.2016345,-6.414068,-0.520714
204,204,3173,839680,403,50,-3.0044459600000004,-3.2469615,-6.54138,-0.368509
205,205,3173,843776,403,50,-2.881915179999999,-2.4489285,-6.54138,-0.368509
206,206,3173,847872,403,50,-2.52641752,-1.7702624999999999,-5.789012,-0.413905
207,207,3173,851968,403,50,-2.60128402,-2.0286489999999997,-5.719178,-0.413905
208,208,3173,856064,403,50,-3.00643672,-2.597684,-6.244012,-0.459751
209,209,3173,860160,404,50,-2.6680073600000003,-2.3897215000000003,-5.666932,-0.453411
210,210,3173,864256,404,50,-2.5479063799999997,-1.8053400000000002,-5.459599,-0.453411
211,211,3173,868352,404,50,-2.58079122,-1.424569,-6.006062,-0.475922
212,212,3173,872448,404,50,-2.70975486,-1.857026,-6.015851,-0.50162
213,213,3173,876544,404,50,-3.1550665400000004,-3.7827975,-6.015851,-0.332789
214,214,3173,880640,404,50,-3.0174226200000005,-3.092866,-5.48408,-0.413116
215,215,3173,884736,405,50,-2.7611508799999998,-1.932823,-5.723244,-0.413116
216,216,3173,888832,405,50,-2.9593099600000006,-2.9266164999999997,-5.723244,-0.425786
217,217,3173,892928,405,50,-2.59658416,-1.8104209999999998,-5.695261,-0.352279
218,218,3173,897024,405,50,-2.9033957399999997,-2.5039425,-5.695261,-0.352279
219,219,3173,901120,405,50,-2.8636425199999995,-2.528552,-5.264966,-0.423786
220,220,3173,905216,405,50,-2.4045867,-1.4966065,-5.264966,-0.333517
221,221,3173,909312,406,50,-2.4613018999999996,-1.514059,-5.751956,-0.333517
222,222,3173,913408,406,50,-2.6766469800000006,-1.9338025,-5.732697,-0.536962
223,223,3173,917504,406,50,-2.67744338,-1.854538,-6.191627,-0.378215
224,224,3173,921600,406,50,-2.65084066,-2.1233760000000004,-6.191627,-0.466941
225,225,3173,925696,406,50,-2.7751329,-2.6226599999999998,-5.782015,-0.378929
226,226,3173,929792,406,50,-2.56904332,-2.039218,-5.147563,-0.378929
