,update,total_updates,T,FPS,window,mean,median,min,max
0,0,3173,4096,361,50,-2.20252914,-1.732689,-6.578023,-0.413825
1,1,3173,8192,379,50,-2.2219555600000005,-2.0384715,-4.531296,-0.516671
2,2,3173,12288,383,50,-2.1423177799999995,-1.700971,-6.051395,-0.42123
3,3,3173,16384,387,50,-2.47841082,-1.9624385000000002,-8.7104,-0.445324
4,4,3173,20480,388,50,-2.2227432800000004,-2.074155,-5.966141,-0.408579
5,5,3173,24576,388,50,-2.24482384,-2.187424,-5.787444,-0.39639
6,6,3173,28672,389,50,-2.5098460599999997,-1.9974515,-6.921351,-0.365878
7,7,3173,32768,390,50,-2.38169008,-2.1628005000000003,-6.108678,-0.430753
8,8,3173,36864,389,50,-1.9419185200000002,-1.912546,-4.652267,-0.328986
9,9,3173,40960,391,50,-2.3244084799999998,-1.9649130000000001,-7.312643,-0.32321
10,10,3173,45056,392,50,-2.650483040000001,-2.24359,-6.01131,-0.680944
11,11,3173,49152,391,50,-2.3221754000000003,-2.027659,-6.640651,-0.402741
12,12,3173,53248,392,50,-2.58694166,-2.551991,-6.713094,-0.366854
13,13,3173,57344,393,50,-2.24281812,-2.0878545,-5.63078,-0.493558
14,14,3173,61440,393,50,-2.2708356399999996,-2.282238,-4.905979,-0.331002
15,15,3173,65536,394,50,-2.41964096,-2.080247,-5.870915,-0.5211
16,16,3173,69632,394,50,-2.53047048,-2.6155470000000003,-6.503118,-0.501902
17,17,3173,73728,394,50,-2.52222862,-2.386835,-5.954585,-0.584613
18,18,3173,77824,394,50,-2.0013731600000004,-1.593347,-5.127578,-0.575078
19,19,3173,81920,394,50,-2.01487778,-1.5653805,-5.765326,-0.493101
20,20,3173,86016,395,50,-2.8004717,-2.559596,-7.166885,-0.520329
21,21,3173,90112,395,50,-2.51900676,-2.3765235000000002,-6.179904,-0.554054
22,22,3173,94208,393,50,-2.37457778,-1.9984195,-5.847438,-0.46505
23,23,3173,98304,393,50,-2.31398168,-1.8010169999999999,-5.728591,-0.464701
24,24,3173,102400,393,50,-2.45885772,-2.4791675,-6.756975,-0.323956
25,25,3173,106496,393,50,-2.42818096,-1.8505794999999998,-6.666752,-0.566802
26,26,3173,110592,393,50,-2.68276694,-2.581,-6.996072,-0.411223
27,27,3173,114688,394,50,-2.56724238,-2.140162,-5.640199,-0.319724
28,28,3173,118784,393,50,-2.4440676999999997,-1.839292,-6.683342,-0.319724
29,29,3173,122880,393,50,-2.7198139799999996,-2.5038255,-6.858242,-0.393665
30,30,3173,126976,394,50,-2.4779528399999995,-2.036577,-5.860775,-0.441861
31,31,3173,131072,394,50,-2.4044217199999998,-1.7911825000000001,-6.903321,-0.489195
32,32,3173,135168,394,50,-2.08721814,-1.6483415,-6.889448,-0.352363
33,33,3173,139264,394,50,-2.85196696,-2.4515515,-6.889448,-0.505462
34,34,3173,143360,393,50,-2.19402178,-1.9333345,-5.651721,-0.361421
35,35,3173,147456,394,50,-2.52151884,-2.2287705,-5.820255,-0.441757
36,36,3173,151552,394,50,-2.54852616,-2.637716,-5.831443,-0.411266
37,37,3173,155648,394,50,-2.8066637,-2.5597190000000003,-7.400136,-0.411266
38,38,3173,159744,394,50,-2.7971087799999994,-2.6332120000000003,-7.400136,-0.520563
