,update,total_updates,T,FPS,window,mean,median,min,max
0,0,3173,4096,360,50,-2.50238616,-2.3187759999999997,-7.43321,-0.404248
1,1,3173,8192,378,50,-2.42466954,-1.8475985000000001,-6.430042,-0.460463
2,2,3173,12288,382,50,-2.11513974,-1.5066925,-5.984847,-0.308161
3,3,3173,16384,386,50,-2.3989729399999997,-2.0727824999999998,-5.725224,-0.506777
4,4,3173,20480,387,50,-2.41602676,-2.148238,-6.017244,-0.497146
5,5,3173,24576,387,50,-2.43087808,-2.1328255,-6.385027,-0.549143
6,6,3173,28672,387,50,-2.2586144,-2.0551205,-7.220318,-0.44787
7,7,3173,32768,388,50,-2.3115155400000003,-1.9337015000000002,-5.805187,-0.403028
8,8,3173,36864,388,50,-2.29672354,-1.961967,-6.334064,-0.621897
9,9,3173,40960,389,50,-2.30945808,-2.132714,-6.276329,-0.35818
10,10,3173,45056,390,50,-2.54599422,-2.5063785000000003,-6.199866,-0.330733
11,11,3173,49152,389,50,-2.0027281400000003,-1.462598,-5.91831,-0.420016
12,12,3173,53248,390,50,-2.50331992,-2.168804,-6.563919,-0.328529
13,13,3173,57344,391,50,-2.41041782,-2.2478759999999998,-5.666797,-0.470143
14,14,3173,61440,391,50,-2.7975496399999997,-2.5336555,-6.107037,-0.323761
15,15,3173,65536,392,50,-2.25331136,-2.0371605,-5.0003,-0.458909
16,16,3173,69632,391,50,-2.21048062,-1.9432865000000001,-5.705234,-0.669571
17,17,3173,73728,391,50,-1.95625752,-1.6805889999999999,-5.562803,-0.523539
18,18,3173,77824,391,50,-2.3585955599999995,-2.24581,-5.180931,-0.435972
19,19,3173,81920,391,50,-2.37631956,-1.6685435000000002,-7.290429,-0.29727
20,20,3173,86016,391,50,-2.14451202,-1.7936565,-6.818079,-0.334802
21,21,3173,90112,391,50,-1.72515818,-1.3086005,-6.20695,-0.351973
22,22,3173,94208,390,50,-2.4810681,-2.4876139999999998,-7.425838,-0.431781
23,23,3173,98304,390,50,-2.43330656,-2.5809455000000003,-5.895061,-0.365341
24,24,3173,102400,390,50,-2.5748925399999996,-2.7353449999999997,-6.521487,-0.447977
25,25,3173,106496,389,50,-2.39357534,-1.880351,-5.457277,-0.461009
26,26,3173,110592,390,50,-2.8907029200000007,-2.4690085,-6.467342,-0.475306
27,27,3173,114688,390,50,-2.3748999200000003,-2.1850899999999998,-5.358787,-0.48316
28,28,3173,118784,389,50,-2.1099571,-1.6045615,-6.357886,-0.369503
29,29,3173,122880,389,50,-2.25343592,-1.7152020000000001,-6.232168,-0.360897
30,30,3173,126976,390,50,-2.3948574199999997,-1.7995855,-5.755068,-0.346646
31,31,3173,131072,390,50,-2.62937424,-2.5114859999999997,-5.528464,-0.484185
32,32,3173,135168,389,50,-2.42223046,-2.2723395,-5.904493,-0.331658
33,33,3173,139264,389,50,-2.2812499999999996,-1.6510525,-6.241022,-0.36872
34,34,3173,143360,389,50,-2.54582884,-2.1446085,-6.067233,-0.495481
35,35,3173,147456,390,50,-2.73282984,-2.544028,-6.137809,-0.474978
36,36,3173,151552,390,50,-2.7908009,-2.4666870000000003,-6.583757,-0.353507
37,37,3173,155648,390,50,-2.5778947199999998,-1.618053,-6.292066,-0.353507
38,38,3173,159744,390,50,-2.5645194399999998,-1.9264815,-6.496299,-0.496632
39,39,3173,163840,390,50,-2.46725542,-2.0567495,-6.430681,-0.576658
40,40,3173,167936,390,50,-2.29685314,-1.7981194999999999,-5.761425,-0.464641
41,41,3173,172032,390,50,-2.94676456,-2.8396175,-6.475285,-0.5129
42,42,3173,176128,391,50,-2.65868764,-2.39053,-6.248385,-0.43437
43,43,3173,180224,389,50,-2.13640724,-1.5491245,-6.330473,-0.446464
44,44,3173,184320,389,50,-2.51009496,-1.945991,-6.106815,-0.524784
45,45,3173,188416,389,50,-2.78952866,-2.732984,-6.297078,-0.488147
46,46,3173,192512,389,50,-2.8173709800000006,-2.9815495,-5.825615,-0.47183
47,47,3173,196608,389,50,-2.7214526599999997,-2.2518385,-6.582631,-0.441303
48,48,3173,200704,389,50,-2.3799968600000003,-2.273689,-5.684274,-0.437537
49,49,3173,204800,390,50,-2.41515918,-2.144764,-5.240558,-0.316167
50,50,3173,208896,390,50,-2.22948914,-1.3599605000000001,-6.13466,-0.454782
51,51,3173,212992,390,50,-2.4093901800000004,-2.2016530000000003,-5.682745,-0.32726
52,52,3173,217088,390,50,-2.6294748400000003,-2.116574,-6.208361,-0.375496
53,53,3173,221184,390,50,-2.3139890199999997,-2.0112195,-5.674201,-0.346301
54,54,3173,225280,390,50,-2.46637236,-1.5854819999999998,-6.023662,-0.346301
55,55,3173,229376,390,50,-2.45655902,-1.7023555,-6.242148,-0.430478
56,56,3173,233472,390,50,-2.27018398,-1.5105300000000002,-5.98634,-0.430478
57,57,3173,237568,390,50,-2.91734934,-2.404343,-5.98634,-0.55156
58,58,3173,241664,390,50,-2.7389354200000002,-2.2292565,-5.840597,-0.403734
59,59,3173,245760,390,50,-2.59356806,-1.799584,-5.559603,-0.43781
60,60,3173,249856,390,50,-2.9263581999999997,-2.852211,-6.406155,-0.501586
61,61,3173,253952,391,50,-2.7552593799999996,-2.1804195,-5.953305,-0.33016
62,62,3173,258048,391,50,-2.5824400200000004,-2.109177,-6.112723,-0.33016
63,63,3173,262144,391,50,-3.0541321399999997,-2.8114955,-6.337735,-0.455809
64,64,3173,266240,391,50,-2.7161779,-2.1480085,-6.337735,-0.342055
65,65,3173,270336,391,50,-2.6500690600000003,-2.0283610000000003,-6.008509,-0.330448
66,66,3173,274432,391,50,-2.7012462599999996,-2.012185,-5.733136,-0.330448
67,67,3173,278528,391,50,-2.7074832200000003,-1.8886284999999998,-5.702761,-0.384209
68,68,3173,282624,391,50,-2.87776496,-2.2249735,-5.976464,-0.460217
69,69,3173,286720,391,50,-3.16951406,-3.2032545,-6.533221,-0.306803
70,70,3173,290816,391,50,-2.8295518799999995,-2.338195,-6.533221,-0.306803
71,71,3173,294912,391,50,-2.5752531600000004,-1.765882,-6.186314,-0.491725
72,72,3173,299008,391,50,-2.8125124599999998,-2.2530925,-6.186314,-0.59693
73,73,3173,303104,391,50,-2.4085246199999997,-2.1431325,-6.454815,-0.530271
74,74,3173,307200,391,50,-2.7417872800000005,-2.1949645,-6.454815,-0.530271
75,75,3173,311296,391,50,-2.8988255599999997,-2.4925005000000002,-5.637489,-0.630116
76,76,3173,315392,391,50,-2.84887612,-1.983084,-6.049589,-0.474224
77,77,3173,319488,392,50,-3.012422720000001,-2.47071,-6.160189,-0.472612
78,78,3173,323584,392,50,-3.1276641800000005,-3.1183795,-6.160189,-0.613952
79,79,3173,327680,392,50,-2.8169441800000006,-2.6467425,-5.679575,-0.391291
80,80,3173,331776,392,50,-2.93046852,-2.9791555,-5.679575,-0.498312
81,81,3173,335872,392,50,-2.4487936999999995,-1.7239725,-5.460276,-0.423047
82,82,3173,339968,392,50,-2.36433172,-1.430704,-6.369667,-0.500731
83,83,3173,344064,392,50,-2.6239673,-1.9634965,-5.854529,-0.361481
84,84,3173,348160,393,50,-2.5258571599999997,-2.141075,-5.825023,-0.361481
85,85,3173,352256,393,50,-2.92278774,-3.069293,-5.958286,-0.501017
86,86,3173,356352,393,50,-3.14983208,-3.5340765,-5.958286,-0.435473
87,87,3173,360448,393,50,-3.19406762,-3.1659015,-5.934722,-0.435473
88,88,3173,364544,393,50,-3.2241237799999998,-3.1369505,-5.978335,-0.580533
89,89,3173,368640,393,50,-3.15935354,-3.1369505,-5.978335,-0.329273
90,90,3173,372736,393,50,-2.41301124,-1.7573615,-5.912202,-0.447482
91,91,3173,376832,393,50,-2.8063955399999996,-1.955585,-6.393328,-0.479704
92,92,3173,380928,394,50,-3.10195096,-3.082671,-6.393328,-0.479704
93,93,3173,385024,394,50,-2.19484074,-1.5502470000000002,-5.104127,-0.493382
94,94,3173,389120,394,50,-2.6029443000000003,-1.7884484999999999,-6.525989,-0.336139
95,95,3173,393216,394,50,-3.0863489799999995,-2.698267,-6.525989,-0.333163
96,96,3173,397312,394,50,-3.0526740399999994,-2.9128784999999997,-5.858448,-0.333163
97,97,3173,401408,394,50,-3.13559644,-3.3458475,-6.02166,-0.558932
98,98,3173,405504,394,50,-2.46802896,-1.949805,-5.949933,-0.369532
99,99,3173,409600,394,50,-2.1286611000000004,-1.5746449999999999,-5.137906,-0.369532
100,100,3173,413696,394,50,-2.44156024,-1.8324525,-5.842157,-0.377437
101,101,3173,417792,394,50,-2.7932823200000003,-2.2921164999999997,-6.292367,-0.330823
102,102,3173,421888,394,50,-2.9996992000000002,-3.2180340000000003,-6.292367,-0.330823
103,103,3173,425984,394,50,-3.17696174,-3.8876605,-5.852965,-0.407874
104,104,3173,430080,394,50,-2.7019161400000002,-2.1951005,-5.915437,-0.600466
105,105,3173,434176,394,50,-2.64326682,-2.2043385000000004,-5.879941,-0.50691
106,106,3173,438272,395,50,-2.5737853199999994,-1.787614,-5.734485,-0.462461
107,107,3173,442368,395,50,-2.7768049600000007,-1.9231570000000002,-6.192881,-0.398692
108,108,3173,446464,395,50,-2.5678739000000004,-1.788779,-5.560855,-0.466203
109,109,3173,450560,395,50,-2.90999454,-2.8271505,-5.383292,-0.466203
110,110,3173,454656,395,50,-3.0791540999999993,-2.9715595,-6.06813,-0.303728
111,111,3173,458752,395,50,-3.0277004800000005,-2.7892425000000003,-6.06813,-0.383036
112,112,3173,462848,395,50,-3.1773867400000007,-3.7563950000000004,-5.827522,-0.383036
113,113,3173,466944,395,50,-3.1140611799999993,-3.1902410000000003,-5.959789,-0.407198
114,114,3173,471040,395,50,-2.6893021200000002,-1.9147154999999998,-5.665318,-0.462156
115,115,3173,475136,395,50,-2.6456007599999998,-2.03073,-5.975168,-0.462156
116,116,3173,479232,395,50,-3.06440496,-3.1801880000000002,-5.975168,-0.590282
117,117,3173,483328,395,50,-3.0385755999999997,-3.5608665000000004,-5.796932,-0.470863
118,118,3173,487424,395,50,-2.46111562,-1.671499,-5.777464,-0.426768
119,119,3173,491520,395,50,-2.4677886999999994,-1.435459,-5.934677,-0.387774
120,120,3173,495616,395,50,-2.3418724,-1.3549950000000002,-5.667337,-0.292809
121,121,3173,499712,395,50,-2.54199934,-1.9807815,-5.864586,-0.448139
122,122,3173,503808,395,50,-2.48389014,-1.9277425,-5.556724,-0.347221
123,123,3173,507904,396,50,-2.36002942,-1.5569825,-6.446402,-0.415514
124,124,3173,512000,396,50,-2.4010947799999998,-1.788771,-6.04944,-0.415514
