,update,total_updates,T,FPS,window,mean,median,min,max
0,0,207,4096,334,50,-12.2511434,-11.448396500000001,-39.245764,61.241387
1,1,207,8192,320,50,-10.807236060000001,-11.796243,-56.71481,78.600076
2,2,207,12288,323,50,-15.93688398,-11.072645999999999,-55.119418,-1.526631
3,3,207,16384,309,50,-13.682162960000001,-11.600700499999999,-57.127567,74.645244
4,4,207,20480,310,50,-7.01657334,-12.0130395,-61.489879,77.104993
5,5,207,24576,301,50,-5.2143736999999994,-9.994694500000001,-52.84942,89.539484
6,6,207,28672,299,50,-4.4649220000000005,-9.748514499999999,-56.448386,81.047821
7,7,207,32768,307,50,-1.6814441399999998,-8.649598000000001,-59.926184,85.985291
8,8,207,36864,314,50,-3.5388655000000004,-10.1162645,-40.997795,78.973339
9,9,207,40960,319,50,-6.555542779999999,-7.397463500000001,-33.189518,73.943396
10,10,207,45056,324,50,-0.5460035600000004,-8.536489,-49.196183,82.972504
11,11,207,49152,323,50,-8.619555779999999,-10.5792705,-64.143023,84.789237
12,12,207,53248,325,50,-8.018377759999998,-10.1561295,-52.636102,72.211968
13,13,207,57344,328,50,-0.4191579600000003,-7.915546,-57.802196,87.736954
14,14,207,61440,332,50,-11.523907280000001,-8.533985999999999,-51.49448,80.379725
15,15,207,65536,332,50,-10.75694672,-10.3707515,-47.28984,81.524673
16,16,207,69632,333,50,-13.74606362,-12.104982,-39.551484,77.667201
17,17,207,73728,335,50,-5.375730559999999,-6.44919,-49.575476,84.36292
18,18,207,77824,337,50,-3.49876628,-8.5994145,-50.549724,86.918704
19,19,207,81920,337,50,-9.40678268,-8.486079,-35.414619,82.114259
20,20,207,86016,336,50,-7.38159652,-8.812941,-56.231481,87.644576
21,21,207,90112,333,50,-9.704863479999998,-9.710149000000001,-52.778314,86.650016
22,22,207,94208,330,50,-11.39028722,-11.6478355,-51.414694,79.271104
23,23,207,98304,331,50,-12.00318278,-11.6647505,-42.882175,78.161253
24,24,207,102400,329,50,-8.86707824,-8.4977655,-45.668607,78.757807
25,25,207,106496,330,50,-10.29640418,-12.3723605,-45.394252,82.121183
26,26,207,110592,331,50,-7.793492839999999,-9.403584500000001,-44.082074,73.848252
27,27,207,114688,332,50,-10.577390400000002,-8.9291015,-41.250936,88.453404
28,28,207,118784,333,50,-13.5679417,-10.3393345,-43.634603,-1.103138
29,29,207,122880,334,50,-9.657423979999999,-8.4331765,-28.41573,-1.205085
30,30,207,126976,335,50,-13.861601799999999,-10.2652885,-46.5237,-1.222996
31,31,207,131072,336,50,-14.52779094,-13.084123,-36.6961,-1.818545
32,32,207,135168,337,50,-12.28364736,-8.943723,-43.938537,-1.007721
33,33,207,139264,339,50,-13.690740939999998,-14.086846000000001,-39.977904,-0.83586
34,34,207,143360,340,50,-11.7316729,-10.393456,-32.123024,-1.220324
35,35,207,147456,339,50,-10.27747016,-9.440532000000001,-34.238335,-0.922422
36,36,207,151552,339,50,-10.506314740000002,-8.8259595,-26.170141,-1.566459
