,update,total_updates,T,FPS,window,mean,median,min,max
0,0,207,4096,335,50,-12.9763254,-10.527646,-54.536548,-0.969151
1,1,207,8192,321,50,-12.20203022,-11.02567,-45.495295,78.460268
2,2,207,12288,325,50,-13.84270636,-11.8889055,-47.610279,61.198455
3,3,207,16384,309,50,-13.278237299999999,-12.3894395,-34.871755,-2.02594
4,4,207,20480,310,50,-12.879913580000002,-15.075601,-40.191584,84.400834
5,5,207,24576,301,50,-16.169051640000003,-14.563452999999999,-40.878643,-1.3745
6,6,207,28672,299,50,-10.32426212,-8.9688815,-50.19692,74.866805
7,7,207,32768,307,50,-11.122735679999998,-10.928778000000001,-31.084416,73.365628
8,8,207,36864,314,50,-14.078235140000002,-11.6242995,-45.856508,-0.95161
9,9,207,40960,319,50,-11.300060940000002,-13.3006305,-36.149988,73.727598
10,10,207,45056,324,50,-11.72649238,-10.669989999999999,-48.649253,-1.469274
11,11,207,49152,323,50,-8.81097578,-9.920257,-37.236938,82.704798
12,12,207,53248,325,50,-11.62325684,-10.1490335,-35.83217,53.537266
13,13,207,57344,327,50,-11.64036654,-10.7484355,-34.090017,-1.010525
14,14,207,61440,331,50,-12.107316119999998,-9.7049775,-36.979893,-1.403485
15,15,207,65536,332,50,-11.33013128,-9.149829,-27.189387,-1.015983
16,16,207,69632,333,50,-14.48013124,-12.645234,-50.589948,-0.94373
17,17,207,73728,335,50,-12.740644559999998,-11.7995735,-32.903002,-1.754017
18,18,207,77824,337,50,-12.537155919999998,-10.342483999999999,-40.818011,-1.409631
19,19,207,81920,336,50,-10.482944539999998,-9.1704665,-28.069728,-0.852816
20,20,207,86016,336,50,-10.43362052,-7.335070999999999,-37.301403,-1.288282
21,21,207,90112,332,50,-9.84986228,-8.345467,-28.694908,-1.185064
22,22,207,94208,330,50,-13.126045679999999,-13.346423,-46.085184,-1.308535
23,23,207,98304,330,50,-11.753829660000001,-12.213416,-31.817515,-1.184276
24,24,207,102400,329,50,-11.548758320000001,-8.715207,-34.578025,-1.096405
