,idx,reward_sum,n_steps,reason
0,0,-12.516695216298103,26,OOB
1,1,-13.047611146233976,131,OOB
2,2,-9.001795715652406,187,OOB
3,3,104.218007911928,220,HOME
4,4,-0.13178597763180733,4,OOB
5,5,-2.9431784725748003,137,OOB
6,6,-2.153005688916892,101,OOB
7,7,-4.119087351951748,186,OOB
8,8,-2.316225355025381,92,OOB
9,9,-3.534464712254703,140,OOB
10,10,-4.577145182993263,161,OOB
11,11,-4.123793424572796,119,OOB
12,12,-3.710512761492282,109,OOB
13,13,-4.40632885415107,147,OOB
14,14,105.05504057416692,208,HOME
15,15,-2.4773866296745837,88,OOB
16,16,-3.3879154049791396,130,OOB
17,17,-0.43468279857188463,18,OOB
18,18,-2.646590856369585,104,OOB
19,19,-2.867848204448819,108,OOB
20,20,-2.0853739101439714,77,OOB
21,21,-1.2258247649297118,56,OOB
22,22,-4.799906444735825,177,OOB
23,23,-2.292069212999195,79,OOB
24,24,-2.4000743594951928,86,OOB
25,25,-2.5393641353584826,79,OOB
26,26,-3.0639022178947926,103,OOB
27,27,-2.1390154026448727,61,OOB
28,28,-4.115750904660672,132,OOB
29,29,-0.7134332833811641,28,OOB
30,30,-3.179101633839309,87,OOB
31,31,-0.856646510772407,30,OOB
32,32,-2.703234399203211,91,OOB
33,33,-3.5823954571969807,82,OOB
34,34,-2.0853130682371557,79,OOB
35,35,-4.738127047196031,167,OOB
36,36,-1.9018384087830782,71,OOB
37,37,-0.9988962383940816,49,OOB
38,38,-2.6574113345704973,65,OOB
39,39,-2.2829070310108364,79,OOB
40,40,-5.667709514498711,186,OOB
41,41,-2.3211571974679828,59,OOB
42,42,-2.505146906711161,81,OOB
43,43,-3.643032663036138,97,OOB
44,44,-2.8411408280953765,81,OOB
45,45,-2.1482114605605602,61,OOB
46,46,-2.526196751743555,85,OOB
47,47,-1.068410293199122,34,OOB
48,48,-4.628558779135346,138,OOB
49,49,-4.3413079138845205,124,OOB
50,50,-5.290911463089287,158,OOB
51,51,-6.982021754607558,186,OOB
52,52,-4.20570358261466,126,OOB
53,53,103.94216833543032,221,HOME
54,54,-4.062582908663899,138,OOB
55,55,-2.83944795653224,80,OOB
56,56,-4.52358257304877,132,OOB
57,57,-0.4243008801713586,14,OOB
58,58,-4.427106725051999,126,OOB
59,59,-3.7132248478010297,117,OOB
60,60,-2.9704931708984077,95,OOB
61,61,-5.276659638155252,170,OOB
62,62,-3.080723567865789,78,OOB
63,63,-0.7477023117244244,33,OOB
64,64,-3.4138864194974303,131,OOB
65,65,-1.0942039201036096,29,OOB
66,66,-3.8202147888951004,116,OOB
67,67,-2.9355609491467476,85,OOB
68,68,-4.781020295806229,140,OOB
69,69,-2.979002656415105,102,OOB
70,70,-1.1835891166701913,39,OOB
71,71,-0.32440846506506205,9,OOB
72,72,-1.7191640259698033,54,OOB
73,73,-2.974633451551199,62,OOB
74,74,-0.423027609474957,12,OOB
75,75,-2.6342527084052563,71,OOB
76,76,-3.9653478050604463,114,OOB
77,77,-2.824987611733377,76,OOB
78,78,-1.6843604082241654,65,OOB
79,79,-2.2708415649831295,69,OOB
80,80,-4.753649798221886,124,OOB
81,81,-2.2481207130476832,63,OOB
82,82,-3.385298889130354,89,OOB
83,83,-3.690378600731492,107,OOB
84,84,-1.353059807792306,39,OOB
85,85,-3.4882478630170226,95,OOB
86,86,-2.577079582028091,69,OOB
87,87,-2.087191352620721,69,OOB
88,88,-3.788383905775845,94,OOB
89,89,-3.1022763792425394,63,OOB
90,90,-1.226696447469294,43,OOB
91,91,-3.3053288850933313,104,OOB
92,92,-2.7498926715925336,71,OOB
93,93,-1.0341100292280316,39,OOB
94,94,-0.952902709133923,35,OOB
95,95,-0.46786667592823505,15,OOB
96,96,-3.5526918014511466,104,OOB
97,97,-2.405768668279052,64,OOB
98,98,-3.4058803096413612,97,OOB
99,99,-4.726082635112107,133,OOB
