,idx,reward_sum,n_steps,reason
0,0,-17.47034702450037,59,OOB
1,1,-4.076773766428232,63,OOB
2,2,-13.267150554805994,176,OOB
3,3,-5.230345319956541,104,OOB
4,4,-5.322598595172167,96,OOB
5,5,-3.9554086811840534,91,OOB
6,6,-9.377034079283476,159,OOB
7,7,-5.387899741530418,116,OOB
8,8,-12.20868930593133,173,OOB
9,9,-10.18715613335371,182,OOB
10,10,-5.227578528225422,114,OOB
11,11,-6.547121200710535,132,OOB
12,12,-4.204445544630289,106,OOB
13,13,-7.944085098803043,142,OOB
14,14,-7.86197329685092,170,OOB
15,15,-5.961813278496265,139,OOB
16,16,-6.723703045397997,118,OOB
17,17,-4.780825279653072,115,OOB
18,18,-7.047480516135693,136,OOB
19,19,-4.693803485482931,114,OOB
20,20,-9.986544068902731,178,OOB
21,21,-7.657830644398928,138,OOB
22,22,-4.465884577482939,109,OOB
23,23,-7.109332982450724,155,OOB
24,24,-7.0691313073039055,141,OOB
25,25,-5.938065893948078,134,OOB
26,26,-6.034568767994642,118,OOB
27,27,-9.641271241009235,183,OOB
28,28,-4.704152178019285,109,OOB
29,29,-7.220396067947149,124,OOB
30,30,-4.636361338198185,110,OOB
31,31,-10.2740398645401,174,OOB
32,32,-6.847531441599131,147,OOB
33,33,-5.881651055067778,130,OOB
34,34,-5.176434941589832,114,OOB
35,35,-4.782047476619482,112,OOB
36,36,-5.180298648774624,102,OOB
37,37,-5.989439766854048,131,OOB
38,38,-5.77064685896039,124,OOB
39,39,-5.190505418926477,115,OOB
40,40,-11.084475304931402,160,OOB
41,41,-5.268305830657482,110,OOB
42,42,-6.045843534171581,132,OOB
43,43,-5.5865634344518185,116,OOB
44,44,-7.99174215644598,144,OOB
45,45,-7.1451781913638115,126,OOB
46,46,-11.014005791395903,174,OOB
47,47,-5.0536652989685535,119,OOB
48,48,-7.30120625346899,123,OOB
49,49,-5.148668579757214,114,OOB
50,50,-7.328895606100559,166,OOB
51,51,-11.25823387131095,149,OOB
52,52,-8.705710399895906,127,OOB
53,53,-5.082868743687868,115,OOB
54,54,-4.332659285515547,104,OOB
55,55,-5.078423552215099,108,OOB
56,56,-5.9925388768315315,128,OOB
57,57,-7.78345001116395,118,OOB
58,58,-8.295095060020685,142,OOB
59,59,-6.52098660543561,134,OOB
60,60,-6.912815384566784,111,OOB
61,61,-6.405354216694832,119,OOB
62,62,-4.963400054723024,111,OOB
63,63,-8.693570211529732,132,OOB
64,64,-10.72178304567933,186,OOB
65,65,-9.985593251883984,182,OOB
66,66,-4.734900966286659,113,OOB
67,67,-8.391617007553577,162,OOB
68,68,-8.686700370162725,157,OOB
69,69,-5.7559211589396,125,OOB
70,70,-4.758172798901796,114,OOB
71,71,-5.114053502678871,122,OOB
72,72,-9.441701639443636,161,OOB
73,73,-5.719010975211859,115,OOB
74,74,-6.869289912283421,117,OOB
75,75,-6.457091834396124,114,OOB
76,76,-11.460251845419407,183,OOB
77,77,-6.455731529742479,135,OOB
78,78,-7.3686231933534145,116,OOB
79,79,-5.798719212412834,125,OOB
80,80,-8.32484371215105,167,OOB
81,81,-11.62681833282113,173,OOB
82,82,-9.94268674403429,189,OOB
83,83,-5.280365753918886,121,OOB
84,84,-11.235955156385899,183,OOB
85,85,-4.897679693996906,119,OOB
86,86,-5.563891459256411,127,OOB
87,87,-10.867360234260559,180,OOB
88,88,-9.364432454109192,151,OOB
89,89,-9.583888970315456,167,OOB
90,90,-10.529271803796291,181,OOB
91,91,-7.6174610666930676,144,OOB
92,92,-9.358090594410896,181,OOB
93,93,-10.695622902363539,191,OOB
94,94,-8.128328390419483,149,OOB
95,95,-8.099947333335876,155,OOB
96,96,-7.6811005137860775,158,OOB
97,97,-7.5279267728328705,132,OOB
98,98,-10.457301437854767,176,OOB
99,99,-7.260480377823114,137,OOB
