,update,total_updates,T,FPS,window,mean,median,min,max
0,0,24,4096,417,30,-15.438655166666669,-12.342756000000001,-46.844024,-5.341423
1,1,24,8192,424,50,-13.767596259999998,-12.960067500000001,-33.568474,87.418862
2,2,24,12288,419,50,-7.794975000000001,-11.923688,-29.986846,90.645092
3,3,24,16384,421,50,-12.938832200000002,-11.3369295,-34.330311,-2.820335
4,4,24,20480,419,50,-9.39281946,-9.729140000000001,-27.809781,87.244697
5,5,24,24576,421,50,-5.00091578,-11.7995375,-32.86665,94.454089
6,6,24,28672,423,50,-8.25149268,-12.048510499999999,-32.86665,85.614135
7,7,24,32768,423,50,-4.54906156,-8.717931,-31.685966,88.534814
8,8,24,36864,423,50,-2.126050160000001,-9.308396,-32.694132,88.759509
9,9,24,40960,423,50,-5.482155960000001,-10.221935,-32.694132,85.634676
10,10,24,45056,423,50,5.34332632,-12.483509,-31.165869,92.711505
11,11,24,49152,418,50,2.1482588800000006,-15.8241125,-27.445167,92.711505
12,12,24,53248,416,50,-2.1478507400000004,-15.360896,-30.140933,93.237664
13,13,24,57344,414,50,-3.04621398,-12.9226445,-30.979952,93.237664
14,14,24,61440,412,50,-5.1832625199999995,-12.576608499999999,-32.050528,95.149217
15,15,24,65536,411,50,0.9024856600000003,-11.3107585,-26.668124,93.730519
16,16,24,69632,411,50,4.482267780000001,-10.051529500000001,-27.19436,95.328618
17,17,24,73728,412,50,-3.8888333799999995,-12.8849545,-26.614015,88.875013
18,18,24,77824,413,50,0.3351290200000004,-12.347077500000001,-26.614015,93.638653
19,19,24,81920,414,50,10.144963940000002,-10.214515,-29.932719,93.982752
20,20,24,86016,415,50,1.7729856599999996,-11.137345,-29.932719,93.982752
21,21,24,90112,415,50,10.300587740000001,-9.5615335,-28.187994,94.613075
22,22,24,94208,415,50,3.1409985200000006,-12.348991,-25.574818,94.613075
23,23,24,98304,416,50,11.4373009,-9.3940575,-28.861668,94.804183
24,0,122,4096,343,50,1.9537384,-1.7109205,-17.826675,85.209313
25,1,122,8192,353,50,-0.4320773800000001,-1.848249,-15.847485,92.584047
26,2,122,12288,351,50,2.3568718,-1.845054,-17.904671,94.287207
27,3,122,16384,357,50,-0.6057633399999999,-1.7329029999999999,-25.109987,94.005531
28,4,122,20480,357,50,-0.8625232200000003,-2.18513,-18.06809,95.444335
29,5,122,24576,357,50,2.0973561199999997,-1.764631,-13.486466,96.075648
30,6,122,28672,359,50,-0.47516421999999997,-2.5868405,-21.729502,96.123494
31,7,122,32768,360,50,5.756429779999999,-2.3064080000000002,-19.340578,104.236434
32,8,122,36864,362,50,1.5913793399999991,-2.313232,-20.940751,91.345886
33,9,122,40960,362,50,3.3157167000000003,-1.9568405,-13.851601,93.046635
34,10,122,45056,362,50,2.0415099,-1.856744,-12.089621,96.073452
35,11,122,49152,363,50,5.788176839999998,-1.8108819999999999,-20.477478,96.178045
36,12,122,53248,363,50,5.08274014,-1.7900425,-21.094614,98.084367
37,13,122,57344,364,50,-0.23634170000000002,-1.9213335,-21.987007,101.271525
38,14,122,61440,365,50,1.5470305,-3.03618,-12.948388,95.059426
39,15,122,65536,366,50,1.2906795199999994,-2.165903,-13.387034,92.96672
40,16,122,69632,367,50,5.122272000000001,-1.9767774999999999,-22.413493,101.540709
41,17,122,73728,365,50,0.6727167000000004,-1.602006,-21.136244,92.596556
42,18,122,77824,365,50,7.436472679999998,-1.7106775,-21.860601,97.630415
